Date,Open,High,Low,Close,Volume
31-Mar-17,83600.00,85600.00,83600.00,84100.00,34758
30-Mar-17,85900.00,85900.00,83700.00,84400.00,46089
29-Mar-17,84700.00,85800.00,83100.00,85500.00,60861
28-Mar-17,85600.00,85600.00,83200.00,84200.00,81466
27-Mar-17,79600.00,85000.00,78800.00,84900.00,143697
24-Mar-17,78700.00,79600.00,78500.00,79100.00,26370
23-Mar-17,79700.00,79700.00,78300.00,78700.00,22684
22-Mar-17,78700.00,80400.00,78700.00,78900.00,27499
21-Mar-17,78600.00,80800.00,78500.00,79800.00,49181
20-Mar-17,78100.00,79400.00,76500.00,78500.00,35992
17-Mar-17,79200.00,80300.00,77600.00,78100.00,39278
16-Mar-17,78800.00,79000.00,77800.00,78400.00,22951
15-Mar-17,78000.00,79600.00,77500.00,78100.00,35898
14-Mar-17,80100.00,80800.00,77500.00,77700.00,61931
13-Mar-17,81900.00,81900.00,80000.00,80400.00,32573
10-Mar-17,79600.00,81200.00,79300.00,81000.00,37203
9-Mar-17,79900.00,80600.00,79000.00,80000.00,48260
8-Mar-17,81400.00,81900.00,79800.00,79900.00,43624
7-Mar-17,80900.00,82100.00,80100.00,81900.00,38088
6-Mar-17,80600.00,82400.00,80600.00,80900.00,30754
3-Mar-17,81400.00,81800.00,78800.00,81100.00,62101
2-Mar-17,83200.00,83400.00,81400.00,82300.00,54536
28-Feb-17,85800.00,85900.00,82300.00,83000.00,58061
27-Feb-17,85000.00,85600.00,84300.00,85200.00,42457
24-Feb-17,85100.00,86400.00,84000.00,84700.00,68911
23-Feb-17,85300.00,86300.00,84400.00,85100.00,50688
22-Feb-17,85000.00,85000.00,83500.00,84900.00,29590
21-Feb-17,84600.00,86500.00,83900.00,84700.00,42445
20-Feb-17,84500.00,84900.00,82800.00,84600.00,38422
17-Feb-17,83500.00,85500.00,83500.00,84300.00,39767
16-Feb-17,84300.00,84300.00,82300.00,84000.00,52940
15-Feb-17,81600.00,84400.00,81600.00,83800.00,62979
14-Feb-17,82900.00,83700.00,81000.00,81600.00,52995
13-Feb-17,83300.00,83900.00,81500.00,82900.00,46682
10-Feb-17,80800.00,83700.00,80100.00,82800.00,112796
9-Feb-17,82400.00,82400.00,79400.00,79500.00,73758
8-Feb-17,82000.00,82600.00,80100.00,82400.00,94602
7-Feb-17,78400.00,82000.00,78100.00,81700.00,153429
6-Feb-17,76700.00,78900.00,75900.00,78000.00,102184
3-Feb-17,72900.00,76600.00,72900.00,75900.00,136403
2-Feb-17,73200.00,73600.00,71800.00,72600.00,49344
1-Feb-17,69100.00,73400.00,69100.00,73200.00,106127
31-Jan-17,67200.00,68800.00,67200.00,68200.00,15820
26-Jan-17,68200.00,68700.00,66400.00,67800.00,35533
25-Jan-17,70900.00,71400.00,66800.00,67900.00,70382
24-Jan-17,71100.00,71300.00,70200.00,70300.00,21248
23-Jan-17,72500.00,72900.00,71000.00,71300.00,19503
20-Jan-17,72200.00,73400.00,71900.00,72300.00,32961
19-Jan-17,73200.00,73200.00,72000.00,72200.00,25444
18-Jan-17,72500.00,73700.00,71700.00,73100.00,43737
17-Jan-17,71400.00,73800.00,71400.00,72000.00,75095
