Date,Open,High,Low,Close,Volume
31-Mar-17,63300.00,64300.00,63200.00,64000.00,306496
30-Mar-17,62500.00,63000.00,62200.00,63000.00,142422
29-Mar-17,62500.00,62600.00,61600.00,62300.00,107678
28-Mar-17,62700.00,62800.00,62200.00,62400.00,93953
27-Mar-17,62900.00,62900.00,61800.00,62100.00,129801
24-Mar-17,62000.00,63100.00,61900.00,63000.00,206837
23-Mar-17,61900.00,62100.00,61400.00,61800.00,122394
22-Mar-17,62000.00,62100.00,61200.00,61700.00,102905
21-Mar-17,63200.00,63200.00,60900.00,61700.00,286612
20-Mar-17,62600.00,63000.00,62200.00,62800.00,110068
17-Mar-17,63400.00,63400.00,62000.00,63200.00,173598
16-Mar-17,63500.00,63800.00,62900.00,63500.00,149166
15-Mar-17,63700.00,63700.00,61900.00,63100.00,187716
14-Mar-17,62500.00,64300.00,62500.00,63600.00,384090
13-Mar-17,61400.00,62700.00,61400.00,62400.00,131451
10-Mar-17,61100.00,62300.00,61000.00,62000.00,164839
9-Mar-17,61600.00,62300.00,61200.00,61400.00,188722
8-Mar-17,61200.00,62400.00,60800.00,62300.00,204643
7-Mar-17,61700.00,62600.00,61200.00,61700.00,141938
6-Mar-17,62200.00,62600.00,61200.00,61500.00,279162
3-Mar-17,61000.00,63100.00,60000.00,62000.00,306967
2-Mar-17,62000.00,63100.00,60700.00,61000.00,383846
28-Feb-17,60300.00,61700.00,60200.00,61100.00,226737
27-Feb-17,60100.00,60900.00,59800.00,60100.00,96110
24-Feb-17,60200.00,60900.00,59800.00,60200.00,163652
23-Feb-17,60800.00,61100.00,58700.00,59700.00,430912
22-Feb-17,61400.00,61900.00,60700.00,61100.00,234551
21-Feb-17,62200.00,62800.00,61600.00,61600.00,147717
20-Feb-17,62100.00,62700.00,61500.00,62200.00,83215
17-Feb-17,61900.00,63300.00,61400.00,63000.00,169944
16-Feb-17,64000.00,64300.00,61300.00,61900.00,262978
15-Feb-17,63900.00,65200.00,63500.00,64400.00,148388
14-Feb-17,65200.00,65300.00,63300.00,63500.00,133936
13-Feb-17,64400.00,64900.00,64000.00,64900.00,118574
10-Feb-17,64800.00,64800.00,63900.00,64400.00,105611
9-Feb-17,64200.00,64500.00,63000.00,64400.00,150943
8-Feb-17,63700.00,64200.00,63500.00,64100.00,163403
7-Feb-17,63300.00,63900.00,62200.00,63800.00,156766
6-Feb-17,62500.00,63300.00,62100.00,62700.00,303560
3-Feb-17,60300.00,62100.00,60300.00,61600.00,278567
2-Feb-17,59300.00,60600.00,59300.00,60300.00,254973
1-Feb-17,59300.00,60500.00,58900.00,60000.00,167895
31-Jan-17,59200.00,59400.00,58400.00,59100.00,137937
26-Jan-17,59500.00,59600.00,59000.00,59200.00,108141
25-Jan-17,60000.00,60100.00,59000.00,59400.00,127924
24-Jan-17,60300.00,60500.00,59100.00,59500.00,182567
23-Jan-17,61000.00,61200.00,60000.00,60300.00,138777
20-Jan-17,61000.00,61700.00,60900.00,61000.00,102202
19-Jan-17,62800.00,63500.00,61200.00,61200.00,175839
18-Jan-17,61000.00,64000.00,61000.00,63300.00,266513
17-Jan-17,61600.00,62000.00,60900.00,61400.00,126584
16-Jan-17,61300.00,61900.00,60900.00,61500.00,98341
13-Jan-17,61400.00,62100.00,61200.00,61200.00,152641
12-Jan-17,61300.00,61800.00,60900.00,61000.00,207096
11-Jan-17,62000.00,62300.00,60800.00,61200.00,191617
10-Jan-17,61400.00,62400.00,61000.00,62400.00,96552
9-Jan-17,62900.00,63000.00,61600.00,62000.00,113888
6-Jan-17,62800.00,63200.00,62600.00,63000.00,91655
5-Jan-17,61900.00,62900.00,61900.00,62800.00,134121
4-Jan-17,61100.00,62800.00,61100.00,62600.00,182376
3-Jan-17,61800.00,62500.00,60900.00,60900.00,179400
2-Jan-17,62600.00,62800.00,61500.00,61800.00,81757
29-Dec-16,63600.00,63600.00,62300.00,62500.00,123487
28-Dec-16,63600.00,64200.00,63000.00,63400.00,124745
27-Dec-16,64800.00,65000.00,64100.00,64800.00,93800
26-Dec-16,63700.00,64900.00,63700.00,64700.00,90094
23-Dec-16,64100.00,64400.00,63300.00,63700.00,172783
22-Dec-16,64500.00,64700.00,62900.00,64200.00,379957
21-Dec-16,69500.00,69700.00,64000.00,64400.00,483596
20-Dec-16,69900.00,70500.00,69100.00,69400.00,91931
19-Dec-16,69600.00,70400.00,69300.00,70100.00,102960
16-Dec-16,69600.00,70100.00,68900.00,69200.00,161584
15-Dec-16,70600.00,71100.00,69200.00,69500.00,146235
14-Dec-16,71600.00,71600.00,70500.00,70600.00,100781
13-Dec-16,70700.00,71500.00,70000.00,70700.00,152020
12-Dec-16,70100.00,70700.00,69300.00,70500.00,174534
9-Dec-16,71000.00,71200.00,69300.00,69600.00,281863
8-Dec-16,71400.00,71600.00,70700.00,71300.00,211868
