Date,Open,High,Low,Close,Volume
31-Mar-17,94000.00,94100.00,92300.00,93900.00,19444
30-Mar-17,92900.00,94000.00,92100.00,93500.00,16994
29-Mar-17,93600.00,93600.00,91900.00,92900.00,14876
28-Mar-17,94200.00,94200.00,92000.00,93600.00,32531
27-Mar-17,91700.00,94200.00,91700.00,93600.00,38020
24-Mar-17,92800.00,92800.00,91700.00,92100.00,15777
23-Mar-17,93100.00,93100.00,91300.00,92600.00,18461
22-Mar-17,92000.00,93000.00,90900.00,92600.00,37250
21-Mar-17,92900.00,92900.00,90600.00,92000.00,35875
20-Mar-17,91800.00,92500.00,90500.00,92500.00,21698
17-Mar-17,90400.00,92200.00,90000.00,91800.00,27244
16-Mar-17,89500.00,90500.00,88600.00,90500.00,46396
15-Mar-17,92600.00,93900.00,87500.00,89400.00,148150
14-Mar-17,96400.00,96500.00,93000.00,94200.00,34401
13-Mar-17,96000.00,97000.00,95200.00,96300.00,27161
10-Mar-17,94600.00,96000.00,93400.00,96000.00,29873
9-Mar-17,94400.00,96700.00,93000.00,94200.00,41104
8-Mar-17,93300.00,95000.00,93300.00,94200.00,23304
7-Mar-17,93000.00,94600.00,90800.00,94000.00,26435
6-Mar-17,92000.00,94400.00,91300.00,92100.00,22944
3-Mar-17,93200.00,93900.00,91700.00,91700.00,17988
2-Mar-17,95700.00,95700.00,93000.00,93200.00,23792
28-Feb-17,98200.00,98400.00,94300.00,94700.00,39140
27-Feb-17,97600.00,98800.00,97300.00,98000.00,30074
24-Feb-17,94900.00,97300.00,94900.00,97000.00,22677
23-Feb-17,96400.00,97800.00,95300.00,95300.00,24044
22-Feb-17,94300.00,96600.00,94000.00,95700.00,20167
21-Feb-17,95400.00,96700.00,94200.00,94600.00,28774
20-Feb-17,96300.00,97000.00,94400.00,94900.00,19377
17-Feb-17,95400.00,97500.00,95400.00,96300.00,20090
16-Feb-17,96700.00,97800.00,93500.00,95400.00,55003
15-Feb-17,92500.00,96600.00,91700.00,96200.00,72200
14-Feb-17,90000.00,91500.00,89000.00,91300.00,32421
13-Feb-17,88200.00,89800.00,88000.00,89600.00,31031
10-Feb-17,92400.00,93300.00,87500.00,87600.00,93091
9-Feb-17,94000.00,94900.00,92200.00,93300.00,26995
8-Feb-17,93600.00,94400.00,92000.00,93600.00,23323
7-Feb-17,92200.00,94700.00,91300.00,93600.00,44359
6-Feb-17,90200.00,92000.00,88100.00,91900.00,40432
3-Feb-17,88600.00,89800.00,88000.00,88500.00,16479
2-Feb-17,89600.00,90500.00,88600.00,88700.00,24372
1-Feb-17,88600.00,91200.00,88600.00,90500.00,21187
31-Jan-17,89500.00,89700.00,87800.00,88400.00,16632
26-Jan-17,87100.00,89300.00,85600.00,88900.00,31761
25-Jan-17,91800.00,91900.00,86700.00,86800.00,61600
24-Jan-17,92500.00,93000.00,90600.00,90700.00,21783
23-Jan-17,94400.00,94600.00,92600.00,92600.00,15623
20-Jan-17,93900.00,96200.00,93200.00,93700.00,35544
19-Jan-17,94900.00,95000.00,93500.00,94100.00,19203
18-Jan-17,94100.00,95900.00,93600.00,94300.00,20872
17-Jan-17,96500.00,96500.00,94200.00,94500.00,28460
16-Jan-17,98600.00,98600.00,94600.00,96000.00,37489
13-Jan-17,95800.00,98800.00,95500.00,97500.00,46769
12-Jan-17,96500.00,96700.00,94000.00,95200.00,44671
11-Jan-17,97800.00,98000.00,96200.00,96500.00,40848
10-Jan-17,97600.00,99000.00,96000.00,97700.00,39153
9-Jan-17,102000.00,102500.00,97000.00,97900.00,102903
6-Jan-17,104500.00,105000.00,102000.00,102000.00,39291
5-Jan-17,104000.00,106000.00,103000.00,104000.00,47324
4-Jan-17,103000.00,105000.00,102500.00,103000.00,51771
3-Jan-17,104500.00,106000.00,102000.00,102500.00,54057
2-Jan-17,105500.00,107500.00,104000.00,104500.00,66391
29-Dec-16,110000.00,110000.00,105500.00,105500.00,169097
28-Dec-16,90400.00,113000.00,90100.00,108000.00,401564
27-Dec-16,89900.00,91100.00,89300.00,91100.00,16281
26-Dec-16,89700.00,90700.00,89200.00,89900.00,29226
23-Dec-16,87000.00,89700.00,85700.00,88800.00,28333
22-Dec-16,86700.00,88400.00,86100.00,86200.00,7826
21-Dec-16,87100.00,87500.00,85600.00,86700.00,17392
20-Dec-16,87300.00,88400.00,87000.00,87000.00,15025
19-Dec-16,89000.00,89100.00,86800.00,87300.00,16123
16-Dec-16,89700.00,92000.00,88200.00,88600.00,28865
15-Dec-16,88400.00,91900.00,88400.00,91000.00,24470
14-Dec-16,89600.00,91300.00,87500.00,90100.00,42218
13-Dec-16,84100.00,91000.00,84100.00,90500.00,62611
12-Dec-16,83000.00,84800.00,82200.00,84000.00,23764
9-Dec-16,80200.00,82900.00,80200.00,81800.00,22760
8-Dec-16,80700.00,81400.00,79400.00,81000.00,35378
7-Dec-16,81000.00,81500.00,79800.00,80600.00,38183
6-Dec-16,82100.00,83000.00,80700.00,81500.00,32613
5-Dec-16,80800.00,81700.00,80300.00,81100.00,17449
2-Dec-16,82500.00,82700.00,81000.00,81800.00,30936
1-Dec-16,84300.00,84400.00,80600.00,82000.00,73670
30-Nov-16,85300.00,86400.00,83200.00,84300.00,28575
29-Nov-16,84200.00,86800.00,84100.00,85300.00,19969
28-Nov-16,85200.00,86000.00,84000.00,84800.00,15152
25-Nov-16,84700.00,86300.00,83900.00,85100.00,29392
24-Nov-16,85000.00,86000.00,82800.00,84400.00,33590
23-Nov-16,88200.00,89300.00,84700.00,84700.00,40063
22-Nov-16,89200.00,90400.00,88200.00,88900.00,22433
21-Nov-16,92900.00,92900.00,88600.00,89500.00,20076
18-Nov-16,94500.00,95000.00,92100.00,92500.00,21760
17-Nov-16,96300.00,97200.00,95200.00,95200.00,18543
16-Nov-16,94100.00,98900.00,93600.00,97700.00,41398
15-Nov-16,95700.00,95700.00,93600.00,94100.00,25597
14-Nov-16,96700.00,97500.00,93600.00,95000.00,28066
11-Nov-16,97000.00,97400.00,93600.00,96600.00,32226
10-Nov-16,90900.00,97400.00,90800.00,97100.00,93535
9-Nov-16,89700.00,89800.00,82900.00,88600.00,61267
8-Nov-16,89900.00,89900.00,88200.00,89100.00,19008
7-Nov-16,89000.00,89400.00,87000.00,88500.00,25595
4-Nov-16,86900.00,88500.00,85600.00,87700.00,25105
3-Nov-16,82700.00,87400.00,82700.00,86900.00,51339
2-Nov-16,86000.00,86900.00,82400.00,84000.00,81186
1-Nov-16,84200.00,87700.00,84200.00,86900.00,65706
31-Oct-16,89900.00,90400.00,85800.00,85900.00,113917
28-Oct-16,99000.00,99100.00,95000.00,95000.00,39872
27-Oct-16,96000.00,100500.00,96000.00,99600.00,39338
26-Oct-16,94100.00,96700.00,94100.00,95700.00,32086
25-Oct-16,95800.00,96100.00,93100.00,95100.00,51889
