Date,Open,High,Low,Close,Volume
31-Mar-17,64900.00,67900.00,63900.00,66500.00,54350
30-Mar-17,64300.00,64900.00,63800.00,64000.00,34877
29-Mar-17,65100.00,65100.00,63600.00,63800.00,28689
28-Mar-17,64800.00,64900.00,63300.00,64500.00,27044
27-Mar-17,65400.00,65400.00,63400.00,64500.00,29030
24-Mar-17,65600.00,66300.00,64600.00,65300.00,32254
23-Mar-17,67900.00,67900.00,65400.00,65400.00,36516
22-Mar-17,69100.00,69200.00,67000.00,67000.00,36646
21-Mar-17,68700.00,69800.00,68000.00,69200.00,43727
20-Mar-17,67700.00,67900.00,66400.00,67800.00,21942
17-Mar-17,67400.00,68000.00,66800.00,67700.00,45125
16-Mar-17,68000.00,68400.00,65500.00,66900.00,49140
15-Mar-17,66900.00,67500.00,65800.00,66900.00,63801
14-Mar-17,65800.00,68100.00,65100.00,66300.00,67156
13-Mar-17,66300.00,66500.00,64900.00,65700.00,33173
10-Mar-17,65400.00,67900.00,64700.00,66300.00,105132
9-Mar-17,63200.00,63800.00,61600.00,63800.00,32252
8-Mar-17,62800.00,64300.00,62200.00,63100.00,25468
7-Mar-17,62300.00,63700.00,61800.00,63200.00,29142
6-Mar-17,60700.00,61600.00,60200.00,61400.00,40642
3-Mar-17,63000.00,63000.00,61300.00,61500.00,28870
2-Mar-17,64100.00,64100.00,62700.00,63000.00,30046
28-Feb-17,65300.00,65300.00,63000.00,63200.00,26463
27-Feb-17,66800.00,66800.00,63800.00,64600.00,17193
24-Feb-17,65500.00,67300.00,65000.00,65400.00,48472
23-Feb-17,64900.00,66100.00,64200.00,65400.00,32005
22-Feb-17,64900.00,65800.00,64300.00,64400.00,40276
21-Feb-17,63500.00,64500.00,62700.00,63600.00,41034
20-Feb-17,64600.00,64600.00,63000.00,63500.00,23222
17-Feb-17,65000.00,65800.00,64200.00,64600.00,17165
16-Feb-17,67000.00,67000.00,64400.00,64900.00,27127
15-Feb-17,66200.00,66300.00,64200.00,66000.00,65860
14-Feb-17,66000.00,67100.00,65200.00,66100.00,50406
13-Feb-17,66800.00,66900.00,65200.00,66200.00,40284
10-Feb-17,65600.00,67000.00,65000.00,66500.00,42960
9-Feb-17,64500.00,65500.00,63500.00,64900.00,83412
8-Feb-17,59000.00,64500.00,59000.00,64300.00,202308
7-Feb-17,58500.00,59000.00,56800.00,58600.00,92786
6-Feb-17,60500.00,60500.00,58000.00,58200.00,80572
3-Feb-17,61300.00,61500.00,60000.00,60000.00,30325
2-Feb-17,61000.00,61600.00,60100.00,61100.00,46931
1-Feb-17,60400.00,61500.00,60200.00,61200.00,27875
31-Jan-17,61300.00,61400.00,59900.00,60400.00,25029
26-Jan-17,62600.00,62600.00,60500.00,61300.00,42108
25-Jan-17,64800.00,64800.00,61900.00,62100.00,39923
24-Jan-17,64200.00,65000.00,62600.00,64000.00,41739
23-Jan-17,65600.00,66300.00,64700.00,65000.00,33510
20-Jan-17,65400.00,66600.00,64500.00,65600.00,32746
19-Jan-17,64000.00,66900.00,64000.00,65900.00,135338
18-Jan-17,60700.00,64900.00,60300.00,64000.00,134928
17-Jan-17,60200.00,61200.00,59400.00,60200.00,52903
16-Jan-17,59700.00,60400.00,59400.00,59900.00,29357
13-Jan-17,60300.00,60600.00,59400.00,59700.00,35797
12-Jan-17,59600.00,60300.00,58400.00,60200.00,53418
11-Jan-17,60600.00,61000.00,59700.00,59700.00,64584
10-Jan-17,60000.00,61200.00,59900.00,61000.00,39850
9-Jan-17,61400.00,61800.00,59900.00,60400.00,63217
6-Jan-17,63200.00,63200.00,61700.00,61800.00,49092
5-Jan-17,62500.00,62900.00,61300.00,62600.00,53720
4-Jan-17,62500.00,63600.00,61500.00,62600.00,94624
3-Jan-17,62000.00,63900.00,61400.00,62800.00,155502
2-Jan-17,60000.00,61800.00,60000.00,61500.00,24773
29-Dec-16,60600.00,61600.00,59800.00,60600.00,29881
28-Dec-16,60100.00,60700.00,59400.00,60200.00,26851
27-Dec-16,60400.00,61500.00,60200.00,61000.00,18093
26-Dec-16,61700.00,62300.00,60200.00,60500.00,19440
23-Dec-16,60600.00,61800.00,60000.00,61600.00,23016
22-Dec-16,60500.00,60800.00,59700.00,60600.00,21061
21-Dec-16,60500.00,60800.00,59600.00,60600.00,26480
20-Dec-16,61100.00,61500.00,60500.00,60600.00,34334
19-Dec-16,60000.00,61700.00,60000.00,61200.00,13755
16-Dec-16,61700.00,62100.00,60400.00,61200.00,45471
15-Dec-16,61100.00,62400.00,61100.00,62100.00,55740
14-Dec-16,61700.00,62400.00,61600.00,62000.00,28853
13-Dec-16,62400.00,63000.00,61200.00,61700.00,36270
12-Dec-16,64000.00,64000.00,61700.00,62500.00,25588
9-Dec-16,60700.00,63600.00,60700.00,62800.00,25104
8-Dec-16,60800.00,62500.00,59900.00,62500.00,35888
7-Dec-16,59700.00,60800.00,59500.00,60200.00,20626
6-Dec-16,60300.00,60900.00,59600.00,59700.00,23111
5-Dec-16,61200.00,61200.00,59000.00,59100.00,42161
2-Dec-16,62100.00,62600.00,61000.00,61000.00,41324
1-Dec-16,62600.00,63200.00,62100.00,62600.00,30277
30-Nov-16,62000.00,63800.00,61600.00,63800.00,41795
29-Nov-16,62200.00,62500.00,61700.00,62100.00,25771
28-Nov-16,60900.00,62500.00,60900.00,61800.00,15482
25-Nov-16,60900.00,62000.00,60900.00,61600.00,25660
24-Nov-16,61400.00,63000.00,61400.00,61500.00,27469
23-Nov-16,61900.00,62600.00,61900.00,61900.00,27677
22-Nov-16,62700.00,62800.00,61100.00,62300.00,34642
21-Nov-16,63300.00,63300.00,62300.00,62300.00,38140
18-Nov-16,64400.00,64400.00,62300.00,62600.00,48416
17-Nov-16,63400.00,64600.00,63400.00,63800.00,41120
16-Nov-16,63200.00,64800.00,62900.00,63900.00,62865
15-Nov-16,64400.00,64900.00,63200.00,63900.00,54121
14-Nov-16,66100.00,66600.00,64500.00,65800.00,29724
11-Nov-16,66800.00,66800.00,65000.00,66000.00,25339
10-Nov-16,66900.00,66900.00,64000.00,65600.00,65377
9-Nov-16,68300.00,69000.00,64700.00,66900.00,65795
8-Nov-16,67700.00,68300.00,67200.00,67800.00,16994
7-Nov-16,69000.00,69000.00,67600.00,67800.00,37671
4-Nov-16,68500.00,68500.00,67200.00,68000.00,34084
3-Nov-16,66900.00,67900.00,66000.00,67600.00,34218
2-Nov-16,66800.00,67600.00,66100.00,66600.00,35211
1-Nov-16,67900.00,68500.00,66500.00,67400.00,63442
31-Oct-16,65300.00,68700.00,65300.00,67900.00,82613
28-Oct-16,63300.00,66400.00,62800.00,65700.00,36119
27-Oct-16,65200.00,65200.00,63500.00,64100.00,43094
26-Oct-16,64500.00,65000.00,62300.00,64800.00,32373
25-Oct-16,64600.00,66200.00,64100.00,64400.00,42271
24-Oct-16,64700.00,65400.00,64100.00,64600.00,33676
21-Oct-16,63300.00,65300.00,63300.00,64900.00,41261
20-Oct-16,65100.00,65200.00,63700.00,63800.00,52073
19-Oct-16,67200.00,67300.00,65100.00,65400.00,50270
18-Oct-16,66800.00,67900.00,66300.00,67100.00,18407
17-Oct-16,69000.00,69000.00,66500.00,66800.00,33377
14-Oct-16,67100.00,69000.00,67100.00,67900.00,34863
13-Oct-16,69100.00,69900.00,67600.00,67700.00,32084
12-Oct-16,68200.00,70200.00,66700.00,69800.00,73308
11-Oct-16,67400.00,68200.00,66500.00,67300.00,53239
10-Oct-16,70000.00,70000.00,66000.00,66200.00,53522
7-Oct-16,68100.00,69700.00,67200.00,68000.00,40249
6-Oct-16,67800.00,70200.00,67100.00,69000.00,42019
5-Oct-16,68500.00,71300.00,68000.00,70200.00,48034
4-Oct-16,68900.00,71000.00,67800.00,69100.00,64429
30-Sep-16,73000.00,73500.00,65200.00,67600.00,110434
29-Sep-16,73800.00,74800.00,72500.00,74000.00,34936
28-Sep-16,75400.00,76500.00,73600.00,73600.00,39308
27-Sep-16,75700.00,76900.00,73800.00,76300.00,47921
26-Sep-16,76500.00,76500.00,74500.00,75100.00,24596
23-Sep-16,75700.00,76300.00,74100.00,75600.00,42166
22-Sep-16,73800.00,75900.00,73800.00,74900.00,42517
21-Sep-16,72000.00,75700.00,70900.00,75100.00,49111
20-Sep-16,72500.00,74300.00,71200.00,73800.00,34272
19-Sep-16,71600.00,74000.00,70700.00,73200.00,47379
13-Sep-16,73300.00,74400.00,71800.00,73100.00,28087
12-Sep-16,73400.00,74900.00,72500.00,73200.00,39670
9-Sep-16,75300.00,75800.00,72600.00,72900.00,52914
8-Sep-16,75600.00,78000.00,75200.00,75800.00,57435
7-Sep-16,77200.00,77900.00,75800.00,76000.00,29435
6-Sep-16,78100.00,79400.00,77300.00,77800.00,33594
5-Sep-16,77800.00,79000.00,76500.00,78500.00,42211
2-Sep-16,77100.00,77900.00,75100.00,77800.00,40292
1-Sep-16,75300.00,77700.00,74600.00,77200.00,28342
31-Aug-16,74700.00,76300.00,74500.00,76000.00,42978
30-Aug-16,75200.00,76500.00,74300.00,75900.00,32608
29-Aug-16,75200.00,77100.00,74200.00,75800.00,42270
26-Aug-16,77300.00,77300.00,75000.00,76100.00,25462
25-Aug-16,76200.00,76900.00,75600.00,76200.00,41600
24-Aug-16,76500.00,78200.00,74700.00,76300.00,86570
23-Aug-16,74800.00,76500.00,73900.00,75900.00,67707
22-Aug-16,73400.00,76100.00,73100.00,75100.00,77432
19-Aug-16,73500.00,74600.00,71800.00,73900.00,85918
18-Aug-16,70600.00,75600.00,70600.00,72800.00,176182
17-Aug-16,69300.00,72600.00,68700.00,70600.00,91524
16-Aug-16,68300.00,69000.00,67800.00,68400.00,44684
12-Aug-16,67300.00,70700.00,67300.00,69300.00,51532
11-Aug-16,67900.00,68800.00,67100.00,67700.00,44615
10-Aug-16,68600.00,69700.00,67500.00,67900.00,61861
9-Aug-16,68900.00,70000.00,68100.00,69800.00,46587
8-Aug-16,68400.00,70700.00,68300.00,68700.00,41118
5-Aug-16,69000.00,71000.00,68000.00,69000.00,108575
4-Aug-16,67400.00,68900.00,66200.00,68500.00,65080
3-Aug-16,62100.00,68000.00,62100.00,66700.00,121176
2-Aug-16,63600.00,64000.00,61800.00,63300.00,42634
1-Aug-16,61800.00,63400.00,61800.00,63000.00,21409
29-Jul-16,62800.00,63700.00,61400.00,63000.00,49542
28-Jul-16,61000.00,64800.00,60600.00,63100.00,124115
27-Jul-16,59200.00,60900.00,58200.00,60600.00,32116
26-Jul-16,58000.00,59100.00,57700.00,58700.00,31169
25-Jul-16,57700.00,58800.00,57700.00,58500.00,28265
22-Jul-16,58400.00,58600.00,57900.00,58400.00,25120
21-Jul-16,59000.00,59500.00,57700.00,58400.00,38266
20-Jul-16,58700.00,59100.00,57700.00,58700.00,33792
19-Jul-16,57800.00,58800.00,57400.00,57900.00,21374
18-Jul-16,59500.00,59800.00,57800.00,57800.00,53335
15-Jul-16,60600.00,61400.00,59800.00,60000.00,32910
14-Jul-16,62600.00,62600.00,60600.00,60700.00,41992
13-Jul-16,62800.00,63500.00,61700.00,62200.00,37758
12-Jul-16,62000.00,63500.00,61700.00,62700.00,33537
11-Jul-16,61900.00,62800.00,60900.00,62100.00,36591
8-Jul-16,61300.00,62400.00,60700.00,60700.00,16246
7-Jul-16,62700.00,63000.00,61100.00,62400.00,37043
6-Jul-16,62600.00,62600.00,60800.00,61900.00,50265
5-Jul-16,60500.00,62100.00,60100.00,61800.00,29377
4-Jul-16,60300.00,61100.00,59800.00,60000.00,34006
1-Jul-16,60600.00,61600.00,60300.00,60300.00,23869
30-Jun-16,62500.00,62600.00,60600.00,61000.00,26926
29-Jun-16,61000.00,62500.00,60700.00,62100.00,22166
28-Jun-16,59700.00,61700.00,59500.00,61600.00,32075
27-Jun-16,60900.00,61600.00,58600.00,60700.00,50378
24-Jun-16,61600.00,62400.00,57100.00,60900.00,90910
23-Jun-16,62600.00,63500.00,60800.00,62400.00,52738
22-Jun-16,62400.00,64000.00,61600.00,63600.00,32172
21-Jun-16,62500.00,63400.00,62100.00,62400.00,13362
20-Jun-16,63800.00,64000.00,62200.00,63400.00,13605
17-Jun-16,61800.00,63300.00,61800.00,62600.00,23554
16-Jun-16,64000.00,64000.00,62800.00,63000.00,15397
15-Jun-16,63200.00,65900.00,63100.00,63800.00,30323
14-Jun-16,63100.00,65400.00,63100.00,63700.00,45538
13-Jun-16,62800.00,64500.00,62800.00,64200.00,19563
10-Jun-16,65500.00,65500.00,63000.00,63800.00,62718
9-Jun-16,65000.00,65900.00,64000.00,65900.00,66113
8-Jun-16,65400.00,66000.00,63600.00,65300.00,81865
7-Jun-16,68000.00,68000.00,65100.00,66500.00,66578
3-Jun-16,65300.00,67600.00,65200.00,67400.00,43721
2-Jun-16,65900.00,67200.00,65500.00,65700.00,45648
1-Jun-16,67300.00,68400.00,66300.00,66900.00,45249
31-May-16,66400.00,68100.00,64900.00,68100.00,86142
30-May-16,65300.00,67500.00,63200.00,66400.00,82087
27-May-16,65900.00,66500.00,64600.00,66100.00,71204
26-May-16,61500.00,66000.00,61100.00,65100.00,147310
25-May-16,60500.00,62500.00,60000.00,61500.00,77343
24-May-16,61000.00,61300.00,59200.00,60400.00,62654
23-May-16,56000.00,61000.00,55600.00,60500.00,161699
20-May-16,55600.00,56100.00,55100.00,55300.00,21503
19-May-16,55500.00,56600.00,55400.00,56100.00,27909
18-May-16,56500.00,57100.00,55100.00,56600.00,48017
17-May-16,55700.00,57000.00,54900.00,56500.00,42682
16-May-16,56400.00,57300.00,55700.00,55900.00,29076
13-May-16,56800.00,57200.00,56300.00,57000.00,15598
12-May-16,56200.00,57000.00,56000.00,56800.00,20036
11-May-16,57600.00,57600.00,56300.00,56600.00,27781
10-May-16,58700.00,59400.00,57200.00,57600.00,44420
9-May-16,58100.00,59500.00,57200.00,58600.00,31621
4-May-16,56800.00,58900.00,56800.00,58100.00,46651
3-May-16,57300.00,58000.00,56600.00,57600.00,29813
2-May-16,56600.00,57600.00,56000.00,57300.00,33754
29-Apr-16,55200.00,57200.00,55100.00,56600.00,55272
28-Apr-16,56900.00,56900.00,55100.00,55300.00,51075
27-Apr-16,55900.00,56500.00,55300.00,56400.00,42192
26-Apr-16,56200.00,56900.00,55800.00,56400.00,52127
25-Apr-16,55600.00,57000.00,55600.00,56200.00,36552
22-Apr-16,55700.00,57000.00,55700.00,56600.00,24420
21-Apr-16,56200.00,57000.00,55500.00,56200.00,47830
20-Apr-16,56900.00,56900.00,55000.00,56200.00,68658
19-Apr-16,56300.00,56700.00,55800.00,56400.00,32889
18-Apr-16,54900.00,56300.00,54900.00,56300.00,35689
15-Apr-16,54900.00,56000.00,54900.00,55800.00,55892
14-Apr-16,53100.00,55500.00,53100.00,55500.00,45447
12-Apr-16,53200.00,54000.00,52700.00,53400.00,30774
11-Apr-16,53900.00,54700.00,53300.00,53300.00,18750
8-Apr-16,53300.00,55000.00,52500.00,54300.00,41139
7-Apr-16,53200.00,54200.00,53200.00,53700.00,52408
6-Apr-16,52200.00,54000.00,52200.00,53500.00,33275
5-Apr-16,52500.00,53600.00,52300.00,52600.00,33576
4-Apr-16,52800.00,53400.00,52300.00,53000.00,42781
1-Apr-16,54000.00,54100.00,53000.00,53100.00,30012
31-Mar-16,53600.00,54800.00,52900.00,54000.00,72847
30-Mar-16,53800.00,54500.00,52200.00,54000.00,63970
29-Mar-16,54300.00,54900.00,53200.00,53800.00,42679
28-Mar-16,54600.00,55200.00,53000.00,54400.00,39778
25-Mar-16,54700.00,55500.00,54000.00,54900.00,26584
24-Mar-16,54800.00,55400.00,54000.00,54700.00,64635
23-Mar-16,53500.00,55800.00,53100.00,55100.00,83281
22-Mar-16,52200.00,53600.00,52200.00,53000.00,53538
21-Mar-16,52700.00,52700.00,51800.00,52300.00,35253
18-Mar-16,53500.00,53500.00,52000.00,52700.00,45307
17-Mar-16,51900.00,53500.00,51900.00,52600.00,80668
16-Mar-16,52000.00,52300.00,51700.00,52000.00,58460
15-Mar-16,53100.00,53100.00,51500.00,52000.00,88138
14-Mar-16,53300.00,53400.00,52200.00,53100.00,57357
11-Mar-16,52100.00,53600.00,51600.00,52500.00,119853
10-Mar-16,52300.00,52300.00,51100.00,51700.00,103406
9-Mar-16,51100.00,52800.00,50900.00,51800.00,167828
