Date,Open,High,Low,Close,Volume
20-Dec-16,20500.00,20900.00,20400.00,20500.00,1367629
19-Dec-16,20800.00,21000.00,20650.00,20650.00,361234
16-Dec-16,21250.00,21250.00,20750.00,20800.00,341658
15-Dec-16,20550.00,21300.00,20550.00,21100.00,492944
14-Dec-16,20850.00,20950.00,20600.00,20700.00,233362
13-Dec-16,20700.00,20850.00,20600.00,20850.00,217536
12-Dec-16,20650.00,21000.00,20650.00,20800.00,396542
9-Dec-16,20350.00,20650.00,20250.00,20550.00,274587
8-Dec-16,20100.00,20500.00,20050.00,20500.00,336077
7-Dec-16,20050.00,20100.00,19700.00,19900.00,168507
6-Dec-16,19550.00,20100.00,19550.00,19950.00,236058
5-Dec-16,20050.00,20100.00,19500.00,19500.00,255318
2-Dec-16,20350.00,20450.00,20000.00,20050.00,212394
1-Dec-16,20250.00,20600.00,20150.00,20400.00,131070
30-Nov-16,20500.00,20550.00,20100.00,20400.00,273512
29-Nov-16,20300.00,20600.00,20300.00,20450.00,180733
28-Nov-16,20150.00,20450.00,19700.00,20300.00,467798
25-Nov-16,20350.00,20550.00,20050.00,20150.00,480179
24-Nov-16,20600.00,20900.00,20350.00,20350.00,300636
23-Nov-16,20950.00,20950.00,20500.00,20700.00,570191
22-Nov-16,21000.00,21200.00,20800.00,20900.00,407373
21-Nov-16,20900.00,21400.00,20700.00,20950.00,1478143
18-Nov-16,22850.00,22950.00,22100.00,22150.00,394541
17-Nov-16,22950.00,23200.00,22600.00,22750.00,415323
16-Nov-16,23250.00,23300.00,22850.00,23000.00,326531
15-Nov-16,23150.00,23250.00,23000.00,23150.00,211664
14-Nov-16,22950.00,23150.00,22900.00,23150.00,202156
11-Nov-16,23000.00,23250.00,22850.00,22900.00,188787
10-Nov-16,22900.00,23250.00,22800.00,23000.00,376423
9-Nov-16,22950.00,23200.00,21800.00,22600.00,416846
8-Nov-16,23000.00,23100.00,22800.00,23050.00,183639
7-Nov-16,23050.00,23050.00,22500.00,22800.00,194500
4-Nov-16,21700.00,22950.00,21700.00,22800.00,417276
3-Nov-16,21650.00,22050.00,21600.00,21750.00,216673
2-Nov-16,22500.00,22500.00,21750.00,21800.00,413209
1-Nov-16,22650.00,22700.00,22400.00,22500.00,175939
31-Oct-16,22550.00,22700.00,22500.00,22650.00,202419
28-Oct-16,23050.00,23050.00,22550.00,22600.00,166860
27-Oct-16,22700.00,23000.00,22700.00,23000.00,188906
26-Oct-16,23100.00,23200.00,22650.00,22800.00,343982
25-Oct-16,23300.00,23400.00,23050.00,23200.00,170050
24-Oct-16,23050.00,23300.00,22950.00,23300.00,187863
21-Oct-16,23250.00,23250.00,22900.00,23050.00,173903
20-Oct-16,23050.00,23250.00,22950.00,23250.00,173752
19-Oct-16,23350.00,23400.00,22950.00,23000.00,228490
18-Oct-16,23100.00,23350.00,23000.00,23300.00,124913
17-Oct-16,23400.00,23550.00,23050.00,23050.00,262269
14-Oct-16,22850.00,23250.00,22800.00,23250.00,269828
13-Oct-16,23150.00,23300.00,22750.00,22750.00,235735
12-Oct-16,23050.00,23350.00,22900.00,23300.00,231969
11-Oct-16,23050.00,23250.00,22850.00,23050.00,215183
10-Oct-16,22700.00,23250.00,22650.00,22800.00,324193
7-Oct-16,22750.00,22750.00,22550.00,22600.00,203840
6-Oct-16,22900.00,22950.00,22650.00,22750.00,247557
5-Oct-16,22850.00,22950.00,22700.00,22900.00,121925
4-Oct-16,22900.00,23000.00,22850.00,23000.00,108282
30-Sep-16,22950.00,23100.00,22750.00,22750.00,193364
29-Sep-16,23150.00,23300.00,23000.00,23050.00,149016
28-Sep-16,23350.00,23350.00,22950.00,22950.00,116656
27-Sep-16,23250.00,23400.00,22900.00,23300.00,177973
26-Sep-16,23400.00,23550.00,23000.00,23350.00,244310
23-Sep-16,23550.00,23600.00,23300.00,23550.00,164668
22-Sep-16,23350.00,23700.00,23300.00,23350.00,250041
21-Sep-16,23000.00,23150.00,22750.00,23000.00,131659
20-Sep-16,22650.00,23050.00,22600.00,23050.00,203164
19-Sep-16,22800.00,22950.00,22550.00,22750.00,205745
13-Sep-16,23100.00,23200.00,22750.00,23100.00,383138
12-Sep-16,22800.00,23250.00,22800.00,22800.00,215075
9-Sep-16,23350.00,23450.00,23150.00,23350.00,187865
8-Sep-16,23550.00,23750.00,23350.00,23350.00,298576
7-Sep-16,23650.00,23900.00,23500.00,23550.00,240904
6-Sep-16,23600.00,23650.00,23350.00,23600.00,226465
5-Sep-16,23350.00,23600.00,23300.00,23500.00,247509
2-Sep-16,23350.00,23350.00,23050.00,23150.00,263085
1-Sep-16,23450.00,23600.00,23200.00,23350.00,242106
31-Aug-16,23500.00,23550.00,23250.00,23550.00,299679
30-Aug-16,23550.00,23850.00,23450.00,23650.00,217160
29-Aug-16,23550.00,23800.00,23250.00,23350.00,319633
26-Aug-16,24050.00,24100.00,23600.00,23800.00,205820
25-Aug-16,24050.00,24300.00,23900.00,24100.00,230374
24-Aug-16,24050.00,24200.00,23600.00,23900.00,315936
23-Aug-16,24100.00,24500.00,23950.00,23950.00,215358
22-Aug-16,24550.00,24550.00,23950.00,24050.00,405340
19-Aug-16,25050.00,25200.00,24550.00,24600.00,327895
18-Aug-16,25000.00,25450.00,24850.00,25050.00,300195
17-Aug-16,25550.00,25600.00,25000.00,25200.00,364635
16-Aug-16,25850.00,26350.00,25800.00,25850.00,345847
12-Aug-16,25350.00,26250.00,25300.00,25650.00,600871
11-Aug-16,25700.00,25950.00,24950.00,25050.00,421560
10-Aug-16,25950.00,26150.00,25650.00,25750.00,256312
9-Aug-16,25850.00,26100.00,25450.00,26000.00,383477
8-Aug-16,26300.00,26450.00,25850.00,26100.00,298382
5-Aug-16,25600.00,26200.00,25550.00,26000.00,369888
4-Aug-16,25500.00,25850.00,25250.00,25600.00,274376
3-Aug-16,25350.00,25600.00,25050.00,25300.00,365606
2-Aug-16,26400.00,26500.00,25600.00,25750.00,565448
1-Aug-16,26750.00,26900.00,26150.00,26650.00,512682
29-Jul-16,26200.00,27150.00,26150.00,26550.00,592492
28-Jul-16,27100.00,27200.00,26250.00,26300.00,602477
27-Jul-16,26700.00,27250.00,26550.00,27050.00,635009
26-Jul-16,26300.00,26650.00,26000.00,26600.00,441110
25-Jul-16,26150.00,26600.00,25900.00,26500.00,633645
22-Jul-16,24750.00,25900.00,24700.00,25850.00,638715
21-Jul-16,25050.00,25150.00,24750.00,25000.00,269306
20-Jul-16,24500.00,25200.00,24450.00,24900.00,370514
19-Jul-16,25150.00,25150.00,24350.00,24600.00,327683
18-Jul-16,24700.00,25000.00,24600.00,24900.00,348907
15-Jul-16,24950.00,25450.00,24500.00,24550.00,739633
14-Jul-16,24300.00,24700.00,24100.00,24500.00,373375
13-Jul-16,24300.00,24650.00,24000.00,24200.00,451434
12-Jul-16,24100.00,24250.00,23650.00,23750.00,242953
11-Jul-16,23400.00,24000.00,23400.00,23950.00,438889
8-Jul-16,23350.00,23350.00,22900.00,23000.00,170344
7-Jul-16,23250.00,23450.00,23100.00,23350.00,194175
6-Jul-16,23500.00,23600.00,22900.00,23050.00,345328
5-Jul-16,23650.00,23750.00,23350.00,23700.00,236443
4-Jul-16,23700.00,23950.00,23450.00,23650.00,217286
1-Jul-16,23250.00,23850.00,23200.00,23600.00,517732
30-Jun-16,23500.00,23500.00,22850.00,23050.00,308951
29-Jun-16,23100.00,23350.00,22700.00,23050.00,448877
28-Jun-16,22300.00,22800.00,22200.00,22750.00,345126
27-Jun-16,22350.00,22800.00,22050.00,22650.00,691733
24-Jun-16,24950.00,25100.00,22250.00,22800.00,1495654
23-Jun-16,23750.00,24750.00,23700.00,24550.00,492545
22-Jun-16,23350.00,24250.00,23350.00,24100.00,395328
21-Jun-16,23600.00,23600.00,23300.00,23500.00,254490
20-Jun-16,23100.00,23700.00,23050.00,23600.00,295428
17-Jun-16,23300.00,23400.00,22650.00,22750.00,314685
