Date,Open,High,Low,Close,Volume
31-Mar-17,3860.00,3935.00,3830.00,3925.00,263635
30-Mar-17,3965.00,3975.00,3855.00,3880.00,507123
29-Mar-17,4015.00,4030.00,3950.00,3960.00,276041
28-Mar-17,3935.00,4025.00,3935.00,4020.00,286632
27-Mar-17,4010.00,4010.00,3925.00,3945.00,286567
24-Mar-17,3930.00,4015.00,3910.00,4010.00,219367
23-Mar-17,3965.00,3980.00,3875.00,3910.00,547199
22-Mar-17,4040.00,4050.00,3950.00,3960.00,517438
21-Mar-17,4160.00,4165.00,4055.00,4060.00,319316
20-Mar-17,4220.00,4220.00,4120.00,4160.00,239534
17-Mar-17,4100.00,4225.00,4100.00,4215.00,417366
16-Mar-17,4080.00,4175.00,4075.00,4110.00,353907
15-Mar-17,4105.00,4155.00,4020.00,4045.00,535540
14-Mar-17,4245.00,4245.00,4090.00,4110.00,699413
13-Mar-17,4190.00,4275.00,4175.00,4235.00,336837
10-Mar-17,4230.00,4240.00,4115.00,4160.00,424386
9-Mar-17,4210.00,4270.00,4160.00,4220.00,297767
8-Mar-17,4360.00,4375.00,4245.00,4250.00,556452
7-Mar-17,4195.00,4380.00,4140.00,4370.00,642744
6-Mar-17,4245.00,4245.00,4120.00,4160.00,549732
3-Mar-17,4360.00,4360.00,4155.00,4255.00,593906
2-Mar-17,4510.00,4510.00,4355.00,4365.00,623453
28-Feb-17,4555.00,4560.00,4435.00,4475.00,583479
27-Feb-17,4610.00,4680.00,4475.00,4555.00,1547809
24-Feb-17,4215.00,4545.00,4215.00,4520.00,2168019
23-Feb-17,4310.00,4355.00,4205.00,4240.00,384981
22-Feb-17,4360.00,4365.00,4270.00,4305.00,360163
21-Feb-17,4180.00,4460.00,4170.00,4345.00,1218427
20-Feb-17,4240.00,4270.00,4050.00,4160.00,644908
17-Feb-17,4245.00,4360.00,4235.00,4265.00,350640
16-Feb-17,4460.00,4465.00,4270.00,4280.00,662112
15-Feb-17,4220.00,4470.00,4215.00,4415.00,1428894
14-Feb-17,4290.00,4295.00,4170.00,4210.00,308142
13-Feb-17,4230.00,4285.00,4100.00,4265.00,411227
10-Feb-17,4175.00,4300.00,4140.00,4265.00,772122
9-Feb-17,4070.00,4225.00,4060.00,4165.00,544368
8-Feb-17,4195.00,4195.00,4065.00,4065.00,627847
7-Feb-17,3910.00,4215.00,3910.00,4175.00,1430339
6-Feb-17,3840.00,3920.00,3830.00,3910.00,445521
3-Feb-17,3780.00,3865.00,3780.00,3825.00,447165
2-Feb-17,3835.00,3835.00,3765.00,3780.00,482780
1-Feb-17,3835.00,3850.00,3780.00,3835.00,478874
31-Jan-17,3855.00,3855.00,3790.00,3835.00,239133
26-Jan-17,3810.00,3870.00,3765.00,3850.00,358241
25-Jan-17,3880.00,3945.00,3735.00,3805.00,769434
24-Jan-17,3920.00,3960.00,3865.00,3880.00,375906
23-Jan-17,4030.00,4045.00,3920.00,3930.00,518971
20-Jan-17,4055.00,4095.00,4015.00,4035.00,220450
19-Jan-17,4075.00,4130.00,4060.00,4060.00,295590
18-Jan-17,4105.00,4145.00,4060.00,4080.00,349744
17-Jan-17,4170.00,4185.00,4120.00,4130.00,278479
16-Jan-17,4235.00,4240.00,4120.00,4130.00,421078
13-Jan-17,4255.00,4295.00,4190.00,4220.00,393278
12-Jan-17,4200.00,4275.00,4200.00,4270.00,380238
11-Jan-17,4245.00,4260.00,4180.00,4210.00,578676
10-Jan-17,4310.00,4310.00,4220.00,4280.00,455812
9-Jan-17,4435.00,4450.00,4310.00,4315.00,673191
6-Jan-17,4535.00,4535.00,4420.00,4435.00,506527
5-Jan-17,4450.00,4610.00,4450.00,4535.00,372503
4-Jan-17,4440.00,4490.00,4420.00,4465.00,338624
3-Jan-17,4520.00,4545.00,4405.00,4420.00,669273
2-Jan-17,4660.00,4660.00,4520.00,4530.00,237633
29-Dec-16,4660.00,4720.00,4645.00,4660.00,257989
28-Dec-16,4600.00,4700.00,4590.00,4670.00,214970
27-Dec-16,4520.00,4665.00,4520.00,4640.00,348121
26-Dec-16,4560.00,4580.00,4450.00,4540.00,421453
23-Dec-16,4570.00,4640.00,4535.00,4565.00,257873
22-Dec-16,4635.00,4655.00,4535.00,4575.00,344525
21-Dec-16,4675.00,4685.00,4640.00,4655.00,145117
20-Dec-16,4725.00,4755.00,4655.00,4690.00,193552
19-Dec-16,4690.00,4735.00,4635.00,4725.00,219908
16-Dec-16,4855.00,4855.00,4675.00,4705.00,513470
15-Dec-16,4750.00,4845.00,4700.00,4830.00,267505
14-Dec-16,4825.00,4915.00,4765.00,4795.00,408814
13-Dec-16,4750.00,4895.00,4720.00,4820.00,494084
12-Dec-16,4480.00,4805.00,4470.00,4780.00,795284
9-Dec-16,4490.00,4575.00,4410.00,4465.00,294835
8-Dec-16,4395.00,4490.00,4350.00,4490.00,330092
7-Dec-16,4340.00,4370.00,4295.00,4370.00,324398
6-Dec-16,4330.00,4380.00,4280.00,4335.00,462165
5-Dec-16,4415.00,4455.00,4265.00,4280.00,493265
2-Dec-16,4390.00,4490.00,4355.00,4455.00,324593
1-Dec-16,4435.00,4435.00,4310.00,4415.00,239510
30-Nov-16,4490.00,4525.00,4355.00,4435.00,378608
29-Nov-16,4320.00,4495.00,4320.00,4490.00,548269
28-Nov-16,4310.00,4370.00,4215.00,4335.00,493213
25-Nov-16,4335.00,4390.00,4135.00,4345.00,1302342
24-Nov-16,4555.00,4585.00,4355.00,4370.00,676984
23-Nov-16,4700.00,4760.00,4545.00,4555.00,615810
22-Nov-16,4845.00,4895.00,4685.00,4740.00,471843
21-Nov-16,4940.00,4965.00,4825.00,4850.00,283360
18-Nov-16,5080.00,5090.00,4890.00,4940.00,364235
17-Nov-16,5170.00,5170.00,5040.00,5100.00,310007
16-Nov-16,5190.00,5220.00,5070.00,5170.00,556582
15-Nov-16,5100.00,5120.00,4955.00,5120.00,692591
14-Nov-16,4645.00,5090.00,4645.00,5080.00,1033020
11-Nov-16,4645.00,4685.00,4545.00,4685.00,338717
10-Nov-16,4550.00,4700.00,4525.00,4675.00,420529
9-Nov-16,4770.00,4810.00,4305.00,4475.00,1183445
8-Nov-16,4950.00,4950.00,4755.00,4790.00,319095
7-Nov-16,4845.00,4845.00,4740.00,4820.00,215988
4-Nov-16,4745.00,4785.00,4645.00,4700.00,322931
3-Nov-16,4645.00,4815.00,4645.00,4780.00,319768
2-Nov-16,4970.00,4970.00,4710.00,4730.00,490585
1-Nov-16,4875.00,5090.00,4840.00,4930.00,439503
31-Oct-16,5030.00,5080.00,4900.00,4930.00,520827
28-Oct-16,5300.00,5320.00,5100.00,5110.00,710414
27-Oct-16,5060.00,5340.00,4980.00,5340.00,931493
26-Oct-16,4975.00,5200.00,4900.00,5010.00,479470
25-Oct-16,5190.00,5190.00,4995.00,5050.00,436658
24-Oct-16,4880.00,5140.00,4880.00,5140.00,720809
21-Oct-16,4790.00,4900.00,4770.00,4860.00,305653
20-Oct-16,4860.00,4875.00,4780.00,4815.00,327381
19-Oct-16,4920.00,4965.00,4850.00,4885.00,331131
18-Oct-16,4790.00,4970.00,4790.00,4970.00,379093
17-Oct-16,5080.00,5090.00,4830.00,4855.00,682024
14-Oct-16,5080.00,5200.00,5040.00,5080.00,417167
13-Oct-16,5210.00,5230.00,5050.00,5050.00,358485
12-Oct-16,5240.00,5310.00,5130.00,5230.00,298122
11-Oct-16,5280.00,5380.00,5200.00,5230.00,299815
10-Oct-16,5220.00,5350.00,5220.00,5300.00,427629
7-Oct-16,5370.00,5430.00,5220.00,5240.00,670218
6-Oct-16,5430.00,5490.00,5360.00,5400.00,466053
5-Oct-16,5540.00,5570.00,5360.00,5430.00,542284
4-Oct-16,5300.00,5580.00,5200.00,5530.00,765383
30-Sep-16,5470.00,5480.00,5260.00,5340.00,1054891
29-Sep-16,5580.00,5580.00,5400.00,5540.00,1263190
28-Sep-16,5180.00,5590.00,5150.00,5510.00,2733693
27-Sep-16,4905.00,5190.00,4905.00,5140.00,1575822
26-Sep-16,4895.00,4980.00,4850.00,4910.00,433888
23-Sep-16,4930.00,4945.00,4805.00,4835.00,580035
22-Sep-16,5010.00,5010.00,4860.00,4900.00,644792
21-Sep-16,4780.00,5020.00,4740.00,4965.00,1003631
20-Sep-16,4790.00,4810.00,4740.00,4755.00,410605
19-Sep-16,4800.00,4820.00,4690.00,4765.00,355347
13-Sep-16,4665.00,4795.00,4665.00,4780.00,548464
12-Sep-16,4750.00,4800.00,4615.00,4625.00,768219
9-Sep-16,4705.00,4855.00,4655.00,4840.00,754534
