Date,Open,High,Low,Close,Volume
31-Mar-17,20900.00,21350.00,20750.00,21350.00,155034
30-Mar-17,21050.00,21200.00,20950.00,21100.00,50984
29-Mar-17,21350.00,21450.00,20950.00,21000.00,125036
28-Mar-17,21200.00,21500.00,21150.00,21450.00,90000
27-Mar-17,20750.00,21700.00,20750.00,21200.00,91890
24-Mar-17,21100.00,21150.00,20750.00,20800.00,88314
23-Mar-17,21150.00,21200.00,20950.00,21100.00,43084
22-Mar-17,21100.00,21400.00,21100.00,21150.00,52052
21-Mar-17,21450.00,21450.00,21100.00,21100.00,66599
20-Mar-17,21350.00,21500.00,21100.00,21200.00,56495
17-Mar-17,21350.00,21550.00,21150.00,21550.00,87764
16-Mar-17,20950.00,21400.00,20950.00,21200.00,92272
15-Mar-17,21650.00,21700.00,20950.00,21000.00,133916
14-Mar-17,22000.00,22350.00,21650.00,21650.00,102730
13-Mar-17,22300.00,22450.00,22050.00,22050.00,68763
10-Mar-17,22450.00,22600.00,21950.00,22300.00,88029
9-Mar-17,22350.00,22650.00,22300.00,22550.00,73813
8-Mar-17,22500.00,22550.00,22350.00,22400.00,51982
7-Mar-17,22500.00,22700.00,22400.00,22550.00,49352
6-Mar-17,22550.00,23000.00,22450.00,22500.00,58733
3-Mar-17,23000.00,23250.00,22700.00,22800.00,48822
2-Mar-17,23850.00,23850.00,23000.00,23000.00,82406
28-Feb-17,23800.00,23900.00,23400.00,23500.00,59541
27-Feb-17,23600.00,23850.00,23500.00,23750.00,55668
24-Feb-17,23350.00,23650.00,22950.00,23500.00,76253
23-Feb-17,23050.00,23450.00,22900.00,22900.00,65229
22-Feb-17,23150.00,23400.00,22950.00,23050.00,49754
21-Feb-17,23100.00,23400.00,23100.00,23200.00,55731
20-Feb-17,23350.00,23500.00,23150.00,23150.00,42549
17-Feb-17,23550.00,23800.00,23300.00,23350.00,40636
16-Feb-17,24150.00,24200.00,23450.00,23550.00,87816
15-Feb-17,22800.00,24250.00,22750.00,24050.00,175571
14-Feb-17,22950.00,22950.00,22500.00,22800.00,46216
13-Feb-17,22550.00,23000.00,22550.00,22900.00,74835
10-Feb-17,22150.00,22550.00,22100.00,22500.00,69976
9-Feb-17,22250.00,22300.00,21950.00,22000.00,68254
8-Feb-17,22400.00,22400.00,22050.00,22200.00,47504
7-Feb-17,22450.00,22550.00,22150.00,22350.00,50504
6-Feb-17,22250.00,22400.00,22000.00,22350.00,67522
3-Feb-17,22250.00,22650.00,21900.00,21900.00,118229
2-Feb-17,22350.00,22650.00,22300.00,22300.00,78690
1-Feb-17,22500.00,22700.00,22200.00,22550.00,81664
