Date,Open,High,Low,Close,Volume
31-Mar-17,33800.00,33950.00,33650.00,33650.00,223816
30-Mar-17,33950.00,34050.00,33650.00,33750.00,182153
29-Mar-17,34300.00,34400.00,33550.00,33850.00,290944
28-Mar-17,34050.00,34250.00,33850.00,34000.00,184585
27-Mar-17,34050.00,34200.00,33500.00,33850.00,442333
24-Mar-17,34200.00,34750.00,34150.00,34500.00,311131
23-Mar-17,34300.00,34750.00,34200.00,34250.00,235898
22-Mar-17,34400.00,34650.00,34100.00,34200.00,336289
21-Mar-17,34800.00,35350.00,34450.00,35000.00,395645
20-Mar-17,34850.00,35100.00,34400.00,34500.00,315944
17-Mar-17,34950.00,35400.00,34700.00,34950.00,746460
16-Mar-17,34100.00,35100.00,34050.00,34850.00,928496
15-Mar-17,33600.00,33900.00,33300.00,33700.00,441911
14-Mar-17,33450.00,33850.00,33400.00,33550.00,394594
13-Mar-17,32950.00,33400.00,32700.00,33200.00,284220
10-Mar-17,32300.00,32850.00,32250.00,32650.00,285716
9-Mar-17,32400.00,32800.00,32300.00,32300.00,268951
8-Mar-17,32400.00,32600.00,32300.00,32400.00,203122
7-Mar-17,32450.00,32700.00,32250.00,32500.00,286491
6-Mar-17,32700.00,32750.00,32050.00,32250.00,313508
3-Mar-17,33250.00,33300.00,32650.00,32700.00,415047
2-Mar-17,33500.00,34250.00,33500.00,33500.00,681345
28-Feb-17,33200.00,33450.00,32850.00,33150.00,344941
27-Feb-17,33700.00,33700.00,33200.00,33200.00,161850
24-Feb-17,33950.00,34100.00,33350.00,33600.00,183705
23-Feb-17,34000.00,34150.00,33800.00,33900.00,284533
22-Feb-17,33450.00,34000.00,33150.00,33900.00,480450
21-Feb-17,32650.00,33550.00,32650.00,33450.00,418648
20-Feb-17,33500.00,33500.00,32600.00,32650.00,260198
17-Feb-17,32850.00,33500.00,32550.00,33500.00,321992
16-Feb-17,33800.00,33850.00,33050.00,33250.00,157477
15-Feb-17,33550.00,33900.00,33250.00,33600.00,206848
14-Feb-17,33800.00,33950.00,33450.00,33750.00,130130
13-Feb-17,33900.00,33950.00,33550.00,33800.00,169609
