Date,Open,High,Low,Close,Volume
31-Mar-17,123500.00,125000.00,123000.00,123500.00,7192
30-Mar-17,123000.00,124500.00,121000.00,124500.00,6418
29-Mar-17,124000.00,124000.00,121000.00,122500.00,6892
28-Mar-17,123500.00,127500.00,123000.00,124500.00,12904
27-Mar-17,123000.00,125500.00,121000.00,125000.00,11442
24-Mar-17,117000.00,123000.00,116500.00,122500.00,24391
23-Mar-17,115000.00,117500.00,113000.00,116500.00,11173
22-Mar-17,118500.00,119000.00,113500.00,113500.00,21372
21-Mar-17,117000.00,119000.00,115000.00,117500.00,11890
20-Mar-17,119500.00,119500.00,116500.00,117500.00,9998
17-Mar-17,119000.00,120000.00,117000.00,119000.00,13321
16-Mar-17,117500.00,119000.00,115000.00,118000.00,15790
15-Mar-17,114500.00,116500.00,113000.00,114500.00,13672
14-Mar-17,115000.00,116000.00,113500.00,114500.00,12997
13-Mar-17,114500.00,117500.00,114500.00,115500.00,15257
10-Mar-17,113500.00,117000.00,112500.00,116000.00,19807
9-Mar-17,113500.00,115500.00,112500.00,114000.00,17466
8-Mar-17,111000.00,114000.00,109500.00,113500.00,16470
7-Mar-17,107500.00,112000.00,106000.00,111500.00,15817
6-Mar-17,109000.00,111500.00,107000.00,107000.00,23987
3-Mar-17,113500.00,114000.00,110500.00,111000.00,16695
2-Mar-17,113000.00,114500.00,111500.00,113500.00,26476
28-Feb-17,112500.00,114000.00,110000.00,112500.00,23928
27-Feb-17,109500.00,112000.00,109000.00,112000.00,15475
24-Feb-17,106500.00,109500.00,106000.00,109000.00,11101
23-Feb-17,105000.00,107500.00,104500.00,106500.00,15838
22-Feb-17,104000.00,106000.00,104000.00,104000.00,10754
21-Feb-17,104500.00,105500.00,104000.00,104000.00,10158
20-Feb-17,106000.00,107000.00,103500.00,104500.00,12350
17-Feb-17,107500.00,108000.00,106000.00,106500.00,5807
16-Feb-17,110000.00,110000.00,107500.00,107500.00,6165
15-Feb-17,108000.00,109500.00,108000.00,109000.00,5635
14-Feb-17,109000.00,109500.00,107500.00,109000.00,7131
13-Feb-17,108000.00,110000.00,107000.00,107500.00,8774
10-Feb-17,107500.00,110000.00,107000.00,108000.00,8251
9-Feb-17,106000.00,107000.00,105500.00,106500.00,7224
8-Feb-17,107000.00,108000.00,106000.00,106000.00,6530
7-Feb-17,109500.00,110500.00,106500.00,108000.00,10381
6-Feb-17,107500.00,110500.00,105500.00,109000.00,14447
3-Feb-17,105500.00,107500.00,105000.00,106000.00,9706
2-Feb-17,104500.00,106000.00,104000.00,105500.00,6824
1-Feb-17,102500.00,106000.00,102500.00,105000.00,9633
31-Jan-17,101500.00,104000.00,100000.00,102500.00,10740
26-Jan-17,105500.00,105500.00,101500.00,102000.00,14690
25-Jan-17,106500.00,106500.00,103500.00,104500.00,10065
24-Jan-17,105500.00,105500.00,103500.00,105500.00,9633
23-Jan-17,107000.00,108500.00,105000.00,105000.00,14200
20-Jan-17,107500.00,108000.00,106500.00,108000.00,5847
19-Jan-17,106500.00,108000.00,106000.00,106500.00,10460
18-Jan-17,108500.00,109000.00,106000.00,107000.00,10203
17-Jan-17,108500.00,109500.00,107500.00,108500.00,5182
16-Jan-17,109000.00,109500.00,107500.00,108000.00,9787
13-Jan-17,108500.00,109500.00,107500.00,109000.00,8835
12-Jan-17,107000.00,108500.00,106500.00,108500.00,10015
11-Jan-17,109000.00,109500.00,107500.00,107500.00,10002
10-Jan-17,113000.00,113000.00,108000.00,108000.00,36399
9-Jan-17,114500.00,114500.00,112000.00,113000.00,10230
6-Jan-17,115000.00,117500.00,114000.00,114500.00,12736
5-Jan-17,114500.00,118000.00,114500.00,116000.00,9800
4-Jan-17,116000.00,116500.00,114000.00,115000.00,15542
3-Jan-17,118500.00,118500.00,116000.00,116500.00,10438
2-Jan-17,119500.00,120000.00,117500.00,118500.00,5259
29-Dec-16,121000.00,121500.00,119000.00,119500.00,11181
28-Dec-16,121500.00,123000.00,121000.00,121500.00,9301
27-Dec-16,122500.00,124000.00,122000.00,123500.00,9008
