Date,Open,High,Low,Close,Volume
14-Apr-16,81.00,97.00,70.00,90.00,18009794
12-Apr-16,131.00,131.00,91.00,100.00,25675249
11-Apr-16,246.00,266.00,156.00,167.00,16815872
8-Apr-16,370.00,370.00,270.00,301.00,8645592
7-Apr-16,343.00,405.00,330.00,370.00,8505396
6-Apr-16,325.00,385.00,325.00,381.00,15143246
5-Apr-16,498.00,498.00,296.00,296.00,28105871
28-Jan-16,990.00,990.00,941.00,972.00,2072927
27-Jan-16,1005.00,1040.00,1000.00,1000.00,788347
26-Jan-16,1020.00,1045.00,1005.00,1005.00,476207
25-Jan-16,1030.00,1050.00,1020.00,1035.00,578537
22-Jan-16,1030.00,1085.00,1015.00,1030.00,768794
21-Jan-16,1050.00,1060.00,1000.00,1025.00,968717
20-Jan-16,1155.00,1155.00,1070.00,1085.00,519457
19-Jan-16,1160.00,1175.00,1140.00,1145.00,252807
18-Jan-16,1170.00,1215.00,1160.00,1175.00,248959
15-Jan-16,1200.00,1225.00,1150.00,1165.00,230454
14-Jan-16,1200.00,1225.00,1175.00,1200.00,244330
13-Jan-16,1175.00,1425.00,1155.00,1215.00,1907080
12-Jan-16,1170.00,1195.00,1100.00,1195.00,919496
11-Jan-16,1230.00,1240.00,1145.00,1160.00,376314
8-Jan-16,1225.00,1250.00,1220.00,1230.00,249230
7-Jan-16,1270.00,1300.00,1250.00,1260.00,158482
6-Jan-16,1285.00,1295.00,1250.00,1270.00,174372
5-Jan-16,1250.00,1275.00,1245.00,1265.00,232814
4-Jan-16,1310.00,1335.00,1275.00,1275.00,141425
30-Dec-15,1310.00,1325.00,1300.00,1300.00,170929
29-Dec-15,1335.00,1335.00,1295.00,1310.00,183492
28-Dec-15,1360.00,1360.00,1330.00,1330.00,142881
24-Dec-15,1345.00,1385.00,1345.00,1360.00,117449
23-Dec-15,1335.00,1400.00,1255.00,1360.00,504161
22-Dec-15,1420.00,1420.00,1325.00,1335.00,378892
21-Dec-15,1410.00,1415.00,1390.00,1405.00,184219
18-Dec-15,1375.00,1420.00,1355.00,1410.00,291196
17-Dec-15,1405.00,1435.00,1390.00,1390.00,175861
16-Dec-15,1410.00,1445.00,1400.00,1405.00,220565
15-Dec-15,1350.00,1410.00,1345.00,1410.00,208559
14-Dec-15,1390.00,1440.00,1370.00,1375.00,206369
11-Dec-15,1420.00,1445.00,1405.00,1425.00,177193
10-Dec-15,1425.00,1450.00,1385.00,1420.00,609399
9-Dec-15,1540.00,1540.00,1400.00,1430.00,654207
8-Dec-15,1560.00,1565.00,1465.00,1490.00,604136
7-Dec-15,1635.00,1655.00,1580.00,1585.00,293800
4-Dec-15,1610.00,1665.00,1610.00,1640.00,196148
3-Dec-15,1635.00,1670.00,1605.00,1640.00,311113
2-Dec-15,1715.00,1725.00,1635.00,1635.00,469328
1-Dec-15,1650.00,1735.00,1645.00,1715.00,391143
30-Nov-15,1685.00,1690.00,1645.00,1650.00,499926
27-Nov-15,1745.00,1775.00,1660.00,1690.00,1009201
26-Nov-15,1755.00,1795.00,1715.00,1745.00,659153
25-Nov-15,1840.00,1855.00,1730.00,1780.00,1421998
24-Nov-15,1895.00,1915.00,1805.00,1820.00,2352525
