Date,Open,High,Low,Close,Volume
2-May-13,198.00,356.00,198.00,278.00,16306040
30-Apr-13,210.00,210.00,172.00,178.00,9197580
29-Apr-13,269.00,281.00,243.00,243.00,6126410
26-Apr-13,290.00,290.00,248.00,280.00,6867090
25-Apr-13,314.00,340.00,254.00,254.00,10827580
24-Apr-13,321.00,425.00,307.00,310.00,21392560
23-Apr-13,192.00,263.00,165.00,230.00,31114570
21-Mar-13,-,-,-,1335.00,0
20-Mar-13,1520.00,1590.00,1305.00,1335.00,20918470
19-Mar-13,1530.00,1600.00,1505.00,1505.00,38761660
18-Mar-13,1770.00,1770.00,1770.00,1770.00,318010
15-Mar-13,2080.00,2080.00,2080.00,2080.00,372050
14-Mar-13,2470.00,2475.00,2425.00,2445.00,1274240
13-Mar-13,2445.00,2510.00,2410.00,2460.00,1500500
12-Mar-13,2510.00,2535.00,2430.00,2455.00,2082040
11-Mar-13,2550.00,2595.00,2465.00,2505.00,1274110
8-Mar-13,2545.00,2590.00,2505.00,2570.00,947900
7-Mar-13,2615.00,2615.00,2465.00,2520.00,2421510
6-Mar-13,2575.00,2830.00,2570.00,2665.00,6267000
5-Mar-13,2425.00,2520.00,2400.00,2520.00,1360850
4-Mar-13,2590.00,2635.00,2375.00,2435.00,2869790
28-Feb-13,2625.00,2625.00,2565.00,2585.00,1365360
27-Feb-13,2580.00,2675.00,2490.00,2585.00,3043150
26-Feb-13,2480.00,2550.00,2475.00,2545.00,1007580
25-Feb-13,2660.00,2660.00,2485.00,2545.00,1253020
22-Feb-13,2510.00,2615.00,2510.00,2615.00,864490
21-Feb-13,2620.00,2640.00,2545.00,2550.00,978860
20-Feb-13,2660.00,2675.00,2605.00,2640.00,1081730
19-Feb-13,2575.00,2675.00,2560.00,2640.00,1348150
18-Feb-13,2570.00,2585.00,2500.00,2585.00,882920
15-Feb-13,2530.00,2565.00,2515.00,2560.00,1168860
14-Feb-13,2455.00,2530.00,2430.00,2510.00,1032770
13-Feb-13,2440.00,2475.00,2405.00,2455.00,800430
12-Feb-13,2500.00,2500.00,2390.00,2440.00,845590
8-Feb-13,2430.00,2505.00,2380.00,2450.00,1658260
7-Feb-13,2370.00,2410.00,2350.00,2380.00,1010000
6-Feb-13,2310.00,2415.00,2300.00,2355.00,1466710
5-Feb-13,2425.00,2430.00,2300.00,2310.00,2000930
4-Feb-13,2440.00,2490.00,2355.00,2440.00,1971860
1-Feb-13,2740.00,2750.00,2380.00,2500.00,5002880
31-Jan-13,2760.00,2785.00,2710.00,2750.00,942800
30-Jan-13,2800.00,2835.00,2755.00,2760.00,1142680
29-Jan-13,2750.00,2820.00,2750.00,2800.00,1010100
28-Jan-13,2830.00,2850.00,2750.00,2785.00,1084960
25-Jan-13,2875.00,2895.00,2820.00,2850.00,982790
24-Jan-13,2935.00,2970.00,2835.00,2865.00,1854440
23-Jan-13,2800.00,3115.00,2730.00,2920.00,8770750
22-Jan-13,2930.00,2930.00,2800.00,2835.00,1715520
21-Jan-13,2910.00,2930.00,2850.00,2915.00,1446060
18-Jan-13,2885.00,2945.00,2810.00,2885.00,1883490
17-Jan-13,2975.00,3000.00,2860.00,2870.00,4085140
16-Jan-13,2820.00,3025.00,2800.00,2880.00,7149600
15-Jan-13,2770.00,2825.00,2715.00,2775.00,2004970
14-Jan-13,2800.00,2870.00,2735.00,2745.00,2688920
11-Jan-13,2800.00,3070.00,2640.00,2835.00,7935880
10-Jan-13,2695.00,2835.00,2680.00,2795.00,4424120
9-Jan-13,2895.00,2925.00,2780.00,2815.00,3975790
8-Jan-13,2720.00,3025.00,2720.00,2875.00,11122210
7-Jan-13,2670.00,2760.00,2490.00,2670.00,7399940
4-Jan-13,2440.00,2705.00,2435.00,2670.00,17559860
3-Jan-13,2440.00,2630.00,2440.00,2455.00,24038010
2-Jan-13,2865.00,2865.00,2865.00,2865.00,295040
28-Dec-12,3365.00,3405.00,3345.00,3365.00,1131330
27-Dec-12,3325.00,3410.00,3310.00,3365.00,1216400
26-Dec-12,3385.00,3445.00,3330.00,3350.00,1979340
24-Dec-12,3465.00,3500.00,3315.00,3410.00,2727420
21-Dec-12,3590.00,3755.00,3525.00,3600.00,2929060
20-Dec-12,3625.00,3660.00,3520.00,3560.00,2098040
18-Dec-12,3835.00,3840.00,3680.00,3690.00,2009280
17-Dec-12,3750.00,3900.00,3720.00,3800.00,3085470
14-Dec-12,3455.00,3940.00,3420.00,3870.00,10284180
13-Dec-12,3430.00,3475.00,3395.00,3430.00,878500
12-Dec-12,3350.00,3440.00,3325.00,3425.00,789780
11-Dec-12,3370.00,3460.00,3315.00,3360.00,976900
10-Dec-12,3420.00,3460.00,3350.00,3370.00,629450
7-Dec-12,3310.00,3740.00,3210.00,3440.00,2483260
6-Dec-12,3415.00,3450.00,3300.00,3310.00,902010
5-Dec-12,3560.00,3610.00,3395.00,3445.00,1317300
4-Dec-12,3385.00,3590.00,3370.00,3550.00,1895080
3-Dec-12,3500.00,3545.00,3385.00,3385.00,1095590
30-Nov-12,3540.00,3540.00,3400.00,3425.00,581620
29-Nov-12,3295.00,3570.00,3255.00,3490.00,1204490
28-Nov-12,3300.00,3300.00,3230.00,3270.00,474500
27-Nov-12,3210.00,3335.00,3210.00,3295.00,580900
26-Nov-12,3370.00,3370.00,3200.00,3270.00,794130
23-Nov-12,3395.00,3410.00,3335.00,3340.00,474830
22-Nov-12,3390.00,3450.00,3330.00,3395.00,309790
21-Nov-12,3460.00,3500.00,3365.00,3390.00,390000
20-Nov-12,3485.00,3565.00,3435.00,3460.00,437370
19-Nov-12,3470.00,3490.00,3425.00,3480.00,274190
16-Nov-12,3570.00,3595.00,3340.00,3385.00,550150
15-Nov-12,3490.00,3585.00,3320.00,3570.00,807240
14-Nov-12,3750.00,3750.00,3580.00,3610.00,699470
