Date,Open,High,Low,Close,Volume
31-Mar-17,5180.00,5320.00,5150.00,5200.00,239769
30-Mar-17,5030.00,5350.00,5020.00,5190.00,331432
29-Mar-17,4990.00,5030.00,4935.00,5030.00,68437
28-Mar-17,4925.00,4985.00,4860.00,4975.00,88970
27-Mar-17,4940.00,4980.00,4905.00,4925.00,99759
24-Mar-17,4900.00,4935.00,4845.00,4935.00,56625
23-Mar-17,4935.00,4935.00,4860.00,4890.00,87497
22-Mar-17,4875.00,5020.00,4805.00,4860.00,168306
21-Mar-17,4900.00,4935.00,4865.00,4875.00,75286
20-Mar-17,4980.00,4980.00,4920.00,4920.00,72417
17-Mar-17,4940.00,4950.00,4870.00,4950.00,74952
16-Mar-17,4830.00,4965.00,4830.00,4940.00,106741
15-Mar-17,4975.00,4975.00,4835.00,4835.00,83097
14-Mar-17,4960.00,4990.00,4930.00,4955.00,65212
13-Mar-17,5000.00,5040.00,4930.00,4970.00,118357
10-Mar-17,4975.00,5000.00,4870.00,4945.00,105442
9-Mar-17,5060.00,5090.00,4940.00,4975.00,143636
8-Mar-17,5070.00,5170.00,5010.00,5070.00,129596
7-Mar-17,5250.00,5250.00,4870.00,5070.00,602970
6-Mar-17,5040.00,5550.00,4910.00,5110.00,2162272
3-Mar-17,5110.00,5180.00,4955.00,4975.00,159269
2-Mar-17,5000.00,5180.00,4995.00,5110.00,255174
28-Feb-17,4810.00,5030.00,4765.00,4995.00,184506
27-Feb-17,4665.00,4800.00,4665.00,4800.00,65029
24-Feb-17,4660.00,4750.00,4650.00,4695.00,89275
23-Feb-17,4680.00,4730.00,4655.00,4680.00,54755
22-Feb-17,4780.00,4790.00,4680.00,4680.00,112801
21-Feb-17,4765.00,4810.00,4740.00,4765.00,67135
20-Feb-17,4875.00,4875.00,4710.00,4765.00,57594
17-Feb-17,4880.00,4880.00,4750.00,4840.00,62162
16-Feb-17,4825.00,4865.00,4790.00,4860.00,65580
15-Feb-17,4800.00,4875.00,4800.00,4835.00,45209
14-Feb-17,4840.00,4865.00,4755.00,4810.00,97007
13-Feb-17,4505.00,4790.00,4480.00,4790.00,281258
10-Feb-17,4850.00,4850.00,4745.00,4800.00,69988
9-Feb-17,4670.00,4845.00,4655.00,4800.00,88242
8-Feb-17,4670.00,4885.00,4665.00,4700.00,94854
7-Feb-17,4680.00,4735.00,4625.00,4685.00,97093
6-Feb-17,4720.00,4785.00,4650.00,4680.00,109344
3-Feb-17,4880.00,4910.00,4710.00,4725.00,191437
2-Feb-17,5020.00,5040.00,4885.00,4900.00,199684
1-Feb-17,5030.00,5070.00,4945.00,5070.00,68970
31-Jan-17,5020.00,5040.00,4925.00,4990.00,83490
26-Jan-17,5060.00,5090.00,4970.00,5000.00,142489
25-Jan-17,5100.00,5150.00,5030.00,5060.00,123398
24-Jan-17,5180.00,5210.00,5080.00,5080.00,193222
23-Jan-17,5110.00,5200.00,5040.00,5180.00,241808
20-Jan-17,4900.00,5160.00,4900.00,5110.00,419208
19-Jan-17,4965.00,4970.00,4900.00,4940.00,68697
18-Jan-17,4975.00,4980.00,4885.00,4950.00,116245
17-Jan-17,4810.00,5010.00,4760.00,4945.00,180375
16-Jan-17,4875.00,4915.00,4750.00,4800.00,138183
13-Jan-17,4910.00,4935.00,4845.00,4915.00,103582
12-Jan-17,4945.00,4990.00,4865.00,4900.00,110600
11-Jan-17,4875.00,5000.00,4875.00,4935.00,93436
10-Jan-17,4970.00,5020.00,4870.00,4930.00,184254
9-Jan-17,4880.00,5070.00,4795.00,4930.00,253883
6-Jan-17,4750.00,4810.00,4705.00,4795.00,146586
5-Jan-17,4680.00,4740.00,4665.00,4720.00,88731
4-Jan-17,4700.00,4730.00,4655.00,4705.00,84884
3-Jan-17,4740.00,4740.00,4640.00,4655.00,84429
2-Jan-17,4695.00,4755.00,4615.00,4640.00,103755
29-Dec-16,4690.00,4735.00,4650.00,4735.00,116517
28-Dec-16,4540.00,4775.00,4540.00,4710.00,192120
27-Dec-16,4660.00,5000.00,4500.00,4590.00,407180
26-Dec-16,4510.00,4600.00,4450.00,4520.00,146245
23-Dec-16,4370.00,4525.00,4335.00,4510.00,146217
22-Dec-16,4410.00,4500.00,4365.00,4385.00,90664
