Date,Open,High,Low,Close,Volume
31-Mar-17,19250.00,19250.00,19100.00,19150.00,812
30-Mar-17,19200.00,19200.00,19100.00,19100.00,1569
29-Mar-17,19150.00,19200.00,19150.00,19200.00,931
28-Mar-17,19250.00,19250.00,19050.00,19150.00,3343
27-Mar-17,19200.00,19200.00,19150.00,19200.00,104
24-Mar-17,19200.00,19200.00,19100.00,19150.00,381
23-Mar-17,19150.00,19200.00,19100.00,19100.00,2532
22-Mar-17,19200.00,19250.00,19150.00,19200.00,1065
21-Mar-17,19250.00,19250.00,19050.00,19200.00,1709
20-Mar-17,19200.00,19250.00,19000.00,19200.00,1702
17-Mar-17,19150.00,19300.00,19150.00,19200.00,135
16-Mar-17,19200.00,19250.00,19050.00,19150.00,2783
15-Mar-17,19150.00,19300.00,19150.00,19150.00,1398
14-Mar-17,19250.00,19300.00,19150.00,19250.00,903
13-Mar-17,19250.00,19250.00,19200.00,19250.00,288
10-Mar-17,19250.00,19250.00,19150.00,19250.00,879
9-Mar-17,19150.00,19250.00,19150.00,19250.00,330
8-Mar-17,19250.00,19250.00,19050.00,19200.00,4168
7-Mar-17,19200.00,19300.00,19200.00,19300.00,999
6-Mar-17,19250.00,19300.00,19200.00,19300.00,109
3-Mar-17,19250.00,19350.00,19250.00,19250.00,41
2-Mar-17,19300.00,19300.00,19200.00,19250.00,555
28-Feb-17,19300.00,19300.00,19250.00,19300.00,123
27-Feb-17,19250.00,19300.00,19100.00,19300.00,1251
24-Feb-17,19250.00,19250.00,19100.00,19100.00,3080
23-Feb-17,19200.00,19250.00,19050.00,19250.00,2957
22-Feb-17,19250.00,19250.00,19200.00,19200.00,141
21-Feb-17,19250.00,19300.00,19200.00,19250.00,623
20-Feb-17,19150.00,19300.00,19150.00,19300.00,77
17-Feb-17,19250.00,19300.00,19250.00,19250.00,164
16-Feb-17,19250.00,19250.00,19200.00,19250.00,223
15-Feb-17,19250.00,19250.00,19050.00,19200.00,3396
14-Feb-17,19200.00,19300.00,19150.00,19150.00,2068
13-Feb-17,19200.00,19300.00,19200.00,19200.00,2300
10-Feb-17,19200.00,19300.00,19150.00,19200.00,1563
9-Feb-17,19200.00,19300.00,19200.00,19300.00,1047
8-Feb-17,19150.00,19300.00,19150.00,19200.00,2017
7-Feb-17,19300.00,19300.00,19100.00,19150.00,5802
6-Feb-17,19250.00,19350.00,19200.00,19300.00,1951
3-Feb-17,19350.00,19350.00,19250.00,19300.00,711
2-Feb-17,19200.00,19350.00,19200.00,19350.00,2544
1-Feb-17,19350.00,19350.00,19250.00,19300.00,1034
31-Jan-17,19300.00,19350.00,19250.00,19350.00,1617
26-Jan-17,19300.00,19400.00,19300.00,19400.00,3377
25-Jan-17,19300.00,19350.00,19250.00,19350.00,1180
24-Jan-17,19300.00,19350.00,19250.00,19350.00,1804
