Date,Open,High,Low,Close,Volume
31-Mar-17,43950.00,44850.00,43600.00,44750.00,10250
30-Mar-17,43850.00,44050.00,43500.00,43800.00,14903
29-Mar-17,44450.00,44600.00,43400.00,44050.00,7227
28-Mar-17,43850.00,44500.00,43250.00,44350.00,19162
27-Mar-17,42350.00,43650.00,42350.00,43600.00,22044
24-Mar-17,42350.00,42850.00,42050.00,42350.00,12565
23-Mar-17,41450.00,42450.00,41200.00,42050.00,8803
22-Mar-17,41800.00,42300.00,40600.00,41250.00,36576
21-Mar-17,42100.00,42650.00,41550.00,41800.00,15878
20-Mar-17,42450.00,42750.00,42050.00,42100.00,6920
17-Mar-17,42050.00,43000.00,42000.00,42450.00,9698
16-Mar-17,41850.00,42250.00,41550.00,41950.00,10819
15-Mar-17,42100.00,42400.00,41850.00,41900.00,17960
14-Mar-17,42650.00,42700.00,42150.00,42250.00,13944
13-Mar-17,42950.00,43100.00,42700.00,42700.00,14676
10-Mar-17,43300.00,43450.00,42700.00,42950.00,15662
9-Mar-17,43100.00,43550.00,43100.00,43550.00,15623
8-Mar-17,43050.00,43750.00,42850.00,43250.00,8424
7-Mar-17,43050.00,43850.00,42900.00,43200.00,12863
6-Mar-17,43150.00,43600.00,42800.00,43150.00,20221
3-Mar-17,43550.00,43800.00,43050.00,43450.00,13354
2-Mar-17,44200.00,44700.00,43200.00,43300.00,21297
28-Feb-17,44450.00,44700.00,43850.00,44200.00,11656
27-Feb-17,44350.00,44800.00,44100.00,44350.00,6551
24-Feb-17,43400.00,44450.00,43400.00,44200.00,9112
23-Feb-17,43800.00,44000.00,43300.00,43650.00,13512
22-Feb-17,44100.00,44450.00,43700.00,43750.00,11359
21-Feb-17,43800.00,44550.00,43700.00,44150.00,15750
20-Feb-17,43700.00,44100.00,43500.00,43650.00,7008
17-Feb-17,43650.00,44050.00,43500.00,43700.00,6171
16-Feb-17,44150.00,44250.00,43350.00,43650.00,17991
15-Feb-17,44000.00,44400.00,43700.00,43950.00,11258
14-Feb-17,44600.00,44900.00,44050.00,44200.00,10340
13-Feb-17,44050.00,44800.00,44050.00,44600.00,8641
10-Feb-17,43800.00,44450.00,43500.00,44050.00,10388
9-Feb-17,43150.00,43900.00,43100.00,43600.00,6837
8-Feb-17,43300.00,43650.00,42900.00,43100.00,11679
7-Feb-17,44200.00,44700.00,43000.00,43300.00,18717
6-Feb-17,45000.00,45350.00,44050.00,44100.00,6587
3-Feb-17,45150.00,46350.00,44700.00,44750.00,12287
2-Feb-17,44550.00,46500.00,44550.00,45000.00,12214
1-Feb-17,43750.00,45000.00,43750.00,44950.00,7951
31-Jan-17,43300.00,45300.00,42950.00,44500.00,13980
26-Jan-17,44100.00,44600.00,43250.00,43350.00,8238
25-Jan-17,44900.00,44900.00,43750.00,44100.00,4708
24-Jan-17,44650.00,44900.00,44200.00,44700.00,1972
23-Jan-17,45000.00,45450.00,44650.00,44650.00,2591
20-Jan-17,44450.00,45450.00,44450.00,45200.00,5689
19-Jan-17,45450.00,45450.00,44400.00,45200.00,8631
18-Jan-17,44450.00,45450.00,44050.00,45450.00,11464
17-Jan-17,43450.00,44500.00,43000.00,44450.00,10128
16-Jan-17,43600.00,43850.00,42900.00,43300.00,9118
13-Jan-17,43100.00,43600.00,42800.00,43600.00,9895
12-Jan-17,43200.00,43800.00,43150.00,43450.00,8873
11-Jan-17,43050.00,43650.00,43050.00,43350.00,12984
10-Jan-17,43350.00,43900.00,43050.00,43200.00,14061
9-Jan-17,44050.00,44050.00,43300.00,43350.00,10344
6-Jan-17,44650.00,44850.00,43900.00,44450.00,7517
5-Jan-17,43650.00,44600.00,43650.00,44350.00,12196
4-Jan-17,43100.00,44050.00,43050.00,43850.00,14241
3-Jan-17,43650.00,43750.00,43050.00,43300.00,16581
2-Jan-17,44900.00,44950.00,43600.00,43650.00,10662
29-Dec-16,45300.00,45300.00,44000.00,44700.00,9079
28-Dec-16,45100.00,45450.00,44650.00,45050.00,10937
27-Dec-16,45450.00,46300.00,45350.00,45850.00,9677
26-Dec-16,46650.00,46750.00,45450.00,45600.00,18032
23-Dec-16,46450.00,46900.00,46250.00,46650.00,5578
22-Dec-16,47150.00,47150.00,46300.00,46450.00,12820
21-Dec-16,47500.00,48150.00,46400.00,47250.00,12875
20-Dec-16,48000.00,48400.00,47500.00,47800.00,6485
19-Dec-16,49350.00,49350.00,48300.00,48300.00,7735
16-Dec-16,48550.00,49400.00,48200.00,49350.00,12619
15-Dec-16,48050.00,49000.00,48050.00,48900.00,9393
14-Dec-16,48200.00,48950.00,47500.00,48950.00,17151
13-Dec-16,46350.00,48900.00,46350.00,48700.00,17544
12-Dec-16,46350.00,47750.00,46350.00,47100.00,13468
9-Dec-16,48400.00,48500.00,46800.00,46800.00,14882
8-Dec-16,48250.00,48400.00,47200.00,48400.00,17559
7-Dec-16,45800.00,48250.00,45350.00,47600.00,23681
6-Dec-16,45500.00,46200.00,45150.00,46100.00,14788
5-Dec-16,45600.00,45750.00,44800.00,45400.00,12776
2-Dec-16,46250.00,46350.00,45350.00,46150.00,10320
1-Dec-16,46700.00,47000.00,45900.00,46550.00,6777
30-Nov-16,46800.00,47200.00,45700.00,47200.00,24547
29-Nov-16,46250.00,46800.00,46000.00,46300.00,10246
28-Nov-16,45900.00,46500.00,45200.00,46250.00,11491
25-Nov-16,46500.00,46950.00,45600.00,45900.00,13848
24-Nov-16,46950.00,47250.00,45750.00,46150.00,17058
23-Nov-16,48600.00,48650.00,46700.00,46700.00,27139
22-Nov-16,49200.00,49200.00,47650.00,49150.00,18622
21-Nov-16,50700.00,50700.00,48300.00,49050.00,18904
18-Nov-16,49950.00,50500.00,48450.00,50300.00,13420
17-Nov-16,49800.00,51100.00,48850.00,49950.00,23120
16-Nov-16,48450.00,49750.00,48450.00,49750.00,24794
15-Nov-16,47950.00,49300.00,47600.00,48700.00,22572
14-Nov-16,47800.00,48000.00,47100.00,47950.00,14944
11-Nov-16,47050.00,47500.00,46050.00,47500.00,9289
10-Nov-16,47550.00,47950.00,45900.00,47000.00,14511
9-Nov-16,48000.00,48000.00,45550.00,47500.00,13008
8-Nov-16,46300.00,47800.00,46300.00,47700.00,11316
7-Nov-16,46600.00,47950.00,46250.00,46250.00,14353
4-Nov-16,47500.00,47500.00,45100.00,46500.00,9452
3-Nov-16,46850.00,47000.00,46000.00,46700.00,7168
2-Nov-16,46950.00,46950.00,45400.00,46250.00,10167
1-Nov-16,46700.00,47350.00,46150.00,46750.00,10040
31-Oct-16,45550.00,47500.00,45250.00,46700.00,9189
28-Oct-16,45600.00,47550.00,45350.00,46600.00,14523
27-Oct-16,46050.00,46500.00,45500.00,45800.00,6798
26-Oct-16,48000.00,48000.00,45650.00,46000.00,13880
25-Oct-16,47700.00,47750.00,46600.00,47650.00,9509
24-Oct-16,46650.00,47450.00,46300.00,47100.00,10968
21-Oct-16,46450.00,46900.00,45800.00,46600.00,8886
20-Oct-16,45550.00,46600.00,45400.00,46500.00,6714
19-Oct-16,46150.00,48000.00,45700.00,45900.00,15298
18-Oct-16,46000.00,46400.00,45200.00,46200.00,13175
17-Oct-16,45900.00,45900.00,44600.00,45200.00,9046
14-Oct-16,45250.00,45900.00,44700.00,44900.00,6112
13-Oct-16,46450.00,46450.00,45000.00,45000.00,13165
12-Oct-16,45200.00,47750.00,45100.00,46450.00,27581
11-Oct-16,44550.00,45000.00,44450.00,44750.00,11179
10-Oct-16,43950.00,44700.00,43400.00,43900.00,11477
