Date,Open,High,Low,Close,Volume
31-Mar-17,208000.00,210000.00,205000.00,205500.00,113884
30-Mar-17,212000.00,213500.00,207000.00,208000.00,44802
29-Mar-17,210500.00,211000.00,208000.00,210500.00,75964
28-Mar-17,211500.00,213500.00,207000.00,211500.00,82594
27-Mar-17,208000.00,213000.00,206000.00,211500.00,79547
24-Mar-17,201500.00,208000.00,200500.00,208000.00,104703
23-Mar-17,205500.00,205500.00,199500.00,200000.00,71132
22-Mar-17,199500.00,205000.00,199000.00,203500.00,105476
21-Mar-17,208500.00,208500.00,197500.00,199000.00,269111
20-Mar-17,214000.00,214000.00,204500.00,207000.00,85028
17-Mar-17,208500.00,214000.00,205000.00,214000.00,105984
16-Mar-17,213000.00,214000.00,206000.00,208000.00,126861
15-Mar-17,209500.00,210500.00,207000.00,210500.00,84911
14-Mar-17,208000.00,210500.00,206000.00,209500.00,83261
13-Mar-17,209500.00,212000.00,207000.00,208000.00,52997
10-Mar-17,207500.00,214000.00,207000.00,209500.00,139145
9-Mar-17,212000.00,212500.00,205000.00,205500.00,122110
8-Mar-17,202500.00,211000.00,202500.00,208000.00,105735
7-Mar-17,202000.00,209000.00,201000.00,204500.00,71507
6-Mar-17,201000.00,203500.00,198500.00,201500.00,74997
3-Mar-17,203500.00,205000.00,201500.00,203000.00,104219
2-Mar-17,211000.00,211000.00,201500.00,203500.00,180288
28-Feb-17,212500.00,212500.00,206000.00,208000.00,129851
27-Feb-17,211500.00,212500.00,208000.00,210000.00,219730
24-Feb-17,210500.00,213000.00,206000.00,208500.00,322036
23-Feb-17,208500.00,218000.00,207500.00,215000.00,131400
22-Feb-17,211000.00,213000.00,205000.00,206500.00,77612
21-Feb-17,208500.00,215000.00,207000.00,210500.00,85587
20-Feb-17,205500.00,209000.00,203500.00,207000.00,39997
17-Feb-17,210000.00,210500.00,205500.00,207000.00,42315
16-Feb-17,210500.00,212500.00,208500.00,210500.00,95779
15-Feb-17,201500.00,210500.00,201500.00,208500.00,114182
14-Feb-17,206500.00,208500.00,201500.00,203000.00,109214
13-Feb-17,209000.00,211000.00,204000.00,205500.00,102675
10-Feb-17,211000.00,212000.00,205500.00,207500.00,89288
9-Feb-17,207500.00,211500.00,206000.00,209000.00,60601
8-Feb-17,210000.00,212500.00,207500.00,209000.00,112030
7-Feb-17,213500.00,213500.00,209000.00,212000.00,114237
6-Feb-17,207000.00,213500.00,205000.00,211500.00,134102
3-Feb-17,206000.00,206500.00,200500.00,204000.00,74282
2-Feb-17,200000.00,206500.00,200000.00,205000.00,83724
1-Feb-17,203000.00,204500.00,200000.00,203500.00,80918
31-Jan-17,200000.00,206500.00,199000.00,203000.00,155654
26-Jan-17,195500.00,202000.00,195500.00,199500.00,217564
25-Jan-17,193000.00,194500.00,188000.00,190000.00,74601
24-Jan-17,196500.00,197000.00,192000.00,193500.00,81515
23-Jan-17,194000.00,199500.00,194000.00,197500.00,55655
20-Jan-17,194500.00,197500.00,192000.00,196500.00,50747
19-Jan-17,193500.00,196000.00,192000.00,193500.00,70266
18-Jan-17,190500.00,196000.00,189500.00,194500.00,63829
17-Jan-17,191500.00,192000.00,189000.00,191500.00,37095
16-Jan-17,190000.00,192000.00,187500.00,191500.00,47615
13-Jan-17,190500.00,193000.00,189000.00,190500.00,109418
12-Jan-17,186500.00,191500.00,186500.00,190500.00,61712
11-Jan-17,183000.00,187000.00,182500.00,186500.00,101658
10-Jan-17,179500.00,183500.00,178500.00,183000.00,79580
9-Jan-17,184000.00,185000.00,180000.00,180000.00,69357
6-Jan-17,186000.00,187500.00,182500.00,185500.00,60498
5-Jan-17,179000.00,186500.00,179000.00,186500.00,90048
4-Jan-17,181500.00,181500.00,177500.00,179000.00,66203
3-Jan-17,180000.00,185500.00,179000.00,179500.00,75272
2-Jan-17,184000.00,188500.00,179500.00,180500.00,68906
29-Dec-16,183000.00,183500.00,181500.00,183000.00,42578
28-Dec-16,183500.00,185000.00,182000.00,182000.00,47875
27-Dec-16,185500.00,187000.00,183000.00,186500.00,38910
26-Dec-16,184500.00,186000.00,180500.00,185500.00,46908
23-Dec-16,186500.00,186500.00,182000.00,184500.00,61273
22-Dec-16,185500.00,186000.00,184000.00,186000.00,50120
21-Dec-16,192000.00,192500.00,182500.00,186000.00,112338
20-Dec-16,191000.00,192500.00,190500.00,192500.00,45781
19-Dec-16,194000.00,194500.00,190500.00,191000.00,56663
16-Dec-16,191500.00,195000.00,191500.00,194000.00,68922
15-Dec-16,191000.00,195000.00,190500.00,193000.00,68235
14-Dec-16,192000.00,194000.00,190000.00,193500.00,55640
13-Dec-16,194000.00,195500.00,191500.00,193500.00,74722
12-Dec-16,195500.00,196000.00,191000.00,192000.00,53273
9-Dec-16,195000.00,195500.00,191000.00,194500.00,92983
8-Dec-16,188500.00,195000.00,186500.00,195000.00,157081
7-Dec-16,195000.00,195000.00,186000.00,188000.00,104681
