Date,Open,High,Low,Close,Volume
31-Mar-17,19250.00,19350.00,18750.00,19000.00,314388
30-Mar-17,19650.00,19700.00,18950.00,19050.00,371519
29-Mar-17,19250.00,19750.00,19150.00,19700.00,481970
28-Mar-17,18750.00,19250.00,18650.00,19250.00,260700
27-Mar-17,18850.00,18900.00,18550.00,18650.00,101936
24-Mar-17,18800.00,19100.00,18650.00,18850.00,207642
23-Mar-17,18800.00,18800.00,18400.00,18700.00,209597
22-Mar-17,18700.00,18800.00,18500.00,18650.00,209210
21-Mar-17,18450.00,18750.00,18400.00,18750.00,316523
20-Mar-17,18700.00,18700.00,18100.00,18300.00,218124
17-Mar-17,18400.00,18650.00,18400.00,18650.00,329403
16-Mar-17,18950.00,19050.00,18100.00,18350.00,452882
15-Mar-17,18900.00,18950.00,18600.00,18850.00,410101
14-Mar-17,18450.00,19050.00,18450.00,18950.00,273505
13-Mar-17,18550.00,18800.00,18400.00,18550.00,280212
10-Mar-17,18300.00,19150.00,18300.00,18600.00,428742
9-Mar-17,18450.00,18600.00,18200.00,18200.00,335245
8-Mar-17,18550.00,18800.00,18400.00,18500.00,247307
7-Mar-17,18700.00,18850.00,18550.00,18800.00,217002
6-Mar-17,18600.00,18900.00,18550.00,18550.00,154822
3-Mar-17,18600.00,19000.00,18550.00,18700.00,147194
2-Mar-17,18900.00,19000.00,18350.00,18750.00,354038
28-Feb-17,19400.00,19400.00,18550.00,18950.00,524386
27-Feb-17,19050.00,19400.00,19000.00,19250.00,492959
24-Feb-17,19250.00,19250.00,18750.00,18950.00,241834
23-Feb-17,19500.00,19500.00,19000.00,19200.00,381929
22-Feb-17,19250.00,19450.00,19050.00,19450.00,356069
21-Feb-17,18900.00,19150.00,18900.00,19050.00,102650
20-Feb-17,19200.00,19200.00,18850.00,18900.00,193568
17-Feb-17,18950.00,19400.00,18900.00,19350.00,240733
16-Feb-17,18950.00,19100.00,18800.00,18950.00,194721
15-Feb-17,19000.00,19100.00,18800.00,18950.00,257853
14-Feb-17,19200.00,19200.00,18750.00,18900.00,346969
13-Feb-17,19150.00,19300.00,18750.00,19150.00,290389
10-Feb-17,19300.00,19500.00,19200.00,19300.00,261916
9-Feb-17,19300.00,19450.00,19150.00,19150.00,351506
8-Feb-17,19350.00,19400.00,18900.00,19300.00,367823
7-Feb-17,19350.00,19450.00,19150.00,19350.00,269887
6-Feb-17,19400.00,19450.00,19100.00,19300.00,284152
3-Feb-17,19500.00,19500.00,19000.00,19400.00,383161
2-Feb-17,18900.00,19500.00,18700.00,19450.00,787962
1-Feb-17,18600.00,19000.00,18450.00,19000.00,719516
31-Jan-17,17600.00,18650.00,17600.00,18550.00,2211149
26-Jan-17,16850.00,17150.00,16650.00,17000.00,235965
25-Jan-17,16750.00,16950.00,16300.00,16850.00,174023
24-Jan-17,16450.00,16650.00,16450.00,16550.00,100176
23-Jan-17,16500.00,16700.00,16350.00,16400.00,121285
20-Jan-17,16850.00,16850.00,16400.00,16400.00,145203
19-Jan-17,16650.00,16950.00,16650.00,16850.00,181135
18-Jan-17,16900.00,16950.00,16500.00,16750.00,152155
17-Jan-17,16650.00,17000.00,16550.00,16850.00,173471
16-Jan-17,16800.00,16800.00,16300.00,16700.00,210291
13-Jan-17,16500.00,16900.00,16500.00,16800.00,226132
12-Jan-17,16150.00,16650.00,16150.00,16650.00,238651
11-Jan-17,16200.00,16250.00,16000.00,16150.00,229632
10-Jan-17,16300.00,16450.00,16200.00,16350.00,156120
9-Jan-17,16600.00,16600.00,16200.00,16500.00,210001
6-Jan-17,16650.00,16800.00,16500.00,16700.00,136840
5-Jan-17,16550.00,16700.00,16500.00,16650.00,139345
4-Jan-17,16550.00,16800.00,16450.00,16700.00,168947
3-Jan-17,16150.00,16700.00,16050.00,16600.00,443470
2-Jan-17,15850.00,16000.00,15650.00,15950.00,79834
29-Dec-16,16150.00,16200.00,15650.00,15750.00,195564
28-Dec-16,15950.00,16250.00,15800.00,16150.00,328724
27-Dec-16,15150.00,16250.00,15150.00,16050.00,626721
26-Dec-16,15250.00,15450.00,15050.00,15050.00,251096
23-Dec-16,15450.00,15450.00,15250.00,15400.00,77619
22-Dec-16,15450.00,15600.00,15250.00,15300.00,139411
21-Dec-16,15500.00,15700.00,15450.00,15450.00,104126
20-Dec-16,15550.00,15700.00,15500.00,15550.00,93561
19-Dec-16,15450.00,15650.00,15300.00,15600.00,148770
16-Dec-16,15450.00,15550.00,15250.00,15350.00,179771
15-Dec-16,15400.00,15650.00,15400.00,15550.00,104010
14-Dec-16,15500.00,15600.00,15350.00,15500.00,129789
13-Dec-16,15550.00,15600.00,15300.00,15400.00,185099
12-Dec-16,15500.00,15600.00,15350.00,15550.00,159545
9-Dec-16,15350.00,15500.00,15300.00,15350.00,116446
8-Dec-16,15400.00,15500.00,15300.00,15500.00,197000
7-Dec-16,15400.00,15400.00,15000.00,15300.00,165030
6-Dec-16,15050.00,15350.00,14950.00,15350.00,211237
5-Dec-16,14950.00,15050.00,14750.00,14900.00,119000
2-Dec-16,14850.00,14950.00,14800.00,14950.00,90263
1-Dec-16,14900.00,15050.00,14750.00,14950.00,113134
30-Nov-16,15150.00,15200.00,14950.00,14950.00,189735
29-Nov-16,14800.00,15150.00,14750.00,15000.00,184156
28-Nov-16,14850.00,14950.00,14700.00,14750.00,151022
25-Nov-16,14950.00,15000.00,14700.00,14850.00,142578
24-Nov-16,15000.00,15100.00,14800.00,14850.00,147749
23-Nov-16,15100.00,15300.00,14900.00,15000.00,232159
22-Nov-16,15300.00,15300.00,15050.00,15200.00,252056
21-Nov-16,15850.00,15950.00,15200.00,15300.00,336411
18-Nov-16,16000.00,16100.00,15900.00,15900.00,159822
17-Nov-16,16200.00,16250.00,16000.00,16000.00,121543
16-Nov-16,16400.00,16650.00,16200.00,16200.00,242029
15-Nov-16,16100.00,16350.00,15900.00,16300.00,260009
14-Nov-16,16100.00,16200.00,15900.00,16000.00,171768
11-Nov-16,16300.00,16450.00,16100.00,16100.00,135484
10-Nov-16,16100.00,16500.00,16100.00,16300.00,186341
9-Nov-16,16550.00,16600.00,15650.00,15950.00,258262
8-Nov-16,16500.00,16550.00,16300.00,16450.00,73284
7-Nov-16,16200.00,16500.00,16100.00,16400.00,120860
4-Nov-16,16550.00,16600.00,16000.00,16200.00,362232
3-Nov-16,16550.00,16600.00,16200.00,16550.00,382115
2-Nov-16,17050.00,17050.00,16200.00,16550.00,380925
1-Nov-16,17150.00,17250.00,16900.00,17100.00,198519
31-Oct-16,17250.00,17500.00,16950.00,16950.00,318282
28-Oct-16,17600.00,17650.00,17150.00,17300.00,366996
27-Oct-16,16500.00,17750.00,16500.00,17400.00,1382525
26-Oct-16,16350.00,16450.00,15950.00,16450.00,150029
25-Oct-16,16600.00,16600.00,16200.00,16250.00,161909
24-Oct-16,16400.00,16400.00,16150.00,16350.00,160633
21-Oct-16,16600.00,16600.00,16050.00,16500.00,254202
20-Oct-16,16400.00,16650.00,16300.00,16600.00,170784
19-Oct-16,16850.00,17000.00,16350.00,16400.00,196092
18-Oct-16,16600.00,17000.00,16600.00,16900.00,369679
17-Oct-16,16550.00,16750.00,16450.00,16550.00,259238
14-Oct-16,16450.00,16550.00,16300.00,16450.00,181784
13-Oct-16,16600.00,16600.00,16250.00,16300.00,305094
12-Oct-16,16250.00,16600.00,16150.00,16600.00,319333
11-Oct-16,16350.00,16450.00,16050.00,16200.00,278001
10-Oct-16,16350.00,16500.00,16150.00,16250.00,169145
7-Oct-16,16200.00,16350.00,16200.00,16250.00,164749
6-Oct-16,16150.00,16400.00,16150.00,16300.00,267218
5-Oct-16,16050.00,16350.00,15950.00,16300.00,244820
4-Oct-16,15950.00,16150.00,15950.00,16050.00,126165
30-Sep-16,16050.00,16250.00,15850.00,16000.00,204415
29-Sep-16,15900.00,16300.00,15800.00,16200.00,336429
28-Sep-16,15500.00,16050.00,15400.00,15900.00,474316
