Date,Open,High,Low,Close,Volume
31-Mar-17,127500.00,128000.00,126000.00,127500.00,311016
30-Mar-17,127500.00,128500.00,127000.00,128000.00,234786
29-Mar-17,127000.00,128500.00,126000.00,128500.00,383883
28-Mar-17,126000.00,127000.00,124500.00,126500.00,518738
27-Mar-17,127000.00,128500.00,125000.00,125500.00,650459
24-Mar-17,129000.00,131000.00,126000.00,127500.00,1828633
23-Mar-17,135500.00,139000.00,135000.00,137500.00,805309
22-Mar-17,132500.00,134500.00,131500.00,134000.00,477195
21-Mar-17,133000.00,134500.00,131500.00,133500.00,587365
20-Mar-17,133000.00,134500.00,131500.00,133000.00,524930
17-Mar-17,130500.00,132500.00,129500.00,132500.00,536878
16-Mar-17,132000.00,132500.00,128500.00,130500.00,655775
15-Mar-17,132000.00,134500.00,130500.00,131000.00,1602827
14-Mar-17,121500.00,132000.00,120500.00,132000.00,1837592
13-Mar-17,121000.00,122500.00,120500.00,121000.00,306730
10-Mar-17,120000.00,123000.00,119500.00,120500.00,461091
9-Mar-17,120000.00,121500.00,119500.00,119500.00,306057
8-Mar-17,121000.00,122000.00,120000.00,120500.00,230607
7-Mar-17,120500.00,122000.00,119500.00,121500.00,302910
6-Mar-17,121000.00,121500.00,118000.00,119500.00,411230
3-Mar-17,121000.00,122500.00,120500.00,121500.00,243098
2-Mar-17,123500.00,124500.00,121500.00,121500.00,381832
28-Feb-17,125500.00,125500.00,123000.00,123000.00,408832
27-Feb-17,124500.00,125500.00,124000.00,125000.00,163297
24-Feb-17,124500.00,125000.00,123500.00,125000.00,231542
23-Feb-17,124500.00,125500.00,123000.00,124000.00,288480
22-Feb-17,126500.00,127000.00,124000.00,124000.00,299070
21-Feb-17,123500.00,126000.00,123000.00,126000.00,291249
20-Feb-17,123500.00,125500.00,123000.00,123000.00,302098
17-Feb-17,122500.00,124500.00,121500.00,124000.00,601120
16-Feb-17,126500.00,129000.00,125500.00,126500.00,361316
15-Feb-17,125500.00,126500.00,125000.00,126000.00,197330
