Date,Open,High,Low,Close,Volume
31-Mar-17,64700.00,65400.00,63900.00,64900.00,30260
30-Mar-17,64400.00,65000.00,63000.00,64700.00,48931
29-Mar-17,65300.00,65300.00,63500.00,64800.00,34751
28-Mar-17,65100.00,66100.00,64700.00,65300.00,21260
27-Mar-17,64800.00,65800.00,63900.00,65500.00,46945
24-Mar-17,64400.00,65000.00,62900.00,63800.00,44749
23-Mar-17,65800.00,66300.00,64000.00,64000.00,37761
22-Mar-17,63800.00,67200.00,63600.00,65600.00,97630
21-Mar-17,66400.00,66800.00,63500.00,63800.00,81403
20-Mar-17,67900.00,68400.00,66300.00,66400.00,38167
17-Mar-17,69000.00,69100.00,67700.00,68500.00,43891
16-Mar-17,69300.00,70000.00,68300.00,69100.00,45268
15-Mar-17,67700.00,69200.00,67400.00,68800.00,68121
14-Mar-17,70700.00,71000.00,67700.00,68300.00,125709
13-Mar-17,71900.00,72300.00,70500.00,71700.00,109276
10-Mar-17,70500.00,71800.00,68700.00,71400.00,141181
9-Mar-17,70200.00,70400.00,69500.00,70200.00,38466
8-Mar-17,69300.00,70400.00,69200.00,70200.00,50043
7-Mar-17,70200.00,70300.00,69200.00,69700.00,29902
6-Mar-17,69800.00,70500.00,69000.00,70000.00,67724
3-Mar-17,68100.00,69900.00,66100.00,69900.00,73680
2-Mar-17,70100.00,70100.00,67500.00,67600.00,57195
28-Feb-17,71000.00,71200.00,69100.00,69300.00,53452
27-Feb-17,69000.00,70800.00,68800.00,70300.00,82310
24-Feb-17,67500.00,69300.00,67100.00,68200.00,96446
23-Feb-17,68700.00,70400.00,67500.00,67500.00,83304
22-Feb-17,69600.00,70000.00,65600.00,68700.00,107644
21-Feb-17,71100.00,72100.00,69300.00,69600.00,140834
20-Feb-17,72600.00,73300.00,71200.00,71500.00,57664
17-Feb-17,72100.00,74900.00,71500.00,72800.00,211073
16-Feb-17,72000.00,72500.00,70500.00,71900.00,74118
15-Feb-17,72000.00,73600.00,70100.00,71900.00,142995
14-Feb-17,72000.00,72000.00,67400.00,71600.00,237392
13-Feb-17,77500.00,77600.00,65000.00,68300.00,541354
10-Feb-17,71300.00,75000.00,70500.00,74900.00,240056
9-Feb-17,65000.00,69200.00,64400.00,69200.00,249858
8-Feb-17,62300.00,64400.00,61700.00,63600.00,141715
7-Feb-17,60800.00,63000.00,60200.00,62300.00,158444
6-Feb-17,59500.00,60700.00,59200.00,60300.00,86466
3-Feb-17,60100.00,60800.00,57300.00,60200.00,169910
2-Feb-17,60000.00,62900.00,59300.00,60200.00,246811
1-Feb-17,60700.00,63500.00,59800.00,62000.00,486326
31-Jan-17,72000.00,74000.00,59100.00,60000.00,825620
26-Jan-17,83300.00,83500.00,74100.00,74200.00,188850
25-Jan-17,89000.00,89900.00,80700.00,82000.00,123987
24-Jan-17,90000.00,90600.00,89200.00,89600.00,32214
23-Jan-17,89600.00,90500.00,88400.00,90200.00,56085
20-Jan-17,90300.00,90600.00,89400.00,89700.00,27483
19-Jan-17,89300.00,90800.00,89200.00,90300.00,57649
18-Jan-17,89600.00,89800.00,87900.00,89800.00,46680
17-Jan-17,89800.00,90500.00,87100.00,89200.00,72646
16-Jan-17,88000.00,88900.00,86800.00,88200.00,65855
13-Jan-17,86000.00,87400.00,84500.00,87000.00,72871
12-Jan-17,87100.00,88000.00,83000.00,86000.00,110944
11-Jan-17,87200.00,89600.00,84500.00,87600.00,99501
10-Jan-17,84500.00,88300.00,84500.00,87600.00,70534
9-Jan-17,83300.00,85600.00,83200.00,84800.00,54307
6-Jan-17,82900.00,83500.00,81900.00,83400.00,44217
5-Jan-17,82600.00,83300.00,82000.00,82600.00,37300
4-Jan-17,81500.00,82900.00,81500.00,82600.00,62615
3-Jan-17,81400.00,82100.00,80300.00,82000.00,75764
2-Jan-17,80700.00,81600.00,79000.00,80900.00,53668
29-Dec-16,78400.00,81000.00,77200.00,80700.00,128197
28-Dec-16,75300.00,78700.00,74600.00,78700.00,96983
27-Dec-16,74600.00,75300.00,73100.00,75000.00,103826
26-Dec-16,77500.00,78600.00,73900.00,74500.00,118554
23-Dec-16,75300.00,79000.00,74600.00,77000.00,178757
22-Dec-16,78800.00,78800.00,73800.00,74600.00,108778
21-Dec-16,77800.00,79000.00,77500.00,78400.00,85696
20-Dec-16,77600.00,80600.00,75400.00,77800.00,183804
19-Dec-16,87900.00,87900.00,75700.00,77400.00,436631
16-Dec-16,90500.00,91700.00,88000.00,88000.00,93517
15-Dec-16,87800.00,91800.00,86200.00,90400.00,134015
14-Dec-16,88300.00,90300.00,87300.00,87600.00,112152
13-Dec-16,83100.00,88800.00,82800.00,87900.00,168566
12-Dec-16,82300.00,84100.00,78900.00,83700.00,195364
9-Dec-16,75200.00,86700.00,75200.00,81900.00,409184
8-Dec-16,74300.00,75800.00,72500.00,75600.00,148336
7-Dec-16,72500.00,74900.00,70000.00,74000.00,247264
6-Dec-16,65000.00,75600.00,64600.00,71700.00,422203
5-Dec-16,58900.00,64600.00,58500.00,64500.00,322401
2-Dec-16,56200.00,58500.00,56200.00,58000.00,89333
1-Dec-16,56500.00,57400.00,55500.00,57000.00,69368
30-Nov-16,55700.00,56900.00,54600.00,56900.00,68240
29-Nov-16,54100.00,56700.00,54100.00,55800.00,73124
28-Nov-16,54100.00,55300.00,54100.00,54400.00,57853
25-Nov-16,53300.00,54500.00,53000.00,53800.00,66662
24-Nov-16,54800.00,55400.00,52900.00,53800.00,69261
23-Nov-16,54400.00,55400.00,53400.00,55300.00,109050
22-Nov-16,54100.00,54900.00,52600.00,54400.00,85618
21-Nov-16,55700.00,56500.00,54000.00,54000.00,78858
