Date,Open,High,Low,Close,Volume
31-Mar-17,39650.00,39700.00,38950.00,39500.00,6505
30-Mar-17,39250.00,39250.00,38700.00,38950.00,6891
29-Mar-17,39500.00,39500.00,38800.00,39300.00,8800
28-Mar-17,39550.00,39700.00,38600.00,39300.00,23935
27-Mar-17,40150.00,40750.00,39150.00,39500.00,18659
24-Mar-17,41550.00,41550.00,40600.00,40600.00,8365
23-Mar-17,41500.00,41700.00,41000.00,41300.00,4757
22-Mar-17,41350.00,41800.00,40650.00,41500.00,6841
21-Mar-17,42350.00,42350.00,41600.00,41600.00,5737
20-Mar-17,41650.00,42200.00,41650.00,42100.00,1845
17-Mar-17,42100.00,42350.00,41800.00,41950.00,7040
16-Mar-17,42300.00,42650.00,41750.00,41900.00,7326
15-Mar-17,41600.00,42450.00,41600.00,41800.00,5061
14-Mar-17,41250.00,41750.00,41250.00,41550.00,5126
13-Mar-17,41700.00,42300.00,41300.00,41600.00,4236
10-Mar-17,42500.00,42600.00,40550.00,41600.00,11926
9-Mar-17,42750.00,42750.00,41600.00,41950.00,5928
8-Mar-17,42400.00,42800.00,41600.00,42200.00,3023
7-Mar-17,41350.00,42900.00,41300.00,42300.00,6366
6-Mar-17,41050.00,41550.00,40800.00,40900.00,6164
3-Mar-17,42350.00,42800.00,41500.00,41600.00,6951
2-Mar-17,42700.00,43050.00,42450.00,42550.00,7404
28-Feb-17,43100.00,43450.00,42500.00,42700.00,4409
27-Feb-17,43250.00,43400.00,43000.00,43100.00,3163
24-Feb-17,43100.00,43300.00,42950.00,43050.00,5795
23-Feb-17,43000.00,43600.00,42800.00,43000.00,5981
22-Feb-17,42300.00,43100.00,42300.00,42850.00,4668
21-Feb-17,42750.00,42750.00,41900.00,42550.00,5480
20-Feb-17,42550.00,42950.00,41700.00,42450.00,8793
17-Feb-17,43300.00,43300.00,42450.00,42800.00,4092
16-Feb-17,43750.00,43750.00,42700.00,42900.00,8081
15-Feb-17,43950.00,44200.00,42600.00,43650.00,10383
14-Feb-17,44300.00,44350.00,43600.00,43650.00,8694
13-Feb-17,43050.00,44600.00,42800.00,43400.00,17614
10-Feb-17,41400.00,43350.00,41250.00,43000.00,24328
9-Feb-17,41500.00,41500.00,40800.00,40900.00,4348
8-Feb-17,40700.00,41700.00,40400.00,41050.00,4857
7-Feb-17,41000.00,41000.00,40250.00,40950.00,2502
6-Feb-17,40500.00,41150.00,40250.00,40450.00,3013
3-Feb-17,40600.00,40900.00,39700.00,39800.00,11273
2-Feb-17,41200.00,41350.00,40650.00,40700.00,4830
1-Feb-17,41000.00,41500.00,40800.00,41200.00,4137
31-Jan-17,41200.00,41800.00,41000.00,41000.00,3691
26-Jan-17,41600.00,41800.00,41150.00,41200.00,3610
25-Jan-17,42500.00,42500.00,41000.00,41300.00,4606
24-Jan-17,42400.00,42550.00,41900.00,42150.00,4577
23-Jan-17,41750.00,42900.00,41250.00,41850.00,5421
20-Jan-17,41950.00,41950.00,41300.00,41750.00,3366
19-Jan-17,42000.00,42350.00,41200.00,41300.00,6041
18-Jan-17,42900.00,42950.00,42200.00,42300.00,4211
17-Jan-17,43600.00,43600.00,42550.00,42950.00,5938
16-Jan-17,43500.00,43800.00,42600.00,42950.00,10470
13-Jan-17,41200.00,43150.00,41050.00,42750.00,15558
12-Jan-17,41350.00,41400.00,40950.00,41200.00,4073
11-Jan-17,41100.00,41550.00,41000.00,41050.00,3863
10-Jan-17,41500.00,41650.00,41000.00,41200.00,3207
9-Jan-17,42250.00,42250.00,41000.00,41500.00,5351
6-Jan-17,41600.00,42200.00,41500.00,41650.00,4211
5-Jan-17,41300.00,42550.00,41300.00,41650.00,4582
4-Jan-17,41750.00,42300.00,41500.00,41500.00,4195
3-Jan-17,42600.00,42650.00,41750.00,41850.00,5973
2-Jan-17,42600.00,43500.00,42550.00,42650.00,3811
29-Dec-16,43200.00,43200.00,41850.00,42650.00,4175
28-Dec-16,43250.00,43700.00,42250.00,42450.00,7646
27-Dec-16,42750.00,44350.00,42750.00,43700.00,14290
26-Dec-16,42200.00,43050.00,42100.00,43050.00,7979
23-Dec-16,41150.00,42200.00,40950.00,42200.00,6000
22-Dec-16,40900.00,41250.00,40600.00,40900.00,4838
21-Dec-16,41800.00,41800.00,40850.00,40900.00,11229
20-Dec-16,41550.00,42150.00,41350.00,41800.00,7991
19-Dec-16,41800.00,42300.00,41000.00,42050.00,8418
16-Dec-16,41200.00,41900.00,41200.00,41800.00,3727
15-Dec-16,41400.00,42000.00,40500.00,41550.00,8470
14-Dec-16,41600.00,42000.00,40850.00,41400.00,6929
13-Dec-16,40650.00,41900.00,40650.00,41600.00,10120
12-Dec-16,40750.00,41150.00,40750.00,40850.00,5250
9-Dec-16,40100.00,41150.00,40100.00,40800.00,4919
8-Dec-16,40450.00,40900.00,39600.00,40550.00,8383
7-Dec-16,40700.00,41300.00,39450.00,40300.00,11291
6-Dec-16,42000.00,42600.00,40650.00,40700.00,8669
5-Dec-16,40500.00,41700.00,40500.00,41500.00,4734
2-Dec-16,41900.00,42950.00,40800.00,41450.00,12692
1-Dec-16,43000.00,44300.00,41750.00,41900.00,14575
30-Nov-16,40450.00,43050.00,40250.00,42950.00,19753
29-Nov-16,40000.00,40400.00,39350.00,40250.00,6147
28-Nov-16,39150.00,40450.00,39150.00,39500.00,5615
25-Nov-16,40550.00,40550.00,39100.00,39350.00,19507
24-Nov-16,40600.00,41800.00,39550.00,40200.00,16117
23-Nov-16,42950.00,43450.00,40750.00,40750.00,21434
22-Nov-16,44350.00,44550.00,41700.00,42950.00,17503
21-Nov-16,46750.00,46850.00,43600.00,43600.00,15916
18-Nov-16,46150.00,47350.00,45500.00,46150.00,17603
17-Nov-16,44900.00,46850.00,44800.00,46000.00,22659
16-Nov-16,45150.00,45500.00,44400.00,45300.00,18747
15-Nov-16,43550.00,45850.00,42000.00,45150.00,40988
14-Nov-16,39900.00,44450.00,39900.00,43250.00,49273
11-Nov-16,40250.00,40450.00,39500.00,40100.00,9442
10-Nov-16,39550.00,40300.00,38900.00,40000.00,21210
9-Nov-16,42000.00,42950.00,36800.00,39100.00,75015
8-Nov-16,46500.00,46500.00,41500.00,41500.00,113332
7-Nov-16,38700.00,49250.00,37000.00,49250.00,27733
4-Nov-16,37500.00,37900.00,36550.00,37900.00,3709
3-Nov-16,34950.00,37500.00,34950.00,37000.00,6674
2-Nov-16,37200.00,38300.00,36550.00,36550.00,7883
1-Nov-16,37050.00,38200.00,37000.00,37850.00,5297
31-Oct-16,39550.00,39550.00,38000.00,38000.00,6229
28-Oct-16,38200.00,39500.00,38200.00,38900.00,8125
27-Oct-16,38000.00,39300.00,38000.00,38750.00,3882
26-Oct-16,39100.00,39100.00,38250.00,38600.00,6780
25-Oct-16,39500.00,39850.00,38850.00,39100.00,3795
24-Oct-16,39100.00,39800.00,39000.00,39500.00,5667
21-Oct-16,41000.00,41000.00,39100.00,39500.00,9126
20-Oct-16,40700.00,41200.00,40600.00,40600.00,2620
19-Oct-16,41700.00,42000.00,40650.00,40700.00,9972
18-Oct-16,41150.00,41900.00,40800.00,41700.00,7252
17-Oct-16,41300.00,41350.00,40300.00,40800.00,4414
14-Oct-16,40950.00,41500.00,40200.00,41450.00,8078
13-Oct-16,42000.00,42000.00,40550.00,40900.00,7019
12-Oct-16,41600.00,42050.00,40850.00,41450.00,10681
11-Oct-16,40950.00,41450.00,40950.00,41250.00,10760
10-Oct-16,39700.00,40550.00,39300.00,40550.00,13318
7-Oct-16,38250.00,39400.00,38250.00,39250.00,9306
6-Oct-16,39050.00,39200.00,38150.00,38550.00,12826
5-Oct-16,39100.00,39450.00,38900.00,39050.00,4886
4-Oct-16,39750.00,40200.00,39000.00,39100.00,12591
30-Sep-16,40600.00,41050.00,40000.00,40100.00,8078
29-Sep-16,40500.00,41500.00,40200.00,40600.00,8724
28-Sep-16,40450.00,40450.00,39800.00,39900.00,5679
27-Sep-16,39750.00,40500.00,39150.00,40000.00,6940
26-Sep-16,40300.00,41600.00,39750.00,39750.00,8283
23-Sep-16,40600.00,41350.00,40050.00,40350.00,8914
22-Sep-16,39400.00,40850.00,39100.00,39600.00,9080
21-Sep-16,38200.00,39650.00,38100.00,39350.00,7001
20-Sep-16,38050.00,38450.00,37950.00,38200.00,6660
19-Sep-16,37900.00,38500.00,37300.00,38300.00,4749
13-Sep-16,38400.00,38950.00,37300.00,38200.00,16603
12-Sep-16,39650.00,39950.00,38350.00,38500.00,9789
9-Sep-16,39950.00,40050.00,39600.00,39700.00,6252
8-Sep-16,40550.00,40950.00,39700.00,39950.00,19719
7-Sep-16,41200.00,41200.00,40350.00,40550.00,9114
6-Sep-16,40800.00,41950.00,40750.00,40800.00,7146
5-Sep-16,41350.00,41350.00,40400.00,40800.00,12006
2-Sep-16,40300.00,41150.00,40300.00,40750.00,9100
1-Sep-16,40500.00,40950.00,39650.00,40850.00,8515
31-Aug-16,41300.00,42200.00,40650.00,40850.00,7726
30-Aug-16,41500.00,41950.00,41250.00,41250.00,9830
29-Aug-16,43250.00,43250.00,41150.00,41200.00,16878
26-Aug-16,42400.00,43350.00,42350.00,43250.00,4333
25-Aug-16,42150.00,44100.00,42150.00,42850.00,12397
24-Aug-16,42600.00,43500.00,42400.00,42600.00,10066
23-Aug-16,43900.00,43900.00,42650.00,42950.00,11310
22-Aug-16,44550.00,45100.00,43500.00,43500.00,16272
19-Aug-16,46250.00,46300.00,44550.00,44550.00,11325
18-Aug-16,44850.00,46500.00,44700.00,46000.00,10811
17-Aug-16,46050.00,46800.00,44850.00,44850.00,14295
16-Aug-16,46550.00,47950.00,46150.00,46150.00,9319
12-Aug-16,47350.00,48300.00,46600.00,47350.00,11292
11-Aug-16,48100.00,48100.00,47200.00,47800.00,9351
10-Aug-16,46450.00,48000.00,46450.00,47750.00,19499
9-Aug-16,46800.00,47200.00,46100.00,46450.00,13552
8-Aug-16,47350.00,47350.00,46350.00,46350.00,20424
5-Aug-16,44650.00,46500.00,44550.00,46300.00,21083
4-Aug-16,43200.00,45400.00,43050.00,44900.00,14821
3-Aug-16,43250.00,44250.00,42500.00,43100.00,8574
2-Aug-16,42850.00,44700.00,42150.00,43500.00,11278
1-Aug-16,44300.00,44500.00,42700.00,42700.00,16890
29-Jul-16,45000.00,45900.00,44200.00,44450.00,7694
28-Jul-16,45750.00,46400.00,45000.00,45000.00,19218
27-Jul-16,43350.00,46000.00,43350.00,45000.00,27114
26-Jul-16,43150.00,43800.00,42050.00,43250.00,11026
25-Jul-16,42750.00,43350.00,41900.00,42100.00,5833
22-Jul-16,41350.00,43200.00,40650.00,42750.00,14411
21-Jul-16,41400.00,41400.00,40750.00,41000.00,6485
20-Jul-16,41350.00,41600.00,40600.00,41200.00,11959
19-Jul-16,41800.00,42100.00,41350.00,41550.00,6191
18-Jul-16,41650.00,42650.00,41650.00,41800.00,4674
15-Jul-16,42850.00,43050.00,41950.00,41950.00,12503
14-Jul-16,44450.00,44450.00,42750.00,42800.00,12927
13-Jul-16,43450.00,44200.00,43450.00,43950.00,5585
12-Jul-16,44800.00,44800.00,43450.00,43650.00,9644
11-Jul-16,43900.00,44700.00,43500.00,44450.00,10971
8-Jul-16,43600.00,44200.00,43150.00,43400.00,9941
7-Jul-16,43750.00,44400.00,43200.00,43600.00,9427
6-Jul-16,43600.00,44400.00,42700.00,42850.00,15487
5-Jul-16,44700.00,45300.00,43800.00,44000.00,12116
4-Jul-16,46350.00,46350.00,45200.00,45300.00,6322
1-Jul-16,45700.00,46450.00,45600.00,45800.00,8645
30-Jun-16,46100.00,46800.00,45550.00,45700.00,7450
29-Jun-16,46600.00,46600.00,45350.00,46100.00,15841
