Date,Open,High,Low,Close,Volume
31-Mar-17,86100.00,86200.00,85800.00,86200.00,859
30-Mar-17,86100.00,86100.00,85800.00,85800.00,1060
29-Mar-17,85800.00,86200.00,85700.00,85900.00,1269
28-Mar-17,85500.00,85800.00,85400.00,85800.00,1353
27-Mar-17,85900.00,85900.00,85100.00,85400.00,857
24-Mar-17,85400.00,85500.00,84800.00,85500.00,371
23-Mar-17,85000.00,85500.00,84600.00,85400.00,982
22-Mar-17,85400.00,85600.00,84100.00,85100.00,2527
21-Mar-17,85600.00,85600.00,85000.00,85400.00,181
20-Mar-17,85900.00,86000.00,81500.00,85300.00,1196
17-Mar-17,85900.00,86000.00,85100.00,85900.00,109
16-Mar-17,85700.00,85700.00,85000.00,85700.00,250
15-Mar-17,85900.00,85900.00,84900.00,85100.00,1047
14-Mar-17,85100.00,86000.00,84900.00,85300.00,1306
13-Mar-17,85100.00,85500.00,84900.00,85100.00,1136
10-Mar-17,85700.00,85700.00,85000.00,85500.00,367
9-Mar-17,86100.00,86100.00,85000.00,85500.00,402
8-Mar-17,85900.00,86100.00,85300.00,85700.00,48
7-Mar-17,86100.00,86100.00,85200.00,85800.00,271
6-Mar-17,85800.00,86300.00,85200.00,85900.00,281
3-Mar-17,86300.00,86300.00,85500.00,86100.00,180
2-Mar-17,86000.00,86300.00,85400.00,85900.00,32
28-Feb-17,86100.00,86200.00,85300.00,85700.00,114
27-Feb-17,86400.00,86400.00,85900.00,86100.00,80
24-Feb-17,86000.00,86300.00,85300.00,86300.00,775
23-Feb-17,85700.00,86300.00,85200.00,85700.00,983
22-Feb-17,85600.00,85700.00,85000.00,85700.00,203
21-Feb-17,85600.00,85700.00,84800.00,85300.00,439
20-Feb-17,85700.00,85800.00,84600.00,84900.00,420
17-Feb-17,85300.00,85800.00,84500.00,85800.00,947
16-Feb-17,85500.00,85500.00,84600.00,85200.00,509
15-Feb-17,85500.00,85700.00,84700.00,85100.00,299
14-Feb-17,85400.00,85800.00,84500.00,85200.00,937
13-Feb-17,85500.00,85800.00,84700.00,85500.00,173
10-Feb-17,85600.00,85600.00,84700.00,85500.00,464
9-Feb-17,85800.00,85800.00,84500.00,85400.00,252
8-Feb-17,85900.00,85900.00,84200.00,85300.00,384
7-Feb-17,85600.00,85700.00,84700.00,85600.00,211
6-Feb-17,84800.00,86000.00,84800.00,85600.00,200
3-Feb-17,86200.00,86200.00,84900.00,85200.00,445
2-Feb-17,85200.00,86700.00,84900.00,85000.00,823
1-Feb-17,86300.00,86300.00,85300.00,85500.00,39
31-Jan-17,86700.00,86700.00,85700.00,86300.00,213
26-Jan-17,85900.00,86700.00,85700.00,86700.00,473
25-Jan-17,85400.00,85900.00,85400.00,85900.00,511
24-Jan-17,85900.00,85900.00,85100.00,85400.00,238
23-Jan-17,86400.00,86400.00,84900.00,85700.00,353
20-Jan-17,85500.00,85500.00,84800.00,84800.00,664
19-Jan-17,85500.00,85700.00,84800.00,84800.00,535
18-Jan-17,85700.00,85700.00,85000.00,85500.00,92
17-Jan-17,85100.00,85600.00,85000.00,85000.00,431
16-Jan-17,86100.00,86500.00,85100.00,85300.00,753
13-Jan-17,86800.00,86800.00,85400.00,85500.00,523
12-Jan-17,86600.00,86700.00,86000.00,86400.00,545
11-Jan-17,85900.00,86500.00,85500.00,86500.00,690
10-Jan-17,84900.00,86400.00,84900.00,85800.00,2195
9-Jan-17,85700.00,85700.00,85200.00,85600.00,1047
6-Jan-17,84700.00,85200.00,84700.00,85200.00,334
5-Jan-17,86600.00,86600.00,84500.00,84700.00,1151
4-Jan-17,86200.00,86200.00,85100.00,85200.00,644
3-Jan-17,85600.00,85900.00,85300.00,85500.00,882
2-Jan-17,85700.00,85700.00,84700.00,85600.00,1112
29-Dec-16,85900.00,86400.00,85300.00,85700.00,1307
28-Dec-16,86800.00,87400.00,85300.00,85800.00,1754
27-Dec-16,88200.00,88900.00,88100.00,88800.00,2198
26-Dec-16,88200.00,88500.00,87800.00,88200.00,2239
23-Dec-16,88100.00,88400.00,87700.00,88200.00,822
22-Dec-16,88100.00,88200.00,87400.00,88100.00,610
21-Dec-16,88100.00,88300.00,87300.00,88000.00,951
20-Dec-16,87400.00,88100.00,87400.00,88100.00,944
19-Dec-16,87400.00,87600.00,86300.00,87000.00,416
16-Dec-16,87500.00,87700.00,86900.00,87000.00,828
15-Dec-16,87500.00,87600.00,86500.00,87500.00,659
14-Dec-16,87400.00,87800.00,86800.00,87600.00,1055
13-Dec-16,88000.00,88100.00,87200.00,87500.00,1091
12-Dec-16,88500.00,88500.00,87400.00,88000.00,997
9-Dec-16,88300.00,88300.00,87500.00,87900.00,561
8-Dec-16,86700.00,88100.00,86700.00,88000.00,388
7-Dec-16,88400.00,88400.00,86800.00,87000.00,661
6-Dec-16,87400.00,88100.00,87200.00,87900.00,271
5-Dec-16,88000.00,88100.00,86800.00,87400.00,1114
2-Dec-16,86600.00,88000.00,86400.00,88000.00,850
1-Dec-16,86100.00,86900.00,85500.00,86500.00,707
30-Nov-16,85500.00,86100.00,85300.00,86100.00,795
29-Nov-16,85400.00,85500.00,84800.00,85500.00,631
28-Nov-16,85300.00,85800.00,84300.00,85200.00,731
25-Nov-16,85700.00,85700.00,85000.00,85300.00,743
24-Nov-16,86000.00,86000.00,84800.00,85300.00,1569
23-Nov-16,86900.00,88000.00,85900.00,86000.00,1791
22-Nov-16,88600.00,88600.00,86900.00,87100.00,1463
21-Nov-16,89000.00,89000.00,87700.00,88600.00,324
18-Nov-16,89400.00,89500.00,88300.00,88300.00,562
17-Nov-16,90000.00,90000.00,88800.00,89300.00,696
16-Nov-16,90300.00,90300.00,89200.00,90000.00,248
15-Nov-16,88800.00,90300.00,88300.00,90300.00,493
14-Nov-16,88300.00,88900.00,88000.00,88800.00,954
11-Nov-16,88800.00,88900.00,88100.00,88500.00,409
10-Nov-16,87500.00,90000.00,87500.00,88800.00,842
9-Nov-16,88300.00,89700.00,87200.00,87900.00,776
8-Nov-16,89600.00,90800.00,87700.00,88300.00,1759
7-Nov-16,90200.00,91100.00,89600.00,90800.00,558
4-Nov-16,90000.00,91000.00,88300.00,90900.00,886
3-Nov-16,87800.00,90900.00,87800.00,89200.00,1034
2-Nov-16,92600.00,92600.00,87600.00,87600.00,854
