Date,Open,High,Low,Close,Volume
31-Mar-17,136500.00,138000.00,135500.00,136000.00,54530
30-Mar-17,138000.00,139500.00,135000.00,136500.00,54734
29-Mar-17,143000.00,143000.00,137000.00,137500.00,72555
28-Mar-17,137000.00,142000.00,135500.00,140500.00,102710
27-Mar-17,135500.00,138500.00,134500.00,136000.00,50474
24-Mar-17,131500.00,138000.00,131000.00,136000.00,138477
23-Mar-17,132000.00,133500.00,129000.00,129500.00,69596
22-Mar-17,131000.00,134500.00,131000.00,132500.00,33496
21-Mar-17,135000.00,135000.00,131500.00,132000.00,37208
20-Mar-17,135500.00,136000.00,131500.00,133500.00,38749
17-Mar-17,135000.00,138000.00,133500.00,135000.00,55970
16-Mar-17,133500.00,136000.00,131500.00,134000.00,39299
15-Mar-17,133500.00,135000.00,131500.00,132500.00,37684
14-Mar-17,140000.00,140000.00,133000.00,133500.00,110395
13-Mar-17,134500.00,141500.00,134000.00,137000.00,136693
10-Mar-17,135500.00,140000.00,132000.00,133000.00,127350
9-Mar-17,136000.00,140500.00,133500.00,134000.00,92702
8-Mar-17,129500.00,135500.00,129500.00,133500.00,75352
7-Mar-17,134000.00,136000.00,129500.00,130000.00,79161
6-Mar-17,129000.00,135000.00,128000.00,134000.00,123267
3-Mar-17,133500.00,134000.00,127500.00,132500.00,196312
2-Mar-17,145000.00,147500.00,137500.00,137500.00,131553
28-Feb-17,142500.00,145000.00,141500.00,143500.00,87435
27-Feb-17,148500.00,150000.00,142000.00,142500.00,105286
24-Feb-17,139500.00,149500.00,139000.00,148500.00,185230
23-Feb-17,137000.00,140000.00,136000.00,139000.00,77160
22-Feb-17,137000.00,139000.00,135500.00,137000.00,64470
21-Feb-17,139500.00,141000.00,136000.00,137000.00,73915
20-Feb-17,139500.00,143000.00,138000.00,139500.00,51458
17-Feb-17,145000.00,146500.00,139500.00,139500.00,78318
16-Feb-17,145500.00,147500.00,140500.00,145000.00,117602
15-Feb-17,141000.00,152000.00,140500.00,145500.00,250041
14-Feb-17,131000.00,140000.00,126500.00,140000.00,262634
13-Feb-17,127500.00,132000.00,126500.00,130000.00,90591
10-Feb-17,126000.00,127500.00,123500.00,127000.00,63136
9-Feb-17,119000.00,124500.00,119000.00,124000.00,41919
8-Feb-17,124500.00,124500.00,119000.00,120000.00,70827
7-Feb-17,125500.00,126500.00,123000.00,124500.00,29490
6-Feb-17,124500.00,126000.00,121500.00,124500.00,39683
3-Feb-17,123500.00,127000.00,121000.00,124500.00,81745
2-Feb-17,128500.00,129500.00,123000.00,123500.00,74267
1-Feb-17,131500.00,132500.00,125500.00,127500.00,83072
31-Jan-17,126500.00,132000.00,126500.00,131000.00,48011
26-Jan-17,133500.00,133500.00,128000.00,129500.00,49512
25-Jan-17,135000.00,136500.00,131000.00,132000.00,84862
24-Jan-17,129000.00,135500.00,127500.00,133000.00,105392
23-Jan-17,129500.00,130000.00,126500.00,127500.00,49057
20-Jan-17,128000.00,132500.00,127000.00,128500.00,74698
19-Jan-17,125500.00,129000.00,124000.00,128000.00,58840
18-Jan-17,125000.00,127000.00,123500.00,125500.00,47796
17-Jan-17,126500.00,127500.00,121500.00,125000.00,72796
16-Jan-17,120500.00,126000.00,120500.00,125000.00,126067
13-Jan-17,115500.00,121000.00,115500.00,120500.00,109416
12-Jan-17,113500.00,116000.00,112500.00,115000.00,53159
11-Jan-17,112000.00,114500.00,110000.00,113500.00,80674
10-Jan-17,116000.00,116000.00,112000.00,113500.00,91138
9-Jan-17,123500.00,123500.00,117000.00,117000.00,80697
6-Jan-17,121000.00,125500.00,119500.00,123500.00,80947
