Date,Open,High,Low,Close,Volume
31-Mar-17,69900.00,71500.00,69900.00,70800.00,88612
30-Mar-17,71100.00,71300.00,69900.00,69900.00,81292
29-Mar-17,70700.00,71200.00,69600.00,71200.00,95915
28-Mar-17,69600.00,70900.00,69500.00,70700.00,105004
27-Mar-17,70700.00,70700.00,68900.00,69300.00,147428
24-Mar-17,71700.00,71900.00,70300.00,70500.00,114312
23-Mar-17,70500.00,71800.00,70500.00,71600.00,89830
22-Mar-17,70700.00,71600.00,70000.00,70300.00,102827
21-Mar-17,71700.00,71800.00,70500.00,70700.00,117086
20-Mar-17,71800.00,71800.00,71000.00,71200.00,78997
17-Mar-17,72500.00,72700.00,70800.00,71900.00,155193
16-Mar-17,72000.00,73500.00,71500.00,72500.00,107678
15-Mar-17,72800.00,73000.00,71500.00,71600.00,114364
14-Mar-17,74300.00,74500.00,72700.00,73100.00,125809
13-Mar-17,74700.00,75900.00,73500.00,74600.00,126055
10-Mar-17,75700.00,75800.00,74100.00,74800.00,112030
9-Mar-17,75200.00,77200.00,74500.00,75700.00,248181
8-Mar-17,73700.00,75000.00,73200.00,74700.00,147960
7-Mar-17,72400.00,74600.00,72200.00,74100.00,261839
6-Mar-17,71300.00,72500.00,69800.00,72100.00,140627
3-Mar-17,70500.00,71800.00,70300.00,71700.00,89041
2-Mar-17,71300.00,71800.00,70500.00,70600.00,96902
28-Feb-17,71800.00,71800.00,70800.00,71200.00,63661
27-Feb-17,70000.00,71800.00,69900.00,71500.00,83333
24-Feb-17,71200.00,71700.00,69800.00,70000.00,133545
23-Feb-17,72200.00,72300.00,71000.00,71500.00,84316
22-Feb-17,72000.00,72200.00,71200.00,71700.00,62571
21-Feb-17,71000.00,72700.00,71000.00,72100.00,112499
20-Feb-17,72000.00,72000.00,71000.00,71700.00,85590
17-Feb-17,70500.00,72500.00,70500.00,72000.00,84873
16-Feb-17,72600.00,72600.00,70500.00,70700.00,86170
15-Feb-17,72100.00,72500.00,71400.00,72000.00,80677
14-Feb-17,71700.00,72400.00,71000.00,71800.00,94305
13-Feb-17,70300.00,72000.00,69800.00,71700.00,109575
10-Feb-17,69300.00,71100.00,69300.00,69700.00,133843
9-Feb-17,70000.00,71000.00,69000.00,69000.00,231627
8-Feb-17,70500.00,71300.00,69100.00,70500.00,196277
7-Feb-17,70100.00,71100.00,69200.00,70600.00,129370
6-Feb-17,72600.00,72600.00,69600.00,70200.00,208825
3-Feb-17,74700.00,74700.00,71700.00,72000.00,141710
2-Feb-17,72600.00,76400.00,72500.00,74600.00,222319
1-Feb-17,74400.00,75000.00,72200.00,72500.00,176818
31-Jan-17,75000.00,75600.00,73700.00,74300.00,93354
26-Jan-17,74900.00,76000.00,73400.00,75500.00,156391
25-Jan-17,77300.00,77500.00,74100.00,74400.00,171178
24-Jan-17,77900.00,77900.00,76100.00,77100.00,99044
23-Jan-17,76400.00,78000.00,76100.00,78000.00,88272
20-Jan-17,77600.00,78000.00,76100.00,76700.00,103629
19-Jan-17,78600.00,79500.00,77500.00,77900.00,89903
18-Jan-17,78800.00,78900.00,77600.00,78600.00,68517
17-Jan-17,78600.00,80100.00,78600.00,79100.00,50200
16-Jan-17,81000.00,81200.00,78300.00,79100.00,125676
13-Jan-17,79500.00,81700.00,79500.00,80900.00,101844
12-Jan-17,81400.00,81600.00,79600.00,79900.00,95652
11-Jan-17,79400.00,81800.00,78800.00,81500.00,131926
10-Jan-17,79800.00,80100.00,78400.00,79300.00,107048
9-Jan-17,79700.00,81600.00,79300.00,80100.00,125969
6-Jan-17,79600.00,81900.00,79600.00,80000.00,106042
5-Jan-17,81400.00,81800.00,79300.00,79600.00,120123
