Date,Open,High,Low,Close,Volume
31-Mar-17,12700.00,12850.00,12500.00,12750.00,75853
30-Mar-17,12800.00,12850.00,12650.00,12700.00,41274
29-Mar-17,12900.00,13000.00,12650.00,12700.00,113571
28-Mar-17,12900.00,13100.00,12750.00,13000.00,86951
27-Mar-17,12900.00,13000.00,12750.00,12850.00,50993
24-Mar-17,12550.00,12900.00,12550.00,12900.00,158261
23-Mar-17,12700.00,12950.00,12400.00,12500.00,203997
22-Mar-17,12850.00,13000.00,12600.00,12750.00,131656
21-Mar-17,13350.00,13350.00,12800.00,12850.00,150551
20-Mar-17,12900.00,13400.00,12850.00,13150.00,141472
17-Mar-17,13100.00,13150.00,12800.00,12900.00,78261
16-Mar-17,13200.00,13250.00,12650.00,13000.00,182653
15-Mar-17,13200.00,13350.00,12950.00,13100.00,101222
14-Mar-17,13400.00,13500.00,13100.00,13150.00,100972
13-Mar-17,13450.00,13550.00,13150.00,13400.00,81995
10-Mar-17,13350.00,13650.00,13100.00,13450.00,85485
9-Mar-17,13400.00,13600.00,13200.00,13500.00,78946
8-Mar-17,13550.00,13650.00,13250.00,13500.00,83224
7-Mar-17,13050.00,13700.00,13050.00,13400.00,126451
6-Mar-17,13200.00,13250.00,12900.00,13150.00,107528
3-Mar-17,13100.00,13450.00,12950.00,13200.00,124588
2-Mar-17,13300.00,13450.00,12850.00,13250.00,136852
28-Feb-17,13400.00,13450.00,13100.00,13250.00,112730
27-Feb-17,13350.00,13450.00,13200.00,13350.00,100210
24-Feb-17,13100.00,13450.00,12800.00,13350.00,216927
23-Feb-17,12550.00,13300.00,12450.00,13000.00,459937
22-Feb-17,12650.00,12650.00,12200.00,12400.00,208615
21-Feb-17,12900.00,12900.00,12550.00,12650.00,161998
20-Feb-17,12700.00,12950.00,12500.00,12700.00,167655
17-Feb-17,12650.00,12950.00,12550.00,12800.00,206065
16-Feb-17,12200.00,12700.00,12200.00,12650.00,230538
15-Feb-17,12100.00,12300.00,11900.00,12150.00,130716
14-Feb-17,12200.00,12250.00,11950.00,12150.00,93816
13-Feb-17,12200.00,12550.00,11950.00,12100.00,195025
10-Feb-17,11800.00,12150.00,11600.00,12100.00,186136
9-Feb-17,11600.00,11900.00,11550.00,11750.00,69501
8-Feb-17,11550.00,11700.00,11500.00,11600.00,70492
7-Feb-17,11850.00,11950.00,11500.00,11600.00,119657
6-Feb-17,11550.00,11850.00,11300.00,11700.00,110269
3-Feb-17,11600.00,11850.00,11500.00,11600.00,65729
2-Feb-17,11850.00,11950.00,11500.00,11650.00,140765
1-Feb-17,12000.00,12000.00,11700.00,11950.00,92511
31-Jan-17,11800.00,11950.00,11600.00,11950.00,24803
26-Jan-17,11700.00,11800.00,11550.00,11700.00,52691
25-Jan-17,11900.00,11950.00,11700.00,11700.00,29874
24-Jan-17,12250.00,12300.00,11750.00,11950.00,96377
23-Jan-17,12200.00,12500.00,12100.00,12100.00,114435
20-Jan-17,12000.00,12200.00,11950.00,12150.00,62153
19-Jan-17,11950.00,12050.00,11850.00,12000.00,44280
18-Jan-17,11850.00,12250.00,11850.00,12000.00,80581
17-Jan-17,12150.00,12150.00,11850.00,11850.00,27431
16-Jan-17,11900.00,12100.00,11500.00,12050.00,144927
13-Jan-17,12150.00,12200.00,11850.00,11900.00,169088
12-Jan-17,11700.00,12100.00,11450.00,12050.00,185102
11-Jan-17,11650.00,11750.00,11450.00,11650.00,207021
10-Jan-17,11100.00,11700.00,11100.00,11550.00,367275
9-Jan-17,10950.00,11150.00,10850.00,11000.00,129226
6-Jan-17,11100.00,11150.00,10750.00,10850.00,190043
5-Jan-17,11250.00,11300.00,11000.00,11100.00,147151
4-Jan-17,11450.00,11450.00,11150.00,11250.00,170379
3-Jan-17,11600.00,11600.00,11350.00,11500.00,89296
2-Jan-17,11750.00,11800.00,11500.00,11600.00,62005
29-Dec-16,11650.00,11950.00,11650.00,11800.00,50925
28-Dec-16,11750.00,11850.00,11600.00,11700.00,90563
27-Dec-16,11750.00,11900.00,11700.00,11900.00,70039
26-Dec-16,11950.00,12000.00,11700.00,11800.00,82573
23-Dec-16,11950.00,12000.00,11850.00,11950.00,48629
22-Dec-16,11950.00,12100.00,11900.00,11950.00,60485
21-Dec-16,11950.00,12200.00,11850.00,11950.00,159209
20-Dec-16,12150.00,12250.00,11950.00,11950.00,93194
19-Dec-16,11950.00,12250.00,11800.00,12200.00,151191
16-Dec-16,12000.00,12050.00,11700.00,11950.00,107083
15-Dec-16,12050.00,12150.00,12000.00,12100.00,33180
14-Dec-16,12400.00,12400.00,12150.00,12150.00,58747
13-Dec-16,12300.00,12400.00,12100.00,12300.00,88334
12-Dec-16,12050.00,12200.00,11950.00,12100.00,74146
9-Dec-16,11900.00,12100.00,11700.00,11900.00,128227
8-Dec-16,11850.00,12050.00,11750.00,12050.00,99224
7-Dec-16,11850.00,12050.00,11450.00,11950.00,114482
6-Dec-16,11600.00,11850.00,11550.00,11750.00,177660
5-Dec-16,11550.00,11650.00,11300.00,11600.00,85891
2-Dec-16,12000.00,12000.00,11250.00,11600.00,267401
1-Dec-16,12200.00,12250.00,11800.00,12000.00,143798
30-Nov-16,12350.00,12400.00,12150.00,12200.00,77826
29-Nov-16,12300.00,12450.00,11950.00,12300.00,118511
28-Nov-16,12050.00,12500.00,12000.00,12450.00,144821
25-Nov-16,12250.00,12300.00,12000.00,12200.00,66661
24-Nov-16,12000.00,12300.00,11600.00,12200.00,95186
23-Nov-16,11900.00,12050.00,11450.00,11950.00,139138
22-Nov-16,12150.00,12200.00,11800.00,11950.00,82614
21-Nov-16,12600.00,12600.00,12200.00,12200.00,52820
18-Nov-16,12450.00,12800.00,12300.00,12650.00,76737
17-Nov-16,12500.00,12700.00,12400.00,12600.00,46654
16-Nov-16,12150.00,12650.00,12100.00,12600.00,115617
15-Nov-16,11950.00,12200.00,11900.00,12000.00,48050
14-Nov-16,11950.00,12200.00,11800.00,11950.00,62062
11-Nov-16,12300.00,12300.00,11900.00,12100.00,98186
10-Nov-16,11650.00,12300.00,11400.00,12300.00,69088
9-Nov-16,11700.00,11800.00,10850.00,11550.00,156711
