Date,Open,High,Low,Close,Volume
31-Mar-17,20350.00,20450.00,20250.00,20350.00,256666
30-Mar-17,20400.00,20500.00,20350.00,20400.00,93982
29-Mar-17,20600.00,20650.00,20300.00,20350.00,282621
28-Mar-17,20800.00,20800.00,20600.00,20600.00,153685
27-Mar-17,20700.00,20850.00,20500.00,20800.00,138358
24-Mar-17,20300.00,20750.00,20300.00,20700.00,194118
23-Mar-17,20400.00,20400.00,20250.00,20350.00,202932
22-Mar-17,20400.00,20500.00,20300.00,20400.00,200805
21-Mar-17,20550.00,20550.00,20300.00,20400.00,191902
20-Mar-17,20600.00,20600.00,20400.00,20500.00,86035
17-Mar-17,20450.00,20550.00,20300.00,20550.00,154515
16-Mar-17,20450.00,20450.00,20300.00,20400.00,204957
15-Mar-17,20450.00,20550.00,20250.00,20350.00,168002
14-Mar-17,20550.00,20600.00,20400.00,20450.00,112242
13-Mar-17,20600.00,20700.00,20450.00,20500.00,147039
10-Mar-17,20550.00,20650.00,20350.00,20600.00,149215
9-Mar-17,20650.00,20700.00,20450.00,20550.00,164826
8-Mar-17,20500.00,20750.00,20500.00,20650.00,152140
7-Mar-17,20350.00,20500.00,20350.00,20500.00,174698
6-Mar-17,20400.00,20450.00,20200.00,20300.00,235467
3-Mar-17,20850.00,20850.00,20400.00,20500.00,229078
2-Mar-17,21150.00,21250.00,20800.00,20800.00,151120
28-Feb-17,21450.00,21450.00,21000.00,21100.00,165233
27-Feb-17,21350.00,21400.00,21150.00,21400.00,178920
24-Feb-17,21100.00,21450.00,20950.00,21400.00,226750
23-Feb-17,21000.00,21150.00,20900.00,21100.00,127560
22-Feb-17,21000.00,21100.00,20850.00,20950.00,101551
21-Feb-17,20450.00,21150.00,20450.00,21000.00,465769
20-Feb-17,20500.00,20550.00,20350.00,20450.00,179486
17-Feb-17,20600.00,20600.00,20400.00,20500.00,150194
16-Feb-17,20800.00,20800.00,20500.00,20600.00,109301
15-Feb-17,20600.00,20800.00,20550.00,20750.00,160060
14-Feb-17,20650.00,20650.00,20500.00,20550.00,92160
13-Feb-17,20600.00,20750.00,20500.00,20550.00,224979
10-Feb-17,20500.00,20550.00,20400.00,20550.00,94244
9-Feb-17,20550.00,20650.00,20350.00,20450.00,216216
8-Feb-17,20700.00,20700.00,20450.00,20600.00,130052
7-Feb-17,20400.00,20650.00,20400.00,20550.00,143623
6-Feb-17,20600.00,20650.00,20350.00,20450.00,273365
3-Feb-17,20450.00,20550.00,20350.00,20550.00,161655
2-Feb-17,20700.00,20800.00,20350.00,20450.00,273245
1-Feb-17,20850.00,20900.00,20700.00,20800.00,140740
31-Jan-17,20750.00,20850.00,20650.00,20800.00,85700
26-Jan-17,20900.00,20900.00,20650.00,20750.00,137974
25-Jan-17,21150.00,21150.00,20750.00,20800.00,143223
24-Jan-17,21250.00,21300.00,20900.00,21000.00,154681
23-Jan-17,21150.00,21500.00,21100.00,21200.00,182603
20-Jan-17,21200.00,21200.00,21050.00,21150.00,82983
19-Jan-17,21200.00,21250.00,21050.00,21100.00,72221
18-Jan-17,21150.00,21150.00,21000.00,21150.00,89277
17-Jan-17,20950.00,21150.00,20850.00,21150.00,117782
16-Jan-17,21000.00,21150.00,20800.00,20950.00,181371
13-Jan-17,20850.00,21000.00,20800.00,20950.00,113361
12-Jan-17,20950.00,21000.00,20700.00,20900.00,184526
11-Jan-17,20800.00,21000.00,20750.00,20950.00,158238
10-Jan-17,21200.00,21200.00,20750.00,20800.00,194400
9-Jan-17,21350.00,21400.00,21150.00,21200.00,87843
6-Jan-17,21300.00,21350.00,21200.00,21350.00,80485
5-Jan-17,21250.00,21400.00,21100.00,21300.00,186497
4-Jan-17,21300.00,21300.00,21000.00,21100.00,125876
3-Jan-17,20900.00,21300.00,20750.00,21300.00,154303
2-Jan-17,21100.00,21150.00,20650.00,20900.00,199607
29-Dec-16,21400.00,21400.00,21050.00,21100.00,149951
28-Dec-16,21600.00,21750.00,21150.00,21300.00,485427
27-Dec-16,22400.00,22600.00,22250.00,22400.00,510958
26-Dec-16,22150.00,22300.00,22100.00,22300.00,263266
23-Dec-16,22150.00,22200.00,22000.00,22100.00,168058
22-Dec-16,22250.00,22250.00,22000.00,22150.00,194784
21-Dec-16,22250.00,22300.00,22100.00,22100.00,207778
20-Dec-16,22100.00,22300.00,21950.00,22250.00,275917
19-Dec-16,21850.00,22000.00,21850.00,22000.00,176769
16-Dec-16,21850.00,21950.00,21750.00,21800.00,170289
15-Dec-16,21600.00,21950.00,21600.00,21900.00,109440
14-Dec-16,22050.00,22050.00,21750.00,21750.00,159707
13-Dec-16,21800.00,21950.00,21650.00,21950.00,233093
12-Dec-16,21950.00,22000.00,21700.00,21800.00,120681
9-Dec-16,21800.00,22100.00,21750.00,21950.00,228165
8-Dec-16,21750.00,21900.00,21650.00,21900.00,184107
7-Dec-16,21900.00,21900.00,21550.00,21650.00,184545
6-Dec-16,21400.00,21900.00,21250.00,21850.00,262727
5-Dec-16,21000.00,21400.00,20950.00,21150.00,142719
2-Dec-16,21450.00,21550.00,21000.00,21050.00,220733
1-Dec-16,21650.00,21700.00,21400.00,21450.00,177455
30-Nov-16,21650.00,21950.00,21500.00,21750.00,319794
29-Nov-16,21200.00,21700.00,21150.00,21550.00,246163
28-Nov-16,21450.00,21450.00,21100.00,21250.00,132758
25-Nov-16,20850.00,21250.00,20750.00,21250.00,175900
24-Nov-16,20800.00,21000.00,20600.00,20800.00,176872
23-Nov-16,20900.00,20950.00,20800.00,20850.00,113087
22-Nov-16,20850.00,21000.00,20800.00,20900.00,143030
21-Nov-16,20900.00,21050.00,20750.00,20900.00,100635
18-Nov-16,21150.00,21150.00,20900.00,20950.00,139055
17-Nov-16,21250.00,21250.00,21050.00,21100.00,227151
16-Nov-16,21350.00,21450.00,21050.00,21150.00,248962
15-Nov-16,21550.00,21550.00,21150.00,21200.00,220817
14-Nov-16,21500.00,21600.00,21350.00,21550.00,111007
11-Nov-16,21600.00,21700.00,21300.00,21500.00,155373
10-Nov-16,21350.00,21750.00,21300.00,21650.00,190683
9-Nov-16,21500.00,21600.00,20700.00,21300.00,414643
8-Nov-16,21450.00,21550.00,21250.00,21500.00,103301
7-Nov-16,21400.00,21650.00,21150.00,21350.00,190007
4-Nov-16,21400.00,21550.00,21000.00,21200.00,155222
3-Nov-16,21100.00,21450.00,21100.00,21300.00,213699
2-Nov-16,21450.00,21500.00,20850.00,21200.00,240594
1-Nov-16,22000.00,22050.00,21300.00,21450.00,187713
31-Oct-16,21800.00,22200.00,21800.00,22000.00,633592
28-Oct-16,21400.00,22200.00,21300.00,21600.00,1045387
27-Oct-16,20400.00,20750.00,20350.00,20750.00,229868
26-Oct-16,20700.00,20700.00,20150.00,20300.00,358182
25-Oct-16,21150.00,21150.00,20700.00,20750.00,282772
24-Oct-16,21400.00,21450.00,21050.00,21100.00,273658
21-Oct-16,21350.00,21550.00,21200.00,21450.00,173853
20-Oct-16,21350.00,21450.00,21250.00,21350.00,160271
19-Oct-16,21600.00,21600.00,21150.00,21250.00,355888
18-Oct-16,21550.00,21600.00,21500.00,21600.00,142099
17-Oct-16,21650.00,21800.00,21500.00,21500.00,278338
14-Oct-16,21900.00,22150.00,21600.00,21650.00,347943
13-Oct-16,22250.00,22250.00,21950.00,22000.00,197448
12-Oct-16,22200.00,22350.00,22100.00,22350.00,99332
11-Oct-16,22300.00,22450.00,22050.00,22150.00,161923
10-Oct-16,21950.00,22400.00,21950.00,22200.00,122578
7-Oct-16,21900.00,22400.00,21900.00,22000.00,233102
6-Oct-16,22300.00,22400.00,21850.00,21850.00,379193
5-Oct-16,22650.00,22650.00,22200.00,22250.00,316968
4-Oct-16,22700.00,22800.00,22500.00,22650.00,95592
30-Sep-16,22600.00,22850.00,22550.00,22550.00,131381
29-Sep-16,22800.00,22950.00,22750.00,22750.00,149922
28-Sep-16,23100.00,23250.00,22750.00,22750.00,261123
27-Sep-16,23100.00,23200.00,22900.00,23100.00,218369
26-Sep-16,23100.00,23350.00,23000.00,23150.00,204321
23-Sep-16,23000.00,23250.00,23000.00,23000.00,227949
22-Sep-16,23250.00,23250.00,23050.00,23200.00,117312
21-Sep-16,22750.00,23100.00,22750.00,23050.00,168240
20-Sep-16,22750.00,22900.00,22500.00,22750.00,252085
19-Sep-16,23000.00,23050.00,22600.00,22700.00,356494
13-Sep-16,23000.00,23250.00,22950.00,23050.00,335814
12-Sep-16,22900.00,23200.00,22850.00,23100.00,260026
9-Sep-16,23050.00,23100.00,22750.00,23050.00,250800
8-Sep-16,22800.00,23100.00,22700.00,23000.00,318457
7-Sep-16,22550.00,22850.00,22500.00,22800.00,278743
6-Sep-16,22500.00,22550.00,22400.00,22400.00,109907
5-Sep-16,22350.00,22650.00,22350.00,22400.00,186766
2-Sep-16,21850.00,22150.00,21750.00,22100.00,143070
1-Sep-16,21700.00,22000.00,21700.00,21850.00,140684
31-Aug-16,21900.00,22150.00,21800.00,21900.00,267668
30-Aug-16,21800.00,22150.00,21800.00,22100.00,196417
29-Aug-16,21800.00,22050.00,21700.00,21800.00,192784
26-Aug-16,21650.00,21800.00,21500.00,21750.00,134439
25-Aug-16,21800.00,21900.00,21550.00,21700.00,143340
24-Aug-16,21600.00,21950.00,21400.00,21900.00,222769
23-Aug-16,21300.00,21650.00,21250.00,21300.00,266024
22-Aug-16,21850.00,21850.00,21150.00,21350.00,376094
19-Aug-16,22300.00,22450.00,21700.00,21800.00,645361
18-Aug-16,22500.00,22700.00,22350.00,22500.00,229595
17-Aug-16,22850.00,23050.00,22350.00,22350.00,381006
16-Aug-16,22750.00,22950.00,22650.00,22900.00,192496
12-Aug-16,22750.00,22900.00,22600.00,22650.00,213417
11-Aug-16,22650.00,22900.00,22600.00,22800.00,190029
10-Aug-16,23000.00,23000.00,22650.00,22700.00,183351
9-Aug-16,22700.00,23000.00,22600.00,23000.00,163381
8-Aug-16,22600.00,22800.00,22500.00,22600.00,123073
5-Aug-16,22950.00,23000.00,22500.00,22600.00,210612
4-Aug-16,22800.00,22900.00,22650.00,22800.00,189543
3-Aug-16,22700.00,22850.00,22500.00,22800.00,205771
2-Aug-16,22450.00,22750.00,22450.00,22700.00,206178
1-Aug-16,22450.00,22700.00,22300.00,22450.00,229535
29-Jul-16,23200.00,23200.00,22450.00,22500.00,556677
28-Jul-16,23250.00,23400.00,23150.00,23250.00,133434
27-Jul-16,23400.00,23500.00,23250.00,23250.00,143822
26-Jul-16,23200.00,23500.00,23000.00,23400.00,191798
25-Jul-16,23500.00,23700.00,23050.00,23150.00,244959
22-Jul-16,23250.00,23400.00,23100.00,23400.00,229599
21-Jul-16,23550.00,23700.00,23100.00,23350.00,432790
20-Jul-16,23950.00,23950.00,23400.00,23550.00,234550
19-Jul-16,24050.00,24150.00,23750.00,23900.00,193011
18-Jul-16,24250.00,24300.00,23900.00,24000.00,150327
15-Jul-16,24200.00,24400.00,24100.00,24200.00,143377
14-Jul-16,24350.00,24400.00,24000.00,24050.00,315382
13-Jul-16,24400.00,24650.00,24300.00,24350.00,185690
12-Jul-16,24600.00,24600.00,24300.00,24300.00,182485
11-Jul-16,24100.00,24550.00,24050.00,24550.00,206738
8-Jul-16,24200.00,24250.00,23800.00,24050.00,131476
