Date,Open,High,Low,Close,Volume
31-Mar-17,394500.00,397500.00,394500.00,397500.00,997
30-Mar-17,395000.00,398500.00,394000.00,394500.00,1456
29-Mar-17,397500.00,398500.00,395000.00,395000.00,1588
28-Mar-17,398000.00,400000.00,395500.00,396000.00,1791
27-Mar-17,399500.00,400500.00,395500.00,396000.00,1214
24-Mar-17,399500.00,400500.00,396500.00,397000.00,2554
23-Mar-17,400500.00,400500.00,398500.00,399000.00,806
22-Mar-17,399500.00,400500.00,398500.00,400500.00,967
21-Mar-17,400000.00,401000.00,398000.00,399000.00,1005
20-Mar-17,398000.00,400000.00,397000.00,399500.00,1262
17-Mar-17,400000.00,400000.00,397000.00,398000.00,1891
16-Mar-17,400000.00,401500.00,397500.00,399500.00,1437
15-Mar-17,399500.00,401500.00,397000.00,397500.00,1378
14-Mar-17,399500.00,401000.00,398500.00,399500.00,2227
13-Mar-17,397500.00,401500.00,397000.00,399000.00,1965
10-Mar-17,398000.00,399500.00,395000.00,397500.00,2813
9-Mar-17,401000.00,401500.00,396500.00,397500.00,3670
8-Mar-17,403000.00,404000.00,400000.00,401000.00,1479
7-Mar-17,403000.00,405000.00,401500.00,403000.00,1598
6-Mar-17,407500.00,407500.00,402500.00,402500.00,2476
3-Mar-17,407500.00,409000.00,407000.00,407500.00,1176
2-Mar-17,407000.00,410000.00,407000.00,407500.00,1996
28-Feb-17,409500.00,409500.00,406000.00,407500.00,1774
27-Feb-17,410000.00,411500.00,406000.00,407000.00,1660
24-Feb-17,406000.00,409500.00,405500.00,409500.00,2306
23-Feb-17,407500.00,409000.00,406000.00,406000.00,2035
22-Feb-17,411000.00,411500.00,407500.00,407500.00,2549
21-Feb-17,410000.00,413500.00,409500.00,409500.00,2226
20-Feb-17,419000.00,419000.00,409500.00,410500.00,3534
17-Feb-17,420500.00,421500.00,417000.00,417500.00,2375
16-Feb-17,423500.00,423500.00,420500.00,420500.00,1745
15-Feb-17,425500.00,427500.00,422500.00,423500.00,1331
14-Feb-17,427500.00,429000.00,425000.00,426500.00,689
13-Feb-17,426000.00,429000.00,423500.00,427000.00,614
10-Feb-17,424500.00,425000.00,422500.00,424500.00,926
9-Feb-17,424000.00,425000.00,421000.00,423000.00,1252
8-Feb-17,422000.00,424500.00,422000.00,424000.00,1237
7-Feb-17,422000.00,424000.00,421500.00,422000.00,770
6-Feb-17,425000.00,426000.00,422000.00,422000.00,814
3-Feb-17,422000.00,425000.00,422000.00,424000.00,935
2-Feb-17,423500.00,426500.00,423000.00,425000.00,1044
1-Feb-17,427500.00,428000.00,423000.00,424000.00,1758
31-Jan-17,426500.00,429000.00,425000.00,426500.00,1320
26-Jan-17,427000.00,428500.00,426500.00,427000.00,1095
25-Jan-17,430000.00,431000.00,427000.00,427000.00,673
24-Jan-17,430000.00,430000.00,426000.00,429000.00,943
23-Jan-17,431500.00,432000.00,427000.00,427000.00,903
20-Jan-17,429500.00,432500.00,429500.00,431500.00,574
19-Jan-17,432500.00,434000.00,429000.00,429500.00,951
18-Jan-17,430000.00,434000.00,427000.00,434000.00,1375
17-Jan-17,429500.00,430000.00,427000.00,428500.00,543
16-Jan-17,431000.00,432000.00,426000.00,427000.00,1410
13-Jan-17,432000.00,433500.00,428500.00,430500.00,816
12-Jan-17,431000.00,433000.00,426000.00,430500.00,2402
11-Jan-17,427500.00,432500.00,426500.00,430000.00,1341
10-Jan-17,429000.00,429500.00,424500.00,428500.00,2003
9-Jan-17,433000.00,435000.00,429500.00,429500.00,1476
6-Jan-17,432500.00,435500.00,432000.00,433000.00,585
5-Jan-17,432000.00,435500.00,431500.00,432500.00,1432
4-Jan-17,436500.00,437000.00,432500.00,432500.00,1718
3-Jan-17,436000.00,439500.00,436000.00,436500.00,1198
2-Jan-17,443000.00,443500.00,436500.00,437000.00,860
29-Dec-16,442000.00,443000.00,439500.00,443000.00,852
28-Dec-16,448000.00,448000.00,439500.00,440000.00,2766
27-Dec-16,458000.00,459500.00,456500.00,458000.00,3853
26-Dec-16,456000.00,459000.00,455000.00,457000.00,1682
23-Dec-16,451500.00,456000.00,450000.00,456000.00,2473
22-Dec-16,449000.00,451500.00,448500.00,450500.00,1624
21-Dec-16,451000.00,452000.00,449000.00,449000.00,1234
20-Dec-16,450000.00,451000.00,449000.00,450500.00,1835
19-Dec-16,450500.00,450500.00,448500.00,450000.00,1151
16-Dec-16,447500.00,450000.00,447000.00,448000.00,1210
15-Dec-16,446000.00,450000.00,446000.00,449000.00,543
14-Dec-16,448500.00,451000.00,447000.00,448000.00,1302
13-Dec-16,448000.00,450500.00,447000.00,448500.00,2124
12-Dec-16,447500.00,451000.00,446500.00,447500.00,1115
9-Dec-16,450000.00,450000.00,446000.00,447000.00,577
8-Dec-16,447000.00,449000.00,443500.00,449000.00,1177
7-Dec-16,445000.00,447500.00,443000.00,444500.00,757
6-Dec-16,447000.00,449000.00,444000.00,446000.00,1089
5-Dec-16,449500.00,449500.00,442000.00,443000.00,1584
2-Dec-16,448500.00,449500.00,446500.00,449000.00,1132
1-Dec-16,447500.00,449000.00,444500.00,448500.00,1885
30-Nov-16,445500.00,447500.00,442500.00,447500.00,2457
29-Nov-16,440000.00,446500.00,440000.00,446000.00,1861
28-Nov-16,439500.00,442500.00,439000.00,440000.00,1118
25-Nov-16,440500.00,442000.00,439500.00,440000.00,1118
24-Nov-16,440000.00,443000.00,438000.00,440500.00,2004
23-Nov-16,444000.00,444000.00,439000.00,439500.00,2107
22-Nov-16,447500.00,448000.00,442500.00,444000.00,1614
21-Nov-16,450500.00,451000.00,444000.00,447500.00,911
18-Nov-16,446000.00,450500.00,446000.00,450500.00,2161
17-Nov-16,448500.00,450000.00,446500.00,448000.00,2580
16-Nov-16,448000.00,448500.00,444000.00,448500.00,1986
15-Nov-16,444500.00,447500.00,440500.00,447000.00,3419
14-Nov-16,443000.00,446000.00,441000.00,445500.00,1754
11-Nov-16,442500.00,444500.00,441000.00,444000.00,2036
10-Nov-16,437000.00,442000.00,437000.00,441500.00,2160
9-Nov-16,444000.00,444500.00,433500.00,435000.00,4720
8-Nov-16,441500.00,442500.00,440500.00,442500.00,834
7-Nov-16,444500.00,444500.00,440500.00,441000.00,1024
4-Nov-16,446000.00,446500.00,440500.00,443500.00,1397
3-Nov-16,441500.00,447000.00,439000.00,446500.00,1949
2-Nov-16,441500.00,442000.00,439000.00,439500.00,1844
1-Nov-16,443000.00,443000.00,440500.00,441500.00,880
31-Oct-16,441000.00,442500.00,440500.00,441000.00,871
28-Oct-16,441000.00,444000.00,441000.00,442000.00,857
27-Oct-16,443500.00,444500.00,441000.00,442000.00,753
26-Oct-16,442500.00,444500.00,441500.00,443500.00,462
25-Oct-16,444000.00,444500.00,441500.00,442500.00,821
24-Oct-16,442000.00,444500.00,441000.00,444000.00,1249
21-Oct-16,444000.00,444500.00,440500.00,441000.00,1014
20-Oct-16,442500.00,445000.00,442000.00,442500.00,906
19-Oct-16,441000.00,444500.00,441000.00,442500.00,1662
18-Oct-16,443500.00,444000.00,440500.00,441000.00,2281
17-Oct-16,445500.00,445500.00,440500.00,441000.00,1347
14-Oct-16,443500.00,449000.00,442000.00,442000.00,1089
13-Oct-16,448000.00,448500.00,444000.00,444000.00,1406
12-Oct-16,453000.00,453000.00,448000.00,449000.00,1036
11-Oct-16,451000.00,453000.00,448500.00,450500.00,1189
10-Oct-16,445000.00,451000.00,443000.00,449000.00,1325
7-Oct-16,445500.00,447000.00,439000.00,441500.00,1795
6-Oct-16,447500.00,450500.00,446500.00,447000.00,1062
5-Oct-16,447500.00,451500.00,447500.00,451000.00,1442
4-Oct-16,447500.00,451000.00,447500.00,449500.00,880
30-Sep-16,449000.00,454000.00,448000.00,449500.00,1407
29-Sep-16,449500.00,453000.00,445500.00,450000.00,1326
28-Sep-16,442500.00,449500.00,442500.00,449000.00,1127
27-Sep-16,444500.00,445500.00,440500.00,443500.00,1310
26-Sep-16,443000.00,444000.00,439000.00,443000.00,774
23-Sep-16,443500.00,444000.00,440500.00,441000.00,1171
22-Sep-16,441000.00,441500.00,439000.00,441000.00,582
21-Sep-16,439500.00,441000.00,437500.00,438500.00,2192
20-Sep-16,444500.00,444500.00,438500.00,440000.00,2710
19-Sep-16,445000.00,449500.00,440000.00,444500.00,1436
13-Sep-16,450000.00,450000.00,446500.00,447000.00,1614
12-Sep-16,449500.00,451000.00,446500.00,449500.00,815
9-Sep-16,447500.00,450000.00,445000.00,449500.00,1767
8-Sep-16,449000.00,452000.00,448000.00,449500.00,1354
7-Sep-16,449500.00,453000.00,447500.00,450000.00,1780
6-Sep-16,444000.00,454000.00,444000.00,450000.00,1580
5-Sep-16,439500.00,445500.00,439500.00,445000.00,1694
2-Sep-16,441000.00,442000.00,438500.00,439500.00,527
1-Sep-16,439500.00,442000.00,436500.00,441000.00,1369
31-Aug-16,439500.00,440000.00,437000.00,438500.00,1174
30-Aug-16,438500.00,441000.00,437000.00,437500.00,1410
29-Aug-16,441500.00,442500.00,437500.00,438000.00,2618
26-Aug-16,440500.00,445500.00,440000.00,441500.00,1572
25-Aug-16,444000.00,446000.00,441000.00,442000.00,2821
24-Aug-16,445000.00,448000.00,443500.00,444000.00,1759
23-Aug-16,449000.00,449000.00,445000.00,445000.00,992
22-Aug-16,448500.00,452000.00,445000.00,446500.00,1592
19-Aug-16,456000.00,456000.00,448000.00,448500.00,2098
18-Aug-16,455000.00,456000.00,452500.00,456000.00,1681
17-Aug-16,457000.00,457000.00,451500.00,455500.00,1004
16-Aug-16,457000.00,457500.00,455000.00,457000.00,1055
12-Aug-16,448500.00,458000.00,448500.00,455500.00,2378
11-Aug-16,448000.00,451500.00,447500.00,451500.00,1352
10-Aug-16,447000.00,451000.00,447000.00,448000.00,1200
9-Aug-16,448500.00,451000.00,446000.00,448000.00,1522
8-Aug-16,445500.00,451500.00,445500.00,448500.00,1265
5-Aug-16,449000.00,449000.00,446000.00,447500.00,838
4-Aug-16,445000.00,449500.00,444500.00,448000.00,930
3-Aug-16,446500.00,448000.00,444000.00,444500.00,1637
2-Aug-16,447000.00,449000.00,446000.00,448000.00,896
1-Aug-16,447000.00,450000.00,446000.00,447000.00,1077
29-Jul-16,448500.00,451000.00,445500.00,447500.00,1181
28-Jul-16,447500.00,450500.00,446500.00,448500.00,862
27-Jul-16,451000.00,452500.00,446500.00,447500.00,1655
