Date,Open,High,Low,Close,Volume
31-Mar-17,37950.00,39700.00,37850.00,39450.00,34224
30-Mar-17,38050.00,38200.00,37350.00,38000.00,16635
29-Mar-17,37850.00,38250.00,37450.00,38000.00,14830
28-Mar-17,37900.00,38250.00,37100.00,37850.00,29920
27-Mar-17,38150.00,38850.00,37500.00,38000.00,25792
24-Mar-17,36200.00,38200.00,36100.00,38050.00,65986
23-Mar-17,36200.00,36450.00,36100.00,36200.00,16172
22-Mar-17,36800.00,37300.00,35950.00,36100.00,37918
21-Mar-17,37300.00,37650.00,36900.00,36900.00,22951
20-Mar-17,38300.00,38300.00,37350.00,37400.00,15414
17-Mar-17,38150.00,38250.00,37600.00,38000.00,22356
16-Mar-17,37900.00,38150.00,37500.00,38100.00,23403
15-Mar-17,37000.00,37350.00,36850.00,37300.00,18020
14-Mar-17,36950.00,37550.00,36800.00,36850.00,15763
13-Mar-17,37300.00,37300.00,36900.00,36900.00,10680
10-Mar-17,37800.00,37850.00,36850.00,37300.00,19342
9-Mar-17,38350.00,38450.00,37600.00,38050.00,16870
8-Mar-17,37250.00,38500.00,37250.00,38450.00,34687
7-Mar-17,36700.00,37550.00,36500.00,37450.00,14524
6-Mar-17,37450.00,37450.00,36650.00,36750.00,24890
3-Mar-17,37800.00,38050.00,37250.00,37450.00,21179
2-Mar-17,38000.00,38350.00,37450.00,37800.00,17866
28-Feb-17,37500.00,38100.00,37350.00,37650.00,28641
27-Feb-17,37250.00,37750.00,37100.00,37700.00,12796
24-Feb-17,37250.00,37400.00,37000.00,37250.00,18547
23-Feb-17,37850.00,38000.00,37100.00,37500.00,11170
22-Feb-17,37950.00,38100.00,37450.00,37600.00,9947
21-Feb-17,37500.00,38250.00,37450.00,37850.00,17707
20-Feb-17,37550.00,37600.00,37150.00,37400.00,11927
17-Feb-17,37650.00,37750.00,37350.00,37550.00,9452
16-Feb-17,38100.00,38500.00,37350.00,37450.00,15805
15-Feb-17,38150.00,38600.00,37800.00,38150.00,13008
14-Feb-17,37700.00,38650.00,37500.00,38350.00,34091
13-Feb-17,36800.00,37800.00,36800.00,37650.00,28660
10-Feb-17,37150.00,37250.00,36750.00,36800.00,16392
9-Feb-17,37300.00,37500.00,36700.00,36950.00,23872
8-Feb-17,36650.00,37550.00,36400.00,37300.00,23510
7-Feb-17,36500.00,36850.00,36350.00,36650.00,17207
6-Feb-17,36650.00,36850.00,36250.00,36600.00,15984
3-Feb-17,36300.00,36500.00,35850.00,36300.00,24330
2-Feb-17,36550.00,36600.00,36200.00,36250.00,10328
1-Feb-17,36300.00,36500.00,36050.00,36350.00,14257
31-Jan-17,35750.00,35950.00,35300.00,35800.00,10641
26-Jan-17,35900.00,36400.00,35700.00,35700.00,17149
25-Jan-17,36750.00,36850.00,35850.00,35900.00,19852
24-Jan-17,36650.00,36650.00,36150.00,36450.00,13952
23-Jan-17,36950.00,37000.00,36400.00,36400.00,17594
20-Jan-17,37300.00,37300.00,36750.00,36750.00,23430
19-Jan-17,37800.00,38400.00,37250.00,37300.00,20801
18-Jan-17,38000.00,38050.00,37550.00,37900.00,5908
17-Jan-17,38350.00,38650.00,37450.00,37750.00,18192
16-Jan-17,39000.00,39050.00,37900.00,38300.00,10316
13-Jan-17,38500.00,38900.00,37900.00,38800.00,19999
12-Jan-17,38600.00,39150.00,38300.00,38500.00,27977
11-Jan-17,37450.00,38500.00,37200.00,38500.00,52823
10-Jan-17,37300.00,37600.00,37000.00,37000.00,14846
9-Jan-17,37700.00,37950.00,37300.00,37700.00,9882
6-Jan-17,37150.00,37900.00,36950.00,37700.00,16354
5-Jan-17,36750.00,37100.00,36700.00,37000.00,18627
4-Jan-17,36650.00,37350.00,36600.00,36700.00,13690
3-Jan-17,37000.00,37100.00,36600.00,36750.00,22410
2-Jan-17,37050.00,37350.00,36650.00,36800.00,15213
29-Dec-16,37700.00,37700.00,36950.00,37050.00,11940
28-Dec-16,37500.00,37750.00,37250.00,37500.00,8731
27-Dec-16,37750.00,38350.00,37750.00,38000.00,11649
26-Dec-16,38500.00,38750.00,37850.00,37850.00,10707
23-Dec-16,37750.00,38600.00,37750.00,38500.00,20530
22-Dec-16,37800.00,38300.00,37500.00,37750.00,15441
21-Dec-16,37300.00,38300.00,37250.00,37800.00,21809
20-Dec-16,37400.00,37550.00,37200.00,37300.00,11222
19-Dec-16,37400.00,37400.00,37050.00,37400.00,19091
16-Dec-16,37800.00,38100.00,37050.00,37050.00,28987
15-Dec-16,37600.00,38200.00,37500.00,37900.00,20304
14-Dec-16,38550.00,38550.00,37900.00,38000.00,23652
13-Dec-16,38850.00,39100.00,38200.00,38900.00,29704
12-Dec-16,38200.00,39150.00,38200.00,38800.00,21950
9-Dec-16,38400.00,38600.00,37900.00,38050.00,18622
8-Dec-16,38100.00,38550.00,37700.00,38550.00,22780
7-Dec-16,37800.00,38300.00,36800.00,37900.00,27335
6-Dec-16,37300.00,38100.00,36850.00,37800.00,21791
5-Dec-16,36500.00,37500.00,36400.00,36750.00,12866
2-Dec-16,37150.00,37450.00,36500.00,36800.00,24018
1-Dec-16,36600.00,37750.00,36300.00,37050.00,38237
30-Nov-16,38700.00,38700.00,36450.00,36450.00,53019
29-Nov-16,38700.00,38750.00,37800.00,38450.00,21145
28-Nov-16,39600.00,39600.00,38450.00,38450.00,13695
25-Nov-16,40000.00,40000.00,38650.00,39400.00,14781
24-Nov-16,40450.00,41100.00,39350.00,39700.00,16321
23-Nov-16,42550.00,43000.00,40550.00,40550.00,21595
22-Nov-16,41800.00,42400.00,41200.00,42300.00,15477
21-Nov-16,43650.00,43650.00,41750.00,42050.00,12030
18-Nov-16,42950.00,44500.00,42100.00,43650.00,24594
17-Nov-16,42500.00,43550.00,41650.00,42950.00,20885
16-Nov-16,42500.00,42850.00,41850.00,42700.00,34679
15-Nov-16,42350.00,43800.00,42350.00,43200.00,31984
14-Nov-16,40450.00,42800.00,40300.00,42800.00,55892
11-Nov-16,38500.00,40350.00,38500.00,40300.00,36315
10-Nov-16,37350.00,38300.00,37350.00,38300.00,15274
9-Nov-16,38300.00,38650.00,36050.00,37150.00,28423
8-Nov-16,38150.00,38700.00,37950.00,38200.00,22804
7-Nov-16,38000.00,38850.00,37450.00,38150.00,20930
4-Nov-16,36900.00,38500.00,36300.00,38200.00,34142
3-Nov-16,36100.00,36950.00,36100.00,36550.00,28130
2-Nov-16,37000.00,37550.00,36150.00,36500.00,22610
1-Nov-16,37600.00,37950.00,36000.00,37350.00,23885
31-Oct-16,37600.00,37750.00,37100.00,37600.00,15293
