Date,Open,High,Low,Close,Volume
31-Mar-17,57600.00,59000.00,57500.00,58400.00,97513
30-Mar-17,58900.00,59100.00,57500.00,57600.00,129905
29-Mar-17,59100.00,59200.00,58000.00,59200.00,103280
28-Mar-17,60400.00,60500.00,58300.00,58900.00,160653
27-Mar-17,58000.00,60300.00,57500.00,59800.00,284383
24-Mar-17,56500.00,58100.00,56400.00,58100.00,147016
23-Mar-17,57300.00,57900.00,56100.00,56400.00,106351
22-Mar-17,56100.00,58100.00,56100.00,57100.00,146760
21-Mar-17,55900.00,57100.00,55400.00,56100.00,101033
20-Mar-17,56400.00,56800.00,55400.00,55700.00,144747
17-Mar-17,57300.00,57900.00,56500.00,57000.00,122682
16-Mar-17,57200.00,57900.00,56900.00,57300.00,81511
15-Mar-17,58200.00,58500.00,56800.00,56900.00,157357
14-Mar-17,58500.00,59000.00,57900.00,58200.00,98927
13-Mar-17,58900.00,59100.00,58200.00,58400.00,114493
10-Mar-17,59100.00,60000.00,57600.00,58800.00,192491
9-Mar-17,59800.00,60200.00,58600.00,58700.00,167028
8-Mar-17,61000.00,61600.00,59300.00,59400.00,178457
7-Mar-17,60300.00,61100.00,59700.00,61000.00,152304
6-Mar-17,60600.00,62600.00,60400.00,61000.00,126458
3-Mar-17,63400.00,63700.00,61400.00,61700.00,151375
2-Mar-17,66000.00,66000.00,63600.00,63800.00,140068
28-Feb-17,66900.00,67000.00,64100.00,65600.00,216824
27-Feb-17,63600.00,67900.00,63600.00,66200.00,338596
24-Feb-17,61700.00,63800.00,61500.00,63600.00,203426
23-Feb-17,61300.00,62400.00,61000.00,61400.00,85570
22-Feb-17,61700.00,62000.00,60800.00,61100.00,64307
21-Feb-17,61500.00,62600.00,61500.00,61700.00,62354
20-Feb-17,62900.00,63000.00,61300.00,61700.00,97161
17-Feb-17,62300.00,63700.00,61600.00,62900.00,128865
16-Feb-17,62400.00,62600.00,60600.00,62000.00,167011
15-Feb-17,60200.00,62600.00,60100.00,62000.00,232283
14-Feb-17,58505.00,59813.00,58224.00,59626.00,173570
13-Feb-17,58785.00,59533.00,58598.00,58879.00,130262
10-Feb-17,58785.00,59626.00,58224.00,58598.00,170576
9-Feb-17,58037.00,58411.00,56822.00,58411.00,165023
8-Feb-17,57664.00,58411.00,56729.00,57850.00,174055
7-Feb-17,56168.00,58879.00,55794.00,58411.00,263792
6-Feb-17,55421.00,56262.00,54673.00,55888.00,80491
3-Feb-17,55607.00,55794.00,54766.00,54953.00,69245
2-Feb-17,56075.00,56449.00,55234.00,55327.00,116400
1-Feb-17,54579.00,56355.00,53832.00,56075.00,200561
31-Jan-17,53925.00,55140.00,53925.00,53925.00,90718
26-Jan-17,53832.00,54206.00,52617.00,54019.00,93911
25-Jan-17,54673.00,55607.00,53551.00,53738.00,112426
24-Jan-17,55794.00,56168.00,54579.00,54953.00,120338
23-Jan-17,56822.00,57196.00,55514.00,55794.00,128386
20-Jan-17,54486.00,57944.00,54206.00,56636.00,345250
19-Jan-17,55607.00,55607.00,53925.00,54019.00,109974
18-Jan-17,55140.00,55607.00,54486.00,54953.00,77983
17-Jan-17,55234.00,56075.00,54766.00,54953.00,171934
16-Jan-17,54766.00,55327.00,53832.00,54953.00,177675
13-Jan-17,52150.00,54860.00,52150.00,54299.00,369918
12-Jan-17,53271.00,53364.00,51869.00,52150.00,301426
11-Jan-17,53271.00,54019.00,52710.00,53364.00,218874
10-Jan-17,53364.00,53551.00,52336.00,52617.00,224824
9-Jan-17,54766.00,54860.00,53084.00,53084.00,202737
6-Jan-17,54860.00,55140.00,53925.00,54579.00,210736
5-Jan-17,55794.00,56542.00,54953.00,55421.00,239631
4-Jan-17,54299.00,55421.00,54206.00,55140.00,279727
3-Jan-17,54206.00,55514.00,53364.00,53551.00,356339
2-Jan-17,55888.00,55888.00,52804.00,52991.00,374056
29-Dec-16,57383.00,59907.00,57009.00,57103.00,792601
28-Dec-16,62430.00,64393.00,62056.00,64393.00,170042
27-Dec-16,63084.00,63551.00,61495.00,62523.00,141135
26-Dec-16,60841.00,63271.00,60187.00,62804.00,249809
23-Dec-16,57570.00,60187.00,57196.00,60000.00,214858
22-Dec-16,58037.00,58411.00,57103.00,57383.00,64461
21-Dec-16,58131.00,58411.00,57009.00,58037.00,92871
20-Dec-16,58785.00,59346.00,57850.00,57850.00,77672
19-Dec-16,58692.00,59252.00,57664.00,58224.00,87072
16-Dec-16,60374.00,60841.00,58879.00,58879.00,137758
15-Dec-16,58131.00,59813.00,57850.00,59813.00,107418
14-Dec-16,59346.00,59907.00,58037.00,58598.00,132612
13-Dec-16,58224.00,60093.00,57757.00,59252.00,223705
12-Dec-16,57196.00,58318.00,55981.00,57944.00,220948
9-Dec-16,54953.00,57196.00,54953.00,56262.00,318077
8-Dec-16,56729.00,57850.00,53271.00,55140.00,613374
7-Dec-16,66262.00,66449.00,52617.00,56355.00,1921220
6-Dec-16,66449.00,68224.00,65981.00,66168.00,148639
5-Dec-16,66355.00,67290.00,65607.00,65888.00,107135
2-Dec-16,66729.00,68037.00,66542.00,66822.00,94655
1-Dec-16,69813.00,70000.00,66729.00,67383.00,151530
30-Nov-16,70093.00,70187.00,68505.00,70093.00,119593
29-Nov-16,68318.00,71402.00,67944.00,69439.00,127669
28-Nov-16,70654.00,70935.00,68131.00,68411.00,118646
25-Nov-16,65981.00,71589.00,65981.00,69720.00,248819
24-Nov-16,65234.00,67664.00,64953.00,65981.00,184595
23-Nov-16,68598.00,68972.00,65047.00,65421.00,226116
22-Nov-16,69907.00,70654.00,68411.00,68505.00,119052
21-Nov-16,71215.00,71776.00,68411.00,69252.00,158400
18-Nov-16,74579.00,74579.00,71215.00,71308.00,152449
17-Nov-16,77196.00,77570.00,73925.00,74206.00,211423
16-Nov-16,78411.00,78879.00,76822.00,77196.00,136910
15-Nov-16,80841.00,81963.00,76916.00,78131.00,189468
14-Nov-16,81308.00,83178.00,80187.00,80841.00,177716
11-Nov-16,82617.00,83551.00,78598.00,80841.00,418995
10-Nov-16,72243.00,83364.00,72150.00,81308.00,696952
9-Nov-16,71963.00,71963.00,65888.00,69346.00,321567
8-Nov-16,71495.00,73364.00,71121.00,72897.00,118598
7-Nov-16,71776.00,71869.00,69439.00,71121.00,77000
4-Nov-16,69533.00,71495.00,67944.00,70748.00,179972
3-Nov-16,65701.00,70000.00,65701.00,69720.00,237533
2-Nov-16,69720.00,70374.00,65794.00,66075.00,221866
1-Nov-16,70841.00,72243.00,69159.00,69533.00,188426
31-Oct-16,73832.00,74860.00,69346.00,71121.00,323370
28-Oct-16,79813.00,79907.00,74019.00,74206.00,249480
27-Oct-16,78972.00,80467.00,77757.00,79720.00,97391
26-Oct-16,78037.00,79907.00,75981.00,78972.00,108486
25-Oct-16,81869.00,81963.00,78131.00,78224.00,217222
24-Oct-16,82804.00,83084.00,80654.00,81963.00,170012
21-Oct-16,80561.00,83364.00,80374.00,81869.00,182892
20-Oct-16,82617.00,83178.00,80374.00,80748.00,138711
19-Oct-16,81495.00,83178.00,80748.00,81963.00,150565
18-Oct-16,82897.00,84112.00,81028.00,81402.00,158654
17-Oct-16,85701.00,85701.00,80374.00,82991.00,460393
14-Oct-16,87383.00,88037.00,85327.00,85981.00,155088
13-Oct-16,89346.00,90280.00,87009.00,87196.00,138100
12-Oct-16,87850.00,91215.00,87850.00,89346.00,161116
11-Oct-16,90374.00,90841.00,87850.00,88505.00,170988
10-Oct-16,85981.00,90000.00,85981.00,90000.00,317839
7-Oct-16,93084.00,94393.00,85140.00,85888.00,679861
6-Oct-16,93364.00,96262.00,91589.00,92243.00,447048
5-Oct-16,99533.00,101869.00,93925.00,94393.00,614756
4-Oct-16,94393.00,102336.00,90561.00,97664.00,1345121
30-Sep-16,132710.00,133178.00,104206.00,106542.00,1965103
29-Sep-16,131776.00,131776.00,129907.00,130374.00,109430
28-Sep-16,130374.00,131308.00,128972.00,130841.00,99962
27-Sep-16,128037.00,130374.00,126168.00,129907.00,138067
26-Sep-16,127570.00,129907.00,126636.00,128037.00,135077
23-Sep-16,127103.00,127103.00,125701.00,127103.00,85697
22-Sep-16,126636.00,127570.00,125234.00,125701.00,119904
21-Sep-16,127103.00,128972.00,124766.00,125701.00,167484
20-Sep-16,120561.00,127570.00,119626.00,126168.00,206379
19-Sep-16,119159.00,122897.00,119159.00,121028.00,107311
13-Sep-16,122430.00,122897.00,119626.00,120561.00,122361
12-Sep-16,121495.00,124299.00,120561.00,120561.00,113057
9-Sep-16,124766.00,124766.00,121963.00,123364.00,119709
8-Sep-16,124766.00,126636.00,123364.00,126168.00,151562
7-Sep-16,126168.00,127103.00,124299.00,124766.00,110715
6-Sep-16,130374.00,130841.00,125701.00,126168.00,97389
5-Sep-16,129907.00,130841.00,128972.00,130374.00,80919
2-Sep-16,128972.00,129907.00,127103.00,129439.00,60565
1-Sep-16,124766.00,129907.00,124299.00,128972.00,105492
31-Aug-16,128037.00,128972.00,122897.00,125234.00,177910
30-Aug-16,128505.00,129907.00,127570.00,128037.00,61712
29-Aug-16,130374.00,132243.00,128037.00,128505.00,101154
26-Aug-16,129907.00,131308.00,128972.00,130841.00,79762
25-Aug-16,129439.00,129907.00,127103.00,128505.00,64715
24-Aug-16,131776.00,134112.00,128972.00,128972.00,85517
23-Aug-16,125234.00,131308.00,125234.00,130841.00,150497
22-Aug-16,126636.00,128505.00,124766.00,125234.00,81992
19-Aug-16,126636.00,128037.00,126168.00,127103.00,82391
18-Aug-16,129439.00,130374.00,126168.00,126168.00,121860
17-Aug-16,131308.00,131776.00,128037.00,128972.00,91184
16-Aug-16,135047.00,135047.00,131308.00,131308.00,78632
12-Aug-16,132243.00,135047.00,131776.00,133645.00,98481
11-Aug-16,132243.00,132710.00,130374.00,131776.00,80017
10-Aug-16,128972.00,133178.00,128505.00,132243.00,135537
9-Aug-16,127103.00,131308.00,127103.00,128972.00,157254
8-Aug-16,126636.00,128037.00,125701.00,128037.00,85632
5-Aug-16,127103.00,130374.00,124766.00,125234.00,146539
4-Aug-16,123832.00,128505.00,123832.00,128505.00,141403
3-Aug-16,126636.00,127103.00,123832.00,124766.00,135249
2-Aug-16,125234.00,127570.00,124299.00,127103.00,193114
1-Aug-16,133645.00,133645.00,122897.00,124299.00,460592
29-Jul-16,136916.00,137383.00,133645.00,134579.00,131379
28-Jul-16,135514.00,138785.00,134579.00,135981.00,210840
27-Jul-16,142991.00,143925.00,135514.00,137383.00,310441
26-Jul-16,142056.00,144393.00,141121.00,144393.00,64827
25-Jul-16,144393.00,145794.00,139720.00,141589.00,99081
22-Jul-16,142991.00,145327.00,141589.00,144393.00,85261
21-Jul-16,146262.00,147196.00,143458.00,143458.00,103379
20-Jul-16,147664.00,148598.00,144860.00,146262.00,73523
19-Jul-16,148598.00,149065.00,146729.00,147664.00,69810
18-Jul-16,146729.00,149533.00,146262.00,148131.00,120870
15-Jul-16,145794.00,148131.00,145794.00,146729.00,120536
14-Jul-16,144393.00,147664.00,144393.00,145794.00,103872
13-Jul-16,148598.00,150000.00,144393.00,144393.00,187254
12-Jul-16,148598.00,149065.00,147664.00,148131.00,94234
11-Jul-16,149065.00,149065.00,146729.00,148598.00,119376
8-Jul-16,146262.00,147664.00,144393.00,147664.00,106389
7-Jul-16,144393.00,146729.00,142523.00,146729.00,118379
6-Jul-16,144393.00,146729.00,142523.00,143458.00,134453
5-Jul-16,145794.00,146262.00,143458.00,144393.00,139749
4-Jul-16,149533.00,150000.00,146262.00,146729.00,121095
1-Jul-16,144393.00,148598.00,144393.00,147664.00,235060
30-Jun-16,146729.00,146729.00,142991.00,142991.00,141577
29-Jun-16,140187.00,146262.00,139252.00,145327.00,268247
28-Jun-16,136916.00,143458.00,136916.00,140187.00,208915
27-Jun-16,134112.00,138785.00,131776.00,138318.00,184841
24-Jun-16,145327.00,146729.00,132243.00,136916.00,441620
23-Jun-16,146729.00,147196.00,142991.00,144393.00,141160
22-Jun-16,144393.00,147664.00,144393.00,145794.00,244777
21-Jun-16,138318.00,145327.00,138318.00,144860.00,283945
20-Jun-16,137850.00,138785.00,136449.00,137850.00,112055
17-Jun-16,135514.00,138318.00,135047.00,136916.00,143441
16-Jun-16,137383.00,138318.00,134112.00,134112.00,163312
15-Jun-16,136916.00,138785.00,135514.00,136916.00,130987
14-Jun-16,136916.00,138785.00,134112.00,136916.00,229093
13-Jun-16,138785.00,139252.00,136449.00,136916.00,180147
10-Jun-16,144393.00,144860.00,139720.00,139720.00,338421
9-Jun-16,146729.00,149533.00,143925.00,144393.00,925870
8-Jun-16,147664.00,147664.00,142991.00,147196.00,236593
7-Jun-16,144860.00,148131.00,143925.00,147664.00,309536
3-Jun-16,144860.00,144860.00,142523.00,144393.00,134946
2-Jun-16,144393.00,145794.00,142991.00,143925.00,197492
1-Jun-16,143458.00,145794.00,143458.00,144860.00,145300
31-May-16,142991.00,144860.00,141589.00,143925.00,271206
30-May-16,140654.00,142991.00,139252.00,142523.00,248847
27-May-16,139720.00,141121.00,138785.00,139720.00,105153
26-May-16,139720.00,142056.00,138318.00,139720.00,211314
25-May-16,140654.00,142523.00,136916.00,138785.00,226657
24-May-16,140187.00,141121.00,137850.00,138785.00,155257
23-May-16,135981.00,142991.00,135514.00,140187.00,435504
20-May-16,129907.00,137383.00,128505.00,135981.00,261277
19-May-16,132243.00,132710.00,129439.00,129907.00,79450
18-May-16,131776.00,133178.00,128505.00,132243.00,108730
17-May-16,134579.00,135047.00,131308.00,131776.00,101133
16-May-16,132243.00,135047.00,132243.00,134112.00,85068
13-May-16,133178.00,135514.00,132243.00,134112.00,105732
12-May-16,132243.00,134579.00,131308.00,133178.00,80428
11-May-16,134579.00,135047.00,131308.00,132710.00,102718
10-May-16,128505.00,134579.00,128037.00,134112.00,285869
9-May-16,126636.00,128972.00,126168.00,127570.00,152750
4-May-16,123832.00,125701.00,122897.00,125701.00,99439
3-May-16,121495.00,125234.00,121495.00,124766.00,123462
2-May-16,127103.00,127103.00,121028.00,121495.00,218619
29-Apr-16,129907.00,130374.00,125234.00,127103.00,255022
28-Apr-16,128972.00,130841.00,127570.00,130374.00,135015
27-Apr-16,131776.00,132710.00,127570.00,128972.00,210474
26-Apr-16,131776.00,134112.00,131308.00,132710.00,117483
25-Apr-16,133178.00,134112.00,130841.00,131776.00,121650
22-Apr-16,131308.00,134112.00,130841.00,132710.00,170690
21-Apr-16,130841.00,131308.00,128972.00,130841.00,110426
20-Apr-16,129439.00,130841.00,128972.00,130374.00,109520
19-Apr-16,129907.00,131776.00,127570.00,128972.00,183316
18-Apr-16,130841.00,131308.00,127570.00,128505.00,156271
15-Apr-16,129439.00,131308.00,128972.00,130841.00,144355
14-Apr-16,133645.00,134112.00,128037.00,128505.00,323523
12-Apr-16,135047.00,136916.00,130841.00,132243.00,318748
11-Apr-16,143925.00,144393.00,134579.00,135981.00,381620
8-Apr-16,142523.00,146262.00,142056.00,143925.00,138010
7-Apr-16,143458.00,144860.00,142523.00,143925.00,118064
6-Apr-16,144860.00,144860.00,141121.00,142991.00,154963
5-Apr-16,146262.00,146262.00,143925.00,145327.00,99921
4-Apr-16,144860.00,146262.00,142991.00,145794.00,158602
1-Apr-16,139720.00,144393.00,139252.00,143458.00,235527
31-Mar-16,146262.00,146729.00,138785.00,139252.00,267395
30-Mar-16,147196.00,147664.00,144860.00,145794.00,141958
29-Mar-16,144393.00,146729.00,142991.00,146262.00,184866
28-Mar-16,145794.00,147664.00,142991.00,143458.00,158328
25-Mar-16,142056.00,146729.00,141121.00,144860.00,270467
24-Mar-16,141121.00,142056.00,138785.00,141589.00,119462
23-Mar-16,142523.00,144393.00,140187.00,141121.00,118979
22-Mar-16,142991.00,143458.00,140654.00,142523.00,122946
21-Mar-16,142991.00,145327.00,141589.00,142991.00,322611
18-Mar-16,137850.00,139720.00,136449.00,139252.00,151158
17-Mar-16,139252.00,140187.00,136916.00,137383.00,159015
16-Mar-16,135047.00,139720.00,134579.00,137850.00,157348
15-Mar-16,137850.00,139720.00,135981.00,135981.00,139326
14-Mar-16,140654.00,141121.00,135981.00,137383.00,177703
11-Mar-16,136449.00,138785.00,132243.00,138318.00,311579
10-Mar-16,141121.00,143925.00,135514.00,136449.00,458168
9-Mar-16,140187.00,144393.00,138785.00,140654.00,292596
8-Mar-16,147196.00,148131.00,139720.00,141589.00,324842
7-Mar-16,152336.00,153271.00,146262.00,146262.00,213023
4-Mar-16,149533.00,153738.00,147664.00,151402.00,331724
3-Mar-16,148131.00,151869.00,146729.00,150000.00,308604
2-Mar-16,140654.00,148598.00,138785.00,147664.00,477039
29-Feb-16,139720.00,140654.00,136916.00,137850.00,151517
26-Feb-16,135981.00,140187.00,134579.00,139720.00,182368
25-Feb-16,135981.00,136916.00,133645.00,135981.00,132498
24-Feb-16,131776.00,136916.00,130841.00,134579.00,171724
23-Feb-16,136916.00,137850.00,131776.00,132243.00,162513
22-Feb-16,134579.00,137383.00,132710.00,136449.00,188102
19-Feb-16,128505.00,135514.00,125701.00,134579.00,270399
18-Feb-16,126168.00,128972.00,125234.00,128037.00,279151
17-Feb-16,130841.00,130841.00,121028.00,122897.00,407253
16-Feb-16,129439.00,133645.00,128972.00,130374.00,262888
15-Feb-16,126636.00,129907.00,123832.00,127570.00,391312
12-Feb-16,133645.00,134579.00,118224.00,124299.00,885393
11-Feb-16,142056.00,143458.00,135514.00,135981.00,410990
5-Feb-16,152804.00,153271.00,145327.00,147664.00,369703
4-Feb-16,159813.00,159813.00,149065.00,150467.00,597447
3-Feb-16,158879.00,160748.00,156542.00,158411.00,270007
2-Feb-16,154673.00,160748.00,153271.00,158879.00,450931
1-Feb-16,148598.00,155607.00,148598.00,154673.00,453899
29-Jan-16,146729.00,147664.00,141589.00,146262.00,306463
28-Jan-16,144860.00,149065.00,143925.00,147664.00,245782
27-Jan-16,151869.00,153738.00,142523.00,144860.00,452046
26-Jan-16,150935.00,154206.00,150000.00,150467.00,292678
25-Jan-16,151869.00,155607.00,150467.00,151869.00,248699
22-Jan-16,156075.00,157009.00,148131.00,151869.00,500124
21-Jan-16,151869.00,157009.00,147196.00,155607.00,639818
20-Jan-16,152336.00,155607.00,146729.00,148598.00,631254
19-Jan-16,143925.00,152804.00,141589.00,152336.00,599700
18-Jan-16,137383.00,144860.00,136916.00,143925.00,344108
15-Jan-16,142056.00,147196.00,138318.00,139720.00,489469
14-Jan-16,136916.00,141121.00,134579.00,140654.00,348419
13-Jan-16,136449.00,141121.00,134579.00,140187.00,336592
12-Jan-16,134579.00,139252.00,133178.00,135514.00,259382
11-Jan-16,139252.00,141589.00,134112.00,134579.00,337860
8-Jan-16,132243.00,140187.00,131776.00,139720.00,478868
7-Jan-16,135514.00,138318.00,130374.00,135981.00,408980
6-Jan-16,123832.00,136449.00,122430.00,134579.00,624644
5-Jan-16,121495.00,124766.00,120093.00,123832.00,195937
4-Jan-16,121028.00,123832.00,118692.00,121963.00,159309
30-Dec-15,125234.00,125701.00,120561.00,120561.00,199263
29-Dec-15,117757.00,125701.00,117290.00,123832.00,370325
28-Dec-15,112241.00,117739.00,112241.00,115448.00,265467
24-Dec-15,118655.00,118655.00,114532.00,114532.00,173797
23-Dec-15,121862.00,121862.00,117281.00,117281.00,186483
22-Dec-15,122320.00,122778.00,117739.00,121404.00,203382
21-Dec-15,119113.00,123236.00,119113.00,120946.00,204286
18-Dec-15,114990.00,120946.00,114074.00,120029.00,213648
17-Dec-15,118655.00,121404.00,116364.00,116822.00,224096
16-Dec-15,117739.00,119113.00,115448.00,116364.00,215664
15-Dec-15,111783.00,115906.00,111325.00,114074.00,308740
14-Dec-15,110409.00,112241.00,108118.00,110409.00,333906
11-Dec-15,120487.00,122778.00,112699.00,113616.00,546772
10-Dec-15,129192.00,130108.00,120029.00,121404.00,395506
9-Dec-15,128734.00,131024.00,128276.00,129192.00,134775
8-Dec-15,132857.00,133773.00,127817.00,128276.00,266980
7-Dec-15,131482.00,136980.00,128734.00,133315.00,346464
4-Dec-15,130108.00,130566.00,127817.00,128276.00,197408
3-Dec-15,131024.00,135148.00,129650.00,131941.00,181852
2-Dec-15,135606.00,135606.00,130108.00,131941.00,261574
1-Dec-15,136522.00,137438.00,131024.00,133773.00,336787
30-Nov-15,141103.00,142019.00,134689.00,136522.00,439860
27-Nov-15,143852.00,144310.00,140187.00,142478.00,232665
26-Nov-15,142019.00,147059.00,141103.00,142478.00,419389
25-Nov-15,139729.00,145226.00,138813.00,140645.00,440306
24-Nov-15,148433.00,149349.00,140645.00,140645.00,645689
23-Nov-15,134689.00,149349.00,132857.00,149349.00,1402565
20-Nov-15,132857.00,134689.00,128734.00,132399.00,408776
19-Nov-15,131941.00,136522.00,125527.00,133315.00,703760
18-Nov-15,137438.00,139271.00,129650.00,130108.00,420512
17-Nov-15,140645.00,142019.00,133315.00,136980.00,521448
16-Nov-15,138354.00,143394.00,136064.00,137438.00,471023
13-Nov-15,139729.00,145226.00,134231.00,142478.00,806034
12-Nov-15,148891.00,151640.00,142019.00,142019.00,647432
11-Nov-15,153931.00,157138.00,145226.00,150266.00,1040496
10-Nov-15,169049.00,171340.00,147975.00,153931.00,2021492
9-Nov-15,165384.00,199743.00,158970.00,160345.00,3496870
6-Nov-15,163093.00,163093.00,159886.00,163093.00,840557
5-Nov-15,126443.00,129192.00,124611.00,125527.00,392804
4-Nov-15,118655.00,125527.00,117281.00,123694.00,351293
3-Nov-15,114532.00,118197.00,113616.00,117739.00,209727
2-Nov-15,120946.00,121404.00,113616.00,114074.00,331371
30-Oct-15,122778.00,125985.00,119113.00,120487.00,352040
29-Oct-15,114074.00,124611.00,113616.00,124152.00,473681
28-Oct-15,117281.00,120029.00,112699.00,113157.00,370200
27-Oct-15,123694.00,125985.00,114990.00,117739.00,543528
26-Oct-15,124152.00,129192.00,121862.00,122320.00,461867
23-Oct-15,122778.00,128276.00,121404.00,125985.00,632689
22-Oct-15,116822.00,125985.00,116822.00,119113.00,565077
21-Oct-15,117739.00,123694.00,116822.00,117739.00,386086
20-Oct-15,113616.00,120029.00,111325.00,117739.00,569257
19-Oct-15,113616.00,116822.00,111325.00,112241.00,451399
16-Oct-15,106744.00,114532.00,104911.00,112699.00,759301
15-Oct-15,98955.00,104453.00,98497.00,103079.00,416470
14-Oct-15,104911.00,105827.00,98955.00,100788.00,404882
13-Oct-15,104453.00,107660.00,100330.00,105827.00,595158
12-Oct-15,110409.00,110867.00,103079.00,103537.00,509977
8-Oct-15,113157.00,114532.00,109492.00,110867.00,376180
7-Oct-15,119113.00,119113.00,109951.00,110867.00,696316
6-Oct-15,128734.00,129192.00,117281.00,120029.00,472958
5-Oct-15,129192.00,131024.00,126901.00,127359.00,236215
2-Oct-15,126901.00,130108.00,124611.00,126443.00,199625
1-Oct-15,130108.00,131482.00,125527.00,126901.00,190131
30-Sep-15,122320.00,128276.00,119571.00,127359.00,355883
25-Sep-15,134689.00,135606.00,124152.00,128276.00,408196
24-Sep-15,137896.00,138813.00,132857.00,134231.00,193160
23-Sep-15,136064.00,142478.00,132857.00,134689.00,388813
22-Sep-15,136064.00,140187.00,135606.00,136980.00,205947
21-Sep-15,133773.00,140187.00,132857.00,137438.00,451764
18-Sep-15,132857.00,138813.00,130108.00,135606.00,966520
17-Sep-15,129192.00,130566.00,124152.00,127359.00,312732
16-Sep-15,127817.00,131941.00,125527.00,128276.00,419829
15-Sep-15,123694.00,128734.00,122778.00,125985.00,337446
14-Sep-15,131941.00,132857.00,122320.00,123694.00,693994
11-Sep-15,118655.00,133773.00,117281.00,133773.00,669254
10-Sep-15,110867.00,124611.00,107202.00,120487.00,704469
9-Sep-15,112699.00,116822.00,107660.00,114074.00,715538
8-Sep-15,126901.00,128276.00,107660.00,108118.00,1415228
7-Sep-15,125985.00,131482.00,122778.00,127359.00,526895
4-Sep-15,142936.00,143394.00,125527.00,127817.00,876152
3-Sep-15,143394.00,147517.00,139729.00,141561.00,471482
2-Sep-15,138354.00,143852.00,137896.00,140645.00,426931
1-Sep-15,144310.00,148433.00,137896.00,142478.00,956849
31-Aug-15,134231.00,146601.00,133315.00,146601.00,1731983
28-Aug-15,139729.00,143394.00,131941.00,135606.00,946306
27-Aug-15,144310.00,147059.00,132399.00,136980.00,763653
26-Aug-15,126443.00,141103.00,125069.00,141103.00,846982
25-Aug-15,124152.00,127817.00,120946.00,126443.00,408078
24-Aug-15,126443.00,128734.00,120487.00,121862.00,391604
21-Aug-15,116364.00,131941.00,115448.00,125069.00,874402
20-Aug-15,120946.00,126443.00,118655.00,123236.00,597401
19-Aug-15,128276.00,129650.00,114074.00,121862.00,890021
18-Aug-15,132857.00,134689.00,125069.00,130566.00,410151
17-Aug-15,136980.00,136980.00,130566.00,130566.00,377192
13-Aug-15,125985.00,136522.00,123694.00,134689.00,622345
12-Aug-15,129192.00,130566.00,119571.00,125985.00,723674
11-Aug-15,141103.00,142019.00,128276.00,130108.00,503896
10-Aug-15,143394.00,145684.00,138354.00,138354.00,405199
