Date,Open,High,Low,Close,Volume
31-Mar-17,221000.00,226000.00,220000.00,220000.00,32172
30-Mar-17,222000.00,224500.00,219000.00,223500.00,33350
29-Mar-17,223000.00,225000.00,220000.00,224500.00,19491
28-Mar-17,226500.00,227000.00,222500.00,224000.00,20519
27-Mar-17,221000.00,227000.00,221000.00,224500.00,27354
24-Mar-17,224500.00,225500.00,220500.00,224000.00,31018
23-Mar-17,216500.00,224500.00,216000.00,224000.00,32505
22-Mar-17,221500.00,222000.00,215000.00,216000.00,57754
21-Mar-17,222000.00,223000.00,219000.00,221000.00,57114
20-Mar-17,218500.00,223000.00,216500.00,219500.00,46708
17-Mar-17,213000.00,221000.00,210500.00,218500.00,70846
16-Mar-17,212500.00,216000.00,209500.00,212500.00,67263
15-Mar-17,211500.00,214000.00,207500.00,210500.00,58834
14-Mar-17,208000.00,210000.00,205000.00,210000.00,63040
13-Mar-17,210000.00,211000.00,206000.00,206500.00,62280
10-Mar-17,212500.00,214000.00,208000.00,211500.00,71692
9-Mar-17,212500.00,216000.00,208500.00,212000.00,82174
8-Mar-17,215500.00,217000.00,208500.00,212500.00,93799
7-Mar-17,216000.00,220500.00,215000.00,215500.00,55889
6-Mar-17,217000.00,220000.00,216500.00,217000.00,47356
3-Mar-17,220500.00,222000.00,218500.00,219500.00,31433
2-Mar-17,224000.00,224000.00,220500.00,220500.00,34370
28-Feb-17,223500.00,223500.00,220000.00,222000.00,48775
27-Feb-17,224500.00,225000.00,221000.00,222000.00,25033
24-Feb-17,222000.00,224000.00,220000.00,224000.00,35050
23-Feb-17,220000.00,223000.00,217500.00,222000.00,42048
22-Feb-17,213000.00,220000.00,213000.00,218500.00,55740
21-Feb-17,212500.00,216000.00,212000.00,212000.00,54745
20-Feb-17,211500.00,216500.00,211000.00,212500.00,35277
17-Feb-17,218000.00,218000.00,213000.00,213500.00,19227
16-Feb-17,220000.00,220000.00,215000.00,217000.00,31659
15-Feb-17,214000.00,219000.00,214000.00,219000.00,37102
14-Feb-17,214000.00,216500.00,210000.00,214500.00,38047
13-Feb-17,219500.00,219500.00,213000.00,214000.00,45183
10-Feb-17,219000.00,221000.00,217500.00,218000.00,30795
9-Feb-17,217000.00,219000.00,215500.00,218000.00,42827
8-Feb-17,215000.00,217000.00,211000.00,216500.00,28932
7-Feb-17,216000.00,217500.00,214000.00,216500.00,36311
6-Feb-17,218500.00,219000.00,212000.00,214000.00,35134
3-Feb-17,218000.00,218000.00,211500.00,215500.00,46569
2-Feb-17,216500.00,221000.00,213500.00,213500.00,116872
1-Feb-17,216500.00,219000.00,209500.00,216000.00,126198
31-Jan-17,205500.00,211000.00,205500.00,208500.00,52502
26-Jan-17,203500.00,208000.00,201500.00,205000.00,48611
25-Jan-17,210000.00,210500.00,203500.00,203500.00,41848
24-Jan-17,215500.00,215500.00,209000.00,210000.00,28422
23-Jan-17,213000.00,215000.00,211500.00,212500.00,19145
20-Jan-17,213000.00,215500.00,208000.00,211000.00,54227
19-Jan-17,206000.00,213500.00,204500.00,213000.00,87598
18-Jan-17,198500.00,206500.00,198000.00,204500.00,76881
17-Jan-17,195500.00,200500.00,195500.00,198000.00,72103
16-Jan-17,196000.00,198000.00,194000.00,195000.00,25782
13-Jan-17,194500.00,198500.00,193500.00,196000.00,27020
12-Jan-17,194000.00,196000.00,191500.00,194000.00,35896
11-Jan-17,192000.00,200000.00,191500.00,191500.00,94520
10-Jan-17,192000.00,193000.00,190500.00,191500.00,48553
9-Jan-17,195000.00,196000.00,191000.00,191500.00,32047
6-Jan-17,198500.00,200500.00,193500.00,194500.00,49730
5-Jan-17,197000.00,201000.00,193000.00,200500.00,84645
4-Jan-17,193000.00,193500.00,190500.00,191000.00,32895
3-Jan-17,196000.00,196500.00,191500.00,193000.00,42233
2-Jan-17,199000.00,199000.00,194500.00,195500.00,20321
29-Dec-16,199500.00,201000.00,196000.00,199000.00,29179
28-Dec-16,190000.00,201000.00,190000.00,198000.00,55772
27-Dec-16,187000.00,193500.00,186000.00,193000.00,27201
26-Dec-16,190000.00,194000.00,186000.00,186000.00,41509
23-Dec-16,194500.00,194500.00,188500.00,191000.00,39877
22-Dec-16,191000.00,193500.00,190000.00,193000.00,31955
21-Dec-16,198500.00,198500.00,191500.00,192000.00,46977
20-Dec-16,202500.00,202500.00,198000.00,198000.00,15257
19-Dec-16,201000.00,202000.00,198000.00,201500.00,22946
16-Dec-16,199000.00,202500.00,198000.00,200000.00,32471
15-Dec-16,201000.00,203500.00,197000.00,202000.00,29963
14-Dec-16,202500.00,206500.00,201000.00,202000.00,27494
13-Dec-16,205000.00,206500.00,202000.00,203000.00,59490
12-Dec-16,200000.00,205500.00,197000.00,202500.00,52773
9-Dec-16,197500.00,200500.00,195500.00,197000.00,32340
8-Dec-16,194000.00,200000.00,192500.00,200000.00,83549
7-Dec-16,195000.00,195000.00,191000.00,192000.00,44672
6-Dec-16,194500.00,196500.00,190500.00,194000.00,64577
5-Dec-16,200000.00,201500.00,192500.00,194000.00,90400
2-Dec-16,204500.00,206500.00,201000.00,202000.00,54369
1-Dec-16,208000.00,208500.00,203000.00,205000.00,57620
30-Nov-16,204500.00,209500.00,202000.00,206500.00,108715
29-Nov-16,196000.00,204000.00,192000.00,202000.00,124953
28-Nov-16,194500.00,199000.00,193000.00,195000.00,61328
25-Nov-16,193000.00,195500.00,189500.00,193000.00,58662
24-Nov-16,199000.00,199500.00,193000.00,195000.00,49146
23-Nov-16,198500.00,200000.00,195000.00,199000.00,96434
22-Nov-16,196000.00,198000.00,194500.00,197500.00,88704
21-Nov-16,193500.00,196000.00,192000.00,194500.00,93319
18-Nov-16,181000.00,193000.00,181000.00,192500.00,128295
17-Nov-16,181000.00,182000.00,179000.00,180500.00,61631
16-Nov-16,180000.00,181500.00,178000.00,181000.00,58430
15-Nov-16,186000.00,186000.00,179000.00,179500.00,68064
14-Nov-16,187000.00,189000.00,183500.00,185500.00,46733
11-Nov-16,189000.00,190000.00,185500.00,187000.00,72780
10-Nov-16,181500.00,189000.00,181000.00,189000.00,70347
9-Nov-16,181000.00,183500.00,176000.00,180000.00,69985
8-Nov-16,181000.00,182500.00,180000.00,181000.00,26831
7-Nov-16,180500.00,184000.00,178500.00,180000.00,70184
4-Nov-16,171000.00,178500.00,170000.00,178500.00,43299
3-Nov-16,169000.00,174000.00,166000.00,171500.00,105620
2-Nov-16,175000.00,175000.00,168000.00,169000.00,90616
1-Nov-16,180500.00,180500.00,174500.00,176000.00,39208
31-Oct-16,178500.00,180500.00,177500.00,177500.00,104365
28-Oct-16,180500.00,181500.00,178000.00,181000.00,51751
27-Oct-16,181500.00,186000.00,180000.00,180000.00,53568
26-Oct-16,184500.00,187000.00,179000.00,180500.00,79535
25-Oct-16,184500.00,188000.00,180000.00,185000.00,288075
24-Oct-16,172000.00,176000.00,171000.00,173000.00,94889
21-Oct-16,167000.00,173500.00,167000.00,170000.00,56539
20-Oct-16,168500.00,170500.00,168000.00,168500.00,36801
19-Oct-16,166500.00,170500.00,166500.00,168000.00,44495
18-Oct-16,166000.00,171000.00,165000.00,167000.00,100966
17-Oct-16,175500.00,178000.00,168000.00,168000.00,101259
14-Oct-16,173000.00,178000.00,171000.00,175500.00,72378
13-Oct-16,175000.00,176000.00,171500.00,172000.00,61514
12-Oct-16,178000.00,179500.00,174000.00,176000.00,45608
11-Oct-16,179000.00,179000.00,173500.00,175500.00,35488
10-Oct-16,179000.00,181500.00,174500.00,175500.00,45461
7-Oct-16,175000.00,181000.00,175000.00,180000.00,55395
6-Oct-16,175500.00,179000.00,175000.00,175000.00,30445
5-Oct-16,177500.00,180000.00,177000.00,178500.00,26289
4-Oct-16,176000.00,182500.00,175500.00,179500.00,71851
30-Sep-16,171000.00,176500.00,171000.00,176000.00,64739
29-Sep-16,175000.00,176000.00,173000.00,173500.00,59907
28-Sep-16,173000.00,176000.00,171500.00,172000.00,62297
