Date,Open,High,Low,Close,Volume
31-Mar-17,74900.00,76600.00,74900.00,76400.00,23544
30-Mar-17,75100.00,76100.00,74900.00,75600.00,21426
29-Mar-17,76500.00,76500.00,74600.00,75500.00,33888
28-Mar-17,74400.00,76500.00,74400.00,76400.00,38603
27-Mar-17,74800.00,75100.00,74000.00,74800.00,27030
24-Mar-17,74500.00,74900.00,73600.00,74100.00,26883
23-Mar-17,75100.00,75400.00,73800.00,74000.00,44445
22-Mar-17,76000.00,76300.00,74500.00,75400.00,37321
21-Mar-17,76600.00,76700.00,75100.00,75500.00,22045
20-Mar-17,77000.00,77000.00,75300.00,75600.00,18438
17-Mar-17,75600.00,77300.00,75100.00,76500.00,36728
16-Mar-17,74600.00,76900.00,74600.00,75600.00,45584
15-Mar-17,74000.00,75700.00,73800.00,75100.00,35477
14-Mar-17,76200.00,76800.00,73300.00,73600.00,52814
13-Mar-17,74800.00,76700.00,74500.00,76200.00,37009
10-Mar-17,74600.00,76000.00,74500.00,75100.00,29814
9-Mar-17,75000.00,75800.00,74300.00,75400.00,37465
8-Mar-17,75300.00,76400.00,74800.00,75600.00,33840
7-Mar-17,75100.00,76100.00,74500.00,75800.00,22665
6-Mar-17,74400.00,75200.00,73000.00,74500.00,37284
3-Mar-17,75500.00,76100.00,73600.00,74400.00,41208
2-Mar-17,77300.00,77400.00,75100.00,75500.00,40591
28-Feb-17,76300.00,77500.00,75800.00,76700.00,38336
27-Feb-17,78200.00,78200.00,75900.00,76300.00,35830
24-Feb-17,80400.00,80400.00,76900.00,77500.00,45894
23-Feb-17,79900.00,80500.00,78400.00,79700.00,28619
22-Feb-17,78000.00,79700.00,77200.00,79500.00,27580
21-Feb-17,78400.00,79800.00,77800.00,78400.00,31083
20-Feb-17,78100.00,78800.00,76800.00,78500.00,38903
17-Feb-17,79400.00,80500.00,78300.00,78800.00,26342
16-Feb-17,79300.00,81000.00,78900.00,79500.00,42648
15-Feb-17,80300.00,80300.00,77800.00,79800.00,44734
14-Feb-17,77000.00,80800.00,76700.00,79100.00,79268
13-Feb-17,76800.00,77200.00,75600.00,76600.00,22920
10-Feb-17,76000.00,77400.00,75900.00,76600.00,41540
9-Feb-17,76400.00,77400.00,74400.00,75700.00,60401
8-Feb-17,74000.00,76900.00,73800.00,76600.00,53869
7-Feb-17,77900.00,77900.00,74000.00,74200.00,65944
6-Feb-17,77800.00,78100.00,76300.00,77000.00,31996
3-Feb-17,77400.00,79200.00,76000.00,76900.00,77961
2-Feb-17,75100.00,78400.00,74600.00,77300.00,86618
1-Feb-17,75700.00,75800.00,74300.00,75100.00,46941
31-Jan-17,75700.00,77300.00,74000.00,75700.00,31274
26-Jan-17,75100.00,76000.00,74100.00,75700.00,31997
25-Jan-17,76900.00,76900.00,75000.00,75100.00,27303
24-Jan-17,77600.00,77600.00,75100.00,76500.00,41934
23-Jan-17,77800.00,77800.00,76100.00,77000.00,49064
20-Jan-17,78100.00,78100.00,76300.00,77800.00,67082
19-Jan-17,78200.00,79100.00,77900.00,78100.00,50589
18-Jan-17,78600.00,79100.00,77500.00,78100.00,61300
17-Jan-17,80300.00,80500.00,78700.00,78900.00,81565
16-Jan-17,80300.00,80600.00,78500.00,80300.00,79948
13-Jan-17,79800.00,80700.00,79100.00,80300.00,55853
12-Jan-17,80200.00,80500.00,78400.00,80400.00,86132
11-Jan-17,79200.00,80900.00,79200.00,79800.00,50611
10-Jan-17,80800.00,81100.00,79100.00,79500.00,58804
9-Jan-17,82900.00,83000.00,80900.00,81500.00,48184
6-Jan-17,83100.00,84200.00,82500.00,82800.00,28440
5-Jan-17,83200.00,84400.00,82200.00,83100.00,61341
4-Jan-17,86400.00,86400.00,83100.00,83200.00,74124
3-Jan-17,87100.00,87300.00,83000.00,86400.00,65267
2-Jan-17,83300.00,86800.00,83300.00,86700.00,91849
29-Dec-16,79600.00,83700.00,79100.00,83300.00,78588
28-Dec-16,78300.00,80200.00,78000.00,78600.00,89343
27-Dec-16,82000.00,82100.00,78200.00,78900.00,123111
26-Dec-16,85100.00,85500.00,80900.00,81500.00,59615
23-Dec-16,84200.00,86700.00,82700.00,84300.00,62915
22-Dec-16,83800.00,85000.00,83400.00,84400.00,51355
21-Dec-16,84000.00,84800.00,83300.00,83700.00,51423
20-Dec-16,83800.00,84800.00,83000.00,84000.00,58028
19-Dec-16,84800.00,84800.00,82900.00,83800.00,83854
16-Dec-16,84700.00,85700.00,82700.00,85000.00,57897
15-Dec-16,84500.00,85500.00,83600.00,85000.00,34494
14-Dec-16,87000.00,87400.00,83600.00,84500.00,108262
13-Dec-16,87200.00,87800.00,85800.00,86200.00,34056
12-Dec-16,87700.00,88000.00,86100.00,87100.00,31849
9-Dec-16,85000.00,87200.00,85000.00,86700.00,20029
8-Dec-16,84500.00,86400.00,83800.00,86400.00,51545
7-Dec-16,85100.00,85400.00,82800.00,84000.00,42476
6-Dec-16,86600.00,86900.00,84000.00,85400.00,44321
5-Dec-16,85300.00,86100.00,85000.00,85400.00,25807
2-Dec-16,87000.00,88400.00,85300.00,86000.00,35391
1-Dec-16,86100.00,88400.00,86000.00,87800.00,23248
30-Nov-16,88200.00,88200.00,85700.00,87200.00,41671
29-Nov-16,85200.00,88700.00,85200.00,87400.00,45728
28-Nov-16,87400.00,87400.00,85500.00,86400.00,30032
25-Nov-16,86500.00,88400.00,85200.00,86400.00,21821
24-Nov-16,87700.00,89000.00,86700.00,87200.00,22869
23-Nov-16,85200.00,88800.00,85200.00,87600.00,46032
22-Nov-16,87900.00,87900.00,84900.00,86000.00,41297
21-Nov-16,87000.00,87900.00,85500.00,87100.00,27769
18-Nov-16,87200.00,88600.00,85100.00,86900.00,34674
17-Nov-16,87000.00,89000.00,86500.00,87700.00,34443
16-Nov-16,88000.00,89700.00,87600.00,88500.00,90184
15-Nov-16,86500.00,87400.00,85300.00,87200.00,58703
14-Nov-16,85300.00,85600.00,84100.00,85300.00,28135
11-Nov-16,87900.00,87900.00,84200.00,85200.00,41506
10-Nov-16,87600.00,88600.00,85600.00,88000.00,36379
9-Nov-16,88700.00,88800.00,82200.00,86400.00,68246
8-Nov-16,87000.00,88000.00,86200.00,87600.00,42061
7-Nov-16,87000.00,88000.00,85800.00,86900.00,46207
4-Nov-16,83500.00,86100.00,82200.00,85800.00,57579
3-Nov-16,81100.00,83400.00,80900.00,82200.00,36416
2-Nov-16,82200.00,84000.00,81700.00,82100.00,33521
1-Nov-16,82000.00,84300.00,82000.00,83300.00,32415
31-Oct-16,82500.00,83600.00,81600.00,82800.00,24084
28-Oct-16,80000.00,84900.00,80000.00,83800.00,56593
