Date,Open,High,Low,Close,Volume
31-Mar-17,12850.00,13450.00,12850.00,13300.00,409683
30-Mar-17,12850.00,13000.00,12750.00,12850.00,160821
29-Mar-17,12700.00,13000.00,12500.00,13000.00,488911
28-Mar-17,12500.00,12700.00,12250.00,12650.00,327047
27-Mar-17,12100.00,12650.00,12050.00,12400.00,403349
24-Mar-17,11850.00,12100.00,11800.00,12100.00,122523
23-Mar-17,12250.00,12300.00,11850.00,11900.00,220504
22-Mar-17,12100.00,12550.00,12050.00,12150.00,414907
21-Mar-17,12050.00,12250.00,11950.00,12100.00,196298
20-Mar-17,12050.00,12100.00,11800.00,12050.00,117238
17-Mar-17,11850.00,12150.00,11850.00,12050.00,168833
16-Mar-17,11800.00,12050.00,11750.00,11900.00,164883
15-Mar-17,12000.00,12100.00,11600.00,11650.00,237939
14-Mar-17,12300.00,12300.00,11900.00,11900.00,294498
13-Mar-17,12350.00,12350.00,12150.00,12250.00,167488
10-Mar-17,12200.00,12450.00,11950.00,12300.00,300731
9-Mar-17,12500.00,12550.00,12200.00,12200.00,191698
8-Mar-17,12550.00,12600.00,12300.00,12400.00,213010
7-Mar-17,12450.00,12800.00,12400.00,12600.00,215792
6-Mar-17,12200.00,12850.00,12200.00,12550.00,333589
3-Mar-17,12450.00,12500.00,12100.00,12300.00,398626
2-Mar-17,13000.00,13000.00,12600.00,12600.00,319671
28-Feb-17,13350.00,13400.00,12800.00,12900.00,389214
27-Feb-17,13450.00,13650.00,13150.00,13200.00,543004
24-Feb-17,12800.00,13550.00,12700.00,13400.00,1267654
23-Feb-17,12800.00,12900.00,12650.00,12700.00,154592
22-Feb-17,12750.00,12950.00,12650.00,12700.00,177658
21-Feb-17,12500.00,12900.00,12450.00,12700.00,235910
20-Feb-17,12800.00,12850.00,12450.00,12500.00,224770
17-Feb-17,12800.00,13000.00,12700.00,12850.00,158659
16-Feb-17,13100.00,13150.00,12700.00,12800.00,220601
15-Feb-17,12650.00,13200.00,12550.00,13050.00,534367
14-Feb-17,12600.00,12750.00,12400.00,12650.00,145751
13-Feb-17,12450.00,12850.00,12300.00,12600.00,273296
10-Feb-17,12400.00,12750.00,12300.00,12350.00,268189
9-Feb-17,12400.00,12500.00,12200.00,12250.00,172838
8-Feb-17,12800.00,12850.00,12150.00,12400.00,331501
7-Feb-17,12400.00,13150.00,12350.00,12750.00,579105
6-Feb-17,12300.00,12600.00,12050.00,12300.00,299786
3-Feb-17,12150.00,12450.00,12100.00,12250.00,482606
2-Feb-17,12150.00,12150.00,11750.00,11800.00,211010
1-Feb-17,11850.00,12300.00,11750.00,12200.00,338033
31-Jan-17,11750.00,12100.00,11600.00,11700.00,237264
26-Jan-17,11300.00,12000.00,11200.00,11750.00,316986
25-Jan-17,11700.00,11900.00,11300.00,11350.00,390863
24-Jan-17,12100.00,12100.00,11650.00,11700.00,313812
23-Jan-17,12500.00,12500.00,11950.00,12000.00,338928
20-Jan-17,12550.00,12900.00,12400.00,12450.00,300180
19-Jan-17,13000.00,13000.00,12550.00,12600.00,203675
18-Jan-17,12750.00,13000.00,12750.00,12850.00,176068
17-Jan-17,12850.00,13150.00,12750.00,12850.00,229923
16-Jan-17,12950.00,13050.00,12550.00,12750.00,219165
13-Jan-17,12550.00,13250.00,12550.00,12850.00,414008
12-Jan-17,13200.00,13300.00,12550.00,12550.00,723513
11-Jan-17,13550.00,13600.00,13350.00,13450.00,276132
10-Jan-17,13700.00,13800.00,13350.00,13450.00,329722
9-Jan-17,14050.00,14100.00,13650.00,13700.00,392421
6-Jan-17,14500.00,14550.00,14100.00,14100.00,533343
5-Jan-17,13850.00,14350.00,13750.00,14200.00,744564
4-Jan-17,13700.00,13900.00,13400.00,13700.00,481878
3-Jan-17,13600.00,13800.00,13350.00,13600.00,341993
2-Jan-17,13250.00,13700.00,13000.00,13700.00,410438
29-Dec-16,13450.00,13900.00,13150.00,13150.00,759663
28-Dec-16,14200.00,14350.00,13650.00,13850.00,561886
27-Dec-16,13700.00,14250.00,13300.00,14050.00,939550
26-Dec-16,13200.00,13950.00,13100.00,13800.00,1038518
23-Dec-16,12200.00,13100.00,12200.00,13050.00,923455
22-Dec-16,12350.00,12350.00,12100.00,12250.00,159590
21-Dec-16,12150.00,12250.00,11900.00,12200.00,243147
20-Dec-16,12150.00,12400.00,12050.00,12100.00,188955
