Date,Open,High,Low,Close,Volume
31-Mar-17,10300.00,10350.00,10100.00,10300.00,76021
30-Mar-17,10100.00,10300.00,9990.00,10300.00,56876
29-Mar-17,10050.00,10250.00,9990.00,10200.00,23940
28-Mar-17,10050.00,10200.00,10000.00,10050.00,37367
27-Mar-17,10100.00,10200.00,9980.00,10100.00,75058
24-Mar-17,10250.00,10300.00,10150.00,10200.00,40168
23-Mar-17,10150.00,10300.00,10100.00,10150.00,62629
22-Mar-17,10350.00,10350.00,10150.00,10200.00,80899
21-Mar-17,10050.00,10550.00,10000.00,10400.00,73745
20-Mar-17,10050.00,10050.00,9970.00,9990.00,55929
17-Mar-17,10100.00,10200.00,10000.00,10000.00,52571
16-Mar-17,9880.00,10050.00,9880.00,10050.00,38565
15-Mar-17,9970.00,10000.00,9860.00,9870.00,70442
14-Mar-17,10100.00,10100.00,9950.00,9970.00,87241
13-Mar-17,10150.00,10200.00,9990.00,10050.00,82826
10-Mar-17,10150.00,10150.00,10000.00,10150.00,29526
9-Mar-17,10100.00,10150.00,10050.00,10100.00,21935
8-Mar-17,10150.00,10350.00,10050.00,10100.00,46476
7-Mar-17,9950.00,10200.00,9920.00,10150.00,59013
6-Mar-17,10250.00,10350.00,9980.00,9980.00,120911
3-Mar-17,10500.00,10600.00,10350.00,10350.00,37051
2-Mar-17,10550.00,10700.00,10500.00,10600.00,47690
28-Feb-17,10700.00,10700.00,10400.00,10600.00,97358
27-Feb-17,10800.00,10900.00,10650.00,10700.00,53503
24-Feb-17,10900.00,10950.00,10700.00,10750.00,55531
23-Feb-17,10950.00,11050.00,10750.00,10800.00,76536
22-Feb-17,11300.00,11350.00,10950.00,10950.00,96867
21-Feb-17,11050.00,11350.00,11050.00,11350.00,40974
20-Feb-17,11250.00,11300.00,10900.00,11050.00,47078
17-Feb-17,11300.00,11400.00,11250.00,11250.00,13911
16-Feb-17,11400.00,11550.00,11250.00,11450.00,32840
15-Feb-17,11200.00,11450.00,11150.00,11450.00,33040
14-Feb-17,11150.00,11300.00,10850.00,11250.00,46642
13-Feb-17,10900.00,11100.00,10700.00,11100.00,31766
10-Feb-17,10950.00,10950.00,10750.00,10750.00,35650
9-Feb-17,10600.00,10900.00,10550.00,10900.00,37460
8-Feb-17,10750.00,10800.00,10500.00,10600.00,29554
7-Feb-17,10600.00,10700.00,10450.00,10650.00,27131
6-Feb-17,10750.00,10750.00,10300.00,10550.00,79998
3-Feb-17,10550.00,10700.00,10500.00,10700.00,54638
2-Feb-17,11000.00,11150.00,10400.00,10550.00,87111
1-Feb-17,11100.00,11150.00,10800.00,11000.00,28126
31-Jan-17,11250.00,11250.00,10850.00,11050.00,39314
26-Jan-17,11250.00,11300.00,11000.00,11250.00,49346
25-Jan-17,11600.00,11700.00,11250.00,11250.00,22676
24-Jan-17,11750.00,11900.00,11450.00,11600.00,36220
23-Jan-17,11700.00,11950.00,11600.00,11750.00,48579
20-Jan-17,11800.00,11900.00,11600.00,11650.00,39904
19-Jan-17,12000.00,12150.00,11800.00,11800.00,60878
18-Jan-17,11300.00,12050.00,11300.00,12000.00,249421
17-Jan-17,11150.00,11400.00,11150.00,11350.00,37120
16-Jan-17,11200.00,11300.00,11050.00,11300.00,29942
13-Jan-17,11250.00,11350.00,11100.00,11300.00,23501
12-Jan-17,11300.00,11400.00,11200.00,11350.00,15533
11-Jan-17,11200.00,11450.00,11000.00,11350.00,60997
10-Jan-17,11250.00,11450.00,10950.00,11050.00,82686
9-Jan-17,11400.00,11500.00,11200.00,11350.00,26226
6-Jan-17,11800.00,11850.00,11400.00,11450.00,34536
5-Jan-17,11700.00,11900.00,11650.00,11750.00,41863
4-Jan-17,11600.00,11900.00,11450.00,11800.00,78228
3-Jan-17,10950.00,11700.00,10950.00,11600.00,162306
2-Jan-17,10700.00,11000.00,10650.00,10950.00,47674
29-Dec-16,10600.00,10800.00,10600.00,10700.00,23943
28-Dec-16,10600.00,10800.00,10600.00,10700.00,30292
27-Dec-16,10650.00,10850.00,10650.00,10750.00,33672
26-Dec-16,10500.00,10800.00,10500.00,10750.00,35878
23-Dec-16,10450.00,10550.00,10400.00,10550.00,18309
22-Dec-16,10450.00,10600.00,10400.00,10400.00,14394
21-Dec-16,10550.00,10650.00,10450.00,10550.00,12648
20-Dec-16,10600.00,10750.00,10500.00,10500.00,40116
19-Dec-16,10450.00,10650.00,10450.00,10550.00,36528
16-Dec-16,10600.00,10650.00,10450.00,10550.00,27685
15-Dec-16,10400.00,10650.00,10350.00,10550.00,32876
14-Dec-16,10450.00,10550.00,10400.00,10400.00,17008
13-Dec-16,10400.00,10550.00,10350.00,10500.00,30678
12-Dec-16,10150.00,10600.00,10150.00,10450.00,43156
9-Dec-16,10200.00,10400.00,10050.00,10150.00,54223
8-Dec-16,9800.00,10250.00,9800.00,10250.00,59448
7-Dec-16,9760.00,9900.00,9690.00,9800.00,37770
6-Dec-16,9810.00,9990.00,9720.00,9740.00,46004
5-Dec-16,10100.00,10100.00,9780.00,9780.00,81788
2-Dec-16,10050.00,10200.00,10050.00,10100.00,10544
1-Dec-16,10200.00,10250.00,10050.00,10150.00,30646
30-Nov-16,10450.00,10450.00,10050.00,10150.00,60067
