Date,Open,High,Low,Close,Volume
31-Mar-17,62700.00,62900.00,61700.00,62400.00,98806
30-Mar-17,61300.00,64300.00,61300.00,62700.00,189514
29-Mar-17,62300.00,62500.00,60400.00,61400.00,112320
28-Mar-17,61900.00,62800.00,61400.00,62200.00,152331
27-Mar-17,61400.00,62700.00,61000.00,62300.00,130053
24-Mar-17,62500.00,62700.00,60900.00,61900.00,113353
23-Mar-17,60300.00,62700.00,59700.00,62500.00,229577
22-Mar-17,57900.00,60400.00,57500.00,60400.00,209538
21-Mar-17,58700.00,58900.00,57500.00,57800.00,107577
20-Mar-17,59300.00,59300.00,58300.00,58600.00,74765
17-Mar-17,58200.00,59400.00,58200.00,59300.00,147638
16-Mar-17,59500.00,59900.00,58400.00,58500.00,98617
15-Mar-17,59600.00,59700.00,58300.00,59200.00,119079
14-Mar-17,60200.00,60500.00,59400.00,59600.00,113321
13-Mar-17,60600.00,61200.00,59800.00,60200.00,113150
10-Mar-17,61000.00,61400.00,59900.00,60600.00,114216
9-Mar-17,62500.00,62600.00,61000.00,61000.00,123407
8-Mar-17,62500.00,63200.00,62000.00,62500.00,146759
7-Mar-17,60900.00,63300.00,60300.00,63100.00,279828
6-Mar-17,60300.00,61200.00,59300.00,60200.00,95588
3-Mar-17,60200.00,61200.00,60200.00,60300.00,178900
2-Mar-17,61000.00,61300.00,59800.00,60200.00,168016
28-Feb-17,60200.00,61200.00,59600.00,60900.00,277306
27-Feb-17,59900.00,61300.00,59800.00,61000.00,316887
24-Feb-17,58500.00,61200.00,58400.00,59500.00,795178
23-Feb-17,57200.00,57300.00,56200.00,57100.00,173270
22-Feb-17,57300.00,58300.00,56800.00,57200.00,130994
21-Feb-17,56500.00,57200.00,56100.00,56800.00,184698
20-Feb-17,56200.00,57500.00,55700.00,56500.00,221592
17-Feb-17,54700.00,56500.00,54600.00,56000.00,356932
16-Feb-17,54900.00,55000.00,53500.00,54100.00,154836
15-Feb-17,53700.00,55000.00,53700.00,54600.00,188258
14-Feb-17,54100.00,54300.00,52900.00,53900.00,166929
13-Feb-17,53400.00,54200.00,53100.00,54000.00,125694
10-Feb-17,55300.00,55400.00,53000.00,53000.00,271667
9-Feb-17,53800.00,55300.00,53800.00,54800.00,128438
8-Feb-17,53900.00,54200.00,53400.00,53800.00,73381
7-Feb-17,54200.00,54200.00,53600.00,54100.00,58426
6-Feb-17,54000.00,54200.00,53500.00,53800.00,69624
3-Feb-17,53900.00,54100.00,53100.00,53400.00,87970
2-Feb-17,54600.00,54800.00,53600.00,53800.00,161324
1-Feb-17,55200.00,55900.00,54300.00,54700.00,97944
31-Jan-17,55300.00,55300.00,54500.00,54700.00,64214
26-Jan-17,55400.00,55400.00,54300.00,54800.00,84024
25-Jan-17,56000.00,56600.00,54400.00,54900.00,110177
24-Jan-17,56000.00,56300.00,55200.00,56200.00,65317
23-Jan-17,56700.00,57300.00,56100.00,56300.00,71716
20-Jan-17,56300.00,57100.00,56200.00,56600.00,61614
19-Jan-17,56200.00,56800.00,56000.00,56300.00,76056
18-Jan-17,56200.00,56900.00,55600.00,56200.00,59362
17-Jan-17,56100.00,56500.00,55600.00,56200.00,79844
16-Jan-17,55900.00,56600.00,55300.00,56400.00,65318
13-Jan-17,55600.00,56400.00,55000.00,55900.00,47061
12-Jan-17,54300.00,56000.00,54300.00,55700.00,75173
11-Jan-17,54300.00,55000.00,54200.00,54500.00,54403
10-Jan-17,54800.00,55000.00,54000.00,54500.00,100514
9-Jan-17,55900.00,56300.00,54800.00,55200.00,84550
6-Jan-17,56500.00,56500.00,55600.00,55800.00,68318
5-Jan-17,55800.00,56600.00,55600.00,56300.00,77978
4-Jan-17,54600.00,57100.00,54500.00,56100.00,192755
3-Jan-17,53600.00,54700.00,53000.00,54500.00,182290
2-Jan-17,54200.00,54400.00,53100.00,53600.00,82701
29-Dec-16,54300.00,55600.00,53700.00,54200.00,96207
28-Dec-16,54800.00,55000.00,53700.00,54400.00,121941
27-Dec-16,56200.00,56400.00,54900.00,55600.00,105339
26-Dec-16,57000.00,57000.00,56200.00,56200.00,38314
23-Dec-16,56800.00,57000.00,56000.00,57000.00,83050
22-Dec-16,57300.00,57600.00,56300.00,56700.00,99340
21-Dec-16,58000.00,58200.00,57300.00,57700.00,50342
20-Dec-16,57700.00,58600.00,57600.00,58000.00,62462
19-Dec-16,57200.00,57700.00,56900.00,57400.00,68758
16-Dec-16,58800.00,59200.00,57000.00,57100.00,151894
15-Dec-16,58700.00,59500.00,58700.00,59200.00,51230
14-Dec-16,60000.00,60000.00,58600.00,59200.00,74242
13-Dec-16,58900.00,59900.00,58600.00,59700.00,122341
12-Dec-16,56700.00,59300.00,56300.00,58600.00,157298
9-Dec-16,56500.00,57100.00,56200.00,56200.00,99231
8-Dec-16,57100.00,57600.00,56200.00,57000.00,100397
7-Dec-16,58000.00,58000.00,56500.00,57100.00,55750
6-Dec-16,57500.00,57800.00,56500.00,57100.00,75833
5-Dec-16,57100.00,57100.00,55800.00,56300.00,95774
2-Dec-16,58100.00,59000.00,57200.00,57200.00,99550
1-Dec-16,57800.00,58900.00,57000.00,58800.00,90055
30-Nov-16,57300.00,58400.00,56600.00,57700.00,177332
29-Nov-16,58100.00,59100.00,57300.00,57300.00,112472
28-Nov-16,58700.00,59600.00,58000.00,58200.00,102161
25-Nov-16,59100.00,59900.00,58000.00,59100.00,82815
24-Nov-16,58100.00,60800.00,57900.00,58600.00,287691
23-Nov-16,58200.00,58500.00,57200.00,57200.00,173021
22-Nov-16,59500.00,59600.00,57600.00,59000.00,111940
21-Nov-16,59700.00,60200.00,58600.00,59400.00,83060
18-Nov-16,60500.00,61300.00,58800.00,60500.00,176870
17-Nov-16,57600.00,61000.00,57000.00,60900.00,198583
16-Nov-16,55700.00,57500.00,55100.00,57200.00,124931
15-Nov-16,56200.00,56200.00,54700.00,55200.00,67953
14-Nov-16,55400.00,56200.00,55000.00,55300.00,72481
11-Nov-16,56400.00,56700.00,55300.00,55800.00,87112
10-Nov-16,55200.00,56200.00,54800.00,56200.00,113396
9-Nov-16,56100.00,56100.00,53600.00,54600.00,151542
8-Nov-16,55800.00,56000.00,54900.00,56000.00,104459
7-Nov-16,56400.00,57500.00,55400.00,55500.00,115610
4-Nov-16,54000.00,56500.00,54000.00,56500.00,153410
3-Nov-16,53200.00,54800.00,52600.00,54500.00,137715
2-Nov-16,53200.00,54100.00,53000.00,53300.00,170160
1-Nov-16,55000.00,55400.00,53500.00,54000.00,152084
31-Oct-16,53500.00,55000.00,53100.00,54900.00,112928
28-Oct-16,54700.00,55000.00,54000.00,54200.00,111124
27-Oct-16,56700.00,56700.00,55000.00,55500.00,142093
26-Oct-16,56200.00,57100.00,56000.00,56500.00,117914
25-Oct-16,57300.00,57300.00,55700.00,56700.00,135445
