Date,Open,High,Low,Close,Volume
31-Mar-17,5950.00,6040.00,5950.00,6040.00,502137
30-Mar-17,6000.00,6030.00,5930.00,5980.00,543625
29-Mar-17,6070.00,6080.00,5980.00,6000.00,415189
28-Mar-17,6050.00,6100.00,6020.00,6050.00,568629
27-Mar-17,6060.00,6080.00,6010.00,6050.00,556203
24-Mar-17,6160.00,6230.00,6070.00,6110.00,759713
23-Mar-17,6090.00,6130.00,6050.00,6120.00,567165
22-Mar-17,6250.00,6250.00,6040.00,6050.00,837142
21-Mar-17,6340.00,6340.00,6200.00,6200.00,483950
20-Mar-17,6250.00,6300.00,6230.00,6300.00,189567
17-Mar-17,6200.00,6290.00,6180.00,6290.00,737034
16-Mar-17,6280.00,6330.00,6150.00,6160.00,922094
15-Mar-17,6370.00,6370.00,6200.00,6280.00,488459
14-Mar-17,6330.00,6450.00,6310.00,6350.00,1009489
13-Mar-17,6240.00,6290.00,6190.00,6280.00,377081
10-Mar-17,6210.00,6240.00,6110.00,6240.00,773166
9-Mar-17,6200.00,6270.00,6170.00,6210.00,892885
8-Mar-17,6340.00,6380.00,6170.00,6180.00,1187932
7-Mar-17,6370.00,6410.00,6330.00,6380.00,601346
6-Mar-17,6410.00,6440.00,6310.00,6340.00,931631
3-Mar-17,6400.00,6440.00,6370.00,6420.00,718042
2-Mar-17,6580.00,6710.00,6380.00,6390.00,1045688
28-Feb-17,6500.00,6520.00,6400.00,6510.00,909568
27-Feb-17,6580.00,6620.00,6430.00,6440.00,657292
24-Feb-17,6490.00,6600.00,6440.00,6520.00,661865
23-Feb-17,6440.00,6510.00,6370.00,6490.00,661925
22-Feb-17,6370.00,6470.00,6350.00,6430.00,473439
21-Feb-17,6380.00,6520.00,6370.00,6380.00,470222
20-Feb-17,6420.00,6430.00,6330.00,6350.00,410076
17-Feb-17,6500.00,6520.00,6420.00,6430.00,343741
16-Feb-17,6670.00,6700.00,6460.00,6500.00,572353
15-Feb-17,6760.00,6760.00,6650.00,6660.00,531373
14-Feb-17,6640.00,6670.00,6530.00,6660.00,609266
13-Feb-17,6680.00,6690.00,6540.00,6560.00,587887
10-Feb-17,6440.00,6660.00,6390.00,6610.00,800829
9-Feb-17,6500.00,6510.00,6360.00,6390.00,627633
8-Feb-17,6460.00,6480.00,6400.00,6440.00,550688
7-Feb-17,6480.00,6500.00,6360.00,6490.00,426922
6-Feb-17,6460.00,6490.00,6380.00,6390.00,376399
3-Feb-17,6420.00,6420.00,6300.00,6350.00,533106
2-Feb-17,6370.00,6420.00,6350.00,6360.00,474580
1-Feb-17,6390.00,6440.00,6350.00,6410.00,492145
31-Jan-17,6340.00,6500.00,6330.00,6440.00,656160
26-Jan-17,6470.00,6490.00,6350.00,6360.00,591109
25-Jan-17,6600.00,6600.00,6380.00,6410.00,435315
24-Jan-17,6530.00,6580.00,6490.00,6500.00,332480
23-Jan-17,6790.00,6790.00,6530.00,6530.00,474781
20-Jan-17,6700.00,6780.00,6640.00,6760.00,587182
19-Jan-17,6680.00,6740.00,6570.00,6650.00,510339
18-Jan-17,6560.00,6740.00,6470.00,6710.00,792244
