Date,Open,High,Low,Close,Volume
31-Mar-17,15500.00,15750.00,15500.00,15650.00,161099
30-Mar-17,15900.00,15900.00,15450.00,15450.00,205992
29-Mar-17,15850.00,15900.00,15650.00,15800.00,232776
28-Mar-17,15850.00,15950.00,15650.00,15850.00,272346
27-Mar-17,15700.00,15850.00,15500.00,15800.00,235090
24-Mar-17,15500.00,15700.00,15450.00,15600.00,211189
23-Mar-17,15450.00,15550.00,15250.00,15500.00,132408
22-Mar-17,15500.00,15550.00,15250.00,15300.00,278303
21-Mar-17,15550.00,15600.00,15400.00,15400.00,211909
20-Mar-17,15800.00,15850.00,15450.00,15550.00,180608
17-Mar-17,15700.00,15900.00,15650.00,15800.00,163180
16-Mar-17,15900.00,16100.00,15550.00,15650.00,296630
15-Mar-17,15950.00,16000.00,15800.00,15900.00,158187
14-Mar-17,16000.00,16050.00,15700.00,15950.00,228289
13-Mar-17,16250.00,16400.00,15950.00,16100.00,248466
10-Mar-17,16400.00,16550.00,16250.00,16300.00,182645
9-Mar-17,16450.00,16500.00,16300.00,16400.00,195923
8-Mar-17,16300.00,16550.00,16300.00,16400.00,225858
7-Mar-17,16600.00,16600.00,16300.00,16450.00,187985
6-Mar-17,16350.00,16550.00,16000.00,16500.00,174620
3-Mar-17,16350.00,16600.00,16250.00,16500.00,154645
2-Mar-17,17100.00,17100.00,16300.00,16350.00,201650
28-Feb-17,17100.00,17100.00,16600.00,16900.00,147544
27-Feb-17,17100.00,17150.00,16950.00,17100.00,186622
24-Feb-17,16900.00,17200.00,16800.00,16950.00,237826
23-Feb-17,16700.00,17000.00,16700.00,16850.00,204058
22-Feb-17,16800.00,16900.00,16550.00,16750.00,161419
21-Feb-17,16800.00,17050.00,16700.00,16800.00,175322
20-Feb-17,16750.00,16850.00,16450.00,16750.00,112449
17-Feb-17,16600.00,16850.00,16450.00,16750.00,103327
16-Feb-17,17000.00,17100.00,16600.00,16600.00,217945
15-Feb-17,17150.00,17300.00,16850.00,16900.00,240707
14-Feb-17,17250.00,17250.00,16550.00,17150.00,347935
13-Feb-17,17300.00,17450.00,17200.00,17300.00,172647
10-Feb-17,17350.00,17350.00,17050.00,17150.00,124927
9-Feb-17,17100.00,17250.00,17000.00,17200.00,150292
8-Feb-17,17100.00,17300.00,16850.00,17150.00,208063
7-Feb-17,17050.00,17150.00,16800.00,17150.00,131205
6-Feb-17,16900.00,17100.00,16600.00,17050.00,207855
3-Feb-17,16700.00,16750.00,16500.00,16650.00,113964
2-Feb-17,16500.00,16800.00,16450.00,16700.00,117355
1-Feb-17,16500.00,16750.00,16450.00,16700.00,201953
31-Jan-17,15600.00,16500.00,15600.00,16500.00,306232
26-Jan-17,15600.00,15800.00,15400.00,15700.00,200850
25-Jan-17,16200.00,16200.00,15450.00,15550.00,245860
24-Jan-17,16000.00,16100.00,15950.00,16100.00,71296
23-Jan-17,16300.00,16450.00,15950.00,15950.00,110748
20-Jan-17,16050.00,16350.00,16050.00,16350.00,126301
