Date,Open,High,Low,Close,Volume
31-Mar-17,147000.00,147500.00,146000.00,147000.00,117094
30-Mar-17,146500.00,148000.00,146000.00,147500.00,74709
29-Mar-17,147000.00,148000.00,145500.00,146500.00,169583
28-Mar-17,150500.00,150500.00,145000.00,147000.00,354851
27-Mar-17,153000.00,154000.00,150000.00,151500.00,62165
24-Mar-17,153500.00,155000.00,152000.00,153500.00,54177
23-Mar-17,154500.00,155500.00,152500.00,153500.00,85830
22-Mar-17,154500.00,155000.00,151500.00,153500.00,147255
21-Mar-17,150000.00,158500.00,149500.00,155500.00,381033
20-Mar-17,149000.00,150000.00,147500.00,149000.00,108042
17-Mar-17,147500.00,148500.00,146500.00,148500.00,93646
16-Mar-17,146500.00,149000.00,145500.00,146000.00,135172
15-Mar-17,148500.00,149000.00,145000.00,145500.00,144697
14-Mar-17,149500.00,150500.00,148000.00,148500.00,124285
13-Mar-17,149000.00,149500.00,148500.00,149500.00,34849
10-Mar-17,149500.00,150000.00,148000.00,149000.00,54225
9-Mar-17,149500.00,150500.00,149000.00,149000.00,55296
8-Mar-17,151000.00,152000.00,148500.00,149500.00,119549
7-Mar-17,152500.00,153000.00,151000.00,152000.00,38849
6-Mar-17,149500.00,152000.00,149500.00,152000.00,57472
3-Mar-17,150000.00,151500.00,149500.00,151000.00,87673
2-Mar-17,155000.00,155000.00,150000.00,151000.00,103061
28-Feb-17,153500.00,154500.00,152500.00,153500.00,75823
27-Feb-17,156000.00,156500.00,153500.00,154000.00,61042
24-Feb-17,156000.00,156500.00,154500.00,156000.00,46117
23-Feb-17,155500.00,156000.00,153500.00,155500.00,80065
22-Feb-17,157500.00,157500.00,154000.00,154500.00,99818
21-Feb-17,156000.00,158000.00,156000.00,157500.00,69034
20-Feb-17,159000.00,161000.00,155000.00,155500.00,100711
17-Feb-17,161000.00,162000.00,158000.00,159000.00,83160
16-Feb-17,157000.00,162500.00,156000.00,162000.00,175060
15-Feb-17,154500.00,157000.00,154500.00,156000.00,85440
14-Feb-17,154500.00,155500.00,152500.00,154500.00,83546
13-Feb-17,151500.00,154000.00,150500.00,154000.00,78445
10-Feb-17,152500.00,152500.00,150500.00,150500.00,68963
9-Feb-17,150500.00,152500.00,149500.00,151000.00,89498
8-Feb-17,151000.00,151500.00,149000.00,151000.00,119461
7-Feb-17,151000.00,153000.00,149500.00,150000.00,104782
6-Feb-17,151500.00,152000.00,149500.00,150000.00,90628
3-Feb-17,151500.00,153500.00,150000.00,150500.00,114522
2-Feb-17,155000.00,156500.00,151000.00,151500.00,191220
1-Feb-17,157000.00,157500.00,152500.00,155000.00,154237
31-Jan-17,160500.00,161000.00,155000.00,155500.00,163901
26-Jan-17,163000.00,164000.00,161000.00,163500.00,80133
25-Jan-17,166500.00,167000.00,162000.00,162500.00,67736
24-Jan-17,168500.00,169500.00,164000.00,166000.00,92161
23-Jan-17,169500.00,172000.00,168500.00,169500.00,103437
20-Jan-17,165000.00,172000.00,164000.00,171000.00,153076
19-Jan-17,166000.00,167500.00,164000.00,165000.00,63885
18-Jan-17,166500.00,168500.00,164500.00,166500.00,70622
17-Jan-17,165000.00,167500.00,163000.00,167000.00,88667
16-Jan-17,163500.00,166500.00,163000.00,166000.00,89839
13-Jan-17,165000.00,166500.00,162000.00,165000.00,119775
12-Jan-17,156500.00,165000.00,156500.00,165000.00,224002
11-Jan-17,155500.00,157000.00,155500.00,156500.00,82482
10-Jan-17,158000.00,159500.00,155500.00,157000.00,88379
9-Jan-17,157500.00,159500.00,156000.00,158000.00,67398
6-Jan-17,162000.00,162000.00,157000.00,158000.00,100088
5-Jan-17,161000.00,162000.00,158000.00,162000.00,83224
4-Jan-17,162000.00,163000.00,160000.00,161000.00,100724
3-Jan-17,161500.00,163500.00,159000.00,162500.00,165478
2-Jan-17,154500.00,161500.00,153000.00,161500.00,176629
29-Dec-16,152000.00,155000.00,151500.00,154500.00,81306
28-Dec-16,152500.00,154000.00,151500.00,152500.00,80518
27-Dec-16,155000.00,155000.00,153000.00,154000.00,61533
26-Dec-16,154500.00,155000.00,152500.00,154500.00,71473
23-Dec-16,156500.00,156500.00,153500.00,155000.00,64541
22-Dec-16,154500.00,157500.00,153500.00,155500.00,118150
21-Dec-16,153000.00,155500.00,152000.00,155000.00,113375
20-Dec-16,150000.00,153000.00,149500.00,152500.00,96155
19-Dec-16,151500.00,151500.00,149000.00,150000.00,114418
16-Dec-16,151500.00,152500.00,149500.00,152000.00,114449
15-Dec-16,153000.00,153000.00,151000.00,151500.00,83070
14-Dec-16,154500.00,155000.00,152500.00,153500.00,78594
13-Dec-16,154000.00,154000.00,151500.00,154000.00,73472
12-Dec-16,156000.00,156500.00,152500.00,153500.00,82587
9-Dec-16,152500.00,156500.00,152000.00,155500.00,83657
