Date,Open,High,Low,Close,Volume
31-Mar-17,237000.00,240500.00,236500.00,240500.00,263714
30-Mar-17,234500.00,238000.00,234000.00,235000.00,176049
29-Mar-17,243000.00,243000.00,235000.00,236000.00,408757
28-Mar-17,243500.00,244000.00,241500.00,243000.00,184440
27-Mar-17,245000.00,245500.00,241000.00,243000.00,279299
24-Mar-17,251500.00,254000.00,244500.00,247500.00,287078
23-Mar-17,256000.00,256500.00,251000.00,253000.00,263343
22-Mar-17,255500.00,258000.00,251000.00,255500.00,301058
21-Mar-17,243000.00,258000.00,243000.00,253500.00,513624
20-Mar-17,242000.00,246000.00,241000.00,246000.00,126181
17-Mar-17,243500.00,244000.00,240500.00,242500.00,176445
16-Mar-17,245000.00,245500.00,240500.00,242500.00,169267
15-Mar-17,245000.00,245500.00,241500.00,242500.00,177687
14-Mar-17,243000.00,247000.00,242500.00,246000.00,227353
13-Mar-17,245500.00,245500.00,241500.00,242500.00,130418
10-Mar-17,243500.00,245500.00,242000.00,244000.00,156261
9-Mar-17,239000.00,243500.00,239000.00,243500.00,255710
8-Mar-17,242500.00,244000.00,239500.00,240500.00,159672
7-Mar-17,241000.00,244000.00,238500.00,244000.00,144100
6-Mar-17,241000.00,241500.00,235500.00,241500.00,199465
3-Mar-17,248500.00,250000.00,240500.00,241500.00,313114
2-Mar-17,258000.00,258000.00,247000.00,250500.00,344344
28-Feb-17,257000.00,259000.00,253000.00,255000.00,195667
27-Feb-17,260000.00,261500.00,257500.00,259000.00,94352
24-Feb-17,256000.00,260500.00,255500.00,259500.00,156160
23-Feb-17,259000.00,261500.00,254500.00,258000.00,275650
22-Feb-17,259500.00,261000.00,257500.00,259500.00,168293
21-Feb-17,262000.00,262500.00,258000.00,260000.00,139231
20-Feb-17,258000.00,261000.00,255500.00,261000.00,149128
17-Feb-17,253000.00,260000.00,251000.00,259500.00,230817
16-Feb-17,253000.00,255000.00,251000.00,254500.00,242657
15-Feb-17,249000.00,255000.00,247000.00,251000.00,288609
14-Feb-17,244500.00,248000.00,243000.00,248000.00,194504
13-Feb-17,244500.00,245000.00,242000.00,243000.00,147528
10-Feb-17,241000.00,244500.00,240000.00,241000.00,155073
9-Feb-17,242500.00,243000.00,239500.00,239500.00,173392
8-Feb-17,242500.00,243500.00,239000.00,242000.00,230090
7-Feb-17,242000.00,244500.00,241500.00,243500.00,112295
6-Feb-17,246000.00,246500.00,239500.00,241000.00,126175
3-Feb-17,241500.00,246500.00,241500.00,242500.00,140744
2-Feb-17,244500.00,246500.00,240000.00,241000.00,281557
1-Feb-17,244000.00,247500.00,243000.00,245000.00,341385
31-Jan-17,253500.00,257000.00,242000.00,242000.00,804850
26-Jan-17,263000.00,267500.00,262000.00,266000.00,198431
25-Jan-17,272000.00,272000.00,263000.00,265000.00,231294
24-Jan-17,271500.00,273000.00,267500.00,272000.00,129273
23-Jan-17,276000.00,282000.00,271500.00,272500.00,129837
20-Jan-17,277500.00,280500.00,275000.00,278500.00,76705
19-Jan-17,280000.00,282000.00,274000.00,277000.00,115310
18-Jan-17,279500.00,283500.00,277000.00,282500.00,95983
17-Jan-17,281000.00,282500.00,278500.00,280000.00,101445
16-Jan-17,279500.00,282000.00,274000.00,279500.00,118373
13-Jan-17,278500.00,282500.00,275500.00,279500.00,108440
12-Jan-17,275000.00,280500.00,274000.00,279000.00,117881
11-Jan-17,273500.00,278000.00,271500.00,274500.00,128398
10-Jan-17,271500.00,277000.00,270500.00,276500.00,95594
9-Jan-17,272500.00,277000.00,272000.00,275000.00,121474
6-Jan-17,277000.00,279000.00,272000.00,272500.00,101216
5-Jan-17,272500.00,281000.00,272500.00,280500.00,121419
4-Jan-17,273500.00,280500.00,273000.00,276000.00,206374
3-Jan-17,271500.00,277000.00,269500.00,275500.00,152374
2-Jan-17,264000.00,274000.00,261500.00,271500.00,123559
29-Dec-16,258000.00,264000.00,258000.00,264000.00,148210
28-Dec-16,261500.00,264000.00,258500.00,259000.00,195727
27-Dec-16,264000.00,267500.00,264000.00,267500.00,77141
26-Dec-16,266500.00,270000.00,264000.00,264000.00,70909
23-Dec-16,269000.00,269500.00,265500.00,266500.00,101957
22-Dec-16,263000.00,270500.00,262000.00,267000.00,177281
21-Dec-16,261500.00,266000.00,260500.00,265000.00,146612
20-Dec-16,257000.00,261000.00,257000.00,259000.00,80213
19-Dec-16,257000.00,261500.00,256500.00,257500.00,88703
16-Dec-16,261500.00,263000.00,255000.00,258000.00,186340
15-Dec-16,262000.00,265500.00,260000.00,263500.00,107237
14-Dec-16,262500.00,266000.00,262000.00,264500.00,102692
13-Dec-16,264000.00,264500.00,260000.00,262000.00,85838
12-Dec-16,263500.00,264000.00,259500.00,261500.00,95082
9-Dec-16,262000.00,264000.00,258500.00,259000.00,168566
8-Dec-16,254000.00,260500.00,252000.00,260500.00,232905
7-Dec-16,253500.00,256000.00,250500.00,250500.00,122158
6-Dec-16,253500.00,255500.00,249000.00,255000.00,138869
5-Dec-16,248500.00,253000.00,246500.00,250500.00,82004
2-Dec-16,253000.00,257000.00,248000.00,251000.00,100385
1-Dec-16,251000.00,256000.00,249500.00,254000.00,170619
30-Nov-16,248000.00,251000.00,245000.00,249000.00,176714
29-Nov-16,251500.00,253000.00,247000.00,247000.00,126212
28-Nov-16,251500.00,253500.00,249500.00,251500.00,111052
25-Nov-16,253000.00,254500.00,251000.00,251500.00,105770
24-Nov-16,250000.00,254000.00,247000.00,250000.00,161905
23-Nov-16,241000.00,250500.00,240500.00,248000.00,220706
22-Nov-16,244000.00,245000.00,239500.00,242000.00,133626
21-Nov-16,239500.00,246000.00,239500.00,243500.00,173774
18-Nov-16,240500.00,243500.00,238500.00,239500.00,146283
17-Nov-16,241500.00,242500.00,239500.00,241500.00,162882
16-Nov-16,244000.00,247000.00,242000.00,242500.00,189927
15-Nov-16,241500.00,244500.00,237500.00,242500.00,219228
14-Nov-16,246500.00,249500.00,242000.00,243000.00,218698
11-Nov-16,249500.00,251500.00,244500.00,245000.00,360634
10-Nov-16,264000.00,264500.00,244500.00,248000.00,544360
9-Nov-16,268500.00,271000.00,259000.00,263500.00,222859
8-Nov-16,267000.00,269500.00,264000.00,268000.00,100328
7-Nov-16,268500.00,270500.00,265500.00,265500.00,110259
4-Nov-16,267000.00,268000.00,264000.00,265000.00,101033
3-Nov-16,270000.00,271500.00,265000.00,267000.00,168768
2-Nov-16,269000.00,271500.00,265500.00,269000.00,135609
1-Nov-16,273000.00,273500.00,269000.00,270000.00,278988
31-Oct-16,264000.00,277000.00,263000.00,274000.00,485298
28-Oct-16,256000.00,269000.00,256000.00,264500.00,375587
27-Oct-16,260500.00,262000.00,254500.00,259000.00,169499
26-Oct-16,265500.00,265500.00,257500.00,259500.00,188507
25-Oct-16,261500.00,269000.00,261500.00,267000.00,388044
24-Oct-16,262000.00,263500.00,260500.00,261500.00,157639
21-Oct-16,259500.00,262500.00,259500.00,260500.00,121774
20-Oct-16,259500.00,262500.00,257000.00,260000.00,150632
19-Oct-16,263500.00,265500.00,258000.00,258500.00,211168
18-Oct-16,267500.00,267500.00,263000.00,263500.00,195033
17-Oct-16,267500.00,269000.00,264000.00,265500.00,118448
14-Oct-16,270000.00,271500.00,265500.00,266500.00,147864
13-Oct-16,272500.00,274500.00,269500.00,270500.00,137237
12-Oct-16,276000.00,276000.00,272000.00,273500.00,149166
11-Oct-16,284000.00,284000.00,270000.00,274500.00,219109
10-Oct-16,279000.00,284000.00,273000.00,279000.00,159565
7-Oct-16,270500.00,278500.00,268500.00,278000.00,181974
6-Oct-16,274500.00,276500.00,270500.00,272500.00,149972
5-Oct-16,276000.00,280000.00,274500.00,276500.00,131887
4-Oct-16,280500.00,283000.00,278000.00,280000.00,169412
30-Sep-16,278000.00,281500.00,273500.00,275000.00,211598
29-Sep-16,284500.00,286500.00,280000.00,282000.00,127846
28-Sep-16,288000.00,290000.00,284000.00,284000.00,119759
27-Sep-16,285000.00,290500.00,282000.00,288000.00,128054
26-Sep-16,288000.00,288000.00,281000.00,284000.00,126304
23-Sep-16,285000.00,290500.00,285000.00,288000.00,138825
22-Sep-16,283500.00,293500.00,283500.00,286000.00,202003
21-Sep-16,283500.00,286500.00,280500.00,281500.00,146352
20-Sep-16,283000.00,289000.00,278000.00,286500.00,275920
19-Sep-16,280500.00,291000.00,277500.00,287000.00,247011
13-Sep-16,283000.00,284500.00,276000.00,280000.00,213119
12-Sep-16,279500.00,285500.00,275500.00,279500.00,196150
9-Sep-16,279000.00,280500.00,273500.00,279500.00,185537
8-Sep-16,280500.00,284500.00,279000.00,283000.00,255002
7-Sep-16,284000.00,284500.00,278500.00,280500.00,219167
6-Sep-16,273000.00,289000.00,272000.00,287000.00,294651
5-Sep-16,267000.00,281000.00,265500.00,274000.00,254336
2-Sep-16,265000.00,267000.00,259000.00,263500.00,151795
1-Sep-16,258000.00,267500.00,257000.00,266500.00,157241
31-Aug-16,256500.00,261000.00,256000.00,260500.00,183169
30-Aug-16,259000.00,260500.00,257500.00,260000.00,63092
29-Aug-16,255000.00,260000.00,255000.00,259000.00,104429
