Date,Open,High,Low,Close,Volume
31-Mar-17,85900.00,89300.00,85200.00,88600.00,238923
30-Mar-17,87700.00,88600.00,84300.00,85500.00,320321
29-Mar-17,90100.00,90500.00,88000.00,88200.00,180009
28-Mar-17,90400.00,90400.00,88000.00,89300.00,200333
27-Mar-17,88800.00,89500.00,85500.00,88900.00,336158
24-Mar-17,90300.00,91600.00,88300.00,88800.00,320033
23-Mar-17,84000.00,89700.00,84000.00,89500.00,478763
22-Mar-17,82000.00,85400.00,81900.00,83400.00,235838
21-Mar-17,83800.00,83900.00,81600.00,82800.00,215019
20-Mar-17,82800.00,84300.00,82500.00,84100.00,161887
17-Mar-17,81500.00,83700.00,81500.00,82200.00,228462
16-Mar-17,78300.00,82200.00,78100.00,81800.00,489143
15-Mar-17,76800.00,77600.00,75500.00,76600.00,121347
14-Mar-17,75100.00,77600.00,75000.00,76500.00,172148
13-Mar-17,76000.00,76100.00,73300.00,75100.00,210841
10-Mar-17,75700.00,77000.00,74000.00,75500.00,223474
9-Mar-17,76300.00,77500.00,74200.00,75900.00,291730
8-Mar-17,77200.00,79000.00,76300.00,77500.00,241102
7-Mar-17,72000.00,78300.00,72000.00,76500.00,511781
6-Mar-17,72500.00,73600.00,71300.00,72500.00,207457
3-Mar-17,72100.00,73700.00,71600.00,72900.00,186537
2-Mar-17,74300.00,74500.00,71600.00,72500.00,356699
28-Feb-17,69500.00,73800.00,68100.00,73000.00,584130
27-Feb-17,66700.00,68300.00,66200.00,68200.00,230756
24-Feb-17,65800.00,67000.00,65100.00,65700.00,131458
23-Feb-17,66000.00,66100.00,64600.00,65600.00,142816
22-Feb-17,63600.00,66200.00,63500.00,65800.00,295773
21-Feb-17,60300.00,63800.00,60300.00,63600.00,328870
20-Feb-17,60200.00,60400.00,59100.00,60200.00,77313
17-Feb-17,60200.00,60400.00,59200.00,59800.00,83883
16-Feb-17,61300.00,61400.00,60100.00,60600.00,89493
15-Feb-17,58800.00,61400.00,58800.00,61200.00,224207
14-Feb-17,59400.00,60300.00,58800.00,59000.00,82686
13-Feb-17,59000.00,60200.00,58900.00,59200.00,123257
10-Feb-17,60000.00,60500.00,57900.00,58800.00,282413
9-Feb-17,60600.00,60900.00,60100.00,60400.00,85888
8-Feb-17,60200.00,60900.00,59900.00,60500.00,92635
7-Feb-17,60400.00,60600.00,59100.00,60100.00,85852
6-Feb-17,59300.00,59900.00,58600.00,59800.00,67746
3-Feb-17,60000.00,60300.00,58300.00,58400.00,107610
2-Feb-17,58000.00,60600.00,57900.00,60100.00,160239
1-Feb-17,57000.00,59100.00,57000.00,58300.00,100479
31-Jan-17,58400.00,58700.00,56800.00,57400.00,107298
26-Jan-17,57900.00,59000.00,57800.00,58600.00,90337
25-Jan-17,60300.00,60300.00,57700.00,58000.00,192962
24-Jan-17,60500.00,61500.00,59200.00,59900.00,155085
23-Jan-17,62200.00,62600.00,60500.00,60800.00,132638
20-Jan-17,62400.00,63400.00,61700.00,62100.00,170835
19-Jan-17,63700.00,64400.00,63000.00,63100.00,81400
18-Jan-17,64300.00,64400.00,63200.00,63900.00,110114
17-Jan-17,64900.00,65800.00,64700.00,65000.00,59036
16-Jan-17,65100.00,65400.00,64200.00,64700.00,81968
13-Jan-17,65300.00,65500.00,64500.00,65300.00,82348
12-Jan-17,65800.00,67200.00,64800.00,65600.00,141333
11-Jan-17,64000.00,65500.00,63900.00,65300.00,108554
10-Jan-17,64600.00,65300.00,63800.00,64100.00,139249
9-Jan-17,65700.00,66400.00,65000.00,65300.00,63280
6-Jan-17,65600.00,66300.00,65000.00,66000.00,59183
5-Jan-17,65800.00,66900.00,65200.00,65300.00,114176
4-Jan-17,68000.00,68100.00,65500.00,65600.00,184435
3-Jan-17,67000.00,68800.00,66200.00,68400.00,88593
2-Jan-17,67600.00,67600.00,66400.00,67000.00,37806
29-Dec-16,67200.00,67500.00,66300.00,67200.00,39988
28-Dec-16,66400.00,67800.00,66400.00,67200.00,46258
27-Dec-16,67700.00,67800.00,66300.00,66300.00,72717
26-Dec-16,68300.00,68500.00,67500.00,67700.00,25804
23-Dec-16,68800.00,68800.00,67600.00,68200.00,47670
22-Dec-16,68000.00,69300.00,67500.00,68700.00,67131
21-Dec-16,68000.00,69400.00,68000.00,68500.00,90945
20-Dec-16,68100.00,69100.00,67700.00,68000.00,43965
19-Dec-16,69200.00,69400.00,67500.00,67900.00,61937
16-Dec-16,68000.00,69500.00,67800.00,69100.00,82453
15-Dec-16,67500.00,69000.00,66100.00,68900.00,128029
14-Dec-16,68600.00,69200.00,67400.00,68200.00,63982
13-Dec-16,70000.00,70200.00,67800.00,68500.00,105850
12-Dec-16,69600.00,71000.00,68200.00,69500.00,241160
9-Dec-16,65800.00,67400.00,65500.00,66700.00,102650
8-Dec-16,64800.00,66200.00,64200.00,66200.00,118668
7-Dec-16,65000.00,65400.00,63700.00,63900.00,72668
6-Dec-16,64900.00,65400.00,64300.00,64700.00,130447
5-Dec-16,62800.00,65800.00,62700.00,63600.00,165201
2-Dec-16,63200.00,64300.00,62500.00,62800.00,135567
1-Dec-16,63500.00,64700.00,63400.00,63600.00,146671
30-Nov-16,62000.00,62600.00,61100.00,61900.00,112303
29-Nov-16,62700.00,63600.00,62100.00,62200.00,107600
28-Nov-16,63800.00,64500.00,62400.00,63000.00,122009
25-Nov-16,63300.00,64500.00,62000.00,64000.00,166596
24-Nov-16,65800.00,65900.00,63300.00,64000.00,175048
23-Nov-16,65700.00,66300.00,64500.00,66000.00,199726
22-Nov-16,69900.00,69900.00,64900.00,65800.00,391806
21-Nov-16,70700.00,71300.00,70000.00,70000.00,78817
18-Nov-16,72200.00,72200.00,69600.00,70700.00,99468
17-Nov-16,70800.00,73200.00,70500.00,72200.00,199865
16-Nov-16,72000.00,74300.00,70300.00,70800.00,524399
15-Nov-16,66500.00,67500.00,64800.00,67500.00,132564
14-Nov-16,64900.00,67000.00,64700.00,66100.00,121621
11-Nov-16,64800.00,66300.00,64000.00,64900.00,100212
10-Nov-16,64000.00,65800.00,63300.00,65300.00,119973
9-Nov-16,65600.00,66000.00,61000.00,62600.00,290510
8-Nov-16,67700.00,67800.00,64100.00,65600.00,222183
7-Nov-16,65000.00,67300.00,64900.00,67300.00,125754
4-Nov-16,65300.00,66100.00,63300.00,64200.00,184599
3-Nov-16,66300.00,67100.00,65300.00,66200.00,126478
2-Nov-16,66200.00,67700.00,66000.00,66400.00,113912
1-Nov-16,69500.00,70300.00,65700.00,66500.00,327704
31-Oct-16,70500.00,71500.00,70000.00,70300.00,107534
28-Oct-16,71700.00,71700.00,69800.00,70700.00,159286
27-Oct-16,72700.00,73700.00,70600.00,71500.00,329460
26-Oct-16,78300.00,78700.00,73100.00,73600.00,297942
25-Oct-16,80900.00,81500.00,78500.00,79000.00,121530
24-Oct-16,79000.00,80900.00,78200.00,80200.00,93605
21-Oct-16,80000.00,80000.00,78500.00,78800.00,60232
20-Oct-16,80500.00,81000.00,79100.00,79700.00,58318
19-Oct-16,81100.00,81800.00,79600.00,80300.00,68000
18-Oct-16,78500.00,80900.00,78000.00,80900.00,92841
17-Oct-16,79000.00,80000.00,78200.00,78300.00,68886
14-Oct-16,79100.00,80600.00,78100.00,78600.00,92440
13-Oct-16,79200.00,80300.00,78400.00,78800.00,85610
12-Oct-16,81200.00,82400.00,79000.00,79100.00,140574
11-Oct-16,81600.00,82600.00,81400.00,82100.00,176947
10-Oct-16,79100.00,81500.00,79000.00,80400.00,159877
7-Oct-16,75600.00,79900.00,75000.00,78900.00,278768
6-Oct-16,74000.00,75400.00,73400.00,74900.00,98249
5-Oct-16,73900.00,74100.00,72700.00,73900.00,62631
4-Oct-16,74500.00,75200.00,73500.00,73900.00,66660
30-Sep-16,73900.00,75300.00,73200.00,74200.00,64841
29-Sep-16,73900.00,75900.00,73900.00,75100.00,105306
28-Sep-16,73000.00,74400.00,72600.00,73000.00,66895
27-Sep-16,73500.00,73800.00,72300.00,73400.00,57847
26-Sep-16,73700.00,74100.00,72700.00,73500.00,66847
23-Sep-16,73000.00,73900.00,72100.00,73700.00,109494
22-Sep-16,71300.00,72800.00,70700.00,72000.00,135074
21-Sep-16,70100.00,70400.00,69300.00,70200.00,67543
20-Sep-16,70800.00,71300.00,69500.00,70200.00,101937
19-Sep-16,70100.00,71300.00,69000.00,71100.00,211585
13-Sep-16,72300.00,73000.00,70400.00,71400.00,131860
12-Sep-16,74100.00,74800.00,71300.00,71300.00,233278
9-Sep-16,76300.00,76700.00,75600.00,75800.00,69867
8-Sep-16,78200.00,78300.00,76000.00,76000.00,131906
7-Sep-16,80600.00,82500.00,77200.00,77900.00,153269
6-Sep-16,78000.00,81000.00,78000.00,80400.00,150129
5-Sep-16,78500.00,79000.00,77200.00,77900.00,103021
2-Sep-16,75900.00,77900.00,75000.00,77700.00,116981
1-Sep-16,75900.00,76700.00,74800.00,75900.00,91737
31-Aug-16,74000.00,76700.00,74000.00,76200.00,97197
30-Aug-16,77000.00,77200.00,73400.00,74300.00,226192
29-Aug-16,76000.00,78800.00,75300.00,76900.00,127886
26-Aug-16,77700.00,77700.00,75200.00,76300.00,123160
