Date,Open,High,Low,Close,Volume
31-Mar-17,58500.00,58900.00,58100.00,58500.00,422288
30-Mar-17,58700.00,58900.00,57400.00,57900.00,352126
29-Mar-17,59100.00,59400.00,57600.00,58500.00,487032
28-Mar-17,58700.00,58800.00,57700.00,58600.00,384546
27-Mar-17,59000.00,59300.00,57800.00,58000.00,546157
24-Mar-17,61100.00,61300.00,58800.00,59600.00,601949
23-Mar-17,61200.00,61700.00,60700.00,60800.00,328210
22-Mar-17,61600.00,61900.00,60600.00,60900.00,590915
21-Mar-17,63700.00,63700.00,62700.00,62900.00,273955
20-Mar-17,63600.00,63600.00,63000.00,63100.00,161997
17-Mar-17,63800.00,63800.00,62800.00,63300.00,282813
16-Mar-17,63000.00,63900.00,62400.00,63900.00,503996
15-Mar-17,61400.00,62000.00,61000.00,61600.00,164524
14-Mar-17,62300.00,63100.00,61300.00,61400.00,331252
13-Mar-17,61500.00,62500.00,60600.00,62200.00,508509
10-Mar-17,62000.00,62200.00,61200.00,62000.00,356656
9-Mar-17,63400.00,63600.00,61600.00,62100.00,508932
8-Mar-17,62500.00,63900.00,62200.00,63300.00,274188
7-Mar-17,62200.00,62900.00,61400.00,62600.00,186453
6-Mar-17,62900.00,63200.00,61500.00,62200.00,285282
3-Mar-17,62800.00,63000.00,61800.00,62200.00,314012
2-Mar-17,63900.00,64800.00,62900.00,63300.00,570048
28-Feb-17,62600.00,63700.00,62500.00,62500.00,347051
27-Feb-17,61900.00,63200.00,61700.00,62600.00,291847
24-Feb-17,63800.00,63800.00,61800.00,62100.00,529114
23-Feb-17,64300.00,64700.00,64000.00,64100.00,247579
22-Feb-17,64600.00,64800.00,64000.00,64400.00,228742
21-Feb-17,63700.00,65400.00,63600.00,64500.00,417785
20-Feb-17,63200.00,64200.00,63200.00,63700.00,230484
17-Feb-17,62900.00,64000.00,62700.00,63500.00,267405
16-Feb-17,63800.00,63800.00,62700.00,63400.00,273558
15-Feb-17,63100.00,63500.00,62400.00,63500.00,353963
14-Feb-17,62700.00,63700.00,62600.00,62700.00,446554
13-Feb-17,62100.00,62500.00,61400.00,62100.00,240142
10-Feb-17,62000.00,62800.00,61700.00,61800.00,400442
9-Feb-17,60000.00,61500.00,59700.00,61400.00,443693
8-Feb-17,60000.00,60100.00,59300.00,59900.00,278778
7-Feb-17,60200.00,60300.00,59500.00,60300.00,327834
6-Feb-17,60900.00,61000.00,59500.00,59900.00,308876
3-Feb-17,60800.00,61600.00,59200.00,60300.00,719592
2-Feb-17,60000.00,60800.00,59500.00,60500.00,472624
1-Feb-17,58400.00,60800.00,58400.00,60800.00,497388
31-Jan-17,58700.00,59100.00,58100.00,58200.00,389079
26-Jan-17,58200.00,60400.00,57400.00,59300.00,525095
25-Jan-17,60900.00,60900.00,58200.00,58200.00,578293
24-Jan-17,59600.00,60400.00,58600.00,60400.00,557262
23-Jan-17,60400.00,61100.00,59800.00,60400.00,305559
20-Jan-17,61500.00,61600.00,60600.00,61200.00,292722
19-Jan-17,61100.00,63200.00,61100.00,62000.00,551946
18-Jan-17,61300.00,61500.00,60000.00,61000.00,418363
17-Jan-17,61500.00,62300.00,61000.00,61100.00,346082
16-Jan-17,61300.00,61500.00,60200.00,60900.00,344222
13-Jan-17,60200.00,61300.00,59300.00,61100.00,540093
12-Jan-17,60400.00,61300.00,59600.00,60300.00,526868
11-Jan-17,57700.00,60100.00,57700.00,59900.00,1026897
10-Jan-17,55300.00,57000.00,55300.00,56600.00,284251
9-Jan-17,56800.00,56900.00,55300.00,55600.00,549695
6-Jan-17,57300.00,57400.00,56000.00,57200.00,354477
5-Jan-17,58100.00,58500.00,57100.00,57300.00,420805
4-Jan-17,59000.00,59200.00,58300.00,58600.00,302830
3-Jan-17,58700.00,59200.00,57700.00,58800.00,306402
2-Jan-17,57000.00,59000.00,57000.00,58500.00,264615
29-Dec-16,57500.00,57700.00,56800.00,57000.00,224565
28-Dec-16,57600.00,58400.00,57500.00,57600.00,314718
27-Dec-16,57000.00,58300.00,56900.00,57800.00,357550
26-Dec-16,59300.00,59300.00,56800.00,57000.00,588186
23-Dec-16,59200.00,59400.00,58300.00,59200.00,267927
22-Dec-16,59000.00,59600.00,58300.00,59000.00,355870
21-Dec-16,58500.00,60200.00,58100.00,59000.00,993107
20-Dec-16,56200.00,58300.00,56200.00,57800.00,683031
19-Dec-16,56000.00,56500.00,54800.00,55800.00,299313
16-Dec-16,56900.00,57200.00,55700.00,56200.00,372234
15-Dec-16,54900.00,57200.00,54600.00,56700.00,516551
14-Dec-16,56400.00,56400.00,54700.00,55400.00,490022
13-Dec-16,56900.00,56900.00,55500.00,56300.00,520059
12-Dec-16,55900.00,57200.00,55600.00,56300.00,712229
9-Dec-16,54900.00,55900.00,54800.00,55300.00,690531
8-Dec-16,54500.00,55500.00,54100.00,55300.00,1211454
7-Dec-16,53500.00,54100.00,53100.00,53400.00,571918
6-Dec-16,52900.00,54200.00,52700.00,53100.00,1062286
5-Dec-16,51500.00,52800.00,51300.00,52600.00,709392
2-Dec-16,51700.00,51900.00,51100.00,51400.00,349932
1-Dec-16,50400.00,51700.00,49950.00,51700.00,500221
30-Nov-16,51000.00,51000.00,49700.00,49900.00,613972
29-Nov-16,50300.00,51300.00,50200.00,51000.00,274565
28-Nov-16,51100.00,51300.00,50300.00,50700.00,216431
25-Nov-16,51800.00,51900.00,50500.00,51400.00,273078
24-Nov-16,51700.00,52100.00,51100.00,51500.00,368561
23-Nov-16,51000.00,52100.00,51000.00,51900.00,609888
22-Nov-16,49250.00,51200.00,49050.00,50900.00,496227
21-Nov-16,49600.00,49600.00,48850.00,49100.00,198247
18-Nov-16,49600.00,49950.00,49050.00,49800.00,224134
17-Nov-16,49850.00,50300.00,49200.00,49650.00,178690
16-Nov-16,51200.00,51300.00,49900.00,49950.00,353223
15-Nov-16,50800.00,51500.00,50400.00,50700.00,617912
14-Nov-16,49650.00,50800.00,49250.00,50500.00,498648
11-Nov-16,48050.00,49800.00,47600.00,49650.00,485969
10-Nov-16,48400.00,48800.00,47750.00,48100.00,620419
9-Nov-16,49800.00,49800.00,46500.00,47750.00,753019
8-Nov-16,49800.00,50000.00,49150.00,49650.00,193377
7-Nov-16,49000.00,49550.00,48800.00,49550.00,257124
4-Nov-16,48700.00,48700.00,48000.00,48400.00,244667
3-Nov-16,48500.00,49150.00,48250.00,48500.00,355600
2-Nov-16,49150.00,49250.00,48350.00,48500.00,432826
1-Nov-16,49500.00,49800.00,49300.00,49600.00,233445
31-Oct-16,49500.00,49750.00,49100.00,49400.00,336138
28-Oct-16,50800.00,50900.00,49800.00,49950.00,369021
27-Oct-16,51600.00,51900.00,50000.00,50800.00,414390
26-Oct-16,53200.00,53200.00,51200.00,51200.00,499044
25-Oct-16,52600.00,53600.00,52300.00,53100.00,779801
24-Oct-16,51400.00,52500.00,51200.00,52400.00,514601
21-Oct-16,51900.00,52200.00,51200.00,51300.00,371271
