Date,Open,High,Low,Close,Volume
29-Mar-17,168500.00,172500.00,165000.00,165000.00,1643746
28-Mar-17,171000.00,175000.00,168500.00,168500.00,438043
27-Mar-17,172000.00,173000.00,168000.00,171000.00,327848
24-Mar-17,178000.00,178500.00,173000.00,174500.00,214704
23-Mar-17,177000.00,180000.00,174000.00,177500.00,267512
22-Mar-17,173500.00,177000.00,173000.00,174000.00,230303
21-Mar-17,179500.00,179500.00,176000.00,176000.00,264677
20-Mar-17,178000.00,179500.00,176500.00,179500.00,181930
17-Mar-17,178000.00,178500.00,176000.00,177500.00,255649
16-Mar-17,171500.00,179000.00,171000.00,177500.00,726120
15-Mar-17,166500.00,167000.00,163500.00,166500.00,132567
14-Mar-17,168000.00,168500.00,165500.00,166000.00,152930
13-Mar-17,168000.00,169000.00,163500.00,168000.00,203769
10-Mar-17,165500.00,168000.00,165000.00,166500.00,156267
9-Mar-17,169000.00,169500.00,165000.00,167000.00,249455
8-Mar-17,171500.00,172000.00,169000.00,169500.00,201842
7-Mar-17,166500.00,171500.00,166000.00,171000.00,289205
6-Mar-17,167000.00,169000.00,164000.00,166000.00,236356
3-Mar-17,166000.00,169000.00,163500.00,167500.00,309633
2-Mar-17,167000.00,170000.00,163000.00,165500.00,497203
28-Feb-17,158000.00,166500.00,155000.00,164500.00,667177
27-Feb-17,156500.00,159000.00,156000.00,156500.00,182191
24-Feb-17,156000.00,157000.00,154000.00,155500.00,153885
23-Feb-17,158000.00,158500.00,154500.00,156500.00,212464
22-Feb-17,155000.00,159000.00,153500.00,157000.00,420194
21-Feb-17,149000.00,154500.00,148500.00,154500.00,396523
20-Feb-17,144500.00,149000.00,144500.00,148500.00,202949
17-Feb-17,145500.00,148000.00,143500.00,145000.00,149552
16-Feb-17,147500.00,148000.00,145500.00,147000.00,133639
15-Feb-17,147500.00,148500.00,146500.00,148000.00,115044
14-Feb-17,149000.00,149000.00,147000.00,147000.00,154991
13-Feb-17,148000.00,150000.00,146500.00,148000.00,210688
10-Feb-17,146500.00,147500.00,144000.00,147000.00,184106
9-Feb-17,145000.00,147500.00,143500.00,146500.00,224397
8-Feb-17,143000.00,144500.00,142000.00,144500.00,126412
7-Feb-17,142000.00,144000.00,139000.00,143500.00,211000
6-Feb-17,143000.00,144000.00,141000.00,143500.00,143397
3-Feb-17,141000.00,142000.00,140000.00,140500.00,158148
2-Feb-17,139500.00,142500.00,138000.00,140500.00,196374
1-Feb-17,132500.00,139500.00,132500.00,139500.00,233404
31-Jan-17,136000.00,136000.00,130000.00,132500.00,352264
