Date,Open,High,Low,Close,Volume
31-Mar-17,7270.00,7540.00,7270.00,7300.00,1636717
30-Mar-17,7300.00,7370.00,7250.00,7280.00,676949
29-Mar-17,7320.00,7400.00,7230.00,7300.00,1551247
28-Mar-17,7040.00,7300.00,7010.00,7260.00,1863314
27-Mar-17,7150.00,7310.00,6980.00,7000.00,1574775
24-Mar-17,6830.00,7190.00,6760.00,7130.00,2276656
23-Mar-17,7030.00,7030.00,6770.00,6790.00,1135207
22-Mar-17,6720.00,7020.00,6720.00,6960.00,1287009
21-Mar-17,6920.00,7040.00,6780.00,6800.00,919917
20-Mar-17,6980.00,7100.00,6850.00,6930.00,1513293
17-Mar-17,6650.00,6920.00,6600.00,6900.00,1609464
16-Mar-17,6450.00,6660.00,6430.00,6580.00,776869
15-Mar-17,6510.00,6550.00,6350.00,6370.00,489080
14-Mar-17,6590.00,6660.00,6460.00,6500.00,547673
13-Mar-17,6560.00,6650.00,6530.00,6590.00,524650
10-Mar-17,6630.00,6640.00,6460.00,6560.00,376086
9-Mar-17,6600.00,6640.00,6550.00,6590.00,404224
8-Mar-17,6500.00,6660.00,6490.00,6570.00,595608
7-Mar-17,6500.00,6610.00,6460.00,6500.00,631720
6-Mar-17,6280.00,6530.00,6210.00,6530.00,838144
3-Mar-17,6500.00,6620.00,6280.00,6340.00,1026299
2-Mar-17,6790.00,6800.00,6510.00,6530.00,1128290
28-Feb-17,6870.00,6870.00,6740.00,6740.00,432695
27-Feb-17,6740.00,6910.00,6710.00,6860.00,526430
24-Feb-17,6880.00,6970.00,6700.00,6710.00,1088731
23-Feb-17,6960.00,7080.00,6900.00,6900.00,645344
22-Feb-17,7060.00,7080.00,6940.00,6980.00,494504
21-Feb-17,6980.00,7190.00,6980.00,7020.00,780745
20-Feb-17,7070.00,7080.00,6930.00,6980.00,440748
17-Feb-17,6930.00,7080.00,6900.00,6980.00,575036
16-Feb-17,6970.00,6990.00,6880.00,6960.00,468051
15-Feb-17,6920.00,7020.00,6900.00,6910.00,520967
14-Feb-17,7050.00,7050.00,6880.00,6910.00,581944
13-Feb-17,6910.00,7060.00,6800.00,7040.00,548879
10-Feb-17,7090.00,7150.00,6830.00,6860.00,1299969
