Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,220.00","2,242.00","2,196.50","2,196.50","2,527,900"
"Mar 30, 2017","2,271.00","2,275.00","2,209.50","2,213.50","1,989,800"
"Mar 29, 2017","2,260.50","2,289.00","2,252.00","2,281.00","1,783,300"
"Mar 28, 2017","2,273.00","2,279.50","2,257.00","2,270.00","1,645,400"
"Mar 27, 2017","2,270.50","2,285.00","2,250.00","2,254.00","1,293,600"
"Mar 24, 2017","2,250.00","2,293.50","2,238.00","2,287.00","3,399,900"
"Mar 23, 2017","2,244.00","2,257.50","2,236.00","2,254.00","1,377,300"
"Mar 22, 2017","2,258.00","2,264.50","2,241.50","2,241.50","1,659,100"
"Mar 21, 2017","2,278.50","2,283.00","2,265.00","2,271.00","1,064,700"
"Mar 17, 2017","2,293.50","2,298.50","2,276.50","2,282.00","1,557,200"
"Mar 16, 2017","2,279.50","2,315.50","2,276.50","2,303.50","1,880,700"
"Mar 15, 2017","2,285.50","2,304.00","2,277.50","2,302.50","1,179,300"
"Mar 14, 2017","2,270.00","2,288.00","2,268.50","2,282.50","1,209,200"
"Mar 13, 2017","2,282.00","2,289.50","2,263.00","2,268.50","1,547,400"
"Mar 10, 2017","2,255.50","2,281.00","2,247.50","2,281.00","2,607,900"
"Mar 9, 2017","2,251.00","2,251.00","2,232.50","2,238.50","1,381,300"
"Mar 8, 2017","2,269.50","2,269.50","2,238.00","2,242.50","1,900,400"
"Mar 7, 2017","2,253.00","2,272.50","2,253.00","2,268.00","1,438,100"
"Mar 6, 2017","2,260.00","2,266.50","2,245.00","2,261.50","1,222,800"
"Mar 3, 2017","2,272.00","2,274.00","2,256.00","2,262.50","1,359,400"
"Mar 2, 2017","2,296.50","2,296.50","2,256.50","2,263.50","2,268,300"
"Mar 1, 2017","2,285.00","2,286.00","2,257.50","2,271.00","1,940,000"
"Feb 28, 2017","2,263.00","2,297.50","2,254.00","2,274.00","2,533,400"
"Feb 27, 2017","2,250.00","2,271.00","2,245.50","2,256.00","1,543,300"
"Feb 24, 2017","2,229.50","2,260.00","2,228.50","2,254.50","2,055,700"
"Feb 23, 2017","2,241.50","2,245.00","2,229.50","2,233.50","2,644,700"
"Feb 22, 2017","2,292.00","2,292.50","2,232.00","2,239.00","4,387,500"
"Feb 21, 2017","2,324.50","2,332.50","2,297.50","2,301.00","1,766,200"
"Feb 20, 2017","2,335.00","2,338.00","2,308.50","2,319.50","1,451,100"
"Feb 17, 2017","2,301.50","2,338.00","2,261.50","2,337.50","4,017,800"
"Feb 16, 2017","2,274.50","2,324.00","2,270.00","2,319.00","2,286,300"
"Feb 15, 2017","2,292.00","2,297.00","2,261.50","2,263.50","1,258,500"
"Feb 14, 2017","2,304.50","2,313.50","2,267.00","2,268.00","1,648,200"
"Feb 13, 2017","2,323.50","2,330.00","2,305.00","2,308.00","1,538,200"
"Feb 10, 2017","2,319.50","2,322.00","2,294.00","2,302.00","1,738,900"
"Feb 9, 2017","2,284.50","2,289.50","2,262.50","2,269.50","1,394,300"
"Feb 8, 2017","2,304.50","2,309.50","2,274.50","2,288.50","895,500"
"Feb 7, 2017","2,275.00","2,297.50","2,263.50","2,288.50","1,291,500"
"Feb 6, 2017","2,326.00","2,326.00","2,283.00","2,288.00","2,044,100"
"Feb 3, 2017","2,316.50","2,336.00","2,296.50","2,299.50","1,598,800"
"Feb 2, 2017","2,330.00","2,367.00","2,311.00","2,318.00","3,276,000"
"Feb 1, 2017","2,280.00","2,314.50","2,278.00","2,305.00","3,290,200"
"Jan 31, 2017","2,232.00","2,250.00","2,225.00","2,228.50","1,857,600"
"Jan 30, 2017","2,260.00","2,273.00","2,234.00","2,255.50","1,644,800"
"Jan 27, 2017","2,231.50","2,265.50","2,222.50","2,260.00","1,618,100"
"Jan 26, 2017","2,211.50","2,237.00","2,202.00","2,224.00","1,894,000"
"Jan 25, 2017","2,227.00","2,244.50","2,207.00","2,212.00","1,842,300"
"Jan 24, 2017","2,200.00","2,223.00","2,200.00","2,207.50","1,849,900"
"Jan 23, 2017","2,251.50","2,253.00","2,205.00","2,206.00","2,436,000"
"Jan 20, 2017","2,254.00","2,274.00","2,248.00","2,264.00","1,418,900"
"Jan 19, 2017","2,245.00","2,273.50","2,240.50","2,261.00","1,769,500"
"Jan 18, 2017","2,265.00","2,265.00","2,230.50","2,252.00","1,582,800"
"Jan 17, 2017","2,308.50","2,308.50","2,250.00","2,250.00","1,615,400"
"Jan 16, 2017","2,306.00","2,316.00","2,295.00","2,305.00","1,346,900"
"Jan 13, 2017","2,293.50","2,328.50","2,287.00","2,316.00","1,530,200"
"Jan 12, 2017","2,333.50","2,336.00","2,287.00","2,291.50","2,365,900"
"Jan 11, 2017","2,348.00","2,348.00","2,322.50","2,327.00","2,255,500"
"Jan 10, 2017","2,371.00","2,388.00","2,348.50","2,349.00","2,229,000"
"Jan 6, 2017","2,380.00","2,395.00","2,368.00","2,376.00","2,137,700"
"Jan 5, 2017","2,400.00","2,406.50","2,374.50","2,377.00","1,546,500"
"Jan 4, 2017","2,376.50","2,413.50","2,372.00","2,412.50","2,273,400"
"Dec 30, 2016","2,343.50","2,362.50","2,328.00","2,354.00","1,725,600"
"Dec 29, 2016","2,341.00","2,356.00","2,334.00","2,344.00","1,804,800"
"Dec 28, 2016","2,371.00","2,371.00","2,350.50","2,354.00","1,315,900"
"Dec 27, 2016","2,376.50","2,393.00","2,368.00","2,371.50","1,451,600"
"Dec 26, 2016","2,367.50","2,394.50","2,363.00","2,385.50","1,892,200"
"Dec 22, 2016","2,395.00","2,399.00","2,345.50","2,361.00","2,490,700"
"Dec 21, 2016","2,425.50","2,429.00","2,379.00","2,386.00","2,403,900"
"Dec 20, 2016","2,415.00","2,439.00","2,403.00","2,406.50","2,716,800"
"Dec 19, 2016","2,409.50","2,434.50","2,400.50","2,430.00","2,765,500"
"Dec 16, 2016","2,395.50","2,409.50","2,384.50","2,398.50","2,683,800"
"Dec 15, 2016","2,377.50","2,393.50","2,365.50","2,374.00","2,583,700"
"Dec 14, 2016","2,388.50","2,414.00","2,361.50","2,368.00","3,484,500"
"Dec 13, 2016","2,335.00","2,379.00","2,335.00","2,364.50","3,592,500"
"Dec 12, 2016","2,266.00","2,352.50","2,254.50","2,335.00","3,801,100"
"Dec 9, 2016","2,225.00","2,245.50","2,212.50","2,231.50","3,674,500"
"Dec 8, 2016","2,210.00","2,232.50","2,177.50","2,225.00","3,758,700"
"Dec 7, 2016","2,161.50","2,192.50","2,156.00","2,190.00","2,475,900"
"Dec 6, 2016","2,226.00","2,230.50","2,180.50","2,182.50","4,072,200"
"Dec 5, 2016","2,260.00","2,279.50","2,226.50","2,234.50","2,494,500"
"Dec 2, 2016","2,242.50","2,275.00","2,240.00","2,252.50","3,779,700"
"Dec 1, 2016","2,213.00","2,287.50","2,213.00","2,261.50","4,118,900"
"Nov 30, 2016","2,191.50","2,219.00","2,188.00","2,212.50","3,772,300"
"Nov 29, 2016","2,202.00","2,212.50","2,191.00","2,201.50","2,429,500"
"Nov 28, 2016","2,226.00","2,227.00","2,187.00","2,193.00","2,619,300"
"Nov 25, 2016","2,162.00","2,213.50","2,160.50","2,213.00","2,955,400"
"Nov 24, 2016","2,193.50","2,194.00","2,153.50","2,162.00","2,816,000"
"Nov 22, 2016","2,175.00","2,202.00","2,160.50","2,182.00","3,569,100"
"Nov 21, 2016","2,146.50","2,189.50","2,131.00","2,186.50","3,267,200"
"Nov 18, 2016","2,105.00","2,127.00","2,081.50","2,120.50","3,436,300"
"Nov 17, 2016","2,049.50","2,092.00","2,047.00","2,091.00","3,944,500"
"Nov 16, 2016","2,058.00","2,066.50","2,028.00","2,030.00","3,814,400"
"Nov 15, 2016","2,050.00","2,059.00","2,022.00","2,034.00","2,544,600"
"Nov 14, 2016","2,100.00","2,100.50","2,038.50","2,046.00","2,777,600"
"Nov 11, 2016","2,125.00","2,134.00","2,050.00","2,053.00","4,418,700"
"Nov 10, 2016","2,175.50","2,189.00","2,115.00","2,116.50","3,985,800"
"Nov 9, 2016","2,212.00","2,231.50","2,020.00","2,067.50","5,065,600"
"Nov 8, 2016","2,323.00","2,342.50","2,235.00","2,254.50","4,049,300"
"Nov 7, 2016","2,347.50","2,356.50","2,315.00","2,348.00","1,493,500"
"Nov 4, 2016","2,339.50","2,348.50","2,320.50","2,341.00","1,820,800"
"Nov 2, 2016","2,323.50","2,354.50","2,318.00","2,348.50","1,374,800"
"Nov 1, 2016","2,324.50","2,340.00","2,308.50","2,333.00","1,282,600"
"Oct 31, 2016","2,340.50","2,355.00","2,328.50","2,336.50","1,259,500"
"Oct 28, 2016","2,360.00","2,363.50","2,335.00","2,343.50","1,851,700"
"Oct 27, 2016","2,334.00","2,359.00","2,325.00","2,344.00","1,653,600"
"Oct 26, 2016","2,314.50","2,329.00","2,303.00","2,322.50","1,283,600"
"Oct 25, 2016","2,307.00","2,319.00","2,297.00","2,313.00","1,618,300"
"Oct 24, 2016","2,284.00","2,297.50","2,282.50","2,295.50","874,800"
"Oct 21, 2016","2,306.00","2,306.00","2,271.50","2,279.00","1,339,200"
"Oct 20, 2016","2,278.00","2,308.00","2,274.00","2,297.50","1,403,900"
"Oct 19, 2016","2,258.50","2,290.00","2,251.50","2,284.00","1,115,400"
"Oct 18, 2016","2,250.00","2,267.50","2,240.00","2,257.50","1,553,000"
"Oct 17, 2016","2,249.00","2,266.50","2,236.50","2,256.00","1,296,000"
"Oct 14, 2016","2,281.00","2,287.00","2,241.50","2,249.50","2,162,900"
"Oct 13, 2016","2,300.00","2,310.00","2,278.00","2,283.00","1,272,200"
"Oct 12, 2016","2,299.50","2,328.50","2,285.00","2,287.50","1,890,300"
"Oct 11, 2016","2,299.00","2,300.00","2,270.00","2,285.00","1,486,600"
"Oct 7, 2016","2,284.00","2,299.00","2,269.00","2,296.50","1,792,100"
"Oct 6, 2016","2,259.00","2,289.00","2,246.00","2,283.00","1,167,900"
"Oct 5, 2016","2,256.00","2,264.50","2,242.00","2,254.50","998,300"
"Oct 4, 2016","2,264.50","2,265.50","2,248.00","2,260.00","1,126,600"
"Oct 3, 2016","2,253.00","2,273.50","2,243.50","2,263.00","1,009,300"
"Sep 30, 2016","2,253.00","2,267.00","2,240.00","2,242.50","1,682,800"
"Sep 29, 2016","2,320.00","2,321.50","2,280.50","2,283.50","1,967,100"
"Sep 28, 2016","2,300.00","2,308.00","2,272.50","2,297.00","1,982,900"
"Sep 27, 2016","2,223.00","2,300.50","2,221.50","2,298.50","1,925,200"
