Date,Open,High,Low,Close,Volume
"Mar 31, 2017","3,245.00","3,250.00","3,150.00","3,155.00","2,569,700"
"Mar 30, 2017","3,230.00","3,240.00","3,200.00","3,210.00","1,840,800"
"Mar 29, 2017","3,285.00","3,310.00","3,205.00","3,235.00","2,201,900"
"Mar 28, 2017","3,265.00","3,270.00","3,240.00","3,255.00","2,319,900"
"Mar 27, 2017","3,200.00","3,240.00","3,185.00","3,215.00","2,695,700"
"Mar 24, 2017","3,265.00","3,320.00","3,260.00","3,265.00","2,447,500"
"Mar 23, 2017","3,305.00","3,310.00","3,230.00","3,285.00","3,423,000"
"Mar 22, 2017","3,300.00","3,325.00","3,285.00","3,305.00","3,505,600"
"Mar 21, 2017","3,440.00","3,445.00","3,385.00","3,440.00","2,427,200"
"Mar 17, 2017","3,505.00","3,515.00","3,455.00","3,475.00","2,227,900"
"Mar 16, 2017","3,480.00","3,570.00","3,480.00","3,525.00","1,684,600"
"Mar 15, 2017","3,570.00","3,600.00","3,500.00","3,520.00","1,784,600"
"Mar 14, 2017","3,495.00","3,580.00","3,470.00","3,560.00","2,578,000"
"Mar 13, 2017","3,480.00","3,505.00","3,465.00","3,480.00","1,507,100"
"Mar 10, 2017","3,430.00","3,500.00","3,400.00","3,490.00","3,754,600"
"Mar 9, 2017","3,330.00","3,365.00","3,280.00","3,360.00","2,236,800"
"Mar 8, 2017","3,340.00","3,355.00","3,220.00","3,305.00","3,002,200"
"Mar 7, 2017","3,345.00","3,385.00","3,325.00","3,375.00","1,442,200"
"Mar 6, 2017","3,355.00","3,400.00","3,345.00","3,360.00","1,680,900"
"Mar 3, 2017","3,375.00","3,400.00","3,345.00","3,370.00","2,010,200"
"Mar 2, 2017","3,475.00","3,475.00","3,395.00","3,410.00","2,747,500"
"Mar 1, 2017","3,370.00","3,440.00","3,365.00","3,395.00","2,679,800"
"Feb 28, 2017","3,360.00","3,390.00","3,340.00","3,345.00","1,591,600"
"Feb 27, 2017","3,325.00","3,355.00","3,285.00","3,325.00","1,919,300"
"Feb 24, 2017","3,345.00","3,430.00","3,295.00","3,365.00","2,539,300"
"Feb 23, 2017","3,455.00","3,465.00","3,380.00","3,395.00","2,502,800"
"Feb 22, 2017","3,510.00","3,535.00","3,460.00","3,460.00","1,990,200"
"Feb 21, 2017","3,445.00","3,495.00","3,425.00","3,490.00","1,589,100"
"Feb 20, 2017","3,410.00","3,475.00","3,410.00","3,465.00","2,014,600"
"Feb 17, 2017","3,420.00","3,440.00","3,385.00","3,395.00","1,833,200"
"Feb 16, 2017","3,400.00","3,460.00","3,380.00","3,435.00","1,855,100"
"Feb 15, 2017","3,450.00","3,450.00","3,370.00","3,415.00","2,112,300"
"Feb 14, 2017","3,425.00","3,480.00","3,390.00","3,400.00","4,314,500"
"Feb 13, 2017","3,380.00","3,410.00","3,340.00","3,355.00","2,855,600"
"Feb 10, 2017","3,250.00","3,310.00","3,210.00","3,280.00","2,958,200"
"Feb 9, 2017","3,095.00","3,225.00","3,090.00","3,165.00","2,914,900"
"Feb 8, 2017","3,150.00","3,175.00","3,120.00","3,125.00","1,965,400"
"Feb 7, 2017","3,145.00","3,150.00","3,105.00","3,105.00","2,058,200"
"Feb 6, 2017","3,175.00","3,175.00","3,125.00","3,150.00","1,536,200"
"Feb 3, 2017","3,135.00","3,175.00","3,100.00","3,145.00","2,290,800"
"Feb 2, 2017","3,230.00","3,240.00","3,105.00","3,115.00","3,495,100"
"Feb 1, 2017","3,000.00","3,165.00","2,995.00","3,135.00","4,073,700"
"Jan 31, 2017","3,020.00","3,090.00","3,010.00","3,015.00","2,903,300"
"Jan 30, 2017","2,992.00","3,135.00","2,962.00","3,080.00","4,380,700"
"Jan 27, 2017","3,025.00","3,040.00","2,981.00","3,015.00","2,360,500"
"Jan 26, 2017","3,010.00","3,040.00","2,966.00","3,015.00","3,241,100"
"Jan 25, 2017","2,906.00","2,992.00","2,896.00","2,988.00","6,219,300"
"Jan 24, 2017","2,801.00","2,870.00","2,776.00","2,806.00","3,367,500"
"Jan 23, 2017","2,752.00","2,789.00","2,743.00","2,751.00","2,123,900"
"Jan 20, 2017","2,773.00","2,799.00","2,761.00","2,784.00","1,610,300"
"Jan 19, 2017","2,780.00","2,799.00","2,751.00","2,773.00","2,070,900"
"Jan 18, 2017","2,671.00","2,743.00","2,654.00","2,739.00","2,399,200"
"Jan 17, 2017","2,750.00","2,760.00","2,701.00","2,707.00","2,240,400"
"Jan 16, 2017","2,756.00","2,782.00","2,725.00","2,750.00","1,602,300"
"Jan 13, 2017","2,799.00","2,814.00","2,759.00","2,780.00","2,445,900"
"Jan 12, 2017","2,820.00","2,867.00","2,795.00","2,798.00","2,904,600"
"Jan 11, 2017","2,800.00","2,878.00","2,791.00","2,860.00","3,779,600"
"Jan 10, 2017","2,791.00","2,820.00","2,746.00","2,764.00","2,531,600"
"Jan 6, 2017","2,741.00","2,787.00","2,722.00","2,768.00","3,149,800"
"Jan 5, 2017","2,842.00","2,844.00","2,733.00","2,760.00","4,437,600"
"Jan 4, 2017","2,800.00","2,812.00","2,737.00","2,803.00","6,957,200"
"Dec 30, 2016","2,780.00","2,839.00","2,765.00","2,826.00","2,184,400"
"Dec 29, 2016","2,803.00","2,827.00","2,788.00","2,812.00","1,925,800"
"Dec 28, 2016","2,854.00","2,859.00","2,824.00","2,847.00","1,430,100"
"Dec 27, 2016","2,758.00","2,833.00","2,737.00","2,823.00","2,392,500"
"Dec 26, 2016","2,831.00","2,844.00","2,801.00","2,805.00","1,793,500"
"Dec 22, 2016","2,841.00","2,858.00","2,803.00","2,854.00","2,619,300"
"Dec 21, 2016","2,909.00","2,930.00","2,861.00","2,870.00","2,809,900"
"Dec 20, 2016","2,920.00","2,926.00","2,846.00","2,895.00","3,961,400"
"Dec 19, 2016","2,982.00","2,984.00","2,911.00","2,918.00","3,759,300"
"Dec 16, 2016","2,995.00","3,030.00","2,993.00","3,010.00","2,876,600"
