Date,Open,High,Low,Close,Volume
"Mar 31, 2017","3,539.00","3,546.00","3,471.00","3,471.00","4,552,200"
"Mar 30, 2017","3,500.00","3,540.00","3,499.00","3,527.00","4,174,400"
"Mar 29, 2017","3,488.00","3,496.00","3,481.00","3,486.00","3,205,800"
"Mar 28, 2017","3,479.00","3,497.00","3,478.00","3,492.00","3,413,500"
"Mar 27, 2017","3,479.00","3,489.00","3,453.00","3,461.00","2,922,300"
"Mar 24, 2017","3,487.00","3,506.00","3,487.00","3,495.00","3,358,400"
"Mar 23, 2017","3,475.00","3,491.00","3,468.00","3,483.00","3,138,800"
"Mar 22, 2017","3,474.00","3,500.00","3,466.00","3,485.00","4,229,500"
"Mar 21, 2017","3,546.00","3,549.00","3,518.00","3,535.00","3,760,300"
"Mar 17, 2017","3,525.00","3,539.00","3,516.00","3,538.00","4,347,700"
"Mar 16, 2017","3,498.00","3,531.00","3,480.00","3,529.00","4,712,100"
"Mar 15, 2017","3,460.00","3,494.00","3,450.00","3,491.00","2,935,500"
"Mar 14, 2017","3,497.00","3,498.00","3,465.00","3,475.00","2,797,400"
"Mar 13, 2017","3,444.00","3,487.00","3,435.00","3,487.00","3,070,100"
"Mar 10, 2017","3,456.00","3,483.00","3,453.00","3,473.00","6,551,700"
"Mar 9, 2017","3,401.00","3,435.00","3,395.00","3,426.00","4,245,500"
"Mar 8, 2017","3,394.00","3,420.00","3,384.00","3,392.00","4,372,000"
"Mar 7, 2017","3,360.00","3,391.00","3,346.00","3,388.00","6,025,000"
"Mar 6, 2017","3,311.00","3,317.00","3,295.00","3,314.00","1,762,200"
"Mar 3, 2017","3,336.00","3,338.00","3,306.00","3,322.00","2,942,500"
"Mar 2, 2017","3,321.00","3,338.00","3,304.00","3,335.00","3,739,300"
"Mar 1, 2017","3,293.00","3,311.00","3,275.00","3,292.00","3,270,800"
"Feb 28, 2017","3,307.00","3,313.00","3,280.00","3,281.00","3,359,100"
"Feb 27, 2017","3,292.00","3,309.00","3,289.00","3,292.00","3,119,100"
"Feb 24, 2017","3,289.00","3,319.00","3,287.00","3,309.00","2,614,600"
"Feb 23, 2017","3,289.00","3,298.00","3,278.00","3,290.00","2,535,000"
"Feb 22, 2017","3,298.00","3,309.00","3,286.00","3,305.00","3,056,300"
"Feb 21, 2017","3,289.00","3,291.00","3,271.00","3,271.00","2,664,100"
"Feb 20, 2017","3,291.00","3,295.00","3,273.00","3,289.00","1,955,500"
"Feb 17, 2017","3,309.00","3,311.00","3,291.00","3,299.00","2,389,600"
"Feb 16, 2017","3,330.00","3,337.00","3,304.00","3,317.00","2,640,000"
"Feb 15, 2017","3,315.00","3,324.00","3,303.00","3,323.00","2,335,100"
"Feb 14, 2017","3,300.00","3,315.00","3,287.00","3,290.00","2,907,500"
"Feb 13, 2017","3,296.00","3,302.00","3,284.00","3,291.00","3,382,800"
