Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,008.00","2,018.00","1,986.00","1,986.00","1,337,100"
"Mar 30, 2017","1,998.00","2,021.00","1,998.00","2,008.00","825,300"
"Mar 29, 2017","2,040.00","2,044.00","2,012.00","2,021.00","917,600"
"Mar 28, 2017","2,048.00","2,057.00","2,039.00","2,054.00","1,083,400"
"Mar 27, 2017","2,050.00","2,050.00","2,008.00","2,024.00","1,030,000"
"Mar 24, 2017","2,037.00","2,068.00","2,031.00","2,059.00","657,700"
"Mar 23, 2017","2,060.00","2,067.00","2,032.00","2,047.00","771,500"
"Mar 22, 2017","2,062.00","2,065.00","2,044.00","2,048.00","1,007,400"
"Mar 21, 2017","2,090.00","2,090.00","2,072.00","2,083.00","696,300"
"Mar 17, 2017","2,109.00","2,116.00","2,101.00","2,109.00","877,700"
"Mar 16, 2017","2,116.00","2,129.00","2,109.00","2,120.00","897,000"
"Mar 15, 2017","2,132.00","2,144.00","2,114.00","2,143.00","518,500"
"Mar 14, 2017","2,162.00","2,171.00","2,146.00","2,148.00","592,800"
"Mar 13, 2017","2,152.00","2,164.00","2,141.00","2,162.00","604,200"
"Mar 10, 2017","2,154.00","2,160.00","2,135.00","2,160.00","1,369,500"
"Mar 9, 2017","2,146.00","2,148.00","2,126.00","2,140.00","693,000"
"Mar 8, 2017","2,143.00","2,155.00","2,127.00","2,133.00","617,900"
"Mar 7, 2017","2,140.00","2,149.00","2,132.00","2,142.00","444,600"
"Mar 6, 2017","2,141.00","2,157.00","2,133.00","2,153.00","544,100"
"Mar 3, 2017","2,164.00","2,169.00","2,139.00","2,150.00","703,500"
"Mar 2, 2017","2,166.00","2,191.00","2,163.00","2,185.00","839,500"
"Mar 1, 2017","2,148.00","2,150.00","2,122.00","2,146.00","791,400"
"Feb 28, 2017","2,145.00","2,153.00","2,130.00","2,131.00","847,100"
"Feb 27, 2017","2,141.00","2,146.00","2,114.00","2,128.00","609,100"
"Feb 24, 2017","2,116.00","2,156.00","2,113.00","2,149.00","758,900"
"Feb 23, 2017","2,187.00","2,187.00","2,155.00","2,175.00","596,300"
"Feb 22, 2017","2,214.00","2,218.00","2,185.00","2,189.00","728,000"
"Feb 21, 2017","2,180.00","2,208.00","2,171.00","2,206.00","702,400"
"Feb 20, 2017","2,163.00","2,183.00","2,146.00","2,175.00","807,000"
"Feb 17, 2017","2,192.00","2,199.00","2,167.00","2,176.00","599,000"
"Feb 16, 2017","2,174.00","2,196.00","2,168.00","2,191.00","815,300"
"Feb 15, 2017","2,156.00","2,183.00","2,156.00","2,173.00","685,200"
"Feb 14, 2017","2,161.00","2,175.00","2,139.00","2,144.00","613,600"
"Feb 13, 2017","2,175.00","2,178.00","2,146.00","2,151.00","833,700"
"Feb 10, 2017","2,127.00","2,168.00","2,114.00","2,160.00","1,677,700"
"Feb 9, 2017","2,102.00","2,120.00","2,065.00","2,070.00","1,023,500"
"Feb 8, 2017","2,039.00","2,061.00","2,033.00","2,055.00","797,600"
"Feb 7, 2017","2,021.00","2,051.00","2,013.00","2,043.00","525,500"
"Feb 6, 2017","2,061.00","2,067.00","2,030.00","2,034.00","590,000"
"Feb 3, 2017","2,019.00","2,042.00","2,011.00","2,024.00","559,500"
"Feb 2, 2017","2,050.00","2,054.00","2,011.00","2,018.00","761,200"
"Feb 1, 2017","2,044.00","2,068.00","2,030.00","2,067.00","477,700"
"Jan 31, 2017","2,082.00","2,082.00","2,050.00","2,062.00","1,014,900"
"Jan 30, 2017","2,103.00","2,112.00","2,088.00","2,097.00","657,100"
"Jan 27, 2017","2,103.00","2,120.00","2,097.00","2,110.00","878,800"
"Jan 26, 2017","2,066.00","2,106.00","2,065.00","2,099.00","1,226,900"
"Jan 25, 2017","2,061.00","2,072.00","2,033.00","2,046.00","1,305,400"
"Jan 24, 2017","2,025.00","2,025.00","2,001.00","2,011.00","1,063,500"
"Jan 23, 2017","2,062.00","2,062.00","2,041.00","2,041.00","949,800"
"Jan 20, 2017","2,060.00","2,082.00","2,051.00","2,076.00","750,600"
"Jan 19, 2017","2,070.00","2,083.00","2,061.00","2,072.00","731,300"
"Jan 18, 2017","2,036.00","2,065.00","2,028.00","2,060.00","706,200"
"Jan 17, 2017","2,073.00","2,073.00","2,038.00","2,050.00","858,800"
"Jan 16, 2017","2,094.00","2,096.00","2,064.00","2,072.00","746,400"
"Jan 13, 2017","2,102.00","2,120.00","2,092.00","2,115.00","822,000"
"Jan 12, 2017","2,120.00","2,120.00","2,080.00","2,103.00","888,000"
"Jan 11, 2017","2,105.00","2,121.00","2,098.00","2,117.00","725,700"
"Jan 10, 2017","2,120.00","2,128.00","2,099.00","2,102.00","1,059,600"
"Jan 6, 2017","2,132.00","2,145.00","2,122.00","2,142.00","609,600"
