Date,Open,High,Low,Close,Volume
"Mar 31, 2017","4,429.00","4,433.00","4,348.00","4,348.00","1,482,000"
"Mar 30, 2017","4,432.00","4,445.00","4,393.00","4,396.00","810,700"
"Mar 29, 2017","4,447.00","4,465.00","4,423.00","4,432.00","928,600"
"Mar 28, 2017","4,412.00","4,454.00","4,409.00","4,446.00","1,418,000"
"Mar 27, 2017","4,488.00","4,488.00","4,402.00","4,411.00","1,383,800"
"Mar 24, 2017","4,450.00","4,478.00","4,438.00","4,474.00","1,736,400"
"Mar 23, 2017","4,468.00","4,468.00","4,431.00","4,453.00","1,202,100"
"Mar 22, 2017","4,459.00","4,465.00","4,431.00","4,434.00","1,399,500"
"Mar 21, 2017","4,520.00","4,533.00","4,499.00","4,520.00","1,309,000"
"Mar 17, 2017","4,502.00","4,521.00","4,490.00","4,519.00","1,396,800"
"Mar 16, 2017","4,510.00","4,523.00","4,497.00","4,512.00","1,296,800"
"Mar 15, 2017","4,501.00","4,514.00","4,479.00","4,514.00","1,037,500"
"Mar 14, 2017","4,494.00","4,512.00","4,484.00","4,502.00","959,000"
"Mar 13, 2017","4,497.00","4,508.00","4,486.00","4,505.00","1,018,300"
"Mar 10, 2017","4,469.00","4,495.00","4,456.00","4,489.00","1,924,300"
"Mar 9, 2017","4,417.00","4,426.00","4,401.00","4,423.00","1,023,600"
"Mar 8, 2017","4,392.00","4,433.00","4,387.00","4,399.00","1,221,800"
"Mar 7, 2017","4,400.00","4,421.00","4,381.00","4,392.00","1,567,100"
"Mar 6, 2017","4,412.00","4,436.00","4,390.00","4,432.00","991,000"
"Mar 3, 2017","4,445.00","4,445.00","4,402.00","4,425.00","1,236,000"
"Mar 2, 2017","4,440.00","4,458.00","4,422.00","4,433.00","1,371,200"
"Mar 1, 2017","4,353.00","4,390.00","4,344.00","4,385.00","1,213,000"
"Feb 28, 2017","4,356.00","4,370.00","4,336.00","4,342.00","1,375,400"
"Feb 27, 2017","4,336.00","4,341.00","4,285.00","4,324.00","1,096,400"
"Feb 24, 2017","4,327.00","4,370.00","4,312.00","4,348.00","1,215,500"
"Feb 23, 2017","4,304.00","4,324.00","4,278.00","4,318.00","1,059,000"
"Feb 22, 2017","4,331.00","4,331.00","4,285.00","4,298.00","1,406,600"
"Feb 21, 2017","4,320.00","4,354.00","4,315.00","4,327.00","1,204,300"
"Feb 20, 2017","4,374.00","4,374.00","4,345.00","4,360.00","1,291,400"
"Feb 17, 2017","4,375.00","4,410.00","4,373.00","4,400.00","1,094,800"
"Feb 16, 2017","4,427.00","4,443.00","4,372.00","4,410.00","1,249,100"
"Feb 15, 2017","4,406.00","4,425.00","4,399.00","4,412.00","910,500"
"Feb 14, 2017","4,408.00","4,410.00","4,349.00","4,351.00","1,053,500"
"Feb 13, 2017","4,390.00","4,401.00","4,369.00","4,391.00","1,043,700"
"Feb 10, 2017","4,339.00","4,373.00","4,323.00","4,363.00","1,707,000"
"Feb 9, 2017","4,261.00","4,287.00","4,246.00","4,269.00","912,100"
"Feb 8, 2017","4,250.00","4,290.00","4,239.00","4,290.00","1,163,700"
"Feb 7, 2017","4,210.00","4,270.00","4,203.00","4,252.00","1,322,000"
"Feb 6, 2017","4,250.00","4,257.00","4,208.00","4,235.00","1,493,600"
"Feb 3, 2017","4,230.00","4,245.00","4,177.00","4,210.00","1,817,000"
"Feb 2, 2017","4,220.00","4,262.00","4,188.00","4,200.00","2,794,600"
"Feb 1, 2017","4,150.00","4,165.00","4,083.00","4,161.00","4,786,200"
"Jan 31, 2017","4,350.00","4,400.00","4,330.00","4,375.00","1,803,500"
"Jan 30, 2017","4,411.00","4,451.00","4,411.00","4,440.00","1,131,200"
"Jan 27, 2017","4,404.00","4,419.00","4,394.00","4,411.00","1,220,200"
"Jan 26, 2017","4,357.00","4,390.00","4,338.00","4,385.00","1,706,800"
"Jan 25, 2017","4,358.00","4,363.00","4,293.00","4,318.00","1,514,200"
"Jan 24, 2017","4,288.00","4,331.00","4,285.00","4,297.00","1,508,200"
"Jan 23, 2017","4,322.00","4,367.00","4,286.00","4,333.00","1,782,300"
"Jan 20, 2017","4,316.00","4,337.00","4,305.00","4,323.00","1,196,100"
"Jan 19, 2017","4,358.00","4,375.00","4,308.00","4,330.00","1,548,800"
"Jan 18, 2017","4,305.00","4,344.00","4,254.00","4,308.00","1,785,300"
"Jan 17, 2017","4,398.00","4,400.00","4,326.00","4,330.00","1,302,600"
"Jan 16, 2017","4,436.00","4,461.00","4,394.00","4,414.00","1,130,200"
"Jan 13, 2017","4,450.00","4,455.00","4,425.00","4,453.00","1,423,600"
"Jan 12, 2017","4,451.00","4,460.00","4,409.00","4,432.00","1,118,200"
"Jan 11, 2017","4,471.00","4,487.00","4,456.00","4,480.00","906,200"
"Jan 10, 2017","4,490.00","4,490.00","4,444.00","4,453.00","1,601,500"
"Jan 6, 2017","4,494.00","4,534.00","4,487.00","4,507.00","1,216,200"
"Jan 5, 2017","4,554.00","4,560.00","4,486.00","4,503.00","1,424,700"
"Jan 4, 2017","4,479.00","4,558.00","4,470.00","4,551.00","1,878,900"
"Dec 30, 2016","4,456.00","4,468.00","4,398.00","4,435.00","1,402,000"
"Dec 29, 2016","4,485.00","4,490.00","4,420.00","4,439.00","1,309,200"
"Dec 28, 2016","4,485.00","4,509.00","4,475.00","4,498.00","1,001,500"
"Dec 27, 2016","4,505.00","4,507.00","4,461.00","4,471.00","1,270,400"
"Dec 26, 2016","4,532.00","4,545.00","4,504.00","4,504.00","951,000"
"Dec 22, 2016","4,483.00","4,532.00","4,472.00","4,532.00","1,725,600"
"Dec 21, 2016","4,488.00","4,515.00","4,456.00","4,475.00","1,724,400"
"Dec 20, 2016","4,498.00","4,515.00","4,485.00","4,510.00","1,758,700"
"Dec 19, 2016","4,430.00","4,490.00","4,412.00","4,477.00","1,640,900"
"Dec 16, 2016","4,488.00","4,490.00","4,437.00","4,441.00","2,414,900"
"Dec 15, 2016","4,420.00","4,463.00","4,395.00","4,452.00","2,597,500"
"Dec 14, 2016","4,400.00","4,415.00","4,391.00","4,400.00","1,199,800"
"Dec 13, 2016","4,370.00","4,393.00","4,362.00","4,393.00","1,193,100"
"Dec 12, 2016","4,400.00","4,439.00","4,363.00","4,391.00","1,818,800"
"Dec 9, 2016","4,300.00","4,383.00","4,285.00","4,363.00","3,416,000"
"Dec 8, 2016","4,299.00","4,299.00","4,244.00","4,260.00","2,208,800"
"Dec 7, 2016","4,272.00","4,280.00","4,244.00","4,255.00","1,315,100"
"Dec 6, 2016","4,266.00","4,277.00","4,203.00","4,232.00","1,636,100"
"Dec 5, 2016","4,241.00","4,255.00","4,207.00","4,223.00","1,301,800"
"Dec 2, 2016","4,263.00","4,278.00","4,222.00","4,243.00","1,385,500"
"Dec 1, 2016","4,260.00","4,313.00","4,253.00","4,266.00","2,265,300"
"Nov 30, 2016","4,280.00","4,304.00","4,240.00","4,249.00","1,806,500"
"Nov 29, 2016","4,251.00","4,298.00","4,240.00","4,270.00","1,614,000"
"Nov 28, 2016","4,281.00","4,317.00","4,261.00","4,286.00","1,702,600"
"Nov 25, 2016","4,267.00","4,330.00","4,265.00","4,300.00","2,299,200"
"Nov 24, 2016","4,255.00","4,263.00","4,230.00","4,242.00","1,643,700"
"Nov 22, 2016","4,167.00","4,228.00","4,167.00","4,221.00","1,835,900"
"Nov 21, 2016","4,134.00","4,167.00","4,129.00","4,160.00","1,387,700"
"Nov 18, 2016","4,113.00","4,134.00","4,097.00","4,115.00","1,835,200"
"Nov 17, 2016","4,085.00","4,110.00","4,074.00","4,095.00","1,575,700"
"Nov 16, 2016","4,100.00","4,104.00","4,066.00","4,081.00","1,647,200"
"Nov 15, 2016","4,050.00","4,089.00","4,050.00","4,072.00","1,512,000"
"Nov 14, 2016","4,000.00","4,069.00","3,994.00","4,048.00","1,716,600"
