Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,217.00","1,227.00","1,204.00","1,204.00","2,722,300"
"Mar 30, 2017","1,228.00","1,233.00","1,208.00","1,213.00","2,719,000"
"Mar 29, 2017","1,258.00","1,260.00","1,224.00","1,234.00","3,120,900"
"Mar 28, 2017","1,275.00","1,279.00","1,265.00","1,268.00","2,192,100"
"Mar 27, 2017","1,265.00","1,277.00","1,260.00","1,263.00","1,554,900"
"Mar 24, 2017","1,261.00","1,284.00","1,261.00","1,279.00","2,264,700"
"Mar 23, 2017","1,272.00","1,277.00","1,263.00","1,268.00","1,730,100"
"Mar 22, 2017","1,275.00","1,294.00","1,271.00","1,278.00","2,164,400"
"Mar 21, 2017","1,314.00","1,322.00","1,301.00","1,309.00","2,678,600"
"Mar 17, 2017","1,330.00","1,334.00","1,318.00","1,322.00","1,540,000"
"Mar 16, 2017","1,308.00","1,341.00","1,307.00","1,335.00","2,359,800"
"Mar 15, 2017","1,321.00","1,322.00","1,296.00","1,307.00","2,949,300"
"Mar 14, 2017","1,326.00","1,333.00","1,324.00","1,331.00","1,692,100"
"Mar 13, 2017","1,323.00","1,332.00","1,318.00","1,327.00","2,110,100"
"Mar 10, 2017","1,336.00","1,336.00","1,315.00","1,319.00","3,102,800"
"Mar 9, 2017","1,310.00","1,319.00","1,305.00","1,311.00","1,911,800"
"Mar 8, 2017","1,303.00","1,310.00","1,295.00","1,304.00","1,905,200"
"Mar 7, 2017","1,295.00","1,303.00","1,285.00","1,303.00","3,126,700"
"Mar 6, 2017","1,301.00","1,304.00","1,282.00","1,292.00","4,140,900"
"Mar 3, 2017","1,351.00","1,352.00","1,265.00","1,301.00","7,329,600"
"Mar 2, 2017","1,347.00","1,358.00","1,343.00","1,347.00","2,859,200"
"Mar 1, 2017","1,330.00","1,344.00","1,325.00","1,334.00","1,987,300"
"Feb 28, 2017","1,340.00","1,350.00","1,330.00","1,330.00","2,223,300"
"Feb 27, 2017","1,321.00","1,335.00","1,310.00","1,329.00","2,139,500"
"Feb 24, 2017","1,314.00","1,332.00","1,306.00","1,330.00","1,986,000"
