Date,Open,High,Low,Close,Volume
"Mar 31, 2017",615.50,617.50,602.50,602.50,"22,597,000"
"Mar 30, 2017",620.50,622.20,611.50,612.50,"12,497,000"
"Mar 29, 2017",621.20,623.30,617.80,620.30,"14,704,000"
"Mar 28, 2017",611.30,621.70,611.30,621.40,"21,301,000"
"Mar 27, 2017",608.00,610.70,604.10,606.70,"12,960,000"
"Mar 24, 2017",611.10,618.60,609.50,616.40,"12,968,000"
"Mar 23, 2017",605.40,615.90,605.00,614.00,"15,660,000"
"Mar 22, 2017",620.50,620.90,611.40,611.60,"18,856,000"
"Mar 21, 2017",623.00,629.60,620.90,627.90,"14,148,000"
"Mar 17, 2017",627.20,628.60,621.50,624.70,"25,922,000"
"Mar 16, 2017",634.00,639.60,629.30,634.80,"17,166,000"
"Mar 15, 2017",635.30,638.50,631.20,638.50,"12,443,000"
"Mar 14, 2017",636.90,640.10,634.00,636.70,"16,540,000"
"Mar 13, 2017",629.30,634.70,628.40,633.70,"15,270,000"
"Mar 10, 2017",631.90,634.50,629.70,630.00,"27,499,000"
"Mar 9, 2017",632.30,632.90,628.40,631.80,"14,067,000"
"Mar 8, 2017",631.00,632.60,626.40,629.20,"13,690,000"
"Mar 7, 2017",623.00,631.90,622.60,631.70,"21,306,000"
"Mar 6, 2017",624.20,626.60,620.50,621.30,"18,531,000"
"Mar 3, 2017",630.90,632.30,622.50,626.50,"22,686,000"
"Mar 2, 2017",642.70,642.70,634.00,634.20,"18,983,000"
"Mar 1, 2017",625.80,631.50,622.20,630.90,"15,914,000"
"Feb 28, 2017",621.90,627.60,618.70,618.80,"22,249,000"
"Feb 27, 2017",620.90,622.50,613.00,616.90,"24,164,000"
"Feb 24, 2017",632.10,638.50,629.30,633.00,"16,308,000"
"Feb 23, 2017",638.60,638.60,631.20,634.00,"15,991,000"
"Feb 22, 2017",638.00,641.50,635.50,637.00,"13,311,000"
"Feb 21, 2017",626.70,634.20,624.70,633.80,"13,514,000"
"Feb 20, 2017",624.90,627.60,619.40,626.70,"16,379,000"
"Feb 17, 2017",635.00,637.00,628.70,631.10,"19,342,000"
"Feb 16, 2017",643.80,649.00,639.60,642.90,"21,158,000"
"Feb 15, 2017",642.70,646.90,640.60,641.00,"21,606,000"
"Feb 14, 2017",641.70,642.80,632.20,632.70,"21,944,000"
"Feb 13, 2017",630.00,638.00,628.40,636.60,"24,123,000"
"Feb 10, 2017",635.00,635.70,624.70,627.40,"40,918,000"
"Feb 9, 2017",640.00,643.60,619.40,622.30,"76,443,000"
"Feb 8, 2017",669.60,677.30,669.30,676.70,"15,223,000"
"Feb 7, 2017",659.00,678.00,658.80,672.30,"19,894,000"
"Feb 6, 2017",667.90,670.90,658.30,664.70,"14,286,000"
"Feb 3, 2017",660.10,671.60,656.50,660.70,"22,874,000"
"Feb 2, 2017",671.00,679.50,653.70,655.70,"40,597,000"
"Feb 1, 2017",636.00,651.50,635.10,648.20,"16,214,000"
"Jan 31, 2017",656.50,657.40,647.60,647.60,"22,222,000"
"Jan 30, 2017",670.00,671.70,663.60,667.90,"11,947,000"
"Jan 27, 2017",676.40,676.90,672.30,673.60,"14,476,000"
"Jan 26, 2017",664.10,677.70,662.40,674.80,"24,369,000"
"Jan 25, 2017",656.80,659.80,654.90,657.00,"15,207,000"
"Jan 24, 2017",648.00,650.40,643.40,643.90,"13,765,000"
"Jan 23, 2017",650.20,653.40,646.50,649.00,"12,782,000"
"Jan 20, 2017",657.30,661.00,654.30,658.60,"16,338,000"
"Jan 19, 2017",659.30,661.00,652.70,657.70,"13,666,000"
"Jan 18, 2017",634.40,653.60,633.50,651.40,"19,359,000"
"Jan 17, 2017",650.40,652.70,643.40,644.40,"13,475,000"
"Jan 16, 2017",654.20,659.10,650.10,652.30,"11,096,000"
"Jan 13, 2017",653.90,658.80,651.50,657.90,"12,734,000"
"Jan 12, 2017",660.50,662.90,653.60,657.30,"17,433,000"
"Jan 11, 2017",659.00,666.20,657.10,665.10,"18,216,000"
"Jan 10, 2017",654.50,660.50,652.10,652.70,"16,253,000"
"Jan 6, 2017",650.10,660.70,648.20,656.40,"19,592,000"
"Jan 5, 2017",670.00,670.70,655.10,659.00,"35,734,000"
"Jan 4, 2017",644.00,656.00,641.90,655.90,"23,887,000"
"Dec 30, 2016",630.00,633.00,624.20,632.00,"13,672,000"
"Dec 29, 2016",641.30,641.70,630.70,631.80,"15,654,000"
"Dec 28, 2016",641.50,646.40,641.30,644.90,"14,724,000"
"Dec 27, 2016",633.00,641.60,632.70,636.60,"11,929,000"
"Dec 26, 2016",644.70,645.00,637.80,639.00,"10,344,000"
"Dec 22, 2016",638.00,641.10,631.50,640.80,"17,408,000"
"Dec 21, 2016",650.30,654.20,641.40,644.20,"15,154,000"
"Dec 20, 2016",651.20,653.00,642.40,646.50,"15,739,000"
"Dec 19, 2016",647.60,654.70,646.00,651.20,"17,480,000"
"Dec 16, 2016",648.60,657.40,647.10,655.70,"33,074,000"
"Dec 15, 2016",645.00,648.20,637.40,642.20,"22,919,000"
"Dec 14, 2016",639.60,641.20,633.80,635.70,"20,937,000"
"Dec 13, 2016",630.10,635.80,624.80,634.30,"31,122,000"
"Dec 12, 2016",660.00,662.00,636.90,643.60,"31,737,000"
"Dec 9, 2016",647.10,653.80,644.30,652.00,"29,951,000"
"Dec 8, 2016",644.50,646.90,636.70,646.80,"27,967,000"
"Dec 7, 2016",629.00,634.80,626.40,634.50,"20,502,000"
"Dec 6, 2016",627.10,628.40,620.30,623.70,"18,776,000"
"Dec 5, 2016",619.50,621.00,611.40,617.30,"21,839,000"
"Dec 2, 2016",622.70,624.60,615.30,621.50,"22,235,000"
"Dec 1, 2016",622.00,628.80,616.60,618.80,"25,960,000"
"Nov 30, 2016",614.50,615.90,607.00,609.30,"19,127,000"
"Nov 29, 2016",609.30,613.80,606.40,610.90,"14,205,000"
"Nov 28, 2016",615.00,617.60,604.60,617.60,"21,626,000"
"Nov 25, 2016",615.80,627.40,615.20,619.00,"25,572,000"
