Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,709.50","1,714.50","1,671.00","1,671.00","3,819,500"
"Mar 30, 2017","1,705.00","1,714.00","1,688.50","1,692.00","2,416,400"
"Mar 29, 2017","1,724.50","1,735.00","1,705.50","1,712.00","2,937,500"
"Mar 28, 2017","1,692.00","1,715.00","1,689.00","1,714.50","3,408,400"
"Mar 27, 2017","1,700.00","1,705.00","1,676.00","1,677.50","3,715,200"
"Mar 24, 2017","1,725.00","1,742.00","1,713.00","1,733.00","1,863,400"
"Mar 23, 2017","1,714.00","1,723.00","1,706.50","1,718.50","2,573,600"
"Mar 22, 2017","1,711.00","1,734.00","1,702.00","1,718.00","3,028,700"
"Mar 21, 2017","1,761.00","1,776.00","1,753.50","1,769.00","2,067,300"
"Mar 17, 2017","1,809.50","1,819.00","1,776.50","1,778.50","5,296,500"
"Mar 16, 2017","1,756.50","1,790.00","1,752.50","1,786.00","2,273,000"
"Mar 15, 2017","1,767.50","1,776.50","1,763.00","1,772.50","2,274,400"
"Mar 14, 2017","1,780.50","1,790.00","1,767.50","1,771.00","3,436,200"
"Mar 13, 2017","1,789.50","1,810.50","1,780.50","1,791.00","2,154,900"
"Mar 10, 2017","1,778.50","1,801.00","1,777.00","1,799.50","3,887,300"
"Mar 9, 2017","1,794.00","1,795.50","1,781.50","1,785.00","1,679,700"
"Mar 8, 2017","1,800.00","1,804.00","1,774.50","1,785.00","3,266,800"
"Mar 7, 2017","1,818.50","1,819.00","1,805.50","1,809.50","2,383,500"
"Mar 6, 2017","1,825.00","1,826.50","1,807.50","1,820.00","2,345,400"
"Mar 3, 2017","1,836.50","1,848.00","1,823.50","1,833.50","2,209,000"
"Mar 2, 2017","1,858.00","1,863.00","1,844.00","1,849.50","3,465,000"
"Mar 1, 2017","1,809.00","1,834.00","1,799.00","1,831.50","4,450,600"
"Feb 28, 2017","1,783.50","1,808.50","1,776.50","1,787.50","3,773,700"
"Feb 27, 2017","1,760.00","1,796.50","1,760.00","1,770.00","3,894,600"
"Feb 24, 2017","1,790.00","1,813.00","1,784.50","1,787.00","4,167,900"
"Feb 23, 2017","1,840.50","1,843.00","1,813.00","1,813.00","5,115,700"
"Feb 22, 2017","1,850.00","1,853.50","1,830.00","1,848.00","3,759,800"
"Feb 21, 2017","1,856.00","1,857.00","1,837.00","1,850.00","2,567,800"
"Feb 20, 2017","1,839.00","1,855.00","1,825.00","1,850.00","2,739,200"
"Feb 17, 2017","1,847.00","1,858.00","1,837.50","1,856.50","2,798,800"
"Feb 16, 2017","1,843.00","1,879.50","1,823.00","1,861.50","3,565,300"
"Feb 15, 2017","1,852.50","1,855.00","1,784.00","1,823.00","5,766,400"
"Feb 14, 2017","1,883.00","1,890.00","1,841.00","1,843.50","3,549,300"
"Feb 13, 2017","1,888.00","1,888.00","1,868.50","1,871.00","3,324,200"
"Feb 10, 2017","1,864.00","1,894.00","1,859.00","1,891.50","3,932,500"
"Feb 9, 2017","1,812.00","1,827.50","1,797.00","1,815.00","2,016,200"
"Feb 8, 2017","1,829.00","1,831.00","1,806.50","1,826.50","2,763,400"
"Feb 7, 2017","1,808.00","1,828.50","1,801.00","1,822.00","2,207,200"
"Feb 6, 2017","1,821.00","1,830.00","1,803.00","1,808.50","2,835,200"
"Feb 3, 2017","1,810.00","1,816.50","1,791.00","1,805.00","2,879,500"
"Feb 2, 2017","1,850.00","1,850.50","1,801.50","1,806.00","3,115,300"
"Feb 1, 2017","1,800.00","1,825.00","1,788.00","1,824.50","3,254,100"
"Jan 31, 2017","1,807.50","1,811.50","1,796.00","1,800.00","4,166,100"
"Jan 30, 2017","1,831.00","1,840.00","1,822.50","1,832.00","2,949,300"
"Jan 27, 2017","1,826.50","1,850.00","1,818.00","1,849.50","4,128,700"
"Jan 26, 2017","1,806.00","1,823.00","1,800.00","1,818.50","3,394,600"
"Jan 25, 2017","1,821.00","1,823.00","1,791.50","1,802.00","3,418,000"
"Jan 24, 2017","1,778.00","1,783.50","1,762.50","1,770.00","2,662,700"
"Jan 23, 2017","1,784.00","1,793.00","1,768.50","1,780.00","4,176,100"
"Jan 20, 2017","1,758.00","1,816.50","1,756.50","1,805.00","6,163,800"
"Jan 19, 2017","1,736.00","1,749.00","1,724.00","1,737.50","2,219,900"
"Jan 18, 2017","1,701.50","1,720.00","1,694.00","1,713.50","3,102,800"
"Jan 17, 2017","1,722.00","1,731.00","1,702.50","1,704.00","3,005,800"
"Jan 16, 2017","1,745.50","1,752.00","1,710.00","1,722.50","3,858,500"
"Jan 13, 2017","1,726.00","1,755.50","1,720.00","1,754.50","4,462,400"
"Jan 12, 2017","1,725.00","1,727.00","1,696.00","1,715.50","4,461,000"
"Jan 11, 2017","1,684.50","1,707.50","1,684.50","1,700.00","3,100,700"
"Jan 10, 2017","1,706.50","1,713.00","1,680.50","1,681.00","3,849,200"
"Jan 6, 2017","1,700.00","1,705.50","1,689.00","1,701.00","2,769,800"
"Jan 5, 2017","1,730.00","1,735.00","1,708.00","1,718.50","2,688,300"
"Jan 4, 2017","1,701.50","1,729.00","1,698.00","1,724.50","4,361,600"
"Dec 30, 2016","1,648.50","1,676.00","1,635.50","1,668.50","2,255,100"
"Dec 29, 2016","1,662.50","1,666.50","1,643.00","1,660.50","2,667,200"
"Dec 28, 2016","1,682.00","1,694.50","1,667.50","1,676.50","2,620,900"
"Dec 27, 2016","1,679.50","1,697.00","1,671.50","1,683.50","2,081,700"
"Dec 26, 2016","1,685.50","1,698.50","1,679.50","1,680.50","2,997,400"
"Dec 22, 2016","1,702.50","1,708.50","1,675.00","1,701.00","4,002,100"
"Dec 21, 2016","1,721.00","1,728.50","1,703.00","1,710.50","3,759,800"
"Dec 20, 2016","1,707.00","1,727.00","1,702.00","1,726.00","3,211,200"
"Dec 19, 2016","1,710.00","1,731.00","1,703.00","1,725.50","3,306,700"
"Dec 16, 2016","1,712.50","1,723.00","1,706.50","1,716.00","4,363,000"
"Dec 15, 2016","1,719.50","1,732.00","1,704.50","1,708.00","4,039,300"
"Dec 14, 2016","1,699.50","1,704.50","1,687.00","1,699.50","4,436,300"
"Dec 13, 2016","1,721.00","1,725.00","1,673.00","1,704.50","7,619,100"
"Dec 12, 2016","1,787.00","1,805.00","1,769.00","1,774.00","5,070,100"
"Dec 9, 2016","1,739.00","1,762.50","1,730.00","1,758.00","7,631,300"
"Dec 8, 2016","1,769.00","1,783.00","1,762.00","1,780.50","5,129,400"
"Dec 7, 2016","1,795.50","1,798.00","1,774.00","1,786.00","4,112,500"
"Dec 6, 2016","1,760.00","1,787.50","1,757.50","1,767.50","5,395,300"
"Dec 5, 2016","1,734.00","1,756.00","1,728.00","1,743.00","3,131,800"
"Dec 2, 2016","1,754.00","1,762.50","1,732.50","1,747.00","2,977,800"
"Dec 1, 2016","1,790.00","1,790.00","1,756.00","1,764.50","5,052,800"
"Nov 30, 2016","1,732.00","1,738.00","1,719.50","1,727.50","4,031,500"
"Nov 29, 2016","1,706.50","1,731.50","1,705.50","1,723.00","2,771,200"
"Nov 28, 2016","1,734.00","1,737.50","1,709.00","1,717.00","4,526,700"
"Nov 25, 2016","1,754.00","1,779.50","1,733.00","1,746.00","4,593,700"
"Nov 24, 2016","1,740.00","1,771.50","1,721.50","1,740.00","6,914,500"
"Nov 22, 2016","1,677.50","1,702.50","1,668.50","1,701.50","3,612,700"
"Nov 21, 2016","1,676.50","1,689.50","1,670.00","1,679.00","3,262,600"
"Nov 18, 2016","1,671.50","1,681.00","1,658.50","1,659.50","4,237,900"
"Nov 17, 2016","1,676.50","1,683.00","1,640.50","1,654.50","4,548,700"
"Nov 16, 2016","1,691.00","1,703.50","1,674.00","1,693.50","4,732,500"
"Nov 15, 2016","1,690.00","1,695.00","1,660.00","1,675.00","4,089,000"
"Nov 14, 2016","1,654.00","1,684.50","1,641.00","1,684.00","4,422,200"
"Nov 11, 2016","1,650.00","1,690.00","1,620.00","1,637.50","6,174,400"
"Nov 10, 2016","1,621.50","1,640.50","1,600.50","1,622.00","5,259,600"
"Nov 9, 2016","1,600.00","1,623.00","1,484.00","1,515.50","12,445,500"
"Nov 8, 2016","1,668.50","1,673.50","1,656.00","1,662.00","2,491,100"
"Nov 7, 2016","1,649.50","1,671.00","1,643.50","1,664.50","4,279,500"
"Nov 4, 2016","1,633.00","1,645.50","1,601.50","1,623.00","5,142,200"
"Nov 2, 2016","1,666.00","1,677.50","1,640.00","1,649.00","3,412,900"
"Nov 1, 2016","1,688.50","1,707.00","1,677.50","1,700.00","2,970,000"
"Oct 31, 2016","1,690.00","1,703.00","1,680.50","1,694.50","3,291,300"
"Oct 28, 2016","1,660.00","1,689.00","1,659.50","1,687.50","4,917,100"
"Oct 27, 2016","1,631.50","1,654.00","1,630.00","1,644.50","3,351,300"
"Oct 26, 2016","1,632.00","1,640.00","1,608.00","1,639.00","2,903,400"
"Oct 25, 2016","1,651.50","1,658.50","1,637.00","1,643.50","2,787,700"
"Oct 24, 2016","1,653.50","1,661.00","1,638.50","1,652.50","2,449,200"
"Oct 21, 2016","1,665.00","1,666.00","1,647.00","1,652.50","3,507,300"
"Oct 20, 2016","1,624.50","1,665.50","1,605.00","1,664.00","4,797,200"
"Oct 19, 2016","1,624.50","1,665.50","1,610.00","1,631.00","5,677,800"
"Oct 18, 2016","1,589.00","1,604.50","1,575.50","1,597.50","4,184,700"
"Oct 17, 2016","1,544.00","1,572.50","1,544.00","1,566.50","2,584,300"
