Date,Open,High,Low,Close,Volume
"Mar 31, 2017",684.00,688.00,673.00,673.00,"3,642,000"
"Mar 30, 2017",696.00,698.00,680.00,681.00,"2,483,000"
"Mar 29, 2017",701.00,706.00,696.00,697.00,"1,752,000"
"Mar 28, 2017",693.00,699.00,691.00,697.00,"2,034,000"
"Mar 27, 2017",689.00,692.00,683.00,683.00,"1,524,000"
"Mar 24, 2017",699.00,710.00,697.00,700.00,"2,255,000"
"Mar 23, 2017",700.00,713.00,695.00,699.00,"2,933,000"
"Mar 22, 2017",697.00,706.00,693.00,693.00,"2,682,000"
"Mar 21, 2017",706.00,714.00,703.00,710.00,"3,608,000"
"Mar 17, 2017",708.00,724.00,708.00,722.00,"3,577,000"
"Mar 16, 2017",701.00,716.00,700.00,715.00,"2,024,000"
"Mar 15, 2017",708.00,709.00,701.00,706.00,"1,775,000"
"Mar 14, 2017",709.00,716.00,706.00,713.00,"2,185,000"
"Mar 13, 2017",707.00,708.00,701.00,704.00,"1,444,000"
"Mar 10, 2017",700.00,706.00,698.00,703.00,"3,033,000"
"Mar 9, 2017",696.00,700.00,694.00,698.00,"2,327,000"
"Mar 8, 2017",696.00,703.00,691.00,693.00,"2,829,000"
"Mar 7, 2017",696.00,699.00,690.00,691.00,"2,215,000"
"Mar 6, 2017",704.00,706.00,699.00,700.00,"1,674,000"
"Mar 3, 2017",707.00,713.00,697.00,701.00,"2,471,000"
"Mar 2, 2017",709.00,711.00,705.00,707.00,"2,665,000"
"Mar 1, 2017",699.00,699.00,688.00,699.00,"3,072,000"
"Feb 28, 2017",702.00,710.00,697.00,698.00,"2,905,000"
"Feb 27, 2017",694.00,700.00,686.00,692.00,"2,845,000"
"Feb 24, 2017",679.00,700.00,676.00,697.00,"4,691,000"
"Feb 23, 2017",716.00,718.00,705.00,715.00,"2,443,000"
"Feb 22, 2017",710.00,718.00,709.00,716.00,"2,516,000"
"Feb 21, 2017",704.00,713.00,702.00,709.00,"2,294,000"
"Feb 20, 2017",702.00,707.00,695.00,705.00,"1,866,000"
"Feb 17, 2017",699.00,705.00,697.00,698.00,"2,407,000"
"Feb 16, 2017",704.00,707.00,699.00,707.00,"3,140,000"
"Feb 15, 2017",705.00,709.00,699.00,706.00,"3,666,000"
