Date,Open,High,Low,Close,Volume
"Mar 31, 2017",582.00,583.00,572.00,572.00,"3,632,000"
"Mar 30, 2017",582.00,583.00,575.00,577.00,"1,684,000"
"Mar 29, 2017",590.00,592.00,581.00,584.00,"2,917,000"
"Mar 28, 2017",589.00,593.00,587.00,589.00,"2,948,000"
"Mar 27, 2017",588.00,588.00,581.00,583.00,"1,833,000"
"Mar 24, 2017",589.00,595.00,585.00,590.00,"2,175,000"
"Mar 23, 2017",590.00,592.00,584.00,586.00,"2,462,000"
"Mar 22, 2017",599.00,601.00,591.00,591.00,"3,251,000"
"Mar 21, 2017",606.00,614.00,606.00,609.00,"2,439,000"
"Mar 17, 2017",616.00,616.00,612.00,613.00,"2,555,000"
"Mar 16, 2017",615.00,621.00,614.00,620.00,"2,272,000"
"Mar 15, 2017",611.00,621.00,611.00,620.00,"2,101,000"
"Mar 14, 2017",616.00,619.00,614.00,615.00,"1,494,000"
"Mar 13, 2017",618.00,618.00,613.00,617.00,"1,973,000"
"Mar 10, 2017",610.00,618.00,607.00,618.00,"5,921,000"
"Mar 9, 2017",604.00,608.00,602.00,607.00,"3,676,000"
"Mar 8, 2017",596.00,603.00,589.00,603.00,"4,188,000"
"Mar 7, 2017",587.00,604.00,587.00,596.00,"5,691,000"
"Mar 6, 2017",591.00,591.00,579.00,581.00,"4,514,000"
"Mar 3, 2017",596.00,599.00,591.00,595.00,"3,721,000"
"Mar 2, 2017",594.00,602.00,591.00,600.00,"4,535,000"
"Mar 1, 2017",584.00,588.00,581.00,587.00,"2,926,000"
"Feb 28, 2017",588.00,590.00,580.00,580.00,"4,614,000"
"Feb 27, 2017",584.00,587.00,580.00,583.00,"4,040,000"
"Feb 24, 2017",580.00,589.00,579.00,588.00,"3,456,000"
"Feb 23, 2017",592.00,601.00,584.00,588.00,"5,668,000"
"Feb 22, 2017",582.00,585.00,579.00,584.00,"1,843,000"
"Feb 21, 2017",572.00,582.00,572.00,582.00,"2,946,000"
"Feb 20, 2017",569.00,574.00,563.00,569.00,"3,757,000"
"Feb 17, 2017",579.00,583.00,569.00,572.00,"4,478,000"
"Feb 16, 2017",585.00,587.00,579.00,582.00,"3,024,000"
"Feb 15, 2017",585.00,589.00,583.00,587.00,"2,709,000"
"Feb 14, 2017",585.00,589.00,580.00,580.00,"3,513,000"
