Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,195.00","2,228.00","2,166.00","2,166.00","947,900"
"Mar 30, 2017","2,235.00","2,239.00","2,175.00","2,177.00","682,400"
"Mar 29, 2017","2,236.00","2,244.00","2,217.00","2,228.00","706,100"
"Mar 28, 2017","2,251.00","2,256.00","2,235.00","2,246.00","1,045,500"
"Mar 27, 2017","2,252.00","2,262.00","2,224.00","2,236.00","603,600"
"Mar 24, 2017","2,240.00","2,269.00","2,236.00","2,263.00","863,100"
"Mar 23, 2017","2,204.00","2,239.00","2,196.00","2,237.00","777,400"
"Mar 22, 2017","2,200.00","2,216.00","2,191.00","2,195.00","844,000"
"Mar 21, 2017","2,220.00","2,235.00","2,206.00","2,228.00","512,400"
"Mar 17, 2017","2,226.00","2,243.00","2,221.00","2,228.00","876,400"
"Mar 16, 2017","2,229.00","2,250.00","2,223.00","2,237.00","609,700"
"Mar 15, 2017","2,237.00","2,250.00","2,227.00","2,245.00","433,600"
"Mar 14, 2017","2,269.00","2,275.00","2,246.00","2,246.00","483,000"
"Mar 13, 2017","2,241.00","2,272.00","2,240.00","2,271.00","582,200"
"Mar 10, 2017","2,211.00","2,245.00","2,208.00","2,241.00","1,193,300"
"Mar 9, 2017","2,233.00","2,234.00","2,210.00","2,220.00","525,500"
"Mar 8, 2017","2,232.00","2,246.00","2,212.00","2,220.00","572,200"
"Mar 7, 2017","2,224.00","2,242.00","2,213.00","2,240.00","592,000"
"Mar 6, 2017","2,250.00","2,261.00","2,225.00","2,227.00","484,500"
"Mar 3, 2017","2,288.00","2,296.00","2,247.00","2,259.00","693,800"
"Mar 2, 2017","2,282.00","2,292.00","2,258.00","2,287.00","883,100"
"Mar 1, 2017","2,237.00","2,275.00","2,227.00","2,261.00","826,500"
"Feb 28, 2017","2,225.00","2,267.00","2,220.00","2,220.00","1,180,100"
"Feb 27, 2017","2,200.00","2,212.00","2,183.00","2,202.00","838,300"
"Feb 24, 2017","2,226.00","2,243.00","2,216.00","2,220.00","611,600"
"Feb 23, 2017","2,251.00","2,255.00","2,219.00","2,238.00","529,700"
"Feb 22, 2017","2,259.00","2,264.00","2,242.00","2,248.00","550,300"
"Feb 21, 2017","2,230.00","2,261.00","2,225.00","2,259.00","382,100"
"Feb 20, 2017","2,230.00","2,239.00","2,217.00","2,232.00","474,600"
"Feb 17, 2017","2,234.00","2,237.00","2,214.00","2,230.00","533,400"
"Feb 16, 2017","2,277.00","2,280.00","2,242.00","2,244.00","489,000"
"Feb 15, 2017","2,276.00","2,283.00","2,266.00","2,278.00","704,900"
"Feb 14, 2017","2,284.00","2,288.00","2,241.00","2,242.00","610,500"
"Feb 13, 2017","2,282.00","2,311.00","2,271.00","2,287.00","850,000"
"Feb 10, 2017","2,226.00","2,283.00","2,216.00","2,274.00","967,200"
"Feb 9, 2017","2,204.00","2,204.00","2,178.00","2,181.00","542,900"
"Feb 8, 2017","2,199.00","2,222.00","2,199.00","2,211.00","358,200"
"Feb 7, 2017","2,175.00","2,204.00","2,174.00","2,191.00","547,200"
"Feb 6, 2017","2,225.00","2,232.00","2,172.00","2,183.00","737,800"
"Feb 3, 2017","2,195.00","2,222.00","2,187.00","2,202.00","457,700"
"Feb 2, 2017","2,241.00","2,247.00","2,195.00","2,200.00","636,900"
"Feb 1, 2017","2,220.00","2,248.00","2,218.00","2,240.00","531,200"
"Jan 31, 2017","2,255.00","2,272.00","2,235.00","2,237.00","725,800"
"Jan 30, 2017","2,270.00","2,291.00","2,258.00","2,280.00","523,400"
"Jan 27, 2017","2,297.00","2,312.00","2,281.00","2,285.00","639,800"
"Jan 26, 2017","2,279.00","2,287.00","2,258.00","2,282.00","758,500"
"Jan 25, 2017","2,279.00","2,294.00","2,244.00","2,253.00","711,300"
"Jan 24, 2017","2,255.00","2,258.00","2,230.00","2,244.00","684,000"
"Jan 23, 2017","2,283.00","2,290.00","2,252.00","2,259.00","634,800"
"Jan 20, 2017","2,300.00","2,315.00","2,286.00","2,307.00","513,700"
"Jan 19, 2017","2,309.00","2,327.00","2,289.00","2,310.00","604,500"
"Jan 18, 2017","2,295.00","2,307.00","2,272.00","2,299.00","538,900"
"Jan 17, 2017","2,326.00","2,330.00","2,286.00","2,286.00","657,500"
"Jan 16, 2017","2,327.00","2,352.00","2,315.00","2,328.00","535,400"
"Jan 13, 2017","2,319.00","2,350.00","2,302.00","2,349.00","692,700"
"Jan 12, 2017","2,361.00","2,361.00","2,312.00","2,319.00","603,600"
"Jan 11, 2017","2,360.00","2,375.00","2,349.00","2,361.00","445,200"
"Jan 10, 2017","2,408.00","2,408.00","2,341.00","2,353.00","814,300"
"Jan 6, 2017","2,366.00","2,424.00","2,358.00","2,411.00","775,700"
"Jan 5, 2017","2,362.00","2,388.00","2,354.00","2,373.00","616,400"
"Jan 4, 2017","2,324.00","2,362.00","2,318.00","2,361.00","670,700"
"Dec 30, 2016","2,309.00","2,327.00","2,309.00","2,313.00","439,000"
"Dec 29, 2016","2,339.00","2,358.00","2,311.00","2,318.00","551,900"
"Dec 28, 2016","2,349.00","2,349.00","2,331.00","2,339.00","395,900"
"Dec 27, 2016","2,352.00","2,355.00","2,336.00","2,339.00","463,200"
"Dec 26, 2016","2,346.00","2,358.00","2,333.00","2,349.00","408,700"
"Dec 22, 2016","2,351.00","2,355.00","2,333.00","2,347.00","430,000"
"Dec 21, 2016","2,377.00","2,377.00","2,351.00","2,356.00","485,000"
"Dec 20, 2016","2,333.00","2,379.00","2,328.00","2,370.00","534,100"
"Dec 19, 2016","2,317.00","2,334.00","2,305.00","2,328.00","436,900"
"Dec 16, 2016","2,298.00","2,321.00","2,295.00","2,320.00","782,000"
"Dec 15, 2016","2,272.00","2,300.00","2,263.00","2,288.00","717,200"
"Dec 14, 2016","2,276.00","2,288.00","2,271.00","2,272.00","431,800"
"Dec 13, 2016","2,252.00","2,285.00","2,241.00","2,282.00","737,700"
"Dec 12, 2016","2,236.00","2,260.00","2,231.00","2,253.00","732,400"
"Dec 9, 2016","2,146.00","2,225.00","2,141.00","2,220.00","1,470,900"
"Dec 8, 2016","2,154.00","2,159.00","2,137.00","2,154.00","756,600"
"Dec 7, 2016","2,130.00","2,145.00","2,120.00","2,127.00","825,000"
"Dec 6, 2016","2,159.00","2,160.00","2,125.00","2,125.00","745,500"
"Dec 5, 2016","2,156.00","2,172.00","2,135.00","2,141.00","567,300"
"Dec 2, 2016","2,190.00","2,195.00","2,159.00","2,163.00","710,300"
"Dec 1, 2016","2,256.00","2,256.00","2,199.00","2,211.00","1,199,100"
"Nov 30, 2016","2,220.00","2,246.00","2,207.00","2,237.00","1,092,200"
"Nov 29, 2016","2,215.00","2,222.00","2,203.00","2,216.00","810,600"
"Nov 28, 2016","2,223.00","2,229.00","2,208.00","2,223.00","622,800"
"Nov 25, 2016","2,208.00","2,236.00","2,198.00","2,233.00","706,700"
"Nov 24, 2016","2,208.00","2,213.00","2,194.00","2,209.00","494,800"
"Nov 22, 2016","2,180.00","2,203.00","2,172.00","2,193.00","558,700"
"Nov 21, 2016","2,180.00","2,196.00","2,161.00","2,186.00","674,300"
"Nov 18, 2016","2,163.00","2,188.00","2,149.00","2,180.00","803,800"
"Nov 17, 2016","2,123.00","2,158.00","2,123.00","2,144.00","597,100"
"Nov 16, 2016","2,121.00","2,132.00","2,091.00","2,130.00","778,100"
"Nov 15, 2016","2,107.00","2,115.00","2,091.00","2,109.00","695,000"
"Nov 14, 2016","2,092.00","2,108.00","2,082.00","2,105.00","617,000"
"Nov 11, 2016","2,107.00","2,107.00","2,065.00","2,072.00","1,043,700"
"Nov 10, 2016","2,055.00","2,084.00","2,025.00","2,077.00","1,157,000"
"Nov 9, 2016","2,041.00","2,077.00","1,947.00","1,965.00","1,209,000"
"Nov 8, 2016","2,074.00","2,077.00","2,029.00","2,031.00","1,000,900"
"Nov 7, 2016","2,104.00","2,120.00","2,084.00","2,095.00","741,700"
"Nov 4, 2016","2,106.00","2,106.00","2,063.00","2,078.00","782,500"
"Nov 2, 2016","2,125.00","2,126.00","2,094.00","2,106.00","844,200"
"Nov 1, 2016","2,150.00","2,170.00","2,119.00","2,140.00","861,200"
"Oct 31, 2016","2,228.00","2,244.00","2,105.00","2,145.00","1,458,100"
"Oct 28, 2016","2,265.00","2,265.00","2,218.00","2,226.00","887,700"
"Oct 27, 2016","2,250.00","2,275.00","2,242.00","2,251.00","538,100"
"Oct 26, 2016","2,258.00","2,268.00","2,241.00","2,259.00","508,100"
"Oct 25, 2016","2,255.00","2,264.00","2,247.00","2,260.00","507,700"
"Oct 24, 2016","2,239.00","2,252.00","2,234.00","2,248.00","435,400"
"Oct 21, 2016","2,235.00","2,246.00","2,221.00","2,228.00","541,600"
"Oct 20, 2016","2,213.00","2,248.00","2,213.00","2,240.00","538,100"
"Oct 19, 2016","2,195.00","2,214.00","2,190.00","2,209.00","327,500"
"Oct 18, 2016","2,190.00","2,199.00","2,173.00","2,194.00","377,300"
"Oct 17, 2016","2,187.00","2,208.00","2,173.00","2,194.00","438,400"
"Oct 14, 2016","2,201.00","2,215.00","2,184.00","2,193.00","763,700"
