Date,Open,High,Low,Close,Volume
"Mar 31, 2017",528.00,531.00,521.00,521.00,"4,498,000"
"Mar 30, 2017",527.00,530.00,522.00,525.00,"3,155,000"
"Mar 29, 2017",545.00,545.00,534.00,536.00,"2,827,000"
"Mar 28, 2017",538.00,545.00,537.00,543.00,"3,549,000"
"Mar 27, 2017",540.00,540.00,532.00,533.00,"4,026,000"
"Mar 24, 2017",534.00,549.00,532.00,549.00,"4,486,000"
"Mar 23, 2017",533.00,535.00,527.00,528.00,"3,023,000"
"Mar 22, 2017",534.00,538.00,533.00,535.00,"2,734,000"
"Mar 21, 2017",542.00,549.00,541.00,544.00,"3,225,000"
"Mar 17, 2017",542.00,548.00,538.00,546.00,"4,634,000"
"Mar 16, 2017",536.00,544.00,536.00,542.00,"2,631,000"
"Mar 15, 2017",536.00,540.00,533.00,536.00,"2,403,000"
"Mar 14, 2017",546.00,548.00,544.00,544.00,"2,187,000"
"Mar 13, 2017",542.00,549.00,542.00,547.00,"2,209,000"
"Mar 10, 2017",535.00,545.00,533.00,545.00,"4,174,000"
"Mar 9, 2017",540.00,542.00,536.00,537.00,"2,718,000"
"Mar 8, 2017",538.00,539.00,535.00,537.00,"3,389,000"
"Mar 7, 2017",528.00,538.00,527.00,537.00,"3,793,000"
"Mar 6, 2017",531.00,536.00,525.00,535.00,"3,596,000"
"Mar 3, 2017",533.00,535.00,528.00,531.00,"3,919,000"
"Mar 2, 2017",543.00,543.00,533.00,534.00,"4,751,000"
"Mar 1, 2017",538.00,541.00,533.00,539.00,"4,241,000"
"Feb 28, 2017",538.00,548.00,536.00,538.00,"5,146,000"
"Feb 27, 2017",538.00,540.00,530.00,538.00,"4,609,000"
"Feb 24, 2017",535.00,541.00,532.00,540.00,"3,854,000"
"Feb 23, 2017",545.00,546.00,535.00,539.00,"2,341,000"
"Feb 22, 2017",543.00,544.00,538.00,541.00,"4,350,000"
"Feb 21, 2017",530.00,547.00,528.00,543.00,"6,912,000"
"Feb 20, 2017",515.00,523.00,513.00,520.00,"2,009,000"
"Feb 17, 2017",515.00,521.00,514.00,520.00,"2,218,000"
"Feb 16, 2017",523.00,524.00,517.00,520.00,"2,645,000"
"Feb 15, 2017",523.00,529.00,523.00,527.00,"3,049,000"
"Feb 14, 2017",523.00,528.00,518.00,518.00,"4,035,000"
"Feb 13, 2017",525.00,527.00,517.00,518.00,"3,796,000"
"Feb 10, 2017",510.00,522.00,509.00,519.00,"5,658,000"
"Feb 9, 2017",507.00,509.00,502.00,503.00,"2,588,000"
"Feb 8, 2017",509.00,509.00,504.00,508.00,"2,733,000"
"Feb 7, 2017",505.00,511.00,500.00,503.00,"3,074,000"
"Feb 6, 2017",505.00,514.00,494.00,508.00,"5,184,000"
"Feb 3, 2017",496.00,505.00,495.00,500.00,"2,453,000"
"Feb 2, 2017",506.00,507.00,495.00,497.00,"2,796,000"
"Feb 1, 2017",493.00,505.00,492.00,505.00,"2,103,000"
"Jan 31, 2017",500.00,503.00,498.00,500.00,"2,750,000"
"Jan 30, 2017",505.00,509.00,503.00,506.00,"1,841,000"
"Jan 27, 2017",511.00,512.00,505.00,510.00,"2,792,000"
"Jan 26, 2017",502.00,512.00,501.00,511.00,"4,238,000"
"Jan 25, 2017",500.00,504.00,494.00,497.00,"2,117,000"
"Jan 24, 2017",494.00,496.00,490.00,492.00,"2,556,000"
"Jan 23, 2017",497.00,499.00,492.00,494.00,"2,930,000"
"Jan 20, 2017",499.00,505.00,497.00,503.00,"2,472,000"
