Date,Open,High,Low,Close,Volume
"Mar 31, 2017",509.00,516.90,503.20,506.60,"14,474,000"
"Mar 30, 2017",516.40,518.80,490.20,492.70,"16,008,000"
"Mar 29, 2017",517.40,519.20,512.40,515.90,"7,189,000"
"Mar 28, 2017",512.50,521.80,512.50,520.20,"6,527,000"
"Mar 27, 2017",510.10,512.20,505.70,509.90,"3,794,000"
"Mar 24, 2017",509.90,514.50,507.70,513.50,"3,678,000"
"Mar 23, 2017",505.10,509.90,504.60,508.60,"4,320,000"
"Mar 22, 2017",510.00,510.50,504.80,505.10,"4,465,000"
"Mar 21, 2017",515.00,516.10,510.60,513.40,"3,991,000"
"Mar 17, 2017",517.30,519.50,512.40,513.40,"7,691,000"
"Mar 16, 2017",518.50,521.50,516.10,520.10,"4,922,000"
"Mar 15, 2017",520.90,523.20,516.10,517.50,"5,579,000"
"Mar 14, 2017",524.60,526.00,521.10,521.60,"5,060,000"
"Mar 13, 2017",514.40,522.80,514.40,522.60,"5,328,000"
"Mar 10, 2017",520.50,526.50,515.00,521.30,"7,398,000"
"Mar 9, 2017",511.90,514.70,509.30,512.50,"5,556,000"
"Mar 8, 2017",510.30,511.90,507.10,511.20,"4,727,000"
"Mar 7, 2017",508.50,511.20,507.10,508.40,"5,013,000"
"Mar 6, 2017",510.10,513.50,508.60,509.60,"5,368,000"
"Mar 3, 2017",525.90,525.90,514.20,517.00,"5,648,000"
"Mar 2, 2017",517.30,521.90,514.10,520.10,"5,875,000"
"Mar 1, 2017",513.60,518.30,510.90,514.10,"6,609,000"
"Feb 28, 2017",517.70,519.50,509.00,509.80,"8,426,000"
"Feb 27, 2017",509.50,515.50,506.30,511.30,"8,186,000"
"Feb 24, 2017",519.60,522.90,516.10,517.00,"6,768,000"
"Feb 23, 2017",517.30,522.00,513.00,522.00,"4,862,000"
"Feb 22, 2017",520.50,520.90,515.80,517.20,"4,653,000"
"Feb 21, 2017",515.00,518.90,515.00,518.90,"4,000,000"
"Feb 20, 2017",513.90,518.20,511.60,516.20,"3,211,000"
"Feb 17, 2017",515.20,518.00,512.60,516.80,"4,153,000"
"Feb 16, 2017",520.80,520.90,514.10,516.70,"4,005,000"
"Feb 15, 2017",525.80,526.60,516.60,518.30,"4,756,000"
"Feb 14, 2017",530.20,530.20,521.10,523.60,"6,596,000"
"Feb 13, 2017",526.50,527.20,519.30,520.20,"5,390,000"
"Feb 10, 2017",519.30,528.30,518.50,527.00,"9,276,000"
"Feb 9, 2017",502.90,512.00,502.20,511.90,"8,483,000"
"Feb 8, 2017",497.10,505.10,497.10,503.20,"6,494,000"
"Feb 7, 2017",491.40,501.10,491.40,498.30,"4,683,000"
"Feb 6, 2017",494.50,500.10,493.20,498.40,"6,686,000"
"Feb 3, 2017",508.50,508.50,496.20,499.20,"10,805,000"
"Feb 2, 2017",495.30,495.30,485.40,488.50,"10,915,000"
"Feb 1, 2017",507.80,508.20,500.80,501.30,"8,041,000"
"Jan 31, 2017",513.90,515.10,498.40,499.80,"11,181,000"
"Jan 30, 2017",522.30,522.80,514.30,519.50,"7,919,000"
"Jan 27, 2017",530.00,534.80,526.50,528.40,"8,812,000"
"Jan 26, 2017",529.60,530.90,522.10,526.20,"7,766,000"
"Jan 25, 2017",530.00,532.50,518.10,521.30,"6,237,000"
"Jan 24, 2017",517.80,525.00,515.90,521.40,"9,629,000"
"Jan 23, 2017",521.90,525.70,519.00,523.00,"5,030,000"
"Jan 20, 2017",524.60,531.50,521.90,528.90,"5,960,000"
"Jan 19, 2017",526.00,531.00,522.50,525.80,"4,307,000"
"Jan 18, 2017",516.10,519.80,512.50,518.80,"7,393,000"
"Jan 17, 2017",524.30,526.90,518.30,519.20,"6,619,000"
"Jan 16, 2017",527.80,530.70,525.90,529.30,"4,874,000"
"Jan 13, 2017",521.90,535.90,521.90,533.40,"7,142,000"
"Jan 12, 2017",530.40,531.30,520.30,521.90,"7,573,000"
"Jan 11, 2017",535.60,535.60,529.20,529.70,"5,503,000"
"Jan 10, 2017",529.00,533.60,525.60,525.60,"6,248,000"
"Jan 6, 2017",537.80,538.50,532.10,538.30,"4,917,000"
"Jan 5, 2017",537.30,539.90,535.00,536.70,"4,117,000"
"Jan 4, 2017",528.00,539.60,526.70,538.30,"7,539,000"
"Dec 30, 2016",530.90,531.90,524.50,528.90,"5,495,000"
"Dec 29, 2016",540.00,541.90,532.50,535.40,"4,701,000"
"Dec 28, 2016",539.30,545.80,537.60,540.20,"5,299,000"
"Dec 27, 2016",538.00,543.60,536.60,542.90,"5,011,000"
"Dec 26, 2016",546.50,547.50,538.00,538.30,"4,066,000"
"Dec 22, 2016",544.20,544.80,539.30,543.20,"8,113,000"
"Dec 21, 2016",552.40,557.20,545.00,546.40,"14,234,000"
"Dec 20, 2016",543.40,556.30,543.20,555.20,"16,049,000"
"Dec 19, 2016",540.30,543.70,538.20,542.70,"6,205,000"
"Dec 16, 2016",541.40,541.70,534.80,536.70,"9,228,000"
"Dec 15, 2016",538.70,541.40,535.30,538.20,"7,250,000"
"Dec 14, 2016",539.00,546.40,538.40,539.30,"13,136,000"
"Dec 13, 2016",524.30,536.00,524.10,535.90,"14,882,000"
"Dec 12, 2016",517.80,533.00,514.20,527.20,"17,535,000"
"Dec 9, 2016",508.60,511.30,502.20,507.80,"13,947,000"
"Dec 8, 2016",500.00,507.40,497.60,505.60,"16,687,000"
"Dec 7, 2016",489.20,492.90,483.10,490.30,"9,513,000"
"Dec 6, 2016",496.00,496.00,481.20,486.60,"14,692,000"
"Dec 5, 2016",494.00,495.20,487.90,489.80,"6,461,000"
"Dec 2, 2016",500.00,502.50,495.50,496.30,"10,659,000"
"Dec 1, 2016",497.50,505.60,492.30,501.80,"11,339,000"
"Nov 30, 2016",495.00,499.60,491.90,498.70,"26,087,000"
"Nov 29, 2016",490.30,491.50,485.10,488.20,"10,226,000"
"Nov 28, 2016",482.60,495.80,482.00,493.90,"10,934,000"
"Nov 25, 2016",477.00,484.40,476.80,481.70,"8,879,000"
"Nov 24, 2016",472.90,474.30,468.40,472.50,"11,183,000"
"Nov 22, 2016",468.30,471.10,463.40,467.60,"10,484,000"
"Nov 21, 2016",473.70,475.30,468.10,469.10,"10,196,000"
"Nov 18, 2016",479.80,480.90,473.60,473.60,"7,841,000"
"Nov 17, 2016",479.10,487.50,477.20,483.30,"10,418,000"
"Nov 16, 2016",479.40,479.40,473.30,475.20,"6,954,000"
"Nov 15, 2016",477.70,478.10,470.10,474.40,"6,671,000"
"Nov 14, 2016",475.00,481.50,473.30,476.10,"8,711,000"
"Nov 11, 2016",484.50,485.10,467.00,468.90,"15,396,000"
"Nov 10, 2016",486.00,489.80,477.70,481.40,"10,478,000"
"Nov 9, 2016",486.70,491.40,461.40,472.50,"13,681,000"
"Nov 8, 2016",482.90,485.40,480.60,482.20,"9,012,000"
"Nov 7, 2016",481.40,484.20,477.10,479.70,"7,660,000"
"Nov 4, 2016",480.60,484.50,473.60,476.60,"9,676,000"
"Nov 2, 2016",484.90,486.60,479.80,484.20,"8,382,000"
"Nov 1, 2016",481.60,491.00,478.20,491.00,"13,565,000"
"Oct 31, 2016",471.20,476.40,468.80,476.20,"6,525,000"
"Oct 28, 2016",485.00,485.20,473.20,476.90,"11,464,000"
