Date,Open,High,Low,Close,Volume
"Mar 31, 2017",921.00,922.00,902.00,902.00,"4,111,000"
"Mar 30, 2017",925.00,928.00,910.00,913.00,"3,257,000"
"Mar 29, 2017",934.00,938.00,925.00,927.00,"3,765,000"
"Mar 28, 2017",916.00,927.00,916.00,926.00,"5,603,000"
"Mar 27, 2017",900.00,905.00,895.00,904.00,"3,083,000"
"Mar 24, 2017",905.00,919.00,903.00,911.00,"3,685,000"
"Mar 23, 2017",905.00,914.00,903.00,908.00,"4,180,000"
"Mar 22, 2017",917.00,925.00,908.00,908.00,"4,631,000"
"Mar 21, 2017",913.00,935.00,912.00,931.00,"4,473,000"
"Mar 17, 2017",936.00,940.00,927.00,928.00,"5,729,000"
"Mar 16, 2017",934.00,946.00,932.00,943.00,"4,220,000"
"Mar 15, 2017",942.00,947.00,939.00,940.00,"2,524,000"
"Mar 14, 2017",940.00,947.00,937.00,943.00,"3,409,000"
"Mar 13, 2017",940.00,940.00,932.00,936.00,"3,056,000"
"Mar 10, 2017",940.00,940.00,933.00,940.00,"5,749,000"
"Mar 9, 2017",925.00,927.00,920.00,923.00,"2,980,000"
"Mar 8, 2017",926.00,934.00,915.00,917.00,"4,293,000"
"Mar 7, 2017",919.00,925.00,917.00,918.00,"3,531,000"
"Mar 6, 2017",920.00,920.00,910.00,918.00,"3,349,000"
"Mar 3, 2017",924.00,933.00,919.00,923.00,"4,626,000"
"Mar 2, 2017",932.00,938.00,924.00,924.00,"4,894,000"
"Mar 1, 2017",917.00,924.00,909.00,917.00,"5,993,000"
"Feb 28, 2017",921.00,928.00,916.00,918.00,"6,259,000"
"Feb 27, 2017",917.00,924.00,897.00,911.00,"7,093,000"
"Feb 24, 2017",931.00,936.00,921.00,927.00,"4,147,000"
"Feb 23, 2017",945.00,947.00,932.00,937.00,"4,705,000"
"Feb 22, 2017",936.00,958.00,935.00,949.00,"7,991,000"
"Feb 21, 2017",920.00,927.00,919.00,922.00,"2,811,000"
"Feb 20, 2017",915.00,920.00,908.00,918.00,"3,086,000"
"Feb 17, 2017",925.00,929.00,916.00,917.00,"4,298,000"
"Feb 16, 2017",926.00,931.00,920.00,931.00,"4,944,000"
"Feb 15, 2017",920.00,927.00,916.00,926.00,"4,547,000"
"Feb 14, 2017",921.00,933.00,911.00,912.00,"5,307,000"
"Feb 13, 2017",919.00,933.00,914.00,918.00,"6,487,000"
"Feb 10, 2017",905.00,911.00,902.00,909.00,"6,175,000"
"Feb 9, 2017",903.00,907.00,884.00,890.00,"7,863,000"
"Feb 8, 2017",892.00,909.00,883.00,908.00,"17,186,000"
"Feb 7, 2017",828.00,835.00,824.00,832.00,"3,552,000"
"Feb 6, 2017",833.00,837.00,826.00,835.00,"3,568,000"
"Feb 3, 2017",837.00,843.00,825.00,826.00,"4,164,000"
"Feb 2, 2017",850.00,852.00,833.00,836.00,"3,917,000"
"Feb 1, 2017",834.00,847.00,831.00,845.00,"3,524,000"
"Jan 31, 2017",848.00,850.00,836.00,840.00,"4,872,000"
"Jan 30, 2017",854.00,860.00,850.00,860.00,"3,488,000"
"Jan 27, 2017",855.00,862.00,849.00,859.00,"4,930,000"
"Jan 26, 2017",840.00,855.00,840.00,853.00,"8,836,000"
"Jan 25, 2017",826.00,839.00,826.00,835.00,"5,188,000"
"Jan 24, 2017",816.00,821.00,808.00,814.00,"4,912,000"
"Jan 23, 2017",818.00,833.00,813.00,826.00,"5,455,000"
"Jan 20, 2017",824.00,835.00,818.00,823.00,"8,524,000"
"Jan 19, 2017",819.00,822.00,812.00,818.00,"3,132,000"
"Jan 18, 2017",807.00,816.00,798.00,813.00,"3,906,000"
"Jan 17, 2017",816.00,824.00,804.00,807.00,"6,710,000"
"Jan 16, 2017",830.00,834.00,822.00,826.00,"3,807,000"
"Jan 13, 2017",828.00,837.00,822.00,837.00,"4,116,000"
"Jan 12, 2017",833.00,837.00,825.00,828.00,"5,171,000"
"Jan 11, 2017",818.00,836.00,816.00,834.00,"6,209,000"
"Jan 10, 2017",805.00,819.00,803.00,811.00,"4,372,000"
"Jan 6, 2017",810.00,816.00,801.00,814.00,"4,138,000"
"Jan 5, 2017",825.00,827.00,812.00,817.00,"3,977,000"
"Jan 4, 2017",803.00,825.00,803.00,823.00,"5,687,000"
"Dec 30, 2016",797.00,797.00,784.00,796.00,"3,696,000"
"Dec 29, 2016",802.00,805.00,793.00,799.00,"4,002,000"
"Dec 28, 2016",807.00,809.00,799.00,808.00,"3,475,000"
"Dec 27, 2016",817.00,825.00,817.00,818.00,"3,302,000"
"Dec 26, 2016",817.00,821.00,811.00,814.00,"3,942,000"
"Dec 22, 2016",819.00,833.00,817.00,830.00,"4,951,000"
"Dec 21, 2016",821.00,825.00,813.00,817.00,"6,675,000"
"Dec 20, 2016",834.00,834.00,811.00,820.00,"9,217,000"
"Dec 19, 2016",834.00,844.00,831.00,842.00,"6,643,000"
"Dec 16, 2016",830.00,837.00,829.00,835.00,"6,589,000"
"Dec 15, 2016",815.00,827.00,812.00,824.00,"6,450,000"
"Dec 14, 2016",805.00,813.00,802.00,810.00,"4,592,000"
"Dec 13, 2016",795.00,811.00,788.00,810.00,"5,196,000"
"Dec 12, 2016",815.00,815.00,794.00,806.00,"5,113,000"
"Dec 9, 2016",813.00,818.00,806.00,809.00,"6,635,000"
"Dec 8, 2016",800.00,827.00,787.00,801.00,"8,452,000"
"Dec 7, 2016",775.00,787.00,772.00,786.00,"4,510,000"
"Dec 6, 2016",760.00,783.00,758.00,774.00,"10,644,000"
"Dec 5, 2016",745.00,747.00,739.00,743.00,"2,820,000"
"Dec 2, 2016",746.00,748.00,739.00,745.00,"3,554,000"
"Dec 1, 2016",749.00,758.00,743.00,744.00,"5,838,000"
"Nov 30, 2016",726.00,743.00,723.00,743.00,"8,237,000"
"Nov 29, 2016",716.00,721.00,712.00,716.00,"4,142,000"
"Nov 28, 2016",710.00,717.00,708.00,715.00,"6,364,000"
"Nov 25, 2016",730.00,737.00,711.00,712.00,"10,036,000"
"Nov 24, 2016",737.00,739.00,726.00,727.00,"5,158,000"
"Nov 22, 2016",731.00,733.00,727.00,733.00,"3,242,000"
