Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,497.00","1,501.00","1,466.00","1,466.00","8,479,700"
"Mar 30, 2017","1,510.00","1,519.50","1,485.00","1,487.50","6,254,000"
"Mar 29, 2017","1,501.50","1,507.50","1,493.50","1,505.00","6,085,000"
"Mar 28, 2017","1,512.00","1,519.00","1,504.00","1,513.00","7,024,500"
"Mar 27, 2017","1,503.00","1,514.00","1,497.00","1,500.00","6,413,100"
"Mar 24, 2017","1,490.00","1,523.50","1,488.00","1,520.00","6,646,400"
"Mar 23, 2017","1,507.00","1,509.50","1,495.00","1,505.50","6,714,600"
"Mar 22, 2017","1,500.00","1,508.00","1,498.00","1,504.00","6,896,700"
"Mar 21, 2017","1,493.00","1,517.50","1,491.50","1,517.00","8,231,500"
"Mar 17, 2017","1,510.50","1,513.50","1,490.00","1,493.00","14,863,900"
"Mar 16, 2017","1,529.00","1,534.00","1,522.50","1,527.00","7,288,900"
"Mar 15, 2017","1,538.00","1,542.00","1,522.50","1,534.00","5,742,700"
"Mar 14, 2017","1,551.00","1,552.00","1,537.00","1,541.50","6,024,400"
"Mar 13, 2017","1,543.00","1,559.00","1,537.00","1,554.50","5,714,200"
"Mar 10, 2017","1,542.00","1,562.50","1,539.00","1,560.50","12,394,900"
"Mar 9, 2017","1,544.50","1,545.00","1,533.50","1,540.50","5,649,600"
"Mar 8, 2017","1,528.00","1,536.50","1,526.00","1,533.00","7,882,200"
"Mar 7, 2017","1,539.50","1,548.00","1,537.50","1,544.50","6,881,800"
"Mar 6, 2017","1,536.00","1,539.00","1,528.00","1,531.50","4,107,000"
"Mar 3, 2017","1,545.00","1,546.00","1,530.00","1,536.00","5,779,000"
"Mar 2, 2017","1,544.50","1,545.00","1,535.50","1,539.50","8,139,600"
"Mar 1, 2017","1,518.00","1,533.50","1,514.50","1,527.00","10,921,600"
"Feb 28, 2017","1,517.00","1,528.50","1,510.50","1,512.00","9,717,500"
"Feb 27, 2017","1,525.00","1,533.50","1,514.00","1,523.00","7,286,700"
"Feb 24, 2017","1,529.50","1,533.50","1,520.00","1,531.00","6,767,000"
"Feb 23, 2017","1,515.00","1,529.50","1,511.50","1,529.50","7,813,300"
"Feb 22, 2017","1,506.50","1,512.50","1,501.50","1,510.00","9,367,200"
"Feb 21, 2017","1,503.00","1,515.50","1,501.50","1,505.50","8,001,900"
"Feb 20, 2017","1,523.50","1,526.00","1,508.00","1,513.00","8,426,800"
"Feb 17, 2017","1,522.50","1,543.00","1,521.50","1,543.00","5,465,500"
"Feb 16, 2017","1,545.00","1,554.00","1,530.00","1,539.00","6,354,300"
"Feb 15, 2017","1,540.50","1,549.00","1,538.50","1,545.00","5,353,900"
"Feb 14, 2017","1,537.00","1,538.50","1,527.00","1,530.00","7,026,700"
"Feb 13, 2017","1,537.50","1,545.50","1,529.00","1,538.50","6,145,400"
"Feb 10, 2017","1,519.50","1,537.50","1,512.00","1,533.50","7,644,000"
"Feb 9, 2017","1,502.50","1,502.50","1,487.00","1,500.50","6,043,100"
"Feb 8, 2017","1,508.00","1,508.00","1,491.00","1,497.50","6,462,600"
"Feb 7, 2017","1,487.00","1,492.50","1,480.50","1,490.50","6,214,100"
"Feb 6, 2017","1,490.00","1,491.50","1,476.00","1,487.00","8,730,600"
"Feb 3, 2017","1,481.50","1,485.00","1,465.50","1,478.00","9,678,900"
"Feb 2, 2017","1,465.00","1,474.50","1,462.50","1,465.00","11,743,600"
"Feb 1, 2017","1,484.50","1,486.00","1,457.50","1,465.00","14,418,100"
"Jan 31, 2017","1,530.00","1,548.50","1,511.50","1,513.50","11,812,600"
"Jan 30, 2017","1,549.00","1,549.50","1,529.00","1,539.50","5,187,500"
"Jan 27, 2017","1,540.00","1,543.00","1,532.00","1,537.00","6,317,800"
"Jan 26, 2017","1,538.00","1,548.50","1,531.00","1,538.00","8,402,300"
"Jan 25, 2017","1,537.00","1,541.50","1,524.00","1,538.00","6,690,100"
"Jan 24, 2017","1,526.00","1,540.00","1,524.00","1,527.50","6,235,200"
"Jan 23, 2017","1,515.00","1,539.50","1,512.00","1,530.50","7,564,600"
"Jan 20, 2017","1,538.50","1,548.50","1,527.00","1,544.00","6,099,900"
"Jan 19, 2017","1,547.50","1,561.00","1,543.00","1,546.00","7,324,000"
"Jan 18, 2017","1,542.00","1,553.00","1,533.50","1,544.50","9,769,600"
"Jan 17, 2017","1,580.00","1,583.50","1,556.50","1,557.00","7,981,900"
"Jan 16, 2017","1,606.00","1,609.00","1,587.50","1,591.50","4,744,500"
"Jan 13, 2017","1,606.50","1,612.50","1,597.50","1,610.50","6,439,500"
"Jan 12, 2017","1,634.00","1,642.00","1,595.00","1,600.00","9,854,000"
"Jan 11, 2017","1,675.00","1,675.00","1,654.00","1,670.00","6,543,900"
"Jan 10, 2017","1,685.00","1,688.00","1,651.50","1,653.00","8,602,200"
"Jan 6, 2017","1,656.00","1,657.50","1,634.00","1,646.50","7,252,700"
"Jan 5, 2017","1,650.00","1,671.00","1,635.00","1,661.50","7,282,700"
"Jan 4, 2017","1,647.50","1,649.50","1,627.50","1,638.50","6,131,100"
"Dec 30, 2016","1,602.50","1,625.50","1,598.00","1,623.50","4,285,600"
"Dec 29, 2016","1,621.50","1,624.50","1,598.00","1,603.50","4,917,500"
"Dec 28, 2016","1,632.50","1,632.50","1,615.00","1,620.50","4,508,200"
"Dec 27, 2016","1,639.00","1,647.00","1,627.00","1,635.00","4,189,000"
"Dec 26, 2016","1,637.50","1,640.00","1,625.00","1,634.00","4,170,100"
"Dec 22, 2016","1,638.00","1,644.00","1,610.50","1,622.00","6,269,400"
"Dec 21, 2016","1,650.00","1,653.00","1,629.00","1,632.00","6,371,300"
"Dec 20, 2016","1,642.00","1,652.00","1,633.50","1,644.50","6,528,700"
"Dec 19, 2016","1,610.00","1,631.00","1,605.50","1,630.50","9,281,400"
"Dec 16, 2016","1,598.00","1,599.50","1,576.50","1,595.50","7,403,300"
"Dec 15, 2016","1,600.00","1,601.50","1,583.00","1,593.50","5,762,600"
"Dec 14, 2016","1,601.50","1,613.00","1,589.00","1,593.00","6,123,300"
"Dec 13, 2016","1,570.50","1,605.50","1,562.50","1,602.00","9,394,900"
"Dec 12, 2016","1,550.00","1,570.50","1,541.50","1,561.50","9,875,500"
"Dec 9, 2016","1,529.50","1,550.00","1,526.50","1,532.50","15,959,900"
"Dec 8, 2016","1,511.50","1,526.50","1,507.00","1,526.50","11,481,900"
"Dec 7, 2016","1,538.00","1,539.50","1,523.50","1,530.00","8,022,400"
"Dec 6, 2016","1,553.50","1,562.00","1,536.00","1,538.00","6,735,100"
"Dec 5, 2016","1,549.00","1,556.50","1,536.50","1,542.00","4,843,300"
"Dec 2, 2016","1,552.50","1,565.50","1,546.00","1,554.00","7,799,000"
"Dec 1, 2016","1,581.50","1,583.00","1,553.50","1,562.00","10,032,400"
"Nov 30, 2016","1,592.00","1,592.00","1,571.50","1,579.50","11,397,500"
"Nov 29, 2016","1,578.00","1,594.50","1,576.00","1,589.50","6,214,400"
"Nov 28, 2016","1,580.00","1,580.50","1,566.00","1,572.50","7,268,800"
"Nov 25, 2016","1,582.00","1,594.50","1,576.50","1,585.00","7,028,600"
"Nov 24, 2016","1,595.50","1,599.00","1,580.50","1,582.50","7,360,200"
"Nov 22, 2016","1,588.00","1,595.50","1,573.00","1,595.50","6,653,500"
"Nov 21, 2016","1,568.00","1,598.50","1,564.00","1,588.50","7,409,500"
"Nov 18, 2016","1,610.00","1,610.00","1,560.50","1,561.00","13,463,400"
"Nov 17, 2016","1,603.00","1,617.00","1,602.00","1,613.00","5,633,900"
"Nov 16, 2016","1,595.50","1,615.50","1,577.00","1,607.00","8,212,700"
"Nov 15, 2016","1,553.50","1,590.00","1,541.50","1,590.00","8,898,000"
"Nov 14, 2016","1,565.00","1,571.00","1,551.00","1,555.50","7,286,800"
"Nov 11, 2016","1,583.00","1,583.50","1,555.00","1,561.00","15,824,100"
"Nov 10, 2016","1,587.00","1,587.00","1,533.00","1,554.00","16,769,200"
"Nov 9, 2016","1,520.00","1,526.50","1,454.50","1,479.00","22,216,800"
"Nov 8, 2016","1,494.50","1,511.50","1,488.50","1,493.50","9,069,500"
"Nov 7, 2016","1,499.50","1,506.00","1,476.00","1,483.00","10,205,200"
"Nov 4, 2016","1,526.00","1,527.50","1,477.00","1,482.00","11,662,000"
"Nov 2, 2016","1,541.50","1,567.00","1,530.00","1,544.50","8,663,800"
"Nov 1, 2016","1,547.00","1,556.00","1,537.50","1,544.50","7,350,600"
"Oct 31, 2016","1,577.50","1,579.50","1,548.50","1,559.50","9,722,900"
"Oct 28, 2016","1,570.00","1,598.00","1,561.50","1,585.50","13,120,200"
"Oct 27, 2016","1,550.00","1,560.50","1,543.50","1,550.00","6,246,000"
"Oct 26, 2016","1,560.00","1,567.00","1,556.50","1,557.00","5,766,900"
"Oct 25, 2016","1,582.50","1,585.00","1,558.00","1,565.50","6,440,400"
"Oct 24, 2016","1,557.00","1,579.50","1,544.50","1,579.00","7,852,900"
"Oct 21, 2016","1,558.00","1,558.00","1,524.00","1,525.00","5,881,300"
"Oct 20, 2016","1,538.00","1,554.50","1,531.50","1,554.50","5,847,600"
"Oct 19, 2016","1,532.50","1,540.00","1,526.00","1,533.50","5,503,800"
"Oct 18, 2016","1,539.00","1,547.00","1,522.00","1,532.50","4,970,600"
"Oct 17, 2016","1,522.50","1,542.50","1,513.00","1,539.00","5,384,200"
"Oct 14, 2016","1,532.50","1,544.50","1,530.00","1,530.00","7,443,200"
"Oct 13, 2016","1,549.00","1,560.00","1,533.50","1,540.00","5,622,900"
"Oct 12, 2016","1,551.00","1,562.50","1,546.00","1,550.00","6,259,000"
"Oct 11, 2016","1,567.00","1,572.50","1,563.00","1,568.50","6,227,200"
"Oct 7, 2016","1,578.00","1,586.50","1,560.00","1,567.00","5,133,800"
"Oct 6, 2016","1,585.50","1,585.50","1,574.00","1,584.00","4,172,100"
"Oct 5, 2016","1,580.00","1,584.50","1,571.00","1,572.00","5,542,700"
"Oct 4, 2016","1,572.00","1,580.50","1,566.50","1,578.00","5,432,800"
"Oct 3, 2016","1,576.00","1,590.00","1,566.50","1,571.00","4,813,600"
"Sep 30, 2016","1,582.50","1,585.00","1,563.50","1,573.50","6,762,100"
"Sep 29, 2016","1,603.50","1,606.50","1,580.50","1,600.00","5,341,400"
"Sep 28, 2016","1,590.00","1,603.00","1,579.00","1,595.50","5,887,100"
"Sep 27, 2016","1,591.00","1,609.00","1,570.00","1,607.50","5,446,400"
"Sep 26, 2016","1,614.00","1,618.00","1,582.50","1,589.50","6,176,100"
"Sep 23, 2016","1,585.50","1,607.50","1,576.00","1,594.50","8,662,300"
"Sep 21, 2016","1,578.00","1,588.50","1,548.00","1,580.00","9,354,200"
"Sep 20, 2016","1,555.00","1,583.00","1,555.00","1,569.50","6,329,900"
"Sep 16, 2016","1,578.00","1,584.00","1,561.00","1,582.50","6,161,300"
"Sep 15, 2016","1,582.00","1,592.00","1,570.50","1,580.00","4,918,500"
"Sep 14, 2016","1,594.00","1,614.50","1,590.50","1,594.00","5,377,800"
"Sep 13, 2016","1,572.50","1,595.00","1,570.00","1,591.00","4,324,900"
"Sep 12, 2016","1,568.50","1,578.50","1,561.50","1,569.00","4,472,800"
"Sep 9, 2016","1,601.50","1,609.50","1,575.00","1,578.00","8,666,000"
"Sep 8, 2016","1,566.50","1,590.50","1,563.50","1,586.00","7,495,700"
"Sep 7, 2016","1,579.50","1,600.00","1,575.50","1,598.00","9,303,600"
"Sep 6, 2016","1,592.00","1,605.50","1,580.00","1,580.00","8,526,500"
"Sep 5, 2016","1,644.00","1,649.00","1,605.00","1,608.50","4,402,300"
"Sep 2, 2016","1,610.00","1,635.00","1,608.50","1,629.00","5,777,400"
"Sep 1, 2016","1,585.50","1,607.00","1,574.50","1,602.00","6,623,500"
"Aug 31, 2016","1,610.00","1,612.00","1,564.50","1,580.50","7,683,100"
"Aug 30, 2016","1,604.50","1,618.50","1,597.00","1,600.00","3,841,300"
"Aug 29, 2016","1,620.00","1,625.50","1,593.50","1,602.50","5,155,000"
"Aug 26, 2016","1,620.00","1,620.00","1,559.50","1,590.00","7,951,600"
