Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,509.00","1,521.00","1,491.00","1,491.00","2,472,800"
"Mar 30, 2017","1,521.00","1,525.00","1,484.00","1,487.00","1,860,800"
"Mar 29, 2017","1,512.00","1,548.00","1,502.50","1,528.00","3,012,800"
"Mar 28, 2017","1,492.50","1,518.50","1,489.50","1,511.00","2,194,800"
"Mar 27, 2017","1,485.50","1,491.50","1,464.50","1,477.00","1,282,500"
"Mar 24, 2017","1,468.50","1,497.50","1,463.00","1,495.00","1,679,100"
"Mar 23, 2017","1,476.00","1,476.00","1,466.00","1,472.50","1,199,400"
"Mar 22, 2017","1,472.00","1,481.00","1,469.00","1,473.50","1,591,500"
"Mar 21, 2017","1,469.50","1,484.50","1,465.50","1,483.50","1,557,400"
"Mar 17, 2017","1,482.00","1,485.00","1,465.00","1,468.50","2,199,800"
"Mar 16, 2017","1,484.00","1,497.50","1,483.00","1,490.50","1,877,600"
"Mar 15, 2017","1,494.00","1,500.00","1,475.50","1,480.00","1,460,100"
"Mar 14, 2017","1,499.00","1,502.50","1,489.50","1,495.50","1,500,300"
"Mar 13, 2017","1,470.00","1,499.50","1,469.50","1,499.50","1,624,700"
"Mar 10, 2017","1,466.00","1,475.50","1,458.00","1,466.00","1,958,900"
"Mar 9, 2017","1,457.50","1,458.50","1,446.00","1,452.00","1,307,300"
"Mar 8, 2017","1,469.00","1,474.00","1,455.50","1,462.00","1,611,300"
"Mar 7, 2017","1,482.50","1,495.00","1,472.00","1,475.00","1,948,600"
"Mar 6, 2017","1,492.00","1,496.00","1,479.50","1,482.00","1,249,700"
"Mar 3, 2017","1,501.50","1,518.00","1,491.50","1,500.00","2,004,600"
"Mar 2, 2017","1,492.50","1,497.50","1,487.50","1,492.50","2,026,100"
"Mar 1, 2017","1,480.00","1,486.50","1,468.00","1,478.50","1,435,000"
"Feb 28, 2017","1,487.00","1,497.50","1,477.00","1,480.00","1,874,300"
"Feb 27, 2017","1,489.00","1,489.50","1,467.00","1,484.00","1,565,400"
"Feb 24, 2017","1,490.00","1,504.00","1,490.00","1,496.00","1,331,000"
"Feb 23, 2017","1,506.00","1,507.50","1,488.00","1,501.00","1,097,700"
"Feb 22, 2017","1,515.00","1,520.00","1,492.50","1,504.50","1,395,200"
"Feb 21, 2017","1,482.00","1,507.50","1,478.00","1,506.50","1,490,200"
"Feb 20, 2017","1,474.00","1,485.00","1,465.00","1,483.50","1,069,800"
"Feb 17, 2017","1,474.50","1,484.00","1,463.00","1,472.50","1,247,900"
"Feb 16, 2017","1,492.00","1,493.00","1,468.00","1,474.50","2,297,500"
"Feb 15, 2017","1,529.00","1,529.50","1,499.00","1,499.00","1,583,600"
"Feb 14, 2017","1,524.00","1,529.00","1,514.50","1,516.00","1,935,200"
"Feb 13, 2017","1,513.50","1,515.50","1,493.50","1,503.00","1,777,700"
"Feb 10, 2017","1,492.50","1,504.50","1,492.00","1,504.00","1,464,300"
"Feb 9, 2017","1,485.00","1,485.50","1,471.00","1,474.50","1,548,000"
"Feb 8, 2017","1,485.00","1,494.00","1,477.00","1,486.00","1,634,600"
"Feb 7, 2017","1,481.00","1,503.50","1,476.50","1,500.00","1,527,900"
"Feb 6, 2017","1,489.50","1,496.00","1,476.50","1,485.50","1,617,500"
"Feb 3, 2017","1,505.50","1,508.50","1,480.00","1,485.50","1,509,500"
"Feb 2, 2017","1,512.00","1,512.00","1,485.50","1,489.50","2,904,700"
"Feb 1, 2017","1,519.00","1,533.50","1,512.50","1,514.00","2,184,300"
"Jan 31, 2017","1,525.00","1,529.50","1,503.00","1,503.00","1,872,700"
"Jan 30, 2017","1,548.50","1,550.00","1,536.00","1,544.00","1,116,900"
"Jan 27, 2017","1,567.50","1,573.50","1,555.50","1,561.50","1,455,200"
"Jan 26, 2017","1,568.50","1,569.50","1,549.00","1,552.00","1,629,900"
"Jan 25, 2017","1,564.50","1,583.50","1,545.00","1,551.00","1,508,400"
"Jan 24, 2017","1,537.00","1,551.00","1,530.50","1,539.50","2,551,400"
"Jan 23, 2017","1,570.00","1,573.50","1,556.50","1,565.50","1,600,100"
"Jan 20, 2017","1,593.00","1,603.50","1,587.00","1,596.00","1,458,900"
"Jan 19, 2017","1,612.00","1,619.00","1,592.50","1,599.00","2,199,400"
"Jan 18, 2017","1,585.50","1,599.50","1,575.50","1,594.50","2,005,400"
"Jan 17, 2017","1,601.00","1,603.00","1,586.00","1,588.50","1,862,600"
"Jan 16, 2017","1,606.00","1,611.00","1,581.00","1,584.50","1,306,800"
"Jan 13, 2017","1,582.50","1,612.50","1,582.50","1,611.00","1,922,800"
"Jan 12, 2017","1,601.00","1,608.50","1,576.50","1,587.50","1,878,900"
"Jan 11, 2017","1,601.50","1,616.00","1,598.00","1,600.50","2,176,700"
"Jan 10, 2017","1,606.00","1,624.00","1,590.00","1,594.50","3,431,200"
"Jan 6, 2017","1,648.00","1,655.00","1,640.50","1,646.00","1,718,400"
"Jan 5, 2017","1,665.00","1,676.50","1,651.00","1,664.50","2,053,400"
"Jan 4, 2017","1,641.50","1,672.50","1,638.50","1,668.00","2,026,100"
"Dec 30, 2016","1,639.00","1,641.00","1,623.50","1,633.00","1,785,300"
"Dec 29, 2016","1,665.00","1,671.00","1,638.50","1,647.00","2,266,100"
"Dec 28, 2016","1,662.50","1,682.00","1,657.00","1,670.00","1,308,800"
"Dec 27, 2016","1,674.50","1,681.00","1,658.50","1,667.50","1,445,900"
"Dec 26, 2016","1,700.00","1,708.50","1,679.00","1,681.00","1,367,600"
"Dec 22, 2016","1,702.00","1,705.00","1,677.00","1,689.50","1,858,400"
"Dec 21, 2016","1,717.00","1,720.50","1,692.50","1,702.50","1,874,000"
"Dec 20, 2016","1,732.50","1,743.50","1,720.50","1,726.50","2,204,700"
"Dec 19, 2016","1,731.00","1,750.50","1,717.00","1,750.00","1,728,400"
"Dec 16, 2016","1,761.00","1,779.00","1,717.50","1,729.00","2,421,900"
"Dec 15, 2016","1,723.00","1,745.00","1,706.50","1,741.50","2,529,000"
"Dec 14, 2016","1,752.50","1,767.00","1,730.00","1,746.00","2,497,600"
"Dec 13, 2016","1,671.00","1,743.00","1,667.50","1,742.50","3,217,600"
"Dec 12, 2016","1,732.00","1,739.00","1,697.00","1,708.00","3,306,200"
"Dec 9, 2016","1,719.50","1,729.00","1,696.50","1,727.00","3,309,200"
"Dec 8, 2016","1,641.00","1,714.50","1,640.50","1,709.50","4,508,300"
"Dec 7, 2016","1,583.00","1,619.50","1,576.00","1,619.50","2,866,500"
"Dec 6, 2016","1,567.00","1,586.00","1,557.00","1,573.50","4,011,700"
"Dec 5, 2016","1,589.50","1,596.00","1,558.50","1,566.50","1,556,100"
"Dec 2, 2016","1,600.00","1,613.00","1,580.00","1,599.00","1,549,400"
"Dec 1, 2016","1,613.50","1,622.50","1,597.00","1,605.50","2,427,700"
"Nov 30, 2016","1,631.00","1,641.00","1,603.50","1,605.50","2,714,300"
"Nov 29, 2016","1,600.00","1,615.50","1,593.00","1,614.50","1,370,600"
"Nov 28, 2016","1,580.00","1,625.50","1,574.50","1,619.50","2,242,400"
"Nov 25, 2016","1,568.50","1,576.50","1,557.00","1,576.00","1,624,100"
