Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,223.00","1,223.00","1,200.00","1,200.00","2,283,000"
"Mar 30, 2017","1,207.00","1,215.00","1,203.00","1,207.00","1,575,000"
"Mar 29, 2017","1,212.00","1,212.00","1,196.00","1,207.00","1,737,000"
"Mar 28, 2017","1,220.00","1,226.00","1,210.00","1,216.00","1,512,000"
"Mar 27, 2017","1,207.00","1,210.00","1,199.00","1,206.00","1,275,000"
"Mar 24, 2017","1,220.00","1,235.00","1,215.00","1,223.00","1,553,000"
"Mar 23, 2017","1,219.00","1,220.00","1,201.00","1,216.00","1,471,000"
"Mar 22, 2017","1,218.00","1,229.00","1,213.00","1,213.00","1,626,000"
"Mar 21, 2017","1,228.00","1,243.00","1,222.00","1,242.00","1,762,000"
"Mar 17, 2017","1,226.00","1,232.00","1,221.00","1,226.00","1,824,000"
"Mar 16, 2017","1,226.00","1,238.00","1,223.00","1,233.00","1,689,000"
"Mar 15, 2017","1,225.00","1,229.00","1,219.00","1,227.00","1,376,000"
"Mar 14, 2017","1,235.00","1,241.00","1,228.00","1,230.00","1,239,000"
"Mar 13, 2017","1,233.00","1,244.00","1,229.00","1,239.00","1,504,000"
"Mar 10, 2017","1,220.00","1,247.00","1,220.00","1,241.00","2,294,000"
"Mar 9, 2017","1,227.00","1,227.00","1,216.00","1,220.00","1,186,000"
"Mar 8, 2017","1,222.00","1,225.00","1,214.00","1,217.00","1,235,000"
"Mar 7, 2017","1,224.00","1,231.00","1,219.00","1,227.00","1,639,000"
"Mar 6, 2017","1,223.00","1,227.00","1,218.00","1,221.00","1,016,000"
"Mar 3, 2017","1,239.00","1,243.00","1,224.00","1,230.00","1,813,000"
"Mar 2, 2017","1,243.00","1,249.00","1,236.00","1,244.00","1,735,000"
"Mar 1, 2017","1,223.00","1,235.00","1,220.00","1,234.00","1,663,000"
"Feb 28, 2017","1,215.00","1,234.00","1,211.00","1,222.00","1,577,000"
"Feb 27, 2017","1,211.00","1,215.00","1,200.00","1,210.00","1,048,000"
"Feb 24, 2017","1,216.00","1,225.00","1,212.00","1,218.00","1,154,000"
"Feb 23, 2017","1,215.00","1,225.00","1,204.00","1,225.00","1,295,000"
"Feb 22, 2017","1,196.00","1,219.00","1,193.00","1,215.00","1,482,000"
"Feb 21, 2017","1,187.00","1,199.00","1,184.00","1,196.00","1,096,000"
"Feb 20, 2017","1,186.00","1,192.00","1,176.00","1,186.00","1,370,000"
"Feb 17, 2017","1,197.00","1,200.00","1,192.00","1,197.00","835,000"
"Feb 16, 2017","1,213.00","1,217.00","1,200.00","1,203.00","1,203,000"
"Feb 15, 2017","1,211.00","1,215.00","1,207.00","1,212.00","924,000"
"Feb 14, 2017","1,206.00","1,214.00","1,198.00","1,199.00","1,137,000"
"Feb 13, 2017","1,212.00","1,212.00","1,200.00","1,205.00","1,644,000"
"Feb 10, 2017","1,198.00","1,207.00","1,161.00","1,206.00","2,513,000"
"Feb 9, 2017","1,140.00","1,146.00","1,135.00","1,141.00","1,014,000"
"Feb 8, 2017","1,144.00","1,151.00","1,140.00","1,151.00","1,206,000"
"Feb 7, 2017","1,138.00","1,148.00","1,138.00","1,146.00","1,165,000"
"Feb 6, 2017","1,154.00","1,156.00","1,136.00","1,143.00","1,306,000"
"Feb 3, 2017","1,140.00","1,148.00","1,134.00","1,143.00","1,425,000"
"Feb 2, 2017","1,155.00","1,155.00","1,129.00","1,132.00","1,054,000"
"Feb 1, 2017","1,140.00","1,154.00","1,131.00","1,154.00","1,025,000"
"Jan 31, 2017","1,151.00","1,155.00","1,143.00","1,149.00","1,243,000"
"Jan 30, 2017","1,161.00","1,164.00","1,151.00","1,161.00","943,000"
"Jan 27, 2017","1,168.00","1,170.00","1,157.00","1,162.00","1,063,000"
"Jan 26, 2017","1,162.00","1,164.00","1,154.00","1,163.00","1,289,000"
"Jan 25, 2017","1,154.00","1,160.00","1,141.00","1,147.00","1,062,000"
"Jan 24, 2017","1,146.00","1,148.00","1,134.00","1,136.00","987,000"
"Jan 23, 2017","1,148.00","1,154.00","1,139.00","1,147.00","1,318,000"
"Jan 20, 2017","1,153.00","1,162.00","1,151.00","1,158.00","1,134,000"
"Jan 19, 2017","1,158.00","1,168.00","1,156.00","1,165.00","1,311,000"
"Jan 18, 2017","1,156.00","1,157.00","1,142.00","1,154.00","1,405,000"
"Jan 17, 2017","1,181.00","1,183.00","1,159.00","1,159.00","1,132,000"
"Jan 16, 2017","1,182.00","1,187.00","1,173.00","1,179.00","1,172,000"
"Jan 13, 2017","1,180.00","1,200.00","1,179.00","1,194.00","1,450,000"
"Jan 12, 2017","1,195.00","1,195.00","1,180.00","1,182.00","1,117,000"
"Jan 11, 2017","1,195.00","1,200.00","1,190.00","1,194.00","1,049,000"
"Jan 10, 2017","1,203.00","1,205.00","1,187.00","1,190.00","1,777,000"
"Jan 6, 2017","1,215.00","1,216.00","1,202.00","1,210.00","1,514,000"
"Jan 5, 2017","1,206.00","1,225.00","1,202.00","1,218.00","2,387,000"
"Jan 4, 2017","1,180.00","1,211.00","1,179.00","1,211.00","2,567,000"
"Dec 30, 2016","1,158.00","1,167.00","1,154.00","1,155.00","1,411,000"
"Dec 29, 2016","1,178.00","1,180.00","1,164.00","1,166.00","1,340,000"
"Dec 28, 2016","1,169.00","1,190.00","1,166.00","1,180.00","1,780,000"
"Dec 27, 2016","1,157.00","1,176.00","1,151.00","1,161.00","1,904,000"
"Dec 26, 2016","1,160.00","1,161.00","1,151.00","1,157.00","908,000"
"Dec 22, 2016","1,151.00","1,159.00","1,150.00","1,159.00","1,144,000"
"Dec 21, 2016","1,160.00","1,162.00","1,146.00","1,151.00","1,402,000"
"Dec 20, 2016","1,160.00","1,163.00","1,152.00","1,160.00","1,243,000"
"Dec 19, 2016","1,164.00","1,164.00","1,155.00","1,161.00","987,000"
"Dec 16, 2016","1,159.00","1,162.00","1,146.00","1,160.00","1,850,000"
"Dec 15, 2016","1,150.00","1,159.00","1,146.00","1,150.00","1,207,000"
"Dec 14, 2016","1,156.00","1,160.00","1,150.00","1,150.00","1,449,000"
"Dec 13, 2016","1,150.00","1,163.00","1,145.00","1,162.00","1,388,000"
"Dec 12, 2016","1,150.00","1,159.00","1,141.00","1,150.00","1,676,000"
"Dec 9, 2016","1,119.00","1,141.00","1,116.00","1,138.00","2,763,000"
"Dec 8, 2016","1,121.00","1,121.00","1,111.00","1,120.00","1,756,000"
"Dec 7, 2016","1,102.00","1,109.00","1,095.00","1,104.00","1,675,000"
"Dec 6, 2016","1,110.00","1,114.00","1,090.00","1,093.00","1,716,000"
"Dec 5, 2016","1,089.00","1,100.00","1,089.00","1,092.00","1,180,000"
"Dec 2, 2016","1,094.00","1,105.00","1,089.00","1,104.00","1,340,000"
"Dec 1, 2016","1,100.00","1,110.00","1,089.00","1,101.00","2,638,000"
"Nov 30, 2016","1,081.00","1,085.00","1,076.00","1,082.00","2,053,000"
"Nov 29, 2016","1,081.00","1,083.00","1,075.00","1,078.00","1,677,000"
"Nov 28, 2016","1,073.00","1,086.00","1,065.00","1,085.00","1,461,000"
"Nov 25, 2016","1,066.00","1,083.00","1,066.00","1,081.00","1,980,000"
"Nov 24, 2016","1,072.00","1,074.00","1,063.00","1,066.00","1,942,000"
"Nov 22, 2016","1,080.00","1,084.00","1,077.00","1,077.00","1,315,000"
"Nov 21, 2016","1,071.00","1,080.00","1,071.00","1,078.00","1,507,000"
"Nov 18, 2016","1,073.00","1,073.00","1,061.00","1,064.00","1,812,000"
"Nov 17, 2016","1,038.00","1,062.00","1,037.00","1,062.00","1,952,000"
"Nov 16, 2016","1,032.00","1,042.00","1,024.00","1,040.00","2,578,000"
"Nov 15, 2016","1,028.00","1,028.00","1,015.00","1,018.00","3,093,000"
"Nov 14, 2016","1,033.00","1,040.00","1,026.00","1,032.00","2,162,000"
"Nov 11, 2016","1,040.00","1,041.00","1,016.00","1,020.00","2,942,000"
"Nov 10, 2016","1,059.00","1,062.00","1,034.00","1,054.00","1,899,000"
"Nov 9, 2016","1,052.00","1,058.00",987.00,996.00,"2,374,000"
"Nov 8, 2016","1,043.00","1,048.00","1,041.00","1,045.00","881,000"
"Nov 7, 2016","1,044.00","1,049.00","1,036.00","1,041.00","1,647,000"
"Nov 4, 2016","1,049.00","1,056.00","1,029.00","1,035.00","1,384,000"
"Nov 2, 2016","1,055.00","1,058.00","1,041.00","1,049.00","1,163,000"
"Nov 1, 2016","1,058.00","1,070.00","1,052.00","1,069.00","1,500,000"
"Oct 31, 2016","1,057.00","1,058.00","1,048.00","1,054.00","1,154,000"
"Oct 28, 2016","1,051.00","1,059.00","1,048.00","1,057.00","1,901,000"
"Oct 27, 2016","1,052.00","1,059.00","1,048.00","1,050.00","1,116,000"
"Oct 26, 2016","1,045.00","1,059.00","1,045.00","1,059.00","1,559,000"
"Oct 25, 2016","1,037.00","1,047.00","1,032.00","1,045.00","1,319,000"
"Oct 24, 2016","1,027.00","1,038.00","1,026.00","1,037.00","1,409,000"
"Oct 21, 2016","1,020.00","1,027.00","1,017.00","1,023.00","1,581,000"
"Oct 20, 2016","1,002.00","1,019.00","1,001.00","1,019.00","1,648,000"
"Oct 19, 2016","1,004.00","1,008.00",999.00,"1,005.00","2,176,000"
"Oct 18, 2016",993.00,998.00,991.00,997.00,"1,480,000"
"Oct 17, 2016",991.00,"1,005.00",991.00,997.00,"1,289,000"
"Oct 14, 2016",990.00,995.00,988.00,994.00,"1,936,000"
"Oct 13, 2016","1,009.00","1,010.00",993.00,997.00,"1,373,000"
"Oct 12, 2016","1,006.00","1,010.00","1,001.00","1,004.00","1,283,000"
"Oct 11, 2016","1,011.00","1,018.00","1,009.00","1,010.00","1,211,000"
"Oct 7, 2016","1,011.00","1,014.00","1,008.00","1,010.00","1,269,000"
"Oct 6, 2016","1,015.00","1,015.00","1,006.00","1,012.00","1,653,000"
"Oct 5, 2016","1,011.00","1,016.00","1,006.00","1,011.00","1,415,000"
"Oct 4, 2016","1,002.00","1,008.00",997.00,"1,008.00","1,297,000"
"Oct 3, 2016","1,000.00","1,005.00",995.00,996.00,"1,273,000"
"Sep 30, 2016",998.00,998.00,981.00,986.00,"2,639,000"
"Sep 29, 2016","1,008.00","1,015.00","1,003.00","1,013.00","963,000"
"Sep 28, 2016","1,002.00","1,009.00",998.00,"1,001.00","1,714,000"
"Sep 27, 2016","1,004.00","1,025.00","1,001.00","1,025.00","1,652,000"
"Sep 26, 2016","1,021.00","1,032.00","1,009.00","1,012.00","1,720,000"
"Sep 23, 2016","1,030.00","1,033.00","1,016.00","1,022.00","2,282,000"
"Sep 21, 2016","1,017.00","1,036.00","1,004.00","1,035.00","1,611,000"
"Sep 20, 2016","1,001.00","1,026.00",995.00,"1,022.00","1,823,000"
"Sep 16, 2016","1,014.00","1,016.00","1,003.00","1,006.00","1,723,000"
"Sep 15, 2016","1,012.00","1,019.00","1,010.00","1,011.00","1,174,000"
"Sep 14, 2016","1,021.00","1,030.00","1,020.00","1,021.00","1,262,000"
"Sep 13, 2016","1,031.00","1,033.00","1,022.00","1,029.00","1,022,000"
"Sep 12, 2016","1,036.00","1,037.00","1,020.00","1,023.00","1,333,000"
"Sep 9, 2016","1,059.00","1,059.00","1,042.00","1,045.00","2,387,000"
"Sep 8, 2016","1,054.00","1,056.00","1,043.00","1,048.00","1,996,000"
"Sep 7, 2016","1,045.00","1,055.00","1,041.00","1,052.00","1,418,000"
"Sep 6, 2016","1,055.00","1,061.00","1,055.00","1,057.00","1,042,000"
"Sep 5, 2016","1,055.00","1,061.00","1,048.00","1,050.00","997,000"
"Sep 2, 2016","1,047.00","1,052.00","1,038.00","1,042.00","1,310,000"
"Sep 1, 2016","1,050.00","1,055.00","1,037.00","1,047.00","2,415,000"
"Aug 31, 2016","1,050.00","1,052.00","1,034.00","1,052.00","2,585,000"
"Aug 30, 2016","1,027.00","1,034.00","1,025.00","1,028.00","1,080,000"
"Aug 29, 2016","1,037.00","1,040.00","1,026.00","1,032.00","1,797,000"
"Aug 26, 2016","1,030.00","1,032.00","1,006.00","1,012.00","2,221,000"
"Aug 25, 2016","1,032.00","1,037.00","1,026.00","1,034.00","2,499,000"
"Aug 24, 2016","1,038.00","1,056.00","1,028.00","1,034.00","2,429,000"
"Aug 23, 2016","1,014.00","1,045.00","1,013.00","1,038.00","3,220,000"
"Aug 22, 2016","1,027.00","1,029.00","1,012.00","1,019.00","972,000"
"Aug 19, 2016","1,019.00","1,025.00","1,011.00","1,021.00","2,881,000"
"Aug 18, 2016","1,019.00","1,023.00","1,005.00","1,007.00","2,134,000"
"Aug 17, 2016","1,009.00","1,022.00","1,006.00","1,020.00","2,107,000"
"Aug 16, 2016","1,031.00","1,034.00","1,008.00","1,008.00","2,273,000"
"Aug 15, 2016","1,038.00","1,041.00","1,024.00","1,032.00","2,221,000"
"Aug 12, 2016","1,069.00","1,074.00","1,035.00","1,039.00","4,388,000"
"Aug 10, 2016","1,050.00","1,077.00","1,036.00","1,064.00","3,931,000"
"Aug 9, 2016","1,093.00","1,109.00","1,093.00","1,102.00","1,839,000"
"Aug 8, 2016","1,099.00","1,103.00","1,078.00","1,089.00","2,033,000"
"Aug 5, 2016","1,075.00","1,094.00","1,072.00","1,089.00","1,852,000"
"Aug 4, 2016","1,114.00","1,116.00","1,080.00","1,084.00","2,889,000"
"Aug 3, 2016","1,115.00","1,129.00","1,109.00","1,113.00","3,371,000"
"Aug 2, 2016","1,130.00","1,141.00","1,128.00","1,132.00","1,814,000"
"Aug 1, 2016","1,136.00","1,150.00","1,125.00","1,144.00","1,430,000"
"Jul 29, 2016","1,143.00","1,156.00","1,125.00","1,154.00","2,828,000"
"Jul 28, 2016","1,145.00","1,148.00","1,134.00","1,144.00","2,713,000"
"Jul 27, 2016","1,194.00","1,194.00","1,152.00","1,156.00","4,200,000"
"Jul 26, 2016","1,191.00","1,191.00","1,168.00","1,180.00","2,320,000"
"Jul 25, 2016","1,216.00","1,218.00","1,188.00","1,193.00","4,513,000"
"Jul 22, 2016","1,218.00","1,226.00","1,207.00","1,218.00","3,090,000"
"Jul 21, 2016","1,254.00","1,254.00","1,220.00","1,227.00","2,798,000"
"Jul 20, 2016","1,250.00","1,255.00","1,236.00","1,252.00","2,753,000"
"Jul 19, 2016","1,218.00","1,251.00","1,211.00","1,251.00","3,115,000"
"Jul 15, 2016","1,234.00","1,237.00","1,198.00","1,207.00","3,141,000"
"Jul 14, 2016","1,207.00","1,242.00","1,204.00","1,242.00","3,834,000"
"Jul 13, 2016","1,226.00","1,226.00","1,188.00","1,190.00","3,431,000"
"Jul 12, 2016","1,201.00","1,226.00","1,201.00","1,208.00","2,969,000"
"Jul 11, 2016","1,183.00","1,203.00","1,175.00","1,192.00","2,983,000"
"Jul 8, 2016","1,175.00","1,182.00","1,164.00","1,165.00","3,703,000"
"Jul 7, 2016","1,161.00","1,166.00","1,146.00","1,160.00","2,325,000"
"Jul 6, 2016","1,153.00","1,177.00","1,146.00","1,174.00","3,166,000"
"Jul 5, 2016","1,155.00","1,184.00","1,155.00","1,178.00","4,649,000"
"Jul 4, 2016","1,123.00","1,155.00","1,121.00","1,149.00","2,437,000"
"Jul 1, 2016","1,125.00","1,148.00","1,125.00","1,132.00","2,926,000"
"Jun 30, 2016","1,125.00","1,147.00","1,123.00","1,135.00","3,403,000"
"Jun 29, 2016","1,097.00","1,121.00","1,081.00","1,118.00","3,624,000"
"Jun 28, 2016","1,060.00","1,083.00","1,050.00","1,075.00","2,196,000"
"Jun 27, 2016","1,050.00","1,085.00","1,044.00","1,082.00","3,083,000"
"Jun 24, 2016","1,128.00","1,129.00","1,023.00","1,031.00","3,598,000"
"Jun 23, 2016","1,105.00","1,117.00","1,090.00","1,116.00","2,176,000"
"Jun 22, 2016","1,101.00","1,103.00","1,088.00","1,092.00","1,606,000"
"Jun 21, 2016","1,084.00","1,107.00","1,076.00","1,102.00","1,700,000"
"Jun 20, 2016","1,078.00","1,098.00","1,078.00","1,089.00","2,712,000"
"Jun 17, 2016","1,065.00","1,078.00","1,062.00","1,062.00","3,124,000"
"Jun 16, 2016","1,065.00","1,070.00","1,043.00","1,045.00","1,823,000"
"Jun 15, 2016","1,059.00","1,078.00","1,058.00","1,071.00","1,891,000"
"Jun 14, 2016","1,064.00","1,070.00","1,051.00","1,058.00","1,869,000"
"Jun 13, 2016","1,085.00","1,086.00","1,063.00","1,063.00","1,726,000"
"Jun 10, 2016","1,104.00","1,108.00","1,092.00","1,101.00","3,223,000"
"Jun 9, 2016","1,105.00","1,112.00","1,099.00","1,107.00","2,154,000"
"Jun 8, 2016","1,102.00","1,111.00","1,095.00","1,111.00","1,951,000"
"Jun 7, 2016","1,097.00","1,114.00","1,097.00","1,111.00","2,270,000"
"Jun 6, 2016","1,090.00","1,095.00","1,078.00","1,095.00","2,327,000"
"Jun 3, 2016","1,095.00","1,110.00","1,092.00","1,108.00","2,246,000"
"Jun 2, 2016","1,116.00","1,116.00","1,092.00","1,094.00","2,238,000"
"Jun 1, 2016","1,127.00","1,135.00","1,117.00","1,123.00","1,787,000"
"May 31, 2016","1,131.00","1,142.00","1,125.00","1,136.00","1,812,000"
"May 30, 2016","1,125.00","1,137.00","1,125.00","1,134.00","1,136,000"
"May 27, 2016","1,127.00","1,130.00","1,118.00","1,120.00","1,823,000"
"May 26, 2016","1,137.00","1,141.00","1,123.00","1,127.00","1,476,000"
"May 25, 2016","1,135.00","1,139.00","1,128.00","1,128.00","1,798,000"
"May 24, 2016","1,121.00","1,130.00","1,119.00","1,124.00","2,181,000"
"May 23, 2016","1,124.00","1,125.00","1,103.00","1,121.00","1,505,000"
"May 20, 2016","1,119.00","1,129.00","1,110.00","1,127.00","1,940,000"
"May 19, 2016","1,118.00","1,123.00","1,106.00","1,119.00","2,372,000"
"May 18, 2016","1,091.00","1,117.00","1,091.00","1,103.00","2,552,000"
"May 17, 2016","1,078.00","1,096.00","1,074.00","1,094.00","2,259,000"
"May 16, 2016","1,062.00","1,087.00","1,060.00","1,077.00","1,791,000"
"May 13, 2016","1,092.00","1,092.00","1,060.00","1,062.00","2,861,000"
"May 12, 2016","1,022.00","1,033.00","1,018.00","1,032.00","1,009,000"
"May 11, 2016","1,047.00","1,050.00","1,030.00","1,031.00","1,277,000"
"May 10, 2016","1,019.00","1,029.00","1,011.00","1,027.00","1,659,000"
"May 9, 2016","1,018.00","1,020.00","1,010.00","1,011.00","1,329,000"
"May 6, 2016","1,013.00","1,023.00","1,000.00","1,002.00","1,650,000"
"May 2, 2016",996.00,"1,015.00",996.00,"1,011.00","1,643,000"
"Apr 28, 2016","1,087.00","1,099.00","1,036.00","1,041.00","1,996,000"
"Apr 27, 2016","1,083.00","1,089.00","1,075.00","1,078.00","1,622,000"
"Apr 26, 2016","1,086.00","1,090.00","1,070.00","1,079.00","1,141,000"
"Apr 25, 2016","1,089.00","1,095.00","1,083.00","1,086.00","2,685,000"
"Apr 22, 2016","1,077.00","1,101.00","1,068.00","1,101.00","1,904,000"
"Apr 21, 2016","1,084.00","1,084.00","1,070.00","1,080.00","1,643,000"
"Apr 20, 2016","1,067.00","1,074.00","1,054.00","1,061.00","1,754,000"
"Apr 19, 2016","1,051.00","1,065.00","1,046.00","1,061.00","2,274,000"
"Apr 18, 2016","1,001.00","1,027.00","1,001.00","1,022.00","2,026,000"
"Apr 15, 2016","1,035.00","1,045.00","1,034.00","1,040.00","1,171,000"
"Apr 14, 2016","1,016.00","1,047.00","1,012.00","1,047.00","2,504,000"
"Apr 13, 2016",980.00,998.00,980.00,998.00,"1,452,000"
"Apr 12, 2016",956.00,971.00,946.00,967.00,"1,495,000"
"Apr 11, 2016",955.00,962.00,940.00,960.00,"1,666,000"
"Apr 8, 2016",933.00,975.00,929.00,961.00,"2,750,000"
"Apr 7, 2016",936.00,954.00,935.00,945.00,"1,891,000"
"Apr 6, 2016",938.00,943.00,929.00,937.00,"2,902,000"
"Apr 5, 2016",950.00,950.00,928.00,931.00,"2,487,000"
"Apr 4, 2016",963.00,965.00,948.00,954.00,"2,325,000"
"Apr 1, 2016","1,000.00","1,000.00",960.00,963.00,"2,332,000"
