Date,Open,High,Low,Close,Volume
"Mar 31, 2017",591.00,593.00,578.00,578.00,"2,560,000"
"Mar 30, 2017",593.00,598.00,589.00,590.00,"1,544,000"
"Mar 29, 2017",596.00,599.00,593.00,598.00,"1,632,000"
"Mar 28, 2017",595.00,598.00,592.00,598.00,"1,858,000"
"Mar 27, 2017",588.00,594.00,586.00,587.00,"1,727,000"
"Mar 24, 2017",592.00,603.00,591.00,599.00,"1,742,000"
"Mar 23, 2017",593.00,595.00,583.00,589.00,"2,074,000"
"Mar 22, 2017",594.00,600.00,590.00,590.00,"1,929,000"
"Mar 21, 2017",611.00,612.00,602.00,610.00,"2,323,000"
"Mar 17, 2017",596.00,615.00,595.00,608.00,"4,857,000"
"Mar 16, 2017",586.00,598.00,586.00,596.00,"2,358,000"
"Mar 15, 2017",591.00,593.00,584.00,589.00,"2,020,000"
"Mar 14, 2017",600.00,603.00,597.00,601.00,"1,136,000"
"Mar 13, 2017",605.00,605.00,598.00,600.00,"1,655,000"
"Mar 10, 2017",604.00,607.00,602.00,605.00,"2,569,000"
"Mar 9, 2017",599.00,605.00,597.00,602.00,"1,415,000"
"Mar 8, 2017",597.00,603.00,596.00,599.00,"2,734,000"
"Mar 7, 2017",604.00,607.00,597.00,605.00,"3,293,000"
"Mar 6, 2017",605.00,612.00,600.00,611.00,"1,663,000"
"Mar 3, 2017",607.00,612.00,606.00,608.00,"2,256,000"
"Mar 2, 2017",609.00,624.00,605.00,615.00,"4,610,000"
"Mar 1, 2017",587.00,592.00,582.00,591.00,"2,167,000"
"Feb 28, 2017",584.00,590.00,583.00,585.00,"2,608,000"
"Feb 27, 2017",588.00,588.00,580.00,586.00,"1,612,000"
"Feb 24, 2017",596.00,599.00,591.00,593.00,"2,108,000"
"Feb 23, 2017",602.00,607.00,593.00,600.00,"3,072,000"
"Feb 22, 2017",611.00,611.00,602.00,609.00,"1,784,000"
"Feb 21, 2017",603.00,614.00,601.00,613.00,"1,533,000"
"Feb 20, 2017",608.00,612.00,601.00,610.00,"1,178,000"
"Feb 17, 2017",610.00,614.00,608.00,611.00,"1,723,000"
"Feb 16, 2017",611.00,617.00,606.00,616.00,"1,709,000"
"Feb 15, 2017",614.00,617.00,613.00,615.00,"1,672,000"
"Feb 14, 2017",605.00,617.00,603.00,608.00,"2,550,000"
"Feb 13, 2017",602.00,606.00,599.00,605.00,"2,733,000"
"Feb 10, 2017",586.00,602.00,583.00,601.00,"3,711,000"
"Feb 9, 2017",577.00,582.00,571.00,576.00,"2,215,000"
"Feb 8, 2017",566.00,579.00,566.00,577.00,"2,388,000"
"Feb 7, 2017",546.00,570.00,543.00,567.00,"4,436,000"
"Feb 6, 2017",552.00,555.00,551.00,555.00,"1,290,000"
"Feb 3, 2017",556.00,560.00,549.00,552.00,"1,694,000"
"Feb 2, 2017",560.00,567.00,554.00,556.00,"1,800,000"
"Feb 1, 2017",546.00,559.00,543.00,559.00,"1,790,000"
"Jan 31, 2017",551.00,561.00,551.00,556.00,"2,371,000"
"Jan 30, 2017",557.00,562.00,556.00,560.00,"1,571,000"
"Jan 27, 2017",563.00,565.00,559.00,562.00,"2,139,000"
"Jan 26, 2017",560.00,568.00,559.00,566.00,"2,756,000"
"Jan 25, 2017",536.00,553.00,536.00,551.00,"3,404,000"
"Jan 24, 2017",539.00,542.00,525.00,526.00,"2,689,000"
"Jan 23, 2017",524.00,527.00,520.00,522.00,"1,185,000"
"Jan 20, 2017",523.00,532.00,523.00,528.00,"3,545,000"
"Jan 19, 2017",521.00,525.00,518.00,523.00,"1,380,000"
"Jan 18, 2017",508.00,516.00,506.00,515.00,"1,741,000"
"Jan 17, 2017",521.00,522.00,511.00,512.00,"1,952,000"
"Jan 16, 2017",522.00,527.00,521.00,523.00,"1,338,000"
"Jan 13, 2017",526.00,532.00,524.00,532.00,"1,428,000"
"Jan 12, 2017",535.00,536.00,523.00,528.00,"1,771,000"
"Jan 11, 2017",536.00,539.00,531.00,535.00,"2,285,000"
"Jan 10, 2017",518.00,523.00,513.00,521.00,"1,821,000"
"Jan 6, 2017",521.00,524.00,519.00,523.00,"1,211,000"
