Date,Open,High,Low,Close,Volume
"Mar 31, 2017","9,847.00","9,911.00","9,694.00","9,694.00","1,095,100"
"Mar 30, 2017","9,862.00","9,908.00","9,747.00","9,750.00","613,900"
"Mar 29, 2017","9,860.00","9,910.00","9,787.00","9,850.00","688,800"
"Mar 28, 2017","9,806.00","9,877.00","9,757.00","9,866.00","1,033,100"
"Mar 27, 2017","9,816.00","9,846.00","9,677.00","9,764.00","1,152,100"
"Mar 24, 2017","9,727.00","9,836.00","9,727.00","9,802.00","994,400"
"Mar 23, 2017","9,700.00","9,772.00","9,687.00","9,726.00","1,274,600"
"Mar 22, 2017","9,800.00","9,848.00","9,752.00","9,752.00","1,103,300"
"Mar 21, 2017","9,837.00","9,985.00","9,837.00","9,913.00","1,174,000"
"Mar 17, 2017","10,085.00","10,120.00","9,949.00","9,987.00","1,361,600"
"Mar 16, 2017","9,985.00","10,150.00","9,971.00","10,120.00","762,900"
"Mar 15, 2017","10,055.00","10,080.00","10,025.00","10,060.00","595,800"
"Mar 14, 2017","10,120.00","10,135.00","10,080.00","10,090.00","522,100"
"Mar 13, 2017","9,980.00","10,175.00","9,965.00","10,170.00","649,300"
"Mar 10, 2017","9,982.00","10,050.00","9,970.00","10,035.00","1,203,100"
"Mar 9, 2017","9,972.00","9,977.00","9,809.00","9,886.00","1,298,300"
"Mar 8, 2017","9,951.00","9,963.00","9,901.00","9,938.00","943,100"
"Mar 7, 2017","10,000.00","10,035.00","9,979.00","10,010.00","921,800"
"Mar 6, 2017","10,055.00","10,090.00","10,020.00","10,025.00","906,500"
"Mar 3, 2017","10,180.00","10,205.00","10,075.00","10,090.00","1,059,200"
"Mar 2, 2017","10,290.00","10,290.00","10,170.00","10,195.00","998,800"
"Mar 1, 2017","10,220.00","10,220.00","10,125.00","10,195.00","847,100"
"Feb 28, 2017","10,250.00","10,310.00","10,155.00","10,155.00","880,300"
"Feb 27, 2017","10,150.00","10,230.00","10,115.00","10,175.00","903,300"
"Feb 24, 2017","10,185.00","10,290.00","10,170.00","10,200.00","783,800"
"Feb 23, 2017","10,220.00","10,260.00","10,155.00","10,230.00","851,800"
"Feb 22, 2017","10,290.00","10,320.00","10,215.00","10,295.00","661,200"
"Feb 21, 2017","10,275.00","10,325.00","10,210.00","10,315.00","683,000"
"Feb 20, 2017","10,230.00","10,350.00","10,205.00","10,275.00","612,600"
"Feb 17, 2017","10,285.00","10,360.00","10,210.00","10,275.00","516,900"
"Feb 16, 2017","10,375.00","10,390.00","10,260.00","10,300.00","616,500"
"Feb 15, 2017","10,380.00","10,420.00","10,340.00","10,380.00","404,900"
"Feb 14, 2017","10,475.00","10,475.00","10,295.00","10,305.00","568,700"
"Feb 13, 2017","10,485.00","10,490.00","10,380.00","10,440.00","711,700"
"Feb 10, 2017","10,260.00","10,415.00","10,205.00","10,405.00","858,300"
"Feb 9, 2017","10,045.00","10,135.00","10,035.00","10,065.00","1,027,100"
"Feb 8, 2017","10,020.00","10,095.00","9,991.00","10,040.00","641,500"
"Feb 7, 2017","9,985.00","10,085.00","9,983.00","9,995.00","852,000"
"Feb 6, 2017","10,140.00","10,145.00","10,005.00","10,035.00","582,800"
"Feb 3, 2017","10,075.00","10,165.00","10,000.00","10,050.00","946,600"
"Feb 2, 2017","10,405.00","10,405.00","10,155.00","10,175.00","726,300"
"Feb 1, 2017","10,175.00","10,345.00","10,165.00","10,320.00","662,200"
"Jan 31, 2017","10,235.00","10,335.00","10,080.00","10,230.00","1,051,600"
"Jan 30, 2017","10,550.00","10,560.00","10,430.00","10,535.00","635,600"
"Jan 27, 2017","10,505.00","10,570.00","10,460.00","10,505.00","702,300"
"Jan 26, 2017","10,360.00","10,470.00","10,305.00","10,430.00","722,800"
"Jan 25, 2017","10,400.00","10,440.00","10,245.00","10,270.00","511,700"
"Jan 24, 2017","10,280.00","10,280.00","10,155.00","10,215.00","697,100"
"Jan 23, 2017","10,350.00","10,400.00","10,260.00","10,310.00","502,200"
"Jan 20, 2017","10,440.00","10,460.00","10,360.00","10,410.00","544,700"
"Jan 19, 2017","10,440.00","10,510.00","10,395.00","10,475.00","669,500"
"Jan 18, 2017","10,350.00","10,375.00","10,215.00","10,350.00","876,100"
"Jan 17, 2017","10,335.00","10,445.00","10,285.00","10,295.00","759,600"
"Jan 16, 2017","10,500.00","10,530.00","10,370.00","10,405.00","560,300"
"Jan 13, 2017","10,370.00","10,520.00","10,335.00","10,495.00","1,176,900"
"Jan 12, 2017","10,445.00","10,475.00","10,350.00","10,375.00","1,083,400"
"Jan 11, 2017","10,485.00","10,505.00","10,400.00","10,495.00","654,000"
"Jan 10, 2017","10,595.00","10,645.00","10,375.00","10,400.00","752,300"
"Jan 6, 2017","10,310.00","10,545.00","10,260.00","10,510.00","950,700"
"Jan 5, 2017","10,325.00","10,425.00","10,300.00","10,375.00","702,600"
"Jan 4, 2017","10,190.00","10,340.00","10,170.00","10,320.00","792,800"
"Dec 30, 2016","10,130.00","10,160.00","10,070.00","10,100.00","456,900"
"Dec 29, 2016","10,280.00","10,285.00","10,115.00","10,155.00","554,500"
"Dec 28, 2016","10,260.00","10,300.00","10,225.00","10,265.00","369,200"
"Dec 27, 2016","10,200.00","10,335.00","10,200.00","10,250.00","434,600"
"Dec 26, 2016","10,085.00","10,315.00","10,085.00","10,260.00","906,600"
"Dec 22, 2016","10,275.00","10,410.00","10,275.00","10,385.00","870,800"
"Dec 21, 2016","10,400.00","10,425.00","10,290.00","10,320.00","650,500"
"Dec 20, 2016","10,295.00","10,430.00","10,250.00","10,400.00","873,200"
"Dec 19, 2016","10,160.00","10,260.00","10,145.00","10,235.00","884,200"
"Dec 16, 2016","10,165.00","10,185.00","10,090.00","10,130.00","1,108,900"
"Dec 15, 2016","10,050.00","10,110.00","9,977.00","10,065.00","1,120,500"
"Dec 14, 2016","10,045.00","10,120.00","9,993.00","10,025.00","862,500"
"Dec 13, 2016","9,907.00","10,045.00","9,880.00","10,035.00","1,047,200"
"Dec 12, 2016","9,910.00","10,120.00","9,889.00","9,995.00","1,273,200"
"Dec 9, 2016","9,628.00","9,855.00","9,598.00","9,850.00","1,495,500"
"Dec 8, 2016","9,753.00","9,763.00","9,618.00","9,675.00","1,068,200"
"Dec 7, 2016","9,551.00","9,619.00","9,470.00","9,603.00","918,100"
"Dec 6, 2016","9,631.00","9,645.00","9,528.00","9,551.00","1,153,900"
"Dec 5, 2016","9,600.00","9,675.00","9,592.00","9,611.00","941,700"
"Dec 2, 2016","9,709.00","9,790.00","9,599.00","9,618.00","1,196,400"
"Dec 1, 2016","9,830.00","9,883.00","9,682.00","9,727.00","1,523,800"
"Nov 30, 2016","9,790.00","9,824.00","9,727.00","9,766.00","2,141,500"
"Nov 29, 2016","9,740.00","9,881.00","9,736.00","9,800.00","1,623,900"
"Nov 28, 2016","9,828.00","9,881.00","9,780.00","9,874.00","931,900"
"Nov 25, 2016","9,791.00","9,887.00","9,788.00","9,857.00","878,600"
"Nov 24, 2016","9,750.00","9,817.00","9,727.00","9,797.00","658,400"
"Nov 22, 2016","9,692.00","9,829.00","9,691.00","9,749.00","877,600"
"Nov 21, 2016","9,667.00","9,734.00","9,611.00","9,706.00","862,200"
"Nov 18, 2016","9,600.00","9,697.00","9,541.00","9,691.00","1,400,200"
"Nov 17, 2016","9,407.00","9,549.00","9,405.00","9,542.00","856,400"
"Nov 16, 2016","9,400.00","9,461.00","9,334.00","9,436.00","1,108,300"
"Nov 15, 2016","9,355.00","9,356.00","9,272.00","9,314.00","958,100"
"Nov 14, 2016","9,340.00","9,410.00","9,289.00","9,395.00","912,800"
"Nov 11, 2016","9,270.00","9,355.00","9,199.00","9,265.00","1,354,000"
"Nov 10, 2016","9,250.00","9,274.00","9,059.00","9,197.00","1,441,300"
"Nov 9, 2016","9,116.00","9,216.00","8,701.00","8,823.00","1,822,000"
"Nov 8, 2016","9,100.00","9,102.00","9,010.00","9,035.00","620,400"
"Nov 7, 2016","9,113.00","9,118.00","9,007.00","9,088.00","780,600"
"Nov 4, 2016","9,055.00","9,064.00","8,895.00","8,963.00","1,034,900"
"Nov 2, 2016","9,166.00","9,175.00","9,028.00","9,056.00","962,800"
"Nov 1, 2016","9,284.00","9,284.00","9,185.00","9,266.00","1,075,500"
"Oct 31, 2016","9,361.00","9,417.00","9,217.00","9,257.00","1,337,100"
"Oct 28, 2016","9,450.00","9,451.00","9,313.00","9,360.00","3,000,100"
"Oct 27, 2016","9,406.00","9,514.00","9,362.00","9,423.00","1,057,700"
"Oct 26, 2016","9,447.00","9,447.00","9,316.00","9,407.00","1,041,200"
"Oct 25, 2016","9,370.00","9,488.00","9,364.00","9,427.00","1,066,900"
"Oct 24, 2016","9,241.00","9,345.00","9,240.00","9,345.00","803,900"
"Oct 21, 2016","9,252.00","9,275.00","9,204.00","9,235.00","1,101,300"
"Oct 20, 2016","8,983.00","9,290.00","8,982.00","9,284.00","1,466,800"
"Oct 19, 2016","9,010.00","9,113.00","9,010.00","9,083.00","1,237,800"
"Oct 18, 2016","9,045.00","9,112.00","8,925.00","9,097.00","1,396,100"
"Oct 17, 2016","9,083.00","9,138.00","9,045.00","9,107.00","870,200"
"Oct 14, 2016","9,099.00","9,172.00","9,075.00","9,109.00","1,182,800"
"Oct 13, 2016","9,159.00","9,206.00","9,040.00","9,068.00","1,229,600"
"Oct 12, 2016","9,120.00","9,253.00","9,109.00","9,138.00","964,700"
"Oct 11, 2016","9,078.00","9,217.00","9,039.00","9,205.00","1,018,000"
"Oct 7, 2016","9,088.00","9,099.00","8,985.00","9,064.00","902,000"
"Oct 6, 2016","9,098.00","9,126.00","9,030.00","9,088.00","715,800"
"Oct 5, 2016","9,129.00","9,130.00","9,051.00","9,092.00","692,900"
"Oct 4, 2016","9,183.00","9,190.00","9,085.00","9,123.00","763,900"
"Oct 3, 2016","9,138.00","9,204.00","9,101.00","9,127.00","606,500"
"Sep 30, 2016","8,950.00","9,153.00","8,850.00","9,080.00","1,061,200"
"Sep 29, 2016","9,154.00","9,198.00","9,080.00","9,159.00","794,400"
"Sep 28, 2016","9,168.00","9,179.00","9,036.00","9,071.00","705,600"
"Sep 27, 2016","8,992.00","9,177.00","8,905.00","9,171.00","1,479,500"
"Sep 26, 2016","9,370.00","9,373.00","9,172.00","9,193.00","936,800"
"Sep 23, 2016","9,300.00","9,400.00","9,236.00","9,383.00","1,343,100"
"Sep 21, 2016","9,031.00","9,237.00","8,953.00","9,223.00","1,411,800"
"Sep 20, 2016","8,921.00","9,034.00","8,888.00","8,974.00","1,124,100"
"Sep 16, 2016","8,824.00","8,981.00","8,803.00","8,949.00","1,152,200"
"Sep 15, 2016","8,937.00","8,978.00","8,807.00","8,823.00","818,700"
"Sep 14, 2016","8,950.00","9,038.00","8,924.00","9,006.00","683,000"
"Sep 13, 2016","9,018.00","9,068.00","8,974.00","8,999.00","655,900"
"Sep 12, 2016","8,980.00","8,985.00","8,892.00","8,958.00","681,300"
"Sep 9, 2016","9,033.00","9,122.00","9,026.00","9,061.00","816,500"
"Sep 8, 2016","9,030.00","9,113.00","8,983.00","9,073.00","779,900"
"Sep 7, 2016","9,030.00","9,096.00","9,003.00","9,094.00","831,900"
"Sep 6, 2016","9,077.00","9,115.00","9,031.00","9,093.00","430,100"
"Sep 5, 2016","9,110.00","9,138.00","9,044.00","9,085.00","529,400"
"Sep 2, 2016","8,930.00","9,045.00","8,923.00","9,026.00","709,400"
"Sep 1, 2016","8,894.00","8,970.00","8,790.00","8,936.00","595,900"
"Aug 31, 2016","8,850.00","8,895.00","8,740.00","8,860.00","971,400"
"Aug 30, 2016","8,865.00","8,867.00","8,752.00","8,765.00","950,300"
"Aug 29, 2016","9,031.00","9,044.00","8,898.00","8,917.00","595,200"
"Aug 26, 2016","9,038.00","9,050.00","8,894.00","8,894.00","760,500"
"Aug 25, 2016","8,999.00","9,028.00","8,901.00","8,987.00","965,600"
"Aug 24, 2016","8,853.00","9,081.00","8,836.00","9,045.00","1,198,200"
"Aug 23, 2016","8,692.00","8,863.00","8,671.00","8,820.00","1,101,800"
"Aug 22, 2016","8,546.00","8,818.00","8,518.00","8,764.00","1,475,500"
"Aug 19, 2016","8,568.00","8,568.00","8,388.00","8,476.00","1,413,100"
"Aug 18, 2016","8,684.00","8,706.00","8,594.00","8,595.00","986,400"
"Aug 17, 2016","8,777.00","8,777.00","8,705.00","8,713.00","1,076,400"
"Aug 16, 2016","8,877.00","8,930.00","8,783.00","8,783.00","797,500"
"Aug 15, 2016","8,882.00","8,896.00","8,820.00","8,834.00","781,800"
"Aug 12, 2016","9,007.00","9,023.00","8,856.00","8,882.00","949,000"
"Aug 10, 2016","8,824.00","8,990.00","8,789.00","8,952.00","948,900"
"Aug 9, 2016","8,805.00","8,895.00","8,792.00","8,821.00","795,900"
"Aug 8, 2016","8,945.00","8,950.00","8,743.00","8,855.00","983,800"
"Aug 5, 2016","8,818.00","8,893.00","8,769.00","8,863.00","832,800"
"Aug 4, 2016","8,850.00","8,935.00","8,705.00","8,816.00","1,287,800"
"Aug 3, 2016","9,012.00","9,033.00","8,835.00","8,838.00","1,401,700"
"Aug 2, 2016","9,252.00","9,294.00","9,159.00","9,159.00","851,300"
"Aug 1, 2016","9,317.00","9,400.00","9,219.00","9,337.00","1,016,200"
"Jul 29, 2016","9,388.00","9,547.00","9,331.00","9,485.00","1,109,600"
"Jul 28, 2016","9,516.00","9,560.00","9,395.00","9,436.00","842,400"
"Jul 27, 2016","9,664.00","9,711.00","9,508.00","9,520.00","1,006,800"
"Jul 26, 2016","9,615.00","9,685.00","9,455.00","9,579.00","1,079,400"
"Jul 25, 2016","9,468.00","9,634.00","9,462.00","9,582.00","552,500"
"Jul 22, 2016","9,528.00","9,640.00","9,470.00","9,522.00","896,900"
"Jul 21, 2016","9,720.00","9,750.00","9,550.00","9,642.00","1,586,400"
"Jul 20, 2016","9,413.00","9,762.00","9,348.00","9,762.00","1,654,600"
