Date,Open,High,Low,Close,Volume
"Mar 31, 2017","3,670.00","3,700.00","3,630.00","3,635.00","1,222,300"
"Mar 30, 2017","3,580.00","3,665.00","3,565.00","3,610.00","906,000"
"Mar 29, 2017","3,590.00","3,600.00","3,565.00","3,600.00","787,600"
"Mar 28, 2017","3,435.00","3,535.00","3,430.00","3,515.00","1,313,500"
"Mar 27, 2017","3,440.00","3,460.00","3,390.00","3,395.00","752,600"
"Mar 24, 2017","3,475.00","3,540.00","3,470.00","3,510.00","384,100"
"Mar 23, 2017","3,535.00","3,535.00","3,455.00","3,475.00","701,100"
"Mar 22, 2017","3,500.00","3,535.00","3,495.00","3,515.00","553,500"
"Mar 21, 2017","3,595.00","3,640.00","3,565.00","3,580.00","741,400"
"Mar 17, 2017","3,495.00","3,560.00","3,485.00","3,550.00","1,059,200"
"Mar 16, 2017","3,455.00","3,510.00","3,455.00","3,510.00","476,600"
"Mar 15, 2017","3,450.00","3,485.00","3,425.00","3,475.00","437,400"
"Mar 14, 2017","3,505.00","3,510.00","3,470.00","3,500.00","663,200"
"Mar 13, 2017","3,550.00","3,575.00","3,525.00","3,535.00","372,000"
"Mar 10, 2017","3,510.00","3,590.00","3,510.00","3,575.00","906,300"
"Mar 9, 2017","3,535.00","3,535.00","3,500.00","3,510.00","793,100"
"Mar 8, 2017","3,550.00","3,550.00","3,480.00","3,520.00","949,400"
"Mar 7, 2017","3,485.00","3,595.00","3,470.00","3,580.00","1,110,200"
"Mar 6, 2017","3,375.00","3,485.00","3,375.00","3,475.00","890,400"
"Mar 3, 2017","3,400.00","3,425.00","3,385.00","3,410.00","697,800"
"Mar 2, 2017","3,385.00","3,450.00","3,355.00","3,440.00","1,145,700"
"Mar 1, 2017","3,310.00","3,355.00","3,285.00","3,345.00","523,800"
"Feb 28, 2017","3,340.00","3,360.00","3,305.00","3,310.00","634,000"
"Feb 27, 2017","3,300.00","3,320.00","3,265.00","3,320.00","651,200"
"Feb 24, 2017","3,350.00","3,360.00","3,310.00","3,345.00","685,600"
"Feb 23, 2017","3,350.00","3,390.00","3,320.00","3,380.00","717,600"
"Feb 22, 2017","3,335.00","3,345.00","3,305.00","3,330.00","604,400"
"Feb 21, 2017","3,375.00","3,375.00","3,325.00","3,340.00","612,100"
"Feb 20, 2017","3,365.00","3,390.00","3,305.00","3,365.00","533,000"
"Feb 17, 2017","3,360.00","3,420.00","3,330.00","3,410.00","723,500"
"Feb 16, 2017","3,385.00","3,435.00","3,375.00","3,400.00","635,300"
"Feb 15, 2017","3,375.00","3,385.00","3,315.00","3,385.00","836,900"
"Feb 14, 2017","3,350.00","3,390.00","3,310.00","3,310.00","924,000"
"Feb 13, 2017","3,315.00","3,330.00","3,275.00","3,300.00","1,102,600"
"Feb 10, 2017","3,245.00","3,355.00","3,240.00","3,345.00","1,939,900"
"Feb 9, 2017","3,050.00","3,215.00","3,040.00","3,195.00","3,661,600"
"Feb 8, 2017","3,415.00","3,475.00","3,370.00","3,455.00","1,039,000"
"Feb 7, 2017","3,470.00","3,505.00","3,425.00","3,485.00","665,900"
"Feb 6, 2017","3,525.00","3,525.00","3,480.00","3,510.00","605,500"
"Feb 3, 2017","3,480.00","3,500.00","3,450.00","3,475.00","663,800"
"Feb 2, 2017","3,530.00","3,530.00","3,470.00","3,480.00","701,100"
"Feb 1, 2017","3,450.00","3,510.00","3,410.00","3,500.00","666,800"
"Jan 31, 2017","3,510.00","3,540.00","3,455.00","3,490.00","855,000"
"Jan 30, 2017","3,540.00","3,570.00","3,500.00","3,565.00","1,041,700"
"Jan 27, 2017","3,605.00","3,620.00","3,560.00","3,575.00","855,600"
"Jan 26, 2017","3,510.00","3,570.00","3,495.00","3,570.00","1,354,300"
"Jan 25, 2017","3,490.00","3,505.00","3,440.00","3,465.00","664,100"
"Jan 24, 2017","3,450.00","3,460.00","3,415.00","3,430.00","699,000"
"Jan 23, 2017","3,450.00","3,510.00","3,425.00","3,455.00","1,053,300"
"Jan 20, 2017","3,350.00","3,455.00","3,340.00","3,440.00","1,139,400"
"Jan 19, 2017","3,305.00","3,335.00","3,295.00","3,325.00","545,200"
"Jan 18, 2017","3,240.00","3,285.00","3,215.00","3,275.00","488,100"
