Date,Open,High,Low,Close,Volume
"Mar 31, 2017","5,840.00","5,882.00","5,764.00","5,764.00","895,100"
"Mar 30, 2017","5,912.00","5,945.00","5,823.00","5,839.00","826,900"
"Mar 29, 2017","5,938.00","5,973.00","5,895.00","5,959.00","734,000"
"Mar 28, 2017","5,989.00","6,021.00","5,961.00","5,974.00","834,300"
"Mar 27, 2017","6,007.00","6,024.00","5,915.00","5,928.00","743,800"
"Mar 24, 2017","5,980.00","6,058.00","5,962.00","6,042.00","799,600"
"Mar 23, 2017","5,943.00","5,994.00","5,927.00","5,983.00","608,900"
"Mar 22, 2017","6,002.00","6,027.00","5,950.00","5,950.00","956,500"
"Mar 21, 2017","6,050.00","6,094.00","6,035.00","6,059.00","527,500"
"Mar 17, 2017","6,140.00","6,145.00","6,083.00","6,083.00","1,014,800"
"Mar 16, 2017","6,175.00","6,194.00","6,142.00","6,142.00","775,200"
"Mar 15, 2017","6,180.00","6,223.00","6,150.00","6,202.00","536,800"
"Mar 14, 2017","6,239.00","6,255.00","6,187.00","6,187.00","482,500"
"Mar 13, 2017","6,202.00","6,254.00","6,185.00","6,216.00","508,100"
"Mar 10, 2017","6,147.00","6,236.00","6,118.00","6,226.00","1,429,600"
"Mar 9, 2017","6,100.00","6,145.00","6,088.00","6,122.00","860,700"
"Mar 8, 2017","6,240.00","6,240.00","6,157.00","6,160.00","733,600"
"Mar 7, 2017","6,291.00","6,295.00","6,248.00","6,265.00","667,400"
"Mar 6, 2017","6,367.00","6,367.00","6,303.00","6,308.00","370,700"
"Mar 3, 2017","6,424.00","6,424.00","6,353.00","6,388.00","626,200"
"Mar 2, 2017","6,405.00","6,413.00","6,365.00","6,404.00","939,700"
"Mar 1, 2017","6,347.00","6,404.00","6,306.00","6,353.00","666,000"
"Feb 28, 2017","6,355.00","6,406.00","6,293.00","6,301.00","1,038,200"
"Feb 27, 2017","6,251.00","6,321.00","6,244.00","6,285.00","707,900"
"Feb 24, 2017","6,200.00","6,316.00","6,190.00","6,306.00","840,200"
"Feb 23, 2017","6,230.00","6,247.00","6,188.00","6,241.00","489,200"
"Feb 22, 2017","6,167.00","6,209.00","6,116.00","6,197.00","465,100"
"Feb 21, 2017","6,120.00","6,209.00","6,120.00","6,186.00","431,900"
"Feb 20, 2017","6,070.00","6,147.00","6,056.00","6,114.00","485,700"
"Feb 17, 2017","6,100.00","6,183.00","6,077.00","6,155.00","555,400"
"Feb 16, 2017","6,218.00","6,238.00","6,147.00","6,161.00","642,600"
"Feb 15, 2017","6,235.00","6,238.00","6,145.00","6,197.00","587,800"
"Feb 14, 2017","6,300.00","6,300.00","6,176.00","6,182.00","649,700"
"Feb 13, 2017","6,350.00","6,355.00","6,286.00","6,305.00","526,600"
"Feb 10, 2017","6,198.00","6,345.00","6,169.00","6,315.00","1,426,700"
"Feb 9, 2017","6,116.00","6,143.00","6,071.00","6,084.00","634,900"
"Feb 8, 2017","6,131.00","6,178.00","6,101.00","6,150.00","506,800"
"Feb 7, 2017","6,174.00","6,195.00","6,132.00","6,139.00","624,800"
"Feb 6, 2017","6,230.00","6,251.00","6,188.00","6,206.00","662,400"
"Feb 3, 2017","6,164.00","6,217.00","6,127.00","6,197.00","703,100"
"Feb 2, 2017","6,230.00","6,315.00","6,150.00","6,174.00","1,100,700"
"Feb 1, 2017","6,157.00","6,244.00","6,115.00","6,228.00","741,200"
"Jan 31, 2017","6,272.00","6,297.00","6,209.00","6,215.00","1,017,300"
"Jan 30, 2017","6,380.00","6,380.00","6,305.00","6,334.00","750,600"
"Jan 27, 2017","6,476.00","6,482.00","6,395.00","6,414.00","859,800"
"Jan 26, 2017","6,400.00","6,458.00","6,361.00","6,410.00","779,500"
"Jan 25, 2017","6,400.00","6,420.00","6,320.00","6,361.00","689,300"
"Jan 24, 2017","6,379.00","6,445.00","6,325.00","6,333.00","741,000"
"Jan 23, 2017","6,379.00","6,457.00","6,330.00","6,397.00","1,002,700"
"Jan 20, 2017","6,429.00","6,496.00","6,415.00","6,476.00","710,300"
"Jan 19, 2017","6,469.00","6,515.00","6,435.00","6,445.00","904,200"
"Jan 18, 2017","6,481.00","6,499.00","6,406.00","6,434.00","709,900"
"Jan 17, 2017","6,601.00","6,609.00","6,477.00","6,477.00","649,200"
"Jan 16, 2017","6,596.00","6,623.00","6,537.00","6,566.00","645,000"
"Jan 13, 2017","6,608.00","6,658.00","6,580.00","6,632.00","800,900"
"Jan 12, 2017","6,700.00","6,708.00","6,552.00","6,572.00","1,091,700"
"Jan 11, 2017","6,855.00","6,865.00","6,789.00","6,799.00","572,900"
"Jan 10, 2017","6,900.00","6,953.00","6,799.00","6,803.00","805,300"
"Jan 6, 2017","6,826.00","6,916.00","6,816.00","6,895.00","661,000"
"Jan 5, 2017","6,803.00","6,885.00","6,802.00","6,806.00","705,800"
"Jan 4, 2017","6,800.00","6,860.00","6,774.00","6,849.00","868,900"
"Dec 30, 2016","6,603.00","6,744.00","6,601.00","6,708.00","745,500"
"Dec 29, 2016","6,741.00","6,757.00","6,635.00","6,638.00","567,900"
"Dec 28, 2016","6,710.00","6,756.00","6,668.00","6,717.00","439,300"
"Dec 27, 2016","6,806.00","6,824.00","6,742.00","6,744.00","583,400"
"Dec 26, 2016","6,730.00","6,811.00","6,677.00","6,777.00","540,900"
"Dec 22, 2016","6,749.00","6,776.00","6,701.00","6,728.00","513,300"
"Dec 21, 2016","6,849.00","6,850.00","6,735.00","6,750.00","671,300"
"Dec 20, 2016","6,742.00","6,821.00","6,717.00","6,804.00","665,100"
"Dec 19, 2016","6,715.00","6,770.00","6,711.00","6,764.00","582,700"
"Dec 16, 2016","6,710.00","6,758.00","6,707.00","6,746.00","971,600"
"Dec 15, 2016","6,717.00","6,789.00","6,691.00","6,704.00","836,600"
"Dec 14, 2016","6,832.00","6,859.00","6,732.00","6,736.00","1,287,500"
"Dec 13, 2016","6,822.00","6,855.00","6,732.00","6,840.00","1,060,200"
"Dec 12, 2016","6,813.00","6,840.00","6,657.00","6,804.00","2,153,000"
"Dec 9, 2016","6,350.00","6,997.00","6,300.00","6,881.00","5,804,500"
"Dec 8, 2016","6,342.00","6,342.00","6,241.00","6,275.00","1,558,600"
"Dec 7, 2016","6,456.00","6,464.00","6,351.00","6,390.00","868,800"
"Dec 6, 2016","6,555.00","6,555.00","6,435.00","6,440.00","930,100"
"Dec 5, 2016","6,545.00","6,598.00","6,475.00","6,485.00","848,200"
"Dec 2, 2016","6,500.00","6,586.00","6,483.00","6,584.00","943,200"
"Dec 1, 2016","6,668.00","6,695.00","6,530.00","6,572.00","1,619,400"
"Nov 30, 2016","6,608.00","6,641.00","6,565.00","6,609.00","1,199,400"
"Nov 29, 2016","6,600.00","6,662.00","6,592.00","6,611.00","959,700"
"Nov 28, 2016","6,650.00","6,674.00","6,581.00","6,658.00","980,900"
"Nov 25, 2016","6,608.00","6,651.00","6,586.00","6,640.00","1,425,200"
"Nov 24, 2016","6,700.00","6,736.00","6,555.00","6,562.00","3,022,500"
"Nov 22, 2016","7,005.00","7,085.00","6,961.00","7,067.00","741,500"
"Nov 21, 2016","7,012.00","7,145.00","6,992.00","7,097.00","741,900"
"Nov 18, 2016","7,200.00","7,280.00","7,012.00","7,023.00","1,349,600"
"Nov 17, 2016","6,960.00","7,116.00","6,940.00","7,064.00","952,500"
"Nov 16, 2016","6,871.00","6,985.00","6,871.00","6,959.00","876,900"
"Nov 15, 2016","6,713.00","6,830.00","6,701.00","6,827.00","741,200"
"Nov 14, 2016","6,785.00","6,817.00","6,713.00","6,730.00","871,100"
"Nov 11, 2016","6,830.00","6,888.00","6,733.00","6,762.00","1,594,400"
"Nov 10, 2016","6,560.00","6,716.00","6,451.00","6,714.00","1,701,000"
"Nov 9, 2016","6,342.00","6,470.00","5,980.00","6,053.00","1,957,300"
"Nov 8, 2016","6,500.00","6,504.00","6,370.00","6,377.00","846,800"
"Nov 7, 2016","6,450.00","6,486.00","6,405.00","6,435.00","1,272,500"
"Nov 4, 2016","6,526.00","6,540.00","6,345.00","6,374.00","1,225,200"
"Nov 2, 2016","6,600.00","6,624.00","6,477.00","6,525.00","850,100"
"Nov 1, 2016","6,666.00","6,697.00","6,624.00","6,634.00","608,400"
"Oct 31, 2016","6,763.00","6,845.00","6,693.00","6,698.00","849,600"
"Oct 28, 2016","6,838.00","6,851.00","6,782.00","6,817.00","805,400"
"Oct 27, 2016","6,785.00","6,802.00","6,731.00","6,785.00","560,400"
"Oct 26, 2016","6,811.00","6,888.00","6,775.00","6,850.00","607,600"
"Oct 25, 2016","6,796.00","6,837.00","6,760.00","6,811.00","721,000"
"Oct 24, 2016","6,824.00","6,840.00","6,792.00","6,805.00","672,200"
"Oct 21, 2016","6,890.00","6,900.00","6,817.00","6,838.00","762,100"
"Oct 20, 2016","6,739.00","6,839.00","6,704.00","6,835.00","1,124,300"
"Oct 19, 2016","6,679.00","6,724.00","6,650.00","6,674.00","748,300"
"Oct 18, 2016","6,503.00","6,675.00","6,503.00","6,664.00","806,000"
"Oct 17, 2016","6,535.00","6,632.00","6,516.00","6,560.00","618,000"
"Oct 14, 2016","6,622.00","6,659.00","6,534.00","6,540.00","1,173,900"
"Oct 13, 2016","6,669.00","6,729.00","6,608.00","6,629.00","566,600"
"Oct 12, 2016","6,558.00","6,671.00","6,544.00","6,641.00","832,900"
"Oct 11, 2016","6,511.00","6,660.00","6,511.00","6,658.00","878,000"
"Oct 7, 2016","6,482.00","6,514.00","6,449.00","6,469.00","398,900"
"Oct 6, 2016","6,470.00","6,497.00","6,433.00","6,476.00","556,400"
"Oct 5, 2016","6,463.00","6,480.00","6,385.00","6,427.00","532,900"
"Oct 4, 2016","6,405.00","6,455.00","6,371.00","6,455.00","673,700"
"Oct 3, 2016","6,333.00","6,417.00","6,310.00","6,392.00","503,200"
"Sep 30, 2016","6,313.00","6,352.00","6,265.00","6,287.00","949,500"
"Sep 29, 2016","6,400.00","6,469.00","6,365.00","6,441.00","576,900"
"Sep 28, 2016","6,367.00","6,406.00","6,275.00","6,368.00","788,600"
"Sep 27, 2016","6,379.00","6,468.00","6,288.00","6,467.00","1,097,600"
"Sep 26, 2016","6,528.00","6,547.00","6,405.00","6,422.00","792,200"
"Sep 23, 2016","6,519.00","6,537.00","6,477.00","6,485.00","676,000"
"Sep 21, 2016","6,399.00","6,541.00","6,356.00","6,526.00","1,334,100"
"Sep 20, 2016","6,325.00","6,391.00","6,320.00","6,377.00","954,900"
"Sep 16, 2016","6,257.00","6,424.00","6,236.00","6,424.00","1,225,400"
"Sep 15, 2016","6,268.00","6,268.00","6,188.00","6,207.00","815,300"
