Date,Open,High,Low,Close,Volume
"Mar 31, 2017","34,600.00","35,220.00","34,540.00","34,920.00","674,300"
"Mar 30, 2017","34,510.00","34,730.00","34,390.00","34,490.00","443,300"
"Mar 29, 2017","34,770.00","34,980.00","34,580.00","34,820.00","513,900"
"Mar 28, 2017","34,990.00","34,990.00","34,570.00","34,750.00","661,300"
"Mar 27, 2017","35,410.00","35,480.00","34,610.00","34,790.00","729,500"
"Mar 24, 2017","35,270.00","35,900.00","35,210.00","35,820.00","628,700"
"Mar 23, 2017","35,200.00","35,400.00","34,960.00","35,360.00","509,100"
"Mar 22, 2017","35,280.00","35,350.00","34,770.00","34,960.00","724,300"
"Mar 21, 2017","35,640.00","35,910.00","35,380.00","35,850.00","395,100"
"Mar 17, 2017","36,000.00","36,370.00","35,940.00","36,040.00","571,000"
"Mar 16, 2017","36,540.00","36,630.00","35,850.00","36,010.00","583,600"
"Mar 15, 2017","36,500.00","36,870.00","36,450.00","36,720.00","317,700"
"Mar 14, 2017","36,820.00","36,820.00","36,540.00","36,630.00","229,000"
"Mar 13, 2017","36,500.00","36,750.00","36,270.00","36,620.00","377,800"
"Mar 10, 2017","36,000.00","36,960.00","35,990.00","36,840.00","1,424,000"
"Mar 9, 2017","36,000.00","36,250.00","35,900.00","36,040.00","402,700"
"Mar 8, 2017","35,780.00","36,010.00","35,590.00","35,740.00","475,200"
"Mar 7, 2017","36,010.00","36,080.00","35,570.00","35,680.00","565,000"
"Mar 6, 2017","37,000.00","37,110.00","36,040.00","36,240.00","777,500"
"Mar 3, 2017","36,940.00","37,540.00","36,820.00","37,270.00","967,700"
"Mar 2, 2017","36,800.00","36,920.00","36,500.00","36,500.00","626,200"
"Mar 1, 2017","35,650.00","36,290.00","35,550.00","36,140.00","734,500"
"Feb 28, 2017","35,370.00","35,560.00","35,150.00","35,490.00","489,900"
"Feb 27, 2017","34,800.00","35,360.00","34,780.00","35,250.00","486,900"
"Feb 24, 2017","34,950.00","35,310.00","34,880.00","35,180.00","347,300"
"Feb 23, 2017","35,210.00","35,310.00","34,880.00","35,280.00","384,700"
"Feb 22, 2017","35,630.00","35,690.00","34,970.00","35,270.00","407,900"
"Feb 21, 2017","35,190.00","35,730.00","35,110.00","35,610.00","384,600"
"Feb 20, 2017","35,000.00","35,160.00","34,700.00","34,990.00","459,900"
"Feb 17, 2017","35,720.00","35,720.00","35,060.00","35,180.00","594,100"
"Feb 16, 2017","36,830.00","36,870.00","35,880.00","35,990.00","584,500"
"Feb 15, 2017","36,990.00","37,220.00","36,780.00","37,050.00","388,000"
"Feb 14, 2017","36,850.00","37,030.00","36,490.00","36,550.00","439,600"
"Feb 13, 2017","37,400.00","37,410.00","36,780.00","36,840.00","458,800"
"Feb 10, 2017","36,390.00","37,040.00","36,200.00","36,940.00","1,021,700"
