Date,Open,High,Low,Close,Volume
"Mar 31, 2017",696.10,702.30,680.90,680.90,"15,744,000"
"Mar 30, 2017",685.00,700.00,683.40,696.10,"16,934,000"
"Mar 29, 2017",689.50,693.40,683.70,685.90,"11,038,000"
"Mar 28, 2017",675.00,688.40,672.00,687.20,"17,577,000"
"Mar 27, 2017",660.40,666.20,659.30,664.40,"10,499,000"
"Mar 24, 2017",656.70,668.90,655.50,661.70,"13,609,000"
"Mar 23, 2017",658.40,665.50,640.00,653.50,"17,602,000"
"Mar 22, 2017",665.00,665.80,653.50,658.50,"9,730,000"
"Mar 21, 2017",672.00,675.50,668.80,674.70,"8,651,000"
"Mar 17, 2017",666.90,675.00,666.00,668.90,"9,422,000"
"Mar 16, 2017",674.80,677.20,670.50,672.20,"8,164,000"
"Mar 15, 2017",677.10,677.40,670.50,676.00,"7,537,000"
"Mar 14, 2017",672.00,680.50,669.60,677.90,"9,764,000"
"Mar 13, 2017",666.70,672.20,664.60,669.70,"8,418,000"
"Mar 10, 2017",659.80,671.30,656.60,668.00,"15,581,000"
"Mar 9, 2017",655.90,660.20,651.80,657.60,"10,621,000"
"Mar 8, 2017",653.60,656.50,651.00,652.00,"13,809,000"
"Mar 7, 2017",651.80,655.00,650.90,653.50,"9,048,000"
"Mar 6, 2017",655.80,655.80,650.00,651.80,"5,657,000"
"Mar 3, 2017",656.00,662.20,651.40,655.00,"9,352,000"
"Mar 2, 2017",671.00,674.60,654.10,655.90,"14,317,000"
"Mar 1, 2017",652.80,660.50,651.10,659.40,"10,682,000"
"Feb 28, 2017",655.70,659.80,651.50,652.70,"10,175,000"
"Feb 27, 2017",651.90,654.70,645.70,652.00,"11,940,000"
"Feb 24, 2017",654.20,661.20,650.90,655.80,"9,094,000"
"Feb 23, 2017",662.80,662.80,656.20,657.30,"7,432,000"
"Feb 22, 2017",666.50,670.00,657.80,660.40,"17,588,000"
"Feb 21, 2017",660.30,663.30,657.30,658.30,"8,345,000"
"Feb 20, 2017",651.30,666.30,649.10,659.80,"11,927,000"
"Feb 17, 2017",650.00,652.80,648.20,651.40,"12,132,000"
"Feb 16, 2017",654.50,660.20,651.50,653.60,"14,784,000"
"Feb 15, 2017",655.20,656.20,650.90,650.90,"11,159,000"
"Feb 14, 2017",652.00,654.50,647.60,647.90,"13,753,000"
"Feb 13, 2017",649.00,652.30,630.00,649.10,"18,013,000"
"Feb 10, 2017",644.50,648.10,638.90,647.00,"27,904,000"
"Feb 9, 2017",635.20,641.60,632.00,634.50,"44,660,000"
"Feb 8, 2017",661.50,668.10,645.20,651.50,"36,467,000"
"Feb 7, 2017",674.50,682.60,671.40,677.30,"6,461,000"
"Feb 6, 2017",684.90,686.30,678.10,683.80,"8,069,000"
"Feb 3, 2017",681.10,685.30,672.00,676.40,"7,692,000"
"Feb 2, 2017",692.10,692.10,676.20,678.30,"11,974,000"
"Feb 1, 2017",690.00,693.80,681.00,686.80,"22,784,000"
"Jan 31, 2017",665.00,673.70,654.00,658.60,"23,841,000"
"Jan 30, 2017",688.00,691.90,687.70,691.50,"7,680,000"
"Jan 27, 2017",699.80,699.80,689.20,694.00,"10,226,000"
"Jan 26, 2017",693.00,698.00,689.40,697.80,"12,683,000"
"Jan 25, 2017",692.80,699.30,686.40,689.60,"12,037,000"
"Jan 24, 2017",675.00,682.60,674.00,681.00,"8,673,000"
"Jan 23, 2017",682.80,687.20,675.80,679.60,"8,773,000"
"Jan 20, 2017",678.60,687.30,674.20,684.90,"8,448,000"
"Jan 19, 2017",678.70,683.70,670.70,678.20,"11,320,000"
"Jan 18, 2017",660.20,670.40,654.30,669.30,"8,615,000"
"Jan 17, 2017",671.30,673.60,663.10,664.00,"7,729,000"
"Jan 16, 2017",674.00,680.20,667.00,670.60,"7,132,000"
"Jan 13, 2017",666.70,680.60,666.70,679.30,"10,757,000"
"Jan 12, 2017",673.50,683.50,662.30,666.70,"14,459,000"
"Jan 11, 2017",671.40,687.30,669.90,683.50,"13,547,000"
"Jan 10, 2017",681.20,683.30,666.50,671.30,"15,758,000"
"Jan 6, 2017",680.00,687.90,673.70,684.40,"8,474,000"
"Jan 5, 2017",675.70,690.80,665.00,689.30,"24,117,000"
"Jan 4, 2017",660.00,668.00,653.10,667.40,"14,264,000"
"Dec 30, 2016",645.00,651.60,641.60,649.50,"8,643,000"
"Dec 29, 2016",650.00,655.70,646.10,648.30,"8,993,000"
"Dec 28, 2016",658.00,665.40,658.00,662.60,"6,085,000"
"Dec 27, 2016",658.00,667.70,656.60,661.90,"8,022,000"
"Dec 26, 2016",654.00,664.00,651.50,662.60,"8,689,000"
"Dec 22, 2016",665.20,666.20,656.20,662.00,"13,017,000"
