Date,Open,High,Low,Close,Volume
"Mar 31, 2017",729.00,739.00,726.00,726.00,"7,723,000"
"Mar 30, 2017",737.00,739.00,720.00,722.00,"6,146,000"
"Mar 29, 2017",747.00,747.00,737.00,739.00,"6,797,000"
"Mar 28, 2017",748.00,752.00,744.00,752.00,"5,517,000"
"Mar 27, 2017",753.00,754.00,741.00,743.00,"7,122,000"
"Mar 24, 2017",750.00,753.00,748.00,753.00,"7,210,000"
"Mar 23, 2017",746.00,748.00,741.00,744.00,"5,539,000"
"Mar 22, 2017",749.00,757.00,746.00,746.00,"7,302,000"
"Mar 21, 2017",756.00,762.00,754.00,759.00,"5,164,000"
"Mar 17, 2017",755.00,760.00,748.00,755.00,"10,186,000"
"Mar 16, 2017",778.00,779.00,757.00,761.00,"16,412,000"
"Mar 15, 2017",750.00,753.00,744.00,749.00,"3,448,000"
"Mar 14, 2017",744.00,747.00,742.00,746.00,"2,924,000"
"Mar 13, 2017",742.00,746.00,739.00,745.00,"3,595,000"
"Mar 10, 2017",748.00,748.00,739.00,742.00,"6,576,000"
"Mar 9, 2017",740.00,746.00,734.00,743.00,"8,508,000"
"Mar 8, 2017",722.00,733.00,718.00,733.00,"9,093,000"
"Mar 7, 2017",715.00,720.00,713.00,720.00,"5,217,000"
"Mar 6, 2017",725.00,726.00,719.00,720.00,"4,722,000"
"Mar 3, 2017",734.00,736.00,725.00,727.00,"8,605,000"
"Mar 2, 2017",745.00,751.00,738.00,741.00,"6,290,000"
"Mar 1, 2017",736.00,740.00,733.00,738.00,"5,272,000"
"Feb 28, 2017",732.00,737.00,731.00,732.00,"6,013,000"
"Feb 27, 2017",731.00,732.00,723.00,725.00,"6,887,000"
"Feb 24, 2017",739.00,741.00,735.00,737.00,"4,816,000"
"Feb 23, 2017",742.00,744.00,737.00,742.00,"4,358,000"
"Feb 22, 2017",742.00,743.00,735.00,741.00,"4,944,000"
"Feb 21, 2017",741.00,742.00,737.00,741.00,"6,053,000"
"Feb 20, 2017",744.00,746.00,737.00,741.00,"4,260,000"
"Feb 17, 2017",739.00,747.00,737.00,745.00,"5,965,000"
"Feb 16, 2017",745.00,745.00,736.00,740.00,"4,581,000"
"Feb 15, 2017",745.00,746.00,741.00,744.00,"4,586,000"
"Feb 14, 2017",745.00,746.00,735.00,736.00,"5,341,000"
"Feb 13, 2017",750.00,750.00,740.00,743.00,"5,195,000"
"Feb 10, 2017",744.00,753.00,736.00,739.00,"8,164,000"
"Feb 9, 2017",757.00,757.00,733.00,735.00,"11,252,000"
"Feb 8, 2017",785.00,791.00,748.00,754.00,"13,695,000"
"Feb 7, 2017",770.00,780.00,766.00,778.00,"3,778,000"
"Feb 6, 2017",780.00,782.00,771.00,775.00,"2,616,000"
"Feb 3, 2017",771.00,775.00,767.00,772.00,"3,666,000"
"Feb 2, 2017",785.00,785.00,765.00,767.00,"7,025,000"
"Feb 1, 2017",780.00,785.00,773.00,784.00,"4,936,000"
"Jan 31, 2017",788.00,792.00,785.00,787.00,"3,961,000"
"Jan 30, 2017",795.00,796.00,789.00,794.00,"3,631,000"
"Jan 27, 2017",795.00,807.00,792.00,799.00,"7,106,000"
"Jan 26, 2017",785.00,792.00,783.00,791.00,"4,321,000"
"Jan 25, 2017",790.00,795.00,776.00,779.00,"6,158,000"
"Jan 24, 2017",783.00,790.00,780.00,782.00,"5,411,000"
"Jan 23, 2017",791.00,794.00,783.00,783.00,"4,561,000"
"Jan 20, 2017",789.00,796.00,787.00,796.00,"6,357,000"
"Jan 19, 2017",803.00,807.00,795.00,797.00,"5,836,000"
"Jan 18, 2017",793.00,798.00,787.00,796.00,"5,575,000"
"Jan 17, 2017",811.00,813.00,796.00,798.00,"6,347,000"
"Jan 16, 2017",816.00,817.00,810.00,813.00,"4,259,000"
"Jan 13, 2017",821.00,821.00,817.00,820.00,"4,357,000"
"Jan 12, 2017",821.00,823.00,813.00,819.00,"4,529,000"
"Jan 11, 2017",830.00,830.00,821.00,825.00,"3,348,000"
"Jan 10, 2017",828.00,833.00,823.00,827.00,"4,459,000"
"Jan 6, 2017",817.00,833.00,817.00,830.00,"4,770,000"
"Jan 5, 2017",834.00,838.00,820.00,825.00,"6,400,000"
"Jan 4, 2017",816.00,832.00,812.00,830.00,"5,659,000"
